Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Riverty Services GmbH,3.9,Vienna,Process Manager (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

We are looking for a
Process Manager (Personal Finance) (m/f/d)
(unlimited, full-time) Choose one of our locations globally, with 80% Mobile Office: Verl, Baden-Baden, Berlin, Amsterdam, Wien, Stockholm or Glasgow",,30d+,False,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.76,1.0,3.7,3.2,3.9,3.5,4.0,"['""Good colleagues and overall atmosphere"" (in 1 reviews)']","['""New strategy process is taking ages and people are in limbo"" (in 1 reviews)']",4.0,
"ESRI, Inc.",4.1,Vienna,Android Mobile Developer,"Overview:
Join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. Esri makes indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.
The Esri R&D Center in Vienna, Austria leads the research and development of cutting-edge indoor positioning systems technologies used in ArcGIS IPS. By combining radio signal data from Bluetooth low energy beacons and Wi-Fi with trajectory information derived from motion sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Shape the way users of the ArcGIS Runtime SDK for Android consume our cutting-edge Indoor Positioning Technology (IPS) and enable them to build unique experiences
Requirements:
Recommended Qualifications:
The Company:",,30d+,False,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.82,0.91,3.7,3.4,4.1,3.7,4.1,"['""Great people and teaching opportunities."" (in 54 reviews)', '""FULLY PAID insurance premiums for employee AND family (Once you factor this in, pay is very competitive for region — at other companies, I’ve paid $7k+/year in health insurance premiums)"" (in 63 reviews)', '""Work life balance is great"" (in 43 reviews)', '""The benefits are good."" (in 39 reviews)', '""Casual and friendly culture"" (in 39 reviews)']","['""Old people; doesn\'t care."" (in 54 reviews)', '""Pay is low for what the local housing market is demanding."" (in 63 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 39 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
Crate.io Inc.,3.7,Heimarbeit,Full Stack Engineer (m/f/x),"Location: Austria, Germany, Switzerland - preferred: Vienna, Dornbirn, Berlin, rest of Europe (remote)

Position: Full-time employment

ABOUT CRATE.IO
Crate.io are the developers of CrateDB, a global multi-model database, that enables companies to access data insights at scale. The flexible, distributed database solution combines the performance of NoSQL with the power and simplicity of standard SQL. Optimized for large data volumes with high compute and data versatility requirements, CrateDB runs in the cloud, on the edge and on-premise. Crate.io was named as an Honorable Mention in the 2021 Gartner Magic Quadrant for Cloud Database Management Systems.",,30d+,True,51 to 200,Company - Private,Information Technology,2013,Computer Hardware Development,,0.79,,3.5,4.0,3.9,3.7,3.7,"['""first but with a hybrid approach (there are some offices if you want to work from one), friendly people, pretty good work"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Bikemap GmbH,4.0,Vienna,Data Engineer (m/f/d) - maternity cover 1yr.,"In this position, you would:
Be part of a motivated Data & Growth Team working closely with data analysts
Effectively use data to gather insights and improve the decision-making process
Take responsibility to implement and complete ETL pipelines that centralizes 3rd party data & internal data (APIs, Firebase, Postgres RDS)
Maintain and ensure data quality for the Data & Growth Team (via alerting, and regular checks)
Stay abreast of changes to incoming data and adapt pipelines as necessary
Automate data collection for ad-hoc requests
Maintain documentation of pipelines and tables",,7d,False,1 to 50,Company - Private,,,,,1.0,,3.0,3.0,5.0,3.0,4.0,"['""Remote, Flexibility, Culture, Purpose, Community"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
REWE International IT,3.6,Vienna,"Data Engineer, Analytics (m/f/x)","Unternehmensbeschreibung

As the IT of the REWE Group Austria, we work together with our more than 600 employees to develop innovative IT products and services for all our corporate divisions in Austria and abroad, setting the tone for modern trade.
In our newly formed agile ""Data Platform"" team, you will work on the one-stop-shop for providing, searching, and consuming business relevant data. Your focus as an IT expert is on providing a curated, domain-agnostic tool-set into a simple-to-use environment to enable its customers to provide, search & consume data in a standardized, efficient and decentralized way. Within our dedicated data team, you work on a basis for our new data infrastructure and are responsible for the technical feasibility of projects",,1 day ago,True,10000+,Company - Private,Retail & Wholesale,1927,Grocery Stores,$10+ billion,0.69,0.77,3.4,3.3,3.4,3.2,3.3,['No Pros have been reported by the Glassdoor community.'],"['""Outsourcing / Consultants are preferred instead of hiring and fairly compensating employees long term"" (in 1 reviews)', '""Low salary expectations, limited space in growth regarding compensation"" (in 1 reviews)']",2.5,
Ubiq,4.6,Heimarbeit,Backend Engineer (m/f/x),"Full-time in Vienna, Austria or remote within a similar timezone (+/- 2 hours!!)

With urbanization and climate change the defining features of our time, mobility is in a significant state of flux, with innovative solutions needed to address this new reality. At Ubiq we believe it is only through a data-driven approach that these solutions can be both sustainable and profitable. We are confident that, with our product and services, we can play a vital role in shaping the future of mobility.

With a growing number of customers around the world, and an exciting data-driven product that is developing continuously, we are looking for a Backend Engineer to join our team.

Tasks

Requirements

You enjoy working in a team but are not afraid to work independently. You love to come up with new ideas, try them & see them develop. You think further than the status quo. The more skills you can cover from this list, the better:

Benefits

Please send your documents in English, CV & description of why you are the right person for the role, incl. your earliest start date & salary expectation. We look forward to hearing from you!",,6d,True,1 to 50,Company - Private,Retail & Wholesale,2001,"Department, Clothing & Shoe Stores",Less than $1 million,1.0,,4.6,3.6,4.1,5.0,3.4,"['""Friendly people, flexible work hours and work"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
BE-Terna GmbH,3.9,Heimarbeit,Data Engineer*,"Aufgaben

\#yourmission

Erstelle, implementiere und entwickle für unsere Kunden individuelle BI-Lösungen mit Microsoft Data Platform & Analytics mit Power BI, unter Verwendung der Azure-Plattform und On-Prem-Lösungen
Entwickle Modelle, Plattformen und Architekturen zur Datenverarbeitung
Baue Data Warehouses, Stagings, Layers auf und teste diese
Zeichne dich gemeinsam mit deinen Kollegen für die Qualitätssicherung verantwortlich
Beantworte und löse laufende Anfragen deiner Kunden
Qualifikation

\#yoursuperpowers

Benefits

\#beternasuperpowers

Haben wir dein Interesse geweckt? Dann sei jetzt schnell und bewirb dich bei uns! : )",,24h,True,1001 to 5000,Company - Private,Information Technology,,Information Technology Support Services,,0.75,0.72,4.0,3.5,3.9,3.5,4.1,"['""Great coworkers, great atmosere, great offices"" (in 3 reviews)', '""Stabile company, nice offices, depends on the team but some teams have nice relationships and are very connected"" (in 3 reviews)']","['""Low salary, hard to get a raise."" (in 6 reviews)', '""Bad middle management, communication and approach to the team."" (in 5 reviews)', '""A team of 4 had 3 managers, so micromanagement was present on a daily basis."" (in 3 reviews)']",,
Pataky Software GmbH,,Heimarbeit,Data Engineer,"PASO SOLUTIONS ist ein aufstrebendes und schnell wachsendes Unternehmen mit Standorten in Hohenzell, Graz und Landau in der Pfalz. Wir sind ein agiles Team bestehend aus engagierten Solutions Consultants, Architects und Engineers. Gemeinsam entwickeln wir individuelle Business Analytics & Software Lösungen für unsere langjährigen nationalen und internationalen Kunden in den Bereichen Automotive und Anlagenbau und treiben innovative Technologien voran.

Du bist stolz ein DATA ENGINEER zu sein? Wir auch! Entwickle mit uns gemeinsam Data Warehouses, Business Intelligence und Analytics Lösungen. Werde ab sofort in VZ ein Teil unseres engagierten Teams in Hohenzell oder Graz als

Senior Data Engineer

für Data Warehouses, Business Intelligence und Analytics (m,w,d)

Aufgaben

Qualifikation

Benefits

Arbeiten nach deinen Wünschen
Abhängig von deiner Berufserfahrung beginnt das kollektiv-vertragliche Mindestgehalt
(IT-Kollektivvertrag, ST1) bei € 2.589 für Berufseinsteiger bzw. bei € 3.190
mit mehrjähriger Berufserfahrung. Selbstverständlich bieten wir dir eine
attraktive Überzahlung entsprechend deiner Qualifikationen. Gerne erzählen wir
dir bei einem persönlichen Gespräch mehr von uns. Sende uns deinen Lebenslauf
und Kontaktdaten. Wir freuen uns auf deine Bewerbung!",,20d,True,,Company - Private,,,,,,,,,,,,,,,
"ESRI, Inc.",4.1,Vienna,Sr. Software Development Engineer – C++,"Overview:
As an enthusiastic and talented C++ software developer, you will join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. In the past few years, Esri has put a large effort into making indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.

At the Esri R&D Center in Vienna, Austria, we lead the research and development of cutting-edge indoor positioning systems technologies. By combining radio signal data from Bluetooth Low Energy beacons and Wi-Fi with trajectory information derived from sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Requirements:
Recommended Qualifications:
The Company:",,30d+,False,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.82,0.91,3.7,3.4,4.1,3.7,4.1,"['""Great people and teaching opportunities."" (in 54 reviews)', '""FULLY PAID insurance premiums for employee AND family (Once you factor this in, pay is very competitive for region — at other companies, I’ve paid $7k+/year in health insurance premiums)"" (in 63 reviews)', '""Work life balance is great"" (in 43 reviews)', '""The benefits are good."" (in 39 reviews)', '""Casual and friendly culture"" (in 39 reviews)']","['""Old people; doesn\'t care."" (in 54 reviews)', '""Pay is low for what the local housing market is demanding."" (in 63 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 39 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
Solicon IT,5.0,Carinthia,DATABASE ADMINISTRATOR / DATA ENGINEER,"In nur 6 Jahren vom klassischen Start-up zu einem soliden IT & Data-Consultingunternehmen: Das ist solicon IT
mit Sitz im Herzen von Wien und Graz. Von hier aus entwickeln wir mit unserem internationalen Netzwerk aus
Technologiepartnern und Softwareanbietern passgenaue und umfassende Lösungen im Bereich Data
Management, Data-based Applications, Business Intelligence and Analytics.
Database Administrator / Data Engineer Graz/Wien (m/w/d)

So sieht Ihr Aufgabenbereich aus
• Sie verstärken unser Entwicklungs- und Consultingteam im Bereich Data Management.






Rollen und Geschäftsmodelle kennen.
ebenso zu Ihren Aufgaben.",,30d+,False,1 to 50,Company - Private,,,,,1.0,,5.0,3.5,5.0,5.0,4.5,,,,
