Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ONNEC Group,3.2,Sydney,Data Centre Cabling & Hardware Support Engineer,"ONNEC builds, supports and optimises the IT infrastructure, networks and connectivity which drive global business performance.
We are a rapidly growing organisation and finding and retaining the highest calibre of people is fundamental to us for the success of our business, we work hard to create a challenging, supportive and satisfying working environment for all our employees. ONNEC has successfully achieved the Investors in Diversity Foundational Award for our commitment to equality, diversity and inclusion in the workplace.
We re recruiting for Engineers to work within a team carrying out cabling infrastructure and network hardware support at Onnec client sites. The work will include all types of patching, break-fix, circuit provision and recovery, disconnect/reconnect of desktop and networking equipment, rack and stack of Data Centre Hardware (eg Server, Network and Storage) and provision of connectivity to DC Hardware. The position will be site based as required and reports to the Service Delivery Manager.",15d,True,A$80K - A$85K (Employer est.),501 to 1000,Company - Private,,,,,0.35,,2.4,3.2,2.8,3.3,3.3,"['""Some of the staff were nice that were NOT on the HR Team."" (in 2 reviews)', '""Pay good money, work isn\'t too difficult"" (in 2 reviews)', '""Managers are easy to get on with"" (in 1 reviews)']","['""managers no care for staff, staff not happy working here"" (in 2 reviews)', '""Bully culture."" (in 2 reviews)', '""No training in place, you have to train yourself."" (in 1 reviews)']",,
Octopus Energy,4.2,Melbourne,Data Engineer,"Help us make a big green dent in the universe. We're on a mission to drive the global renewable energy revolution, and we need loads more people to help us make our vision a reality.

About Octopus Energy

Since 2015, Octopus has been on a mission to bring affordable, green energy to the world. With the help of our in-house developed technology platform, Kraken, we’ve become the 4th largest energy supplier in the UK, opened retailers in 5 other countries, and licensed our software to retail giants including E.ON in the UK and Origin Energy in Australia. We’ve reinvented energy products with smart, data-driven tariffs to balance customer demand with renewable generation - and we’re the biggest investor in renewable generation in the UK.

We've since expanded our tentacles to Australia, and we are now looking for Data Engineer, based in Melbourne, Wellington or remote in either New Zealand or Australia. Working with Octopus Energy is a chance to join an exciting scale-up business within the energy supply sector, one that’s at the forefront of changing the landscape of the energy industry across the world. A role with us offers you the chance to contribute to building world-class operations that will catapult you into a fantastic career.",7d,True,,51 to 200,Company - Private,"Energy, Mining & Utilities",2016,Energy & Utilities,,0.83,,4.1,3.9,4.5,4.2,4.0,"['""Some good people to learn from."" (in 18 reviews)', '""It\'s a blameless culture in post mortems."" (in 20 reviews)', '""Also the benefits are better than most US"" (in 5 reviews)', '""Great work life balance"" (in 11 reviews)', '""Great code, great coworkers, great managers."" (in 6 reviews)']","['""This doesn\'t help with learning team conventions and often pitches people in the deep end."" (in 18 reviews)', '""When your on site and your manager cant sort out the simplest of admin tasks after something hits the fan and it leaves you waiting a entire day for them to make a minor decision meanwhile explaining why your kicking your feet to the customer Octopus rewards for failure."" (in 6 reviews)']",,
TPG Telecom,3.7,North Sydney,Data Engineer,"We’ve only just begun, but what a beginning. In a once in a generation moment, we’ve brought together powerful brands to create one united force. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. The latest technology and brave thinking let us connect our people and communities. You could play a role in that. A big one. We invite you to bring your boldness and stand out. You are empowered. Opportunities are plenty for those ready to accept the challenge.

This opportunity
This role is responsible for providing end-to-end delivery of data platforms solutions, from concept to operations, including design, build, test, implementation and operations. This requires responsibility for the full lifecycle of initiatives, in accordance with TPG Telecom’s strategic business objectives, and operating model.",2d,False,A$112K - A$130K (Glassdoor est.),501 to 1000,Company - Public,Telecommunications,2020,"Cable, Internet & Telephone Providers",$1 to $5 billion,0.65,0.84,3.3,3.4,3.7,3.4,3.8,"['""people are friendly and supportive"" (in 10 reviews)', '""good place to learn and grow"" (in 8 reviews)', '""Management is better now after the merge."" (in 3 reviews)']","['""Culture needs to be improved."" (in 8 reviews)', '""The pay could be better."" (in 7 reviews)', '""Management wise: People Value = 0"" (in 3 reviews)']",,
EY,3.9,Sydney,"Expressions of Interest - Data Engineer, Data & Analytics","At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

What if your most rewarding experiences couldn’t be captured by a resume?

At EY we believe that whoever you are, your uniqueness helps us stand apart.

We bring together extraordinary people, like you, to build a better working world. This role is open to applicants across Adelaide, Melbourne, Perth, Brisbane, Canberra and Sydney.",14d,False,A$90K (Employer est.),,,,,,,,,,,,,,,,,
7-Eleven,3.3,New South Wales,Data Engineer,"Why 7-Eleven?
We're an agile, human centred organisation and our people are at the core of everything we do. This is a true place to learn and grow whilst developing your career. We work hard to embrace diversity and inclusion and encourage everyone at 7-Eleven to bring their authentic selves to work every day.
Open office layout (in a great location – Richmond) which promotes collaboration, conversation and teamwork to drive results
A flexible, remote-friendly work environment where people can enjoy a mix of WFH and in-office collaboration
2 days paid volunteer leave per year
Free 7Eleven coffee and snacks in the office
Social Committee club with regular events",2d,False,,10000+,Company - Private,Retail & Wholesale,1927,Food & Beverage Stores,$1 to $5 billion,0.51,0.62,3.1,3.0,3.1,2.9,2.9,"['"". good salary"" (in 15 reviews)', '""Great work culture to be a part of."" (in 11 reviews)', '""3. No micro management."" (in 8 reviews)', '""work life balance, encouraging team members."" (in 9 reviews)']","['""Management isn\'t that good."" (in 8 reviews)', '""1. Work life balance is tough sometimes"" (in 13 reviews)', '""Need to work on extended hours to collaborate with onsite teams."" (in 9 reviews)']",2.6,"['Job Training (82 comments)\n""It is enough and depends on management""', 'Vision Insurance (14 comments)\n""Average as anyone else. Nothing great.""', 'Occupational Accident Insurance (10 comments)\n""cost so much out of my pay""']"
Link Group,3.3,Melbourne,Data Engineer,"Overview
The Data Engineer delivers enterprise-wide data solutions. You are responsible for design and develop of data solutions which support our internal and external customers. This role requires a mix of creativity, attention to detail and a curiosity to find the best solution for our customers.
This is a 12 months Fixed term contract role. Open for Melbourne and Sydney locations
Key Accountabilities and main responsibilities
Design, develop, and implement data solutions using our MS stack tools.
Contribute to the development of the data engineering capability
Executing against the Data and Analytics roadmap, including optimisation of the existing capability as well the introduction of new capabilities
Identification and implementation of continuous improvement initiatives",17d,False,A$100K - A$118K (Glassdoor est.),1001 to 5000,Company - Public,Financial Services,2005,Investment & Asset Management,$500 million to $1 billion,0.55,0.69,3.2,2.8,3.2,3.0,3.3,"['""1) Work life balance"" (in 19 reviews)', '""average salary, good place to work"" (in 13 reviews)', '""Functional team"" (in 13 reviews)', '""Global Culture"" (in 11 reviews)']","['""Low Salary when compared to Market Standards"" (in 13 reviews)', '""Management is horrible"" (in 12 reviews)', '""Equal employees play semi leads which contributes to bad culture at work."" (in 11 reviews)']",,
The Data Foundry,5.0,Malvern East,Data Engineer (Melbourne),"Company Description

We are a customer-obsessed, “one stop shop” for all things data-related. We are deliberately narrow in our focus areas but we go deep in each of them. We provide solutions, services and training in the data strategy, data governance, data security, data management, data classification, data wrangling, data lake, data analytics, data visualisation, artificial intelligence, machine learning and IoT areas. Our solutions and services help transform customer organisations by teaching them how to turn their data into insight
We build on AWS, using the latest AWS services, best practices and reference architectures. We deliberately focus on large public sector customers that are data-heavy but insight-light – federal & state government departments, universities, public sector agencies, public health organisations, and public utilities.",1 day ago,True,A$100K - A$155K (Glassdoor est.),51 to 200,Company - Private,,,,,,,,,,,,"['""Honestly the most amazing culture of a company l\'ve ever worked in."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Plexus enterprises,,Remote,Senior Data Engineer,"Skills:
7+ years of software development/data engineering experience
4+ years of hands-on experience of building scalable data platforms and/or reliable data pipelines
Proficiency in at least one of the following programming languages: Java, Python, Scala.
This worker must have a high proficiency in Java development, at least.
Experience with AWS or related cloud technologies Experience in developing and operating high volume, high availability environments
Working understanding of Kubernetes' infrastructure and security best practices Ability to work effectively in a dynamic, occasionally interrupt driven environment that includes geographically spread teams and customers",13d,True,A$75.00 - A$90.00 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Sygna,5.0,Australia,Graduate Engineer,"We are looking for an energetic Graduate Engineer to join our Australia office.
Responsibilities
Responsible for providing technical support for Building / E&M / Testing and Commissioning projects
Requirements
Degree in Engineering / Mechanical / Electrical / Building Services or equivalent
Good interpersonal, communication and problem-solving skills
Good command of both written and spoken English and Chinese and Mandarin",30d+,False,,201 to 500,Company - Private,,,,,1.0,,5.0,5.0,5.0,5.0,5.0,"['""good working culture, well balance between work and personal life."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
uniqueHire PTY LTD,,Sydney,Data Engineer,"Job Title: Lead Data Engineer
Location: Sydney, NSW
Job Type: Fulltime
Job Description:
10+ years of experience - Software engineering, Cloud computing, Databricks and Big Data
Data Engineering, Data Warehousing, Solution Design, Data Analysis, Visualization and Data Modeling",24d,True,A$92K - A$181K (Employer est.),,,,,,,,,,,,,,,,,
