Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Infineon Technologies AG,4.2,Villach,Component Verification and Product Characterization Engineer (f/m/div)*,"You are looking for a new challenge to bring in your broad knowledge of component verification and product characterization? Then this is the right job for you: as our new Component Verification and Product Characterization Engineer you will define verification concepts and supervise measurement test cases. Have we sparked your interest? Then apply now!
You will work in a highly professional team being responsible for the definition of verification concepts and tests in close cooperation with concept engineers, design engineers and test development engineers

In your new job you will:
Define component verification concepts (hard- and software)",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and learning"" (in 153 reviews)', '""salary is good"" (in 158 reviews)', '""Good Benefits for all staff"" (in 68 reviews)', '""Colleagues are friendly and helpful"" (in 106 reviews)', '""Good management"" (in 75 reviews)']","['""Descent pay, work life balance"" (in 153 reviews)', '""The salary for new graduates is low"" (in 158 reviews)', '""No benefits for external/contract based employees."" (in 68 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 75 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
B-612 UK Ltd.,,Vienna,Freelance Hardware/ Data Centre Field Engineer,"REQUIREMENTS
We will consider self-employed contractors only for this position, and as such you will be asked to provide us with proof of your self-employment.
Given the time difference with London, and the nature of the role, it is critical for us to work with highly reactive people, fast to respond to emails and calls, in as well out of working hours - in particular during your onboarding process and when working on tickets/deployments.
THE ROLE & KEY RESPONSIBILITIES
Based in Vienna, the role holder will be focusing on equipment installation; device configuration; maintenance, testing & troubleshooting.",17d,True,€41.65 - €50.90 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Digital Verification (f/m/div)*,"You are looking for a new challenge to bring in your broad knowledge of digital verification? Then this is the right job for you: as our new Digital Verification Engineer you will define verification concepts and supervise measurement test cases. Have we sparked your interest? Then apply now!
In your new job you will:
Translate the product and design requirements to an executable verification plan and maintain it through the project
Align, track and report the implementation of test-benches and stimuli according to the verification plan
Run simulations, analyze results and conduct verification reviews to ensure that requirements are fully met",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and learning"" (in 153 reviews)', '""salary is good"" (in 158 reviews)', '""Good Benefits for all staff"" (in 68 reviews)', '""Colleagues are friendly and helpful"" (in 106 reviews)', '""Good management"" (in 75 reviews)']","['""Descent pay, work life balance"" (in 153 reviews)', '""The salary for new graduates is low"" (in 158 reviews)', '""No benefits for external/contract based employees."" (in 68 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 75 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Product Development for GaN-based ICs (f/m/div)*,"Do you want to get to know the development of high-voltage GaN products (like GaN based HEMTs) and even drive it yourself? Can you further on imagine to extend your activities to multicomponent products consisting e.g. of a switch and a driver IC? As a new team member, you will contribute in our product development projects across different sites. At the same time, you will be responsible for technical work packages, like designing and verifying your own products. This role will bring you in contact with diverse colleagues from all over the world and will give you the chance to share and discuss your ideas with different people.
In your new job you will:
Design & verify analog/mixed-signal circuits to support all phases of product development including concept, testing, application; focus will be on GaN-based ICs for power applications",27d,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and learning"" (in 153 reviews)', '""salary is good"" (in 158 reviews)', '""Good Benefits for all staff"" (in 68 reviews)', '""Colleagues are friendly and helpful"" (in 106 reviews)', '""Good management"" (in 75 reviews)']","['""Descent pay, work life balance"" (in 153 reviews)', '""The salary for new graduates is low"" (in 158 reviews)', '""No benefits for external/contract based employees."" (in 68 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 75 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Villach,Product Application Engineer (f/m/div)*,"You enjoy working in an international team, interacting with multiple different groups? If you are furthermore eager to define and bring to market our new technologies, you should seize the chance to become part of our success story! Join our team as Product Application Engineer, and you will support discrete MOSEFTs and GaN in DC/DC power supply applications.
In your new job you will:
Develop evaluation boards for new discrete and IC products
Perform Fit for Use bench validation in application corner cases, to insure new products / technologies matching with initial specifications
Insure design-win of new discrete and ICs products by providing 3rd level technical support to customers and regional field application engineers",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and learning"" (in 153 reviews)', '""salary is good"" (in 158 reviews)', '""Good Benefits for all staff"" (in 68 reviews)', '""Colleagues are friendly and helpful"" (in 106 reviews)', '""Good management"" (in 75 reviews)']","['""Descent pay, work life balance"" (in 153 reviews)', '""The salary for new graduates is low"" (in 158 reviews)', '""No benefits for external/contract based employees."" (in 68 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 75 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Erste Group Bank AG,4.0,Vienna,Senior Firewall Engineer (all genders),"Location:
Wien
Working hours:
Full-time
Occupational Area:
IT
Company:
Erste Digital
The future of banking is digital, and IT is the key to this change. Erste Digital is the digital enabler that drives innovative IT solutions for Erste Group, the leading banking group in CEE. Our service involves “run the bank” as well as “change the bank” activities. Our more than 2,000 IT experts and enthusiasts deliver best-in-class IT solutions and services to all Erste Group entities and by this directly to Erste Group’s more than 16 million customers. Are you ready to work for one of the most innovative and largest IT companies in the CEE region? Then hit the “apply now” button.",6d,False,,10000+,Company - Public,Financial Services,1819,Banking & Lending,$5 to $10 billion,0.8,0.87,3.5,3.6,3.9,3.5,4.0,"['""Great company with nice benefits like bonus and flexible working hours."" (in 3 reviews)', '""Flexible hours, great benefits, great management"" (in 2 reviews)', '""Good pension workplace, nice benefits, some cool discounts"" (in 1 reviews)']","['""Not a good place to work unless you suck up, no people development, no measurable KPIs, bonuses are given to ""friends"""" (in 3 reviews)', '""Bad management"" (in 1 reviews)', '""Old tech, no innovation, advancement for ""friends"" only"" (in 1 reviews)']",,
Erste Group Bank AG,4.0,Vienna,Security Engineer (all genders),"Location:
Wien
Working hours:
Full-time
Occupational Area:
IT
Company:
Erste Digital
We are part of Erste Group – the largest banking group in Central and Eastern Europe with more than 2,500 branches and over 45,000 employees. Our more than 2,000 IT experts and enthusiasts are the bank's Digital Muscle.",30d+,False,,10000+,Company - Public,Financial Services,1819,Banking & Lending,$5 to $10 billion,0.8,0.87,3.5,3.6,3.9,3.5,4.0,"['""Great company with nice benefits like bonus and flexible working hours."" (in 3 reviews)', '""Flexible hours, great benefits, great management"" (in 2 reviews)', '""Good pension workplace, nice benefits, some cool discounts"" (in 1 reviews)']","['""Not a good place to work unless you suck up, no people development, no measurable KPIs, bonuses are given to ""friends"""" (in 3 reviews)', '""Bad management"" (in 1 reviews)', '""Old tech, no innovation, advancement for ""friends"" only"" (in 1 reviews)']",,
"ESRI, Inc.",4.1,Vienna,Sr. Software Development Engineer – C++,"Overview:
As an enthusiastic and talented C++ software developer, you will join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. In the past few years, Esri has put a large effort into making indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.

At the Esri R&D Center in Vienna, Austria, we lead the research and development of cutting-edge indoor positioning systems technologies. By combining radio signal data from Bluetooth Low Energy beacons and Wi-Fi with trajectory information derived from sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Requirements:
Recommended Qualifications:
The Company:",30d+,False,,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.83,0.91,3.7,3.5,4.2,3.7,4.2,"['""FULLY PAID insurance premiums for employee AND family (Once you factor this in, pay is very competitive for region — at other companies, I’ve paid $7k+/year in health insurance premiums)"" (in 64 reviews)', '""Great people, strong collaboration efforts, pushed to find you own path"" (in 55 reviews)', '""Work life balance is great"" (in 42 reviews)', '""The benefits are good."" (in 38 reviews)', '""1. Great work culture"" (in 42 reviews)']","['""Pay is low for what the local housing market is demanding."" (in 64 reviews)', '""Old people; doesn\'t care."" (in 55 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 38 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
"ESRI, Inc.",4.1,Vienna,Android Mobile Developer,"Overview:
Join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. Esri makes indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.
The Esri R&D Center in Vienna, Austria leads the research and development of cutting-edge indoor positioning systems technologies used in ArcGIS IPS. By combining radio signal data from Bluetooth low energy beacons and Wi-Fi with trajectory information derived from motion sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Shape the way users of the ArcGIS Runtime SDK for Android consume our cutting-edge Indoor Positioning Technology (IPS) and enable them to build unique experiences
Requirements:
Recommended Qualifications:
The Company:",30d+,False,,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.83,0.91,3.7,3.5,4.2,3.7,4.2,"['""FULLY PAID insurance premiums for employee AND family (Once you factor this in, pay is very competitive for region — at other companies, I’ve paid $7k+/year in health insurance premiums)"" (in 64 reviews)', '""Great people, strong collaboration efforts, pushed to find you own path"" (in 55 reviews)', '""Work life balance is great"" (in 42 reviews)', '""The benefits are good."" (in 38 reviews)', '""1. Great work culture"" (in 42 reviews)']","['""Pay is low for what the local housing market is demanding."" (in 64 reviews)', '""Old people; doesn\'t care."" (in 55 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 38 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
Talentbase,4.1,Vienna,Junior Data Warehouse und BI Engineer,"Hey, wir sind Talentbase!
Wir finden Teilzeitjobs und Praktika für Student:innen im Data Science und Engineering Bereich. Wir arbeiten mit Unternehmen aus allen Branchen zusammen, so dass du 15-20h pro Woche oder auch Vollzeit arbeiten und deine Fähigkeiten als Student:in verbessern kannst.
Dein Profil
Du bist Student:in im Bachelor/Master Informatik, AI, Wirtschaftsinformatik, Data Science, Software Engineering, Statistik, Mathematik, Physik, BWL, Economics, Quantitative Finance oder Ähnliches.
Du brennst für Data Science und hast bereits erste Erfahrungen im Studium und an eigenen Projekten gesammelt und willst jetzt durchstarten.",11d,True,€3K (Employer est.),1 to 50,Company - Private,,,,,0.46,,4.1,3.9,3.5,3.6,2.7,"['""Smart colleagues, Snacks in frigde"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
