Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Torfs,3.8,Sint-Niklaas,Data Engineer (met affiniteit voor Data Science),"Wie zijn wij?
Voor het continu verbeteren van haar klantenbenadering en bedrijfsprocessen werkt Schoenen Torfs actief met de vele data die ze permanent vergaart vanuit haar winkels, webshop en verschillende departementen. Om de data-gedreven processen efficiënt te kunnen blijven beheren en aansturen, zoeken we een enthousiaste Data Engineer met ervaring.

Je zal Torfs’ datateam versterken en een sleutelrol spelen in de ontwikkeling van strategische data oplossingen gebaseerd op best-in-class data- en analytics-principes. Je zal een actieve rol spelen in het ontwerpen en bouwen van big data pipelines, en van de technische onderbouw nodig voor de data flow naar verschillende modellen en rapporten doorheen het bedrijf.

Je rol omvat:
Het bouwen en onderhouden van data pipelines.
Het analyseren en verbeteren van efficiëntie, schaalbaarheid, betrouwbaarheid en prestaties van de data infrastructuur.
Het automatiseren van analytics en data science in bestaande business processen en applicaties.
Indien interesse en kennis, kan ruimte gemaakt worden om het takenpakket aan te vullen met advanced data analytics (exploratie, segmentatie, modelling).
Wie ben jij?
Je hebt een master in computer science engineering of business engineering optie data analytics, of je niveau is gelijkwaardig door ervaring.
Je beschikt 3+ jaar hands-on ervaring met de volgende componenten uit de Microsoft stack:
Synapse (pipelines, notebooks, serverless sql...), Azure analysis services, Azure log analytics, Azure automation, Data lake storage, SQL Database, Databricks…
Power BI (DAX, Report builder, Tabular Editor, Analyze in Excel, Power Apps, Power Automate
Project Management, version control, pipelines
Je hebt 5+ jaar hands-on ervaring met SQL en Python. PySpark ervaring is een plus.
Ervaring met SSIS is een pluspunt.
Ervaring met data science en machine learning models is een pluspunt.
Je bent constant op zoek om bij te leren en je volgt de trends in de data community.
Wat vind je bij ons?
We bieden een boeiende uitdaging binnen een state-of-the-art data architectuur waarin on-premise en cloud oplossingen gekoppeld zijn over technologieën van Microsoft, Google, Salesforce, Databricks en externe toepassingen.

Je zal deel uitmaken van een jong, dynamisch en professioneel team, waarin je ondersteund wordt om jezelf verder te ontwikkelen, zowel op inhoudelijk vlak (via on the job en extern trainingen) als op persoonlijk vlak. Uiteraard biedt Torfs een marktconforme verloning.",30d+,False,,,,,1948,,$100 to $500 million,0.75,0.87,3.5,4.0,4.1,3.6,3.1,"['""Veel appreciatie van je manager"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Stichting Kankerregister,,Sint-Joost-Ten-Node,data manager,"De Stichting Kankerregister, gelegen in het hart van Brussel, is een dynamische
organisatie, die verantwoordelijk is voor het verzamelen, de kwaliteitscontrole, de
verwerking en de analyse van kankerregistratiegegevens.
Om het team van data collection and processing te versterken, zijn we op zoek naar
Een data manager junior (M/V)
Voorstelling van het Data Collection and Processing team
Sinds de oprichting in 2005, werden de opdrachten van de Stichting Kankerregister verder uitgebreid om te komen tot een volledig en kwalitatief netwerk voor de kankerregistratie en eveneens voor de pathologische onderzoeken in het kader van de vroegtijdige opsporing van baarmoederhals-, borst- en dikke darmkanker.",30d+,True,,,,,,,,,,,,,,,,,,
VITO,4.1,Belgium,Python Engineer on FAIR Data,"As an internationally recognized research center, VITO accelerates the transition to a sustainable world. Its world class Health team puts data and scientific innovation at the service of a healthier society. As a Python Engineer, you play a key role in PARC, a European partnership on chemical risk assessment with strong ambitions in FAIR Data reuse. We work with state-of-the-art technology and a lot of freedom to choose the best tools for the job (Docker, RDF, Airflow, Python -of course :-)-, WebAssembly, React, etc.) and we support EU-wide stakeholders in assessing the impact of chemicals on human health by setting up data repositories & flows and distributed services. Your software solutions will improve the accessibility, interoperability, and reuse of health data across and within organizations.
Some of your daily activities:
You gather requirements and needs from data users and map them to the FAIR principles.",7d,False,,501 to 1000,Company - Private,Management & Consulting,1991,Research & Development,$100 to $500 million,0.99,0.77,3.5,4.2,3.9,3.3,4.4,"['""Friendly people."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Traxial (a Magnax company),,Kortrijk,Electromagnetic Simulations Engineer,"Traxial is looking for an experienced Electromagnetic Simulations Engineer to join our rapidly growing team. You will be taking responsibility for the electromagnetic simulations of our axial flux motors and inverters.
This is what you’ll do:
Develop and implement electromagnetic simulations for our axial flux motors and inverters.
Analyze simulation results to determine performance characteristics and identify areas for improvement.
Continually improve our simulation methodologies to reduce development times and improve the accuracy of the test data correlation.
Collaborate with cross-functional teams, including simulations, and mechanical and prototyping engineers, to optimize the motor design.",26d,True,,,,,,,,,,,,,,,,,,
Telenet,3.9,Mechelen,Senior Big Data Engineer,"Telenet is always looking to improve their business by leveraging the wide variety of data assets. With more than 1,7 million broadband internet and video customers and over 5 million customer interactions per month, Telenet has a very diverse data availability across the entire organization (e.g. network data, customer and product data, customer interaction data).
We are looking for multiple Big Data Engineers to become a part of our Data Engineering Chapter existing of over 50 Engineers, who turn raw data into trustworthy analytical datasets that are used by other data colleagues to inspire, challenge and support business discussions and decisions with actionable insights, models and reporting.
Key Responsibilities:
Key overall responsibility is to translate complex and large datasets and data processes into structural data solutions to optimize key business and operational use cases, mitigate compliance and create value for business stakeholders and other data colleagues. This typically includes the following activities:",30d+,False,,1001 to 5000,Company - Public,Telecommunications,2002,"Cable, Internet & Telephone Providers",$1 to $5 billion,0.81,0.83,3.1,3.8,3.9,3.3,3.9,"['""Ultra nice perks from salary, 13th, 14th month salary, bonus and a lot of other stuff"" (in 3 reviews)']","['""bad culture not appropriate"" (in 1 reviews)', '""Ultra bad management."" (in 1 reviews)']",,
ICT Talents,,Brussels,System Engineer,"Introductie

Zitten openheid, eerlijkheid en wederzijds respect in je DNA en bezit je hierbovenop de juiste skills? Dan voel je je bij ons ongetwijfeld als een vis in het water. Bij ICT Talents streven we naar een samenwerking op lange termijn en mag je je als consultant verwachten aan een open communicatie bovenop een persoonlijke aanpak.

De boog kan niet altijd gespannen staan. ICT Talents is ook een flinke portie fun. Neem zeker eens een kijkje op onze sociale media om van de sfeer te proeven!

Jobomschrijving

Als System Engineer zorg je ervoor dat de ICT-infrastructuur altijd up and running is. Je ontwerpt en onderhoudt zowel hardware als systeemsoftware en het optimaliseren van de bestaande systemen zit voortdurend in je achterhoofd.

Uitgerolde systeemoplossingen documenteer je zorgvuldig. Nieuwe installaties, uitbreidingen en migraties worden door jou tot in de puntjes voorbereid en uitgevoerd.

Ook moeilijkere incidenten en software/hardwarematige problemen ga je niet uit de weg.

Herken jij je in het onderstaande?


Windows server (2008/2012/2016)

Powershell/VBscript

Active directory

Public and private Cloud technologieën

Office 365 configuratie en administratie

Exchange Server

Algemene netwerkkennis, routing en switching

Vmware, HyperV, …

Profiel

Beschik je daarnaast ook over de volgende talenten, dan moeten we zeker eens praten:

Analytisch denken hoort onlosmakelijk bij jou.

Vlotte communicatie, teamwork, klantgerichtheid en probleemoplossend denken behoren tot je DNA.

Je hebt uitstekende kennis van het Nederlands. Frans en Engels rollen er ook vlot uit. That's really un gros avantage!

Je hebt een informaticagerelateerd diploma op zak of hebt al enige ervaring op de teller.

Je rijbewijs B is in the pocket.

Aanbod

What’s in it for you?
Heel wat! Je komt terecht in een groeiend en mensgericht bedrijf binnen de ICT-consultancy. Reken op een familiale sfeer, waarbij jij als individu belangrijk bent. We doen er dan ook alles aan om je je goed te laten voelen.
Al 14 jaar lang dragen we openheid, eerlijkheid en wederzijds respect hoog in het vaandel. Bij ons dus geen one shots, maar een samenwerking op lange termijn.


Een bruto maandloon op basis van jouw ervaring.

Maaltijdcheques van 8 euro.

Een maandelijkse netto vergoeding voor internet.

Bedrijfswagen in de categorie van BMW 1 & een tankkaart die ook privé kan gebruikt worden.

GSM-abonnement met ongelimiteerd bellen, sms'en en Data.

Hospitalisatieverzekering waar je ook jouw gezin op kan inschrijven.

Een informele werksfeer met ruimte voor eigen initiatief.

Persoonlijke aandacht en begeleiding waardoor je de mogelijkheid hebt om jezelf te ontplooien, certificaten te halen en je kennis te versterken.
Interesse?

Stuur ons een berichtje en we zitten zo snel mogelijk rond tafel!",30d+,False,,51 to 200,Company - Private,,,,,,,,,,,,,,,
Barry-Wehmiller International,3.8,Zellik,Mechanical Design Engineer (Hudson Sharp),"About us
BW Flexible Systems UK Limited is a small business in 1731 Zellik. We are professional, agile, and our goal is to Barry-Wehmiller is a diversified global supplier of engineering consulting and manufacturing technology for the packaging, corrugating, sheeting and paper-converting industries. By blending people-centric leadership with disciplined operational strategies and purpose-driven growth, Barry-Wehmiller has become a $3 billion organization with nearly 12,000 team members united by a common belief: to use the power of business to build a better world.
This position is office based in our Zellik area of Belgium / Must have good level of English & Dutch language and willingness to travel regularly to our German facility.
Our work environment includes:",30d+,False,€6K (Employer est.),5001 to 10000,Company - Private,Manufacturing,1885,Machinery Manufacturing,$1 to $5 billion,0.79,0.81,3.3,3.1,3.8,3.2,3.5,"['""Good place, work life balance"" (in 6 reviews)', '""some offices are nice and not bleak, some people are intelligent thinkers."" (in 4 reviews)', '""Job Security is very good"" (in 7 reviews)', '""Culture is good"" (in 3 reviews)']","['""work life balance is low"" (in 6 reviews)', '""Pay is low, management is inept."" (in 7 reviews)']",3.0,"['Health Insurance (5 comments)\n""Ok Insurance, but employee costs are 3 times national average.""', '401K Plan (3 comments)\n""Pretty standard match, but you vest immediately""', 'Vacation & Paid Time Off (3 comments)\n""PTO is ok, but it includes sick time. With Sick time included, if you get sick at all, the vacation time is insufficient.""']"
Infrabel,4.1,Brussels,ICT Traineeship - Data & Data Analytics,"DE JOB

Ben je laatstejaarsstudent, of heb je al je diploma op zak en maximaal twee jaar werkervaring? Infrabel biedt jou namelijk de kans om deel te nemen aan het ICT Traineeship, een programma dat jou helpt je eerste stappen te zetten in de bedrijfswereld.

Je krijgt een contract van onbepaalde duur voor een specifieke functie en vanaf september 2023 tot januari 2024 neem je ongeveer één dag per week deel aan activiteiten die in het kader van het Traineeship worden georganiseerd.",30d+,False,,10000+,Company - Public,Transportation & Logistics,2005,Rail Transportation,$1 to $5 billion,0.89,0.95,3.9,3.8,3.9,3.5,4.1,"['""Flexibiliteit, work life balance , opleidingen, doorgroeimogelijkheden"" (in 4 reviews)', '""Good pay, you don\'t have to work hard, they take good care of you"" (in 2 reviews)', '""good pay, good IT good benefits"" (in 1 reviews)']","['""Management is ouderwets en ouderwetse structuren."" (in 4 reviews)', '""Working with old tech, no good communication between departments"" (in 4 reviews)']",,
Securitas,3.2,Brussels,Field Engineer,"Naast statische en mobiele bewaking is Securitas sinds een klein decennium uitgegroeid tot de marktleider voor Security Technology/ICT diensten. Dankzij een volledig ""converged"" security aanbod, weet Securitas zich te differentiëren van de andere spelers in de markt.

Als Field Engineer maak je deel uit van het Technology team om nieuwe beveiligingsoplossingen te realiseren bij jouw klant (regio Waals-Brabant).
Jouw focus ligt op het configureren en integreren van bestaande en nieuwe security systemen binnen de infrastructuur van de klant.
Je werkt grotendeels on site bij de klant, maar je kan ook ingeschakeld worden om problemen remote te analyseren en op te lossen vanop ons hoofdkantoor te Neder-Over-Heembeek.",30d+,False,,10000+,Company - Private,Management & Consulting,1934,Security & Protective,$10+ billion,0.55,0.57,2.9,2.8,2.8,2.7,2.9,"['""Good pay that\'s adjusted based on area eg: city contracts pay more than rural."" (in 910 reviews)', '""good management and they understand life happens."" (in 607 reviews)', '""Flexible hours and over time"" (in 518 reviews)', '""Benefits were good and affordable"" (in 379 reviews)', '""The people were great to work with"" (in 329 reviews)']","['""The pay is low and most of the people you will work with aren\'t serious about their job."" (in 910 reviews)', '""Long shift poor management 11 hours"" (in 607 reviews)', '""At times long hours and short deadlines"" (in 518 reviews)', '""no benefits from the job"" (in 379 reviews)', '""Always put other people first"" (in 329 reviews)']",2.4,"['Job Training (58 comments)\n""Nice training programs with certification""', 'Health Insurance (37 comments)\n""Good for self not family""', 'Vision Insurance (21 comments)\n""Did not have any vision insurance. Must be decent""']"
MITIS,,Angleur,Senior R&D Test Engineer (Fuel cells),"Our ambition is to contribute by our technology to reduce GHG emissions.
Our mission is to develop energy converters for the transition to decentralized, low emissions and efficient energy production. www.mitis.be
We are HIRING a Senior R&D Test Engineer (Fuel cells)
We are looking for an experienced experimental test engineer to support our team in its
R&D and innovation mission.
The focus of testing team is to support the R&D of the company by providing reliable and repetitive experimental results for various energy generation systems.",5d,True,,,,,,,,,,,,,,,,,,
