Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Trolley,5.0,Toronto,Analytics Engineer,"Trolley is the payouts platform for the internet economy. Our vision is to unlock the collective economic opportunity of the internet – for everyone – by building a truly global payouts ecosystem. Through our powerful platform and API, Trolley enables businesses to reach workers from all corners of the world and offers creators, on-demand workers, and suppliers the ability to bring their specialized talents to a global market. Businesses use Trolley to automate and manage payouts, collect recipient tax and banking information, and mitigate fraud and risk. The payouts solution of choice for hundreds of businesses, Trolley has made payouts to over 1.1 million different musicians, artists, makers, vendors, and suppliers around the world.

Trolley is seeking a self-driven, analytical individual to join our team as an Analytics Engineer. Reporting to the VP of Product, this role manages the end-to-end data pipeline. You will empower data-informed decisions for the Trolley team and our customers. The ideal candidate will have experience with the toolset required (ELT, Warehousing, BI, etc) and have driven healthy data cultures across organizations.",30d+,True,CA$65K - CA$75K (Glassdoor est.),51 to 200,Company - Private,Financial Services,2015,Financial Transaction Processing,,1.0,1.0,4.8,4.5,5.0,5.0,5.0,"['""They have invested in the right tools, training, and support their employee\'s growth opportunities."" (in 1 reviews)', '""Management actually cares about people."" (in 1 reviews)', '""Strong leadership"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
ALLUDO,3.7,Toronto,BI Engineer,"BI Engineer
Push the boundaries of tech. In your sweatpants.
Alludo is looking for an experienced BI Engineer to help us change the way the world works. Here, you’ll facilitate the advancement of our analytical capabilities. We are moving from “what was/is” to Predictive modeling and Business optimization. This role will be the key to establishing and developing the data science capabilities at the company.
The top creative and technical minds could work anywhere. So why are so many of them choosing Alludo? Here are three reasons:

It’s an exciting time at Alludo, with new leadership, a refreshed brand (you probably know us as Corel!), and a whole new approach to changing the way the world works. We’re at the forefront of a movement, and we want you to ride this wave with us.",30d+,True,,501 to 1000,Company - Private,Information Technology,1985,Computer Hardware Development,$100 to $500 million,0.51,0.79,3.4,3.4,3.7,3.5,3.7,"['""Good Team to work with"" (in 1 reviews)', '""The friendly working environment that could support me in getting enough communication"" (in 1 reviews)']","['""Pay is very low compared to similiar sized orgs."" (in 2 reviews)']",3.0,"['Work From Home (4 comments)\n""Overall positive. They provided good equipment and stipend to offset expense.""', '401K Plan (3 comments)\n""Easy to contribute. The administrator does a good job.""']"
Best Buy,3.8,Vancouver,Analytics Implementation Engineer,"Analytics Implementation Engineer
Do you have a passion for data and analytics?
As an Analytics Implementation Engineer on the Data & Analytics team, you will play a critical role enabling data collection for key business objectives and improving our implementation, you will be involved in the entire implementation process and play an active role in helping to define and execute on our analytics roadmap.
We practice a remote first working model, leveraging in person interactions at our head office, in beautiful Vancouver, BC, for strategic, collaborative, and social purposes.
Apply now and grow your career with our Data & Analytics team as an Analytics Implementation Engineer.
What you’ll do:
Work cross-functionally with analysts, agile development teams and business stakeholders to ensure tracking is in place for key business objectives",30d+,False,CA$88K - CA$94K (Glassdoor est.),10000+,Company - Public,Retail & Wholesale,1966,Consumer Electronics & Appliances Stores,$10+ billion,0.67,0.45,3.3,3.4,3.6,3.2,3.4,"['""Good pay for new employees"" (in 136 reviews)', '""Good management"" (in 82 reviews)', '""Good discount and benefits"" (in 73 reviews)', '""Flexible hours and discount."" (in 77 reviews)', '""The coworkers are great and know how to make a bad day turn out better."" (in 112 reviews)']","['""low pay not worth the stress"" (in 136 reviews)', '""Bad management and lots of drama"" (in 82 reviews)', '""Bad benefits"" (in 73 reviews)', '""Long hours and lots of standing"" (in 77 reviews)', '""Some coworkers weren\'t so friendly but I think this varies by location."" (in 112 reviews)']",3.7,"['Employee Discount (1348 comments)\n""Cheap accessories and other gadgets""', '401K Plan (332 comments)\n""4% match and decent options for investments""', 'Health Insurance (203 comments)\n""Decent options, additional ppl suck""']"
War Room Holdings,4.4,Vancouver,Analytics Implementation Engineer,"Vancouver, BC
Full Time, Hybrid

Who We Are.
We are a highly specialized programmatic advertising agency. We focus 100% of our efforts on digital media buying.
It’s how we exceed conversion goals in nearly every campaign we run and why our clients include some of the biggest companies in North America.
We know that happy employees = exceptional work and client satisfaction. That’s why we’ve created an environment that is welcoming and inspiring for all team members. We value your aspirations, and we’ll regularly help you set goals to achieve those milestones.",30d+,False,CA$57K - CA$71K (Glassdoor est.),1 to 50,Company - Private,Media & Communication,2010,Advertising & Public Relations,,0.83,0.83,4.3,4.3,4.3,4.3,4.2,"['""The people here are amazing"" (in 14 reviews)', '""friendly office!"" (in 6 reviews)', '""Another amazing thing about this company other than the amazing employees and opportunities for growth is how diverse and inclusive they are."" (in 2 reviews)', '""➡ Very well organized team since every single campaign is managed and launched by at least 4 people to make sure everything is running smoothly (Campaign Manager, Data Analyst, Account Manager, and an assistant campaign manager)"" (in 7 reviews)']","['""The team is open for communication if there’s anything you’re unsure of."" (in 8 reviews)']",,
Algoma Steel Inc.,4.0,Sault Ste. Marie,Process Analyst Engineer - Steel Plant,"Process Analyst Engineer – Steel Plant
Algoma Steel Inc.
Sault Ste. Marie, Ontario Canada
The Company
Based in Sault Ste. Marie, Ontario, Algoma has a proud history as a leading manufacturer of hot and cold rolled steel sheet and plate products. We are Canada’s only discrete plate producer and one of the lowest-cost producers of hot-rolled sheet steel in North America owing in part to our state-of-the-art Direct Strip Production Complex. Our steel is used in construction, mining, manufacturing, automotive, shipbuilding, and energy sectors including renewable energy and military applications. Today’s steel industry is rapidly evolving and so are we, transitioning to electric arc steelmaking technology that will position Algoma as one of North America’s leading producers of green steel, bringing low-carbon steel products to market, shrinking our environmental footprint, and securing a more sustainable future.",5d,True,CA$71K - CA$92K (Glassdoor est.),1001 to 5000,Company - Private,Manufacturing,1901,Metal & Mineral Manufacturing,$1 to $5 billion,0.7,0.69,3.7,4.2,3.3,3.2,3.7,"['""Great learning opportunity to understand integrated steel manufacturing process"" (in 1 reviews)', '""Excellent colleagues"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
SS&C,3.2,Toronto,Financial Engineer/ACM Business Analyst,"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.
Job Description
Job Title: Financial Engineer / Business Analyst or SME
Location: Toronto, ON Canada
Get To Know The Team:
SS&C Technologies, Inc. (known as SS&C) is an American multinational financial technology company that provides software and software as a service to the financial services industry. The company has offices globally including the Americas, Europe, Asia, Africa, and Australia. Through its numerous acquired subsidiaries, such as Advent Software, Varden Technologies, Eze Software, and Primatics Financial, SS&C specializes in specific fintech markets, such as fund administration, wealth management accounting, and insurance and pension funds. SS&C acquired Algorithmics in 2019.",10d,False,CA$97K - CA$102K (Glassdoor est.),10000+,Company - Public,Information Technology,1986,Information Technology Support Services,$1 to $5 billion,0.42,0.5,2.8,2.8,2.7,2.6,3.2,"['""Flexible workplace, remote working, good package, salary great"" (in 45 reviews)', '""Some good people."" (in 30 reviews)', '""Work life balance is good"" (in 31 reviews)', '""Good culture, great place to feel responsibleties"" (in 32 reviews)', '""Good benefits &amp; pay."" (in 16 reviews)']","['""Long hours, Saturday working, low salary"" (in 45 reviews)', '""Shareholder driven so no investments in developing people"" (in 30 reviews)', '""There’s no work life balance unless you like chugging down coffee & energy drinks to keep you going!"" (in 31 reviews)', '""Bad culture"" (in 32 reviews)']",3.7,"['401K Plan (69 comments)\n""It\'s Match and immediate vesting""', 'Health Insurance (63 comments)\n""Good plan with cigna ppo is provided""', 'Vacation & Paid Time Off (41 comments)\n""open ended, not min or max""']"
Fidelity International,4.3,Canada,Lead Analytics Solutions Engineer,"About the opportunity
Department Description
FIL General Counsel Technology is responsible for providing IT solutions to the Risk, Compliance, Legal, Audit and Tax functions. These are global functions comprised of approximately 400 employees based in 26 countries. General Counsel Technology partners with its business stakeholders to identify their requirements and develop/implement technology solutions. This includes on-premise, SaaS and AWS solutions, both in-house built and vendor provided. There is a strong focus on data analytics, workflow and automation tools to bring greater efficiencies to these functions. Together with this there is continued move towards greater use of Agile and DevOps practices. The GC Technology team itself consists of approximately 40 people based in both the UK and India.
Purpose of the Role
As a Lead Analytics Solutions Engineer you will be responsible for architecting, implementing and deploying multi-scale data analytics platform solutions as well as building and mentoring high-performing analytics engineering teams. You will work with cloud technologies, developing and overseeing analytics systems and processes.",30d+,False,,5001 to 10000,Company - Private,Financial Services,1969,Investment & Asset Management,,0.89,0.96,4.0,4.1,4.4,3.9,4.3,"['""Management good"" (in 15 reviews)', '""Pay is okay, work life balance good."" (in 12 reviews)', '""Great company culture and great progression opportunities."" (in 22 reviews)', '""All the support from senior leaders and really friendly colleagues"" (in 16 reviews)', '""Workforce human and highly knowledgeable, private company, corporate culture, capabilities and research engine"" (in 21 reviews)']","['""3. Very bias and bureaucratic management"" (in 15 reviews)', '""recruiters and fidelity both told me and multiple colleagues that it would be 100% wfh."" (in 16 reviews)']",4.4,
Deloitte,4.0,Toronto,"Analyst/Senior Associate, AML - Financial Engineering & Modeling (FEM)","Job Type: Permanent
Reference code: 122995
Primary Location: Toronto, ON
All Available Locations: Toronto, ON

Our Purpose

At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Our Purpose is to build a better future by accelerating and expanding access to knowledge. Purpose defines who we are and gives us reason to exist as an organization.",30d+,False,,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.94,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 4640 reviews)', '""Very hard working depending on projects and time but good salary"" (in 3162 reviews)', '""Culture is good and inclusive"" (in 2577 reviews)', '""The people are great and smart!"" (in 2022 reviews)', '""Benefits are good if you interested in stocks and investing."" (in 1263 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 4640 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 3162 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 2577 reviews)', '""Inflated egos at times but mostly good people"" (in 2022 reviews)', '""No benefits and many hours of unpaid work."" (in 1263 reviews)']",4.2,"['Health Insurance (765 comments)\n""A lot of options. Just wish it were cheaper.""', 'Vacation & Paid Time Off (640 comments)\n""vaation and paid time off is fine""', '401K Plan (423 comments)\n""401k has gotten better, but more matching would be ideal.""']"
York University,4.1,Toronto,Business Analyst & Process Engineer,"Purpose:
Accountable to the Manager, Operational Excellence, the Business Analyst and Process Engineer (BAPE) is responsible for supporting the PMO in servicing the customers, clients and stakeholders of York University. The BAPE provides subject matter and execution expertise in Lean, Six Sigma (or Lean Six Sigma) and business analysis disciplines. The BAPE provides counsel to University leadership on various topics ranging from business plans, policy and processes to staff levels and their roles. The BAPE is an agent of change leveraging best practices to affect them.Exposure to, and use of, sensitive and confidential financial and HR data for process development and re-engineering activities requires that the BAPE exercise strong judgement and discretion when disclosing information to a wider audience.

Education:
University degree preferably in business, engineering or computing. Green Belt Certification or higher in Lean Six Sigma or Six Sigma.Business Analyst Training/Certification. CCBA or CBAP certification an asset.Proficient in the use MS Project, MS Visio, MS Office (Word, Excel, Power Point, Access).Change Management certification (e.g. ProSci/ADKAR methodology) an assetKnowledge of collaborative systems such as Confluence and Basecamp an asset.


4+ years of progressive experience in Business Analysis and/or Process (Re-)Engineering roles with project responsibilities, and a good understanding of project management methodologies, work-flow/process design and re-engineering. cost/benefit analysis for medium, large or complex systems.Thorough knowledge of system and process analysis with demonstrated experience and expertise in requirements management, process development/re-engineering and testing skills including information gathering, problem solving, and test plan creation and execution.Proven experience in process and system analysis, documentation/validation of business requirements from business users and functional specification requirements using interviews, documented analysis, tasks and workflow analysis.Experience in the development and execution of project plans, detailed task lists (project Gantt) and time estimating.Demonstrated analytical and decision making ability.Strong written, verbal and presentation skills.Proven accuracy and attention to detail.Strong interpersonal skills and the ability to work effectively in a team environment.Good knowledge of system development lifecycle, methodologies, standards, tools and techniques. Ability to identify opportunities to use technology to add value and recognize and present opportunities for adoption of process efficiencies through automation to replace existing manual work (i.e. process re-engineering). Experience in project management and system implementation processes. Experience in a Higher Education is an asset.


Research and Analytical skills: Superior data gathering, elicitation, analytical and problem solving skills. highly skilled in evaluation of information gathered from multiple sources (including internal and external leading practices). Ability to reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs.Problem Solving: Demonstrated ability to identify optimal solutions based on the analysis of causes.Process Re-engineering: Thorough knowledge of process development and re-engineering best practices in a business to business environment to lead, cross-functional teams to analyze, develop, re-engineer and implement business workflow processes to support business products and services.Process Mapping and Design: Ability to gather input from diverse user groups and develop current/future state process maps.Conceptual Thinking: Ability to make the complex simple or link together things not obviously related.Written communication: Strong writing skills to support business recommendations and proposals. Communicating details such as the business requirements, requested changes, issues with impact assessment and recommendations.Strong oral presentation skills: Excellent verbal communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts. Ability to clearly convey complex concepts and constructs in a straightforward manner.Results oriented: Demonstrated initiative. delivers results. continuously improves. displays a dynamic approach, energy and enthusiasm. Flexible: Adaptable to different circumstances. receptive to change. willing to learn. takes on additional responsibility as required. able to change priorities. Effective planning and organizational skills with the ability to adapt to change and perform effectively under pressure.Judgment: Considers context. weighs options. understands priorities, consequences. makes appropriate decisions. Conscious of audience and disclosing of confidential information when discussing process re-engineering and introduction of technological change and automation that will impact staff and work assignments.Creativity: Ability to present new ideas. looks at things in a new way and shares ideas. novel approach to existing processes or problems. Initiative: Self-starter: perceives a need and fulfills it in a relevant way. Set high personal performance standards with a demonstrated ability to plan, organize and implement activity with little to no direct supervision.Manages change: Plans for and is proactive about change. encourages new approaches. Ability to work effectively in an environment of conflicting priorities, shifting management structures, scope changes and to adjust priorities as required. Tact and diplomacy: Ability to work within a complex organizational framework. comfortable tabling difficult conversations to further positive outcomes, including recommending changes in business methods and processes that will impact staffing levels and resource allocation.


This position requires the candidate to produce a verification of degree(s), credentials(s), or equivalencies from accredited institutions and/or international equivalents at the time of interview.
York implemented a revised CPM Compensation Framework in 2019. The Framework is a salary grid consisting of 6 or 8 steps (depending on job grade) which is reviewed annually with possible adjustments, and a lump sum Performance Based Recognition Award. Employees will receive the grid adjustment and depending on performance, eligible permanent employees may move to the next step of the grid and may receive a lump sum Performance Based Recognition Award.Visit the CPM Compensation page on the HR Website to find out more about York's CPM Compensation Program.",30d+,False,CA$94K - CA$103K (Employer est.),5001 to 10000,College / University,Education,,Colleges & Universities,$1 to $5 billion,0.77,0.77,3.7,3.8,3.8,3.6,3.9,"['""Benefits are great!"" (in 4 reviews)', '""Great Work life balance"" (in 2 reviews)', '""Open inclusive environment and excellent career dev"" (in 5 reviews)']","['""boring, low compensation, and uncertainty"" (in 4 reviews)', '""no breaks, fast paced, strict policy about limited socializing"" (in 4 reviews)']",4.0,
Bombardier,3.8,Dorval,Business Analyst Engineering Budget Planning,"Business Analyst Engineering Budget Planning -MON20320
Description
BOMBARDIER
Bombardier is a global leader, creating innovative and game-changing planes. Our products and services provide world-class transportation experiences that set new standards in passenger comfort, energy, efficiency, reliability and safety. We are a global organization focused on working together with a team spirit.
In your role, you will:
Be part of a dynamic team who manages and improves the Engineering budget process
Understand, analyze and monitor the Engineering spend profiles for individual aircraft projects",30d+,False,,10000+,Company - Public,Aerospace & Defense,1942,Aerospace & Defense,$10+ billion,0.68,0.88,3.5,3.6,3.4,3.1,3.6,"['""Salary is good"" (in 21 reviews)', '""Benefits were decent"" (in 12 reviews)', '""Great people to work with"" (in 23 reviews)', '""Good work life balance"" (in 13 reviews)']","['""As mentioned in the ‘Pros’, high salaries encourage people not to leave the company."" (in 21 reviews)', '""Comparatively Lower salaries, not big on benefits"" (in 12 reviews)', '""not living up to work life balance mantra"" (in 13 reviews)', '""Political and Crazy environment, culture"" (in 19 reviews)']",3.6,"['Health Insurance (25 comments)\n""excellent benefits with atnea insurance""', '401K Plan (18 comments)\n""Employer match of 401K contributions.""', 'Vacation & Paid Time Off (16 comments)\n""Don\'t compare to European packages in terms of vacation.""']"
