Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
EUMETSAT,3.4,Prague,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",20d,False,CZK 8K (Employer est.),201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.5,0.49,2.4,3.7,2.9,2.6,3.1,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""International working environment, friendly people, decent working conditions and income."" (in 4 reviews)', '""Compensation and benefits package, multicultural environment, great canteen."" (in 4 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 6 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)']",,
Hill's Pet Nutrition,4.1,Hustopeče,Technical Systems Manager,"Relocation Assistance Offered Within Region
# 152230 - Hustopece, Jihomoravský kraj, Czech Republic
Job Summary:
The Technical Systems Manager is responsible for a) the coordination of the equipment & buildings project implementation b) the oversight of the Maintenance and Electrical/Control departments c) supervision of the Packaging Engineering d) initiating & driving CI-activities at all areas of his responsibility.
He/She stays abreast of plant performance trends versus major KPI goals and leverages all resources from the respective departments, as well as by CI (Continuous Improvement)-activities that improve plant performance and/or to derive need for , & content of, future capital program. He/She develops and manages the overall plant capital budget and the plant maintenance budget. He/She must ensure successful execution of the plant capital program which can include multiple projects with varying scope, timelines and capital expenditures. In parallel he/she has to ensure effective execution of the Planned Maintenance program. The Technical Systems Manager will also ensure that all engineering aspects of projects as well as associated documentation are in compliance with local, Colgate/Hill’s, legal and EOHS regulations.",19d,False,,1001 to 5000,Company - Public,Manufacturing,1907,Consumer Product Manufacturing,$1 to $5 billion,0.74,0.76,3.8,4.4,4.0,3.6,3.6,"['""Great benefits with the Colgate"" (in 36 reviews)', '""Best work/life balance, management was great, culture was no stress."" (in 17 reviews)', '""Good Pay but that’s about it."" (in 27 reviews)', '""Great people"" (in 22 reviews)', '""Good Culture"" (in 14 reviews)']","['""No work/ life balance"" (in 17 reviews)', '""many not so great people."" (in 22 reviews)', '""Corporate culture, long winded processes to get things done"" (in 14 reviews)']",4.5,"['Maternity & Paternity Leave (6 comments)\n""The leave is very flexible""', 'Health Insurance (5 comments)\n""Affordable for your entire family""', '401K Plan (3 comments)\n""Good but need to wait a few years to be fully vested. ""']"
Mondi,4.0,Štětí,PLC Engineer ( F/M/X ),"Mondi Štětí a.s.
Nejlepší zaměstnavatel v České republice? Mondi Štětí!
Jsme největší výrobce papírových obalů a buničiny na českém trhu.
V letošním ročníku Sodexo Zaměstnavatel roku jsme opět získali první místo v soutěži Nejlepší zaměstnavatel regionu, a navíc jsme se stali i Nejlepším zaměstnavatelem v České republice v kategorii firem do 5000 zaměstnanců!
Nejvíce nás ale těší vítězství v kategorii Férový zaměstnavatel roku 2022, které je založené na nezávislých komentářích našich zaměstnanců.
Co bude Vaše mise:",30d+,False,,10000+,Company - Public,Manufacturing,1967,Machinery Manufacturing,$5 to $10 billion,0.77,0.87,3.6,3.4,3.8,3.8,3.5,"['""Pay and benefits are good"" (in 12 reviews)', '""Good salary and Good Amenities"" (in 18 reviews)', '""Experienced Management"" (in 14 reviews)', '""The colleagues were extremely friendly and helpful, always willing to lend a hand and make me feel welcome."" (in 14 reviews)', '""Benefits, competitive pay, opportunity for growth."" (in 16 reviews)']","['""Compensation is pretty good, as is the 401K plan, but the other benefits are not the best (not the worst either.)"" (in 12 reviews)', '""People get promotions in strange ways No employee retention Bad salaries"" (in 18 reviews)', '""Arrogant, Disrespectful management"" (in 14 reviews)']",3.4,"['Vacation & Paid Time Off (3 comments)\n""it is very very good""']"
ABB,4.0,Mošnov,Application Engineer - suitable for graduates,"Application Engineer - suitable for graduates
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

We are looking for a new addition to our Robotics Division to expand our existing team as an Application Engineer. Your task will be to implement robotic workplace projects in various industries. Our customers are in all sectors but predominantly Automotive Tier 1. Our projects are from installation to handover and are mainly abroad, in countries like Spain, France, Belgium, Germany, Hungary, Russia or Israel and occasionally the Czech Republic. You can spend up to 6 months a year on these projects in total, so it's more for someone who enjoys travelling and wants to see the world. This position is suitable for experienced PLC programmers or application engineers, as well as electrical graduates who are interested in robotics and like to travel. Once you start, you don't work on projects alone, but always with more experienced colleagues to get a good grounding. For more information about our robotics division in the country, click on the link below: https://new.abb.com/products/robotics/cs Will you join us?",30d+,False,,10000+,Company - Public,Manufacturing,1883,Electronics Manufacturing,$10+ billion,0.82,0.89,3.7,3.6,4.0,3.5,3.8,"['""processes are well defined and work life balance good"" (in 619 reviews)', '""Good Salary and project exposure"" (in 821 reviews)', '""Good benefit and remuneration package"" (in 347 reviews)', '""Good management and get to work remotely"" (in 406 reviews)', '""Good culture and athmosphere in general"" (in 604 reviews)']","['""No work life balance and no decent hike"" (in 619 reviews)', '""Low salaries and less organized and no defined responsibilities"" (in 821 reviews)', '""No benefits...compare to other MNCs..in respect to increments..."" (in 347 reviews)', '""poor management and review system"" (in 406 reviews)', '""Bad culture and i didn\'t like the food"" (in 604 reviews)']",3.7,"['Health Insurance (87 comments)\n""Lack of coverage for common transgender care compared to other large companies.""', 'Vacation & Paid Time Off (71 comments)\n""Unlimited time off. Good if you have a good manager and you stay on top of claiming it.""', '401K Plan (46 comments)\n""3% plus 75% match up to 6% employee contribution.""']"
ScanmarQED Marketing.Illuminated.,,Czech Republic,Data Engineer,"We’re looking for an energetic, skilled data engineer to join our team and work with us on our marketing solutions platform. You will play an important role in the development of the new ScanmarQED cloud-based data platform, develop scalable applications and work side-by-side with the team to create new solutions, test your own ideas and share your knowledge.
You will report to the Data Engineering lead, and support the team by working from our office in Prague (CZ) or our office in Houten (NL). We are looking for an individual who would describe themselves as someone who loves working with the latest technologies, is capable of abstract thinking and has good problem solving and communication skills. If you can create tools that enable the business to achieve the next growth stage and you get energized by doing this, we would like you to be part of our team!",8d,False,,,,,,,,,,,,,,,,,,
MSD,4.2,Prague,Data Engineer - Part time for a student,"Job Requirements

We’re looking for students from Czech Universities, who are interested in a long-term collaboration with MSD IT.

Did you always want to work in a company where your work can have a real impact? Do you enjoy working in an international environment with lots of room for personal development? Are you ready to join a company where we cherish Diversity and Inclusion and the well-being of our employees?

Interning as a Data Engineer you will:",12d,False,,10000+,Company - Public,Pharmaceutical & Biotechnology,1891,Biotech & Pharmaceuticals,$10+ billion,0.86,0.94,3.7,4.2,4.2,3.6,3.8,"['""Work / Life balance is good"" (in 222 reviews)', '""Good benefits typical of mnc"" (in 158 reviews)', '""Good salaries and bonuses."" (in 231 reviews)', '""Most people are nice and friendly"" (in 231 reviews)', '""Good culture and focus on developing it\'s people"" (in 251 reviews)']","['""No work life balance and the culture over there was selfie."" (in 222 reviews)', '""not so many benefits"" (in 158 reviews)', '""salary is low"" (in 231 reviews)', '""cancel project of 80 people from day to day"" (in 231 reviews)', '""Work life balance, poor culture"" (in 251 reviews)']",4.4,"['Vacation & Paid Time Off (3 comments)\n""1 month vacation and paid time off""']"
PwC,4.0,Prague,Junior ESG Data Analyst / Tester,"Job Description & Summary
About the Team
A career within Digital Enablement team, will provide you with opportunity to assist clients in developing analytics and technology solutions that help them streamline and automate processes. Using advanced technology, we’re able to focus on establishing the right processes and tools for our clients to ensure that decisions are based on the right information in the right time. Team of Software development consists of approximately 35 developers focused on front-end and back-end. This team of course strongly cooperates with our team of Product and Project Managers to deliver in the best possible way.",7d,False,,10000+,Company - Private,Financial Services,1998,Accounting & Tax,$5 to $10 billion,0.8,,4.1,3.5,3.9,3.7,3.0,"['""Work life balance is good for consulting (best of the big 4 in Perth)"" (in 11229 reviews)', '""My fellow interns and co workers are great people and enjoyed everything about my internship."" (in 6106 reviews)', '""Safe and good salary increment annually"" (in 6370 reviews)', '""culture is good and equitable"" (in 5296 reviews)', '""Benefits are good and will be the only reason you might stay but not a reason for you to stay."" (in 2409 reviews)']","['""No work life balance You will be assigned to multiple projects and need to work day and night"" (in 11229 reviews)', '""not good people so loose"" (in 6106 reviews)', '""very tired and low salary"" (in 6370 reviews)', '""bad people and culture for living"" (in 5296 reviews)', '""no benefits besides medical and AL"" (in 2409 reviews)']",4.1,"['Maternity & Paternity Leave (389 comments)\n""It is very generous to male fathers and mothers""', 'Health Insurance (282 comments)\n""A lot of doctors in network""', 'Vacation & Paid Time Off (171 comments)\n""the number of days here is low""']"
Chronos Consulting,3.3,Czech Republic,Global Support Engineer – Mobile Data Network Czechia,"Job Description
Our client is a global provider of intelligent mobile Internet solutions that enable operators to improve quality, reduce network operational expenses, and manage and monetize the mobile Internet.

Requirements:
 Experience with customer-facing activities in an international environment
 Knowledgeable in customer support processes, tooling, and troubleshooting",30d+,False,,51 to 200,Company - Private,Management & Consulting,,Business Consulting,,0.7,,3.7,3.3,3.0,2.0,4.6,,,,
Porsche Engineering Group,3.9,Prague,Data Processing and Automation-Development Engineer (f/m/d),"Developing the sports car of the future isn’t all fun and games.
Come to think of it – maybe it is after all.
Data Processing and Automation-Development Engineer (f/m/d)
Code number: J000001243
Entry level: Professionals
Location: Prag
Organization: Porsche Engineering Group",30d+,False,,1001 to 5000,Company - Private,Management & Consulting,1931,Research & Development,,0.64,0.69,3.7,3.2,3.7,3.3,4.0,"['""Good Management, Friendly and chilled out people, cutting edge tech"" (in 12 reviews)', '""Friendly atmosphere, interesting work fifth word"" (in 14 reviews)', '""Great colleagues across multiple departments"" (in 8 reviews)', '""good work/life balance"" (in 6 reviews)']","['""Bad management"" (in 12 reviews)', '""Low pay and besides that everything was great"" (in 20 reviews)']",,
Roivenue,4.1,Prague,Data Engineer,"We’re looking for an energetic, skilled data engineer to join our team and work with us on our marketing solutions platform. You will play an important role in the development of the new ScanmarQED cloud-based data platform, develop scalable applications and work side-by-side with the team to create new solutions, test your own ideas and share your knowledge.
You will report to the Data Engineering lead, and support the team by working from our office in Prague (CZ) or our office in Houten (NL). You love working with the latest technologies, are capable of abstract thinking, and have good problem-solving and communication skills. If you can create tools that enable businesses to achieve the next growth stage and you get energized by doing this, we would like you to be part of our team!
About Us",30d+,False,,1 to 50,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,,0.75,0.65,4.5,3.7,4.5,4.2,3.8,"['""A few good people at best"" (in 10 reviews)', '""You get the chance to grow both professionally and personally."" (in 6 reviews)', '""It was my first experience working in a startup, and I was greatly surprised by its warm and friendly atmosphere."" (in 3 reviews)', '""They give a lot of freedom in how you will have your job done, so you can be very creative about it."" (in 2 reviews)']","['""Still, me and at least 4 other employees who left the company (no, despite the lies the current CEO is telling we weren\'t let go) have found that having a good and experienced boss is worth more than nearly anything else."" (in 3 reviews)']",,
