Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Custimy,,Denmark,Data Engineer,"Are you a Data Engineer who is ready to challenge yourself in using state-of-the-art technology to democratize e-commerce and create more technological equality?
Custimy is on the mission to create the Next-Generation Customer Data Platform for all. We are building the right infrastructural software required to activate valuable customer data for everyone. And, by everyone, we mean to empower smaller E-commerce businesses to have the same opportunities as larger ones for customer attention, acquisition and loyalty.
To support our rocket growth, we’re looking for a talented Data Engineer to join our fast-paced and exciting engineering team. You will become an integral part of shaping our Development team, focused on creating the next generation Customer Data Platform. As we are still a new company you will have a lot of impact on the development and the success journey of our start-up.",24h,False,,1 to 50,Company - Private,,,,,,,,,,,,,,,
Quanta,4.3,Copenhagen,Lead Instrument Engineer,"Lead Instrument Engineer – Renewable Energy – Contract – Copenhagen

Are you a Lead Instrument Engineer looking for your next long-term contract? This is your chance to lead a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Instrument Engineer with a degree in engineering from April 2023. As the Project Manager, you will be a crucial contributor to the performance of the business unit. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Work activities will include both project and proposal work where both the technical approach and continuity must be aligned
Work activities for both projects and proposals will be executed across all phases of projects including Conceptual Studies; Basic; FEED; Detailed Design; Procurement through to Commissioning.
Projects and proposals are for process plant and facilities across the Power and Energy Transition/ New Energy sectors
Project work will include development of Instrument Engineering deliverables as required on a project by project basis
Project work as the functional Lead Engineer for projects as required by the C&I Group Manager


Degree qualified for the related discipline
Chartered Engineer status as a Member of the Institute of Measurement and Control (IMC) or Institution of Engineering and Technology (IET).
20+ years’ experience Instrument Engineering
5 + years’ experience in a Lead role on capital projects from concept to start-up
Experience of working in a client facing large project group environment
Very good proactive communicator.
Experienced at controlling man-hour budgets and scheduled delivery
Proven ability for equipment specification and selection and in ensuring compliance from the suppliers, preferably within an EPC contracting organization
Is this Lead Instrument Engineer position a good fit for you? Get in touch with us today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",19d,False,,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Clearly defined career path, training and the opportunity for International travel."" (in 10 reviews)', '""Fantastic culture, very forward thinking and proactive."" (in 7 reviews)', '""Great people."" (in 7 reviews)', '""Work hard play hard ethos."" (in 3 reviews)', '""quarterly bonuses"" (in 2 reviews)']","['""If you are a \'yes man\' you\'ll be fine and have a great career."" (in 10 reviews)']",,
ViaBill,3.8,Copenhagen,"Data Scientist / Machine Learning Engineer, FinTech Remote","ViaBill operates at the intersection of the eCommerce, payments and consumer credit sectors, and is an industry pioneer and early market entrant in the BNPL industry, which is experiencing rapid growth. Becoming the best at something isn’t easy. It takes skill, hard work, and an unmatched level of ambition and determination. Our team is international, experienced and most of all, hardworking. In just a few years, we’ve grown from our first office in an art gallery in Denmark to having our teams located all over the globe.
From a handful of customers to handling transactions worth more than $150M per year, we aren’t afraid of new challenges and new markets. Our strategy has been validated with external investment from leading VCs Headline and BlackFin Capital Partners.

About The Role",25d,True,,51 to 200,,Financial Services,2010,Banking & Lending,,0.57,,3.5,3.1,3.2,2.9,3.5,"['""Great team and a friendly colleagues, always looking out for each other!"" (in 4 reviews)', '""Colleagues and managers are all very competent and supports both personal and professional development."" (in 3 reviews)']","['""On the inside, it is an absolute mess with unethical practices, few processes and unhappy staff."" (in 7 reviews)', '""Management and follow up to improve"" (in 5 reviews)', '""The CEO is known for his shouting outbursts"" (in 4 reviews)']",,
LEGO,4.5,Denmark,Data engineer,"Job Description
#LI-EB1
Are you excited to fuel digital LEGO experiences with data and insights?
Join us on our journey towards more data-driven decisions and help grow our digital ecosystem!
Core Responsibilities",18d,False,,10000+,Company - Private,Manufacturing,1932,Consumer Product Manufacturing,,0.89,0.95,3.6,4.2,4.6,4.1,4.3,"['""Good benefits and company values."" (in 153 reviews)', '""Great people and great environment"" (in 285 reviews)', '""Great for work life balance"" (in 153 reviews)', '""Good pay Friendly Good hours"" (in 186 reviews)', '""Great staff and management"" (in 129 reviews)']","['""No Benefits (Unless you are ASM and M) Limited Hours Standard pay with little means to move up in company"" (in 153 reviews)', '""Danish language is preferred in some areas, even though people are able to speak English"" (in 285 reviews)', '""No work life balance"" (in 153 reviews)', '""low pay and sales targets to meet"" (in 186 reviews)', '""Management is awful, once took me into the office because I helped a customer for ""too long""."" (in 129 reviews)']",4.4,"['Employee Discount (39 comments)\n""Half off products, with a massive employee store in Billund""', '401K Plan (17 comments)\n""They certainly make enough money to contribute more""', 'Vacation & Paid Time Off (7 comments)\n""Vacation time is based on your length of service""']"
Weatherford,3.7,Esbjerg,Field Engineer - NextGen Graduate Program,"Overview:
Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service, and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.

We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition.

Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.



Responsibilities:



Qualifications:",30d+,False,,10000+,,"Energy, Mining & Utilities",1987,Energy & Utilities,$10+ billion,0.71,0.79,3.3,3.4,3.4,3.2,3.3,"['""People were great and I made life long friendships fighting for my life"" (in 124 reviews)', '""Pay is good but should be better with the amount of time and responsibility expected."" (in 148 reviews)', '""great management"" (in 104 reviews)', '""Good Exposure and benefits with perks."" (in 71 reviews)', '""great work life balance here"" (in 78 reviews)']","['""It is just a standard and legal setup to let good people go."" (in 124 reviews)', '""Below average pay"" (in 148 reviews)', '""bad management and like to argue wanting their way done"" (in 104 reviews)', '""Pay and benefits could be better."" (in 71 reviews)', '""no work life balance at all"" (in 78 reviews)']",3.8,"['Health Insurance (75 comments)\n""The best is that it is provided for you and your family.""', '401K Plan (43 comments)\n""There is not one in UAE""', 'Vacation & Paid Time Off (38 comments)\n""Vacation is 22 days. PTO is encouraged but you may keep logging in during vacation which is not good""']"
Quanta,4.3,Copenhagen,Lead Structural Engineer,"Lead Structural Engineer – Renewable Energy – 12 Month Contract – Copenhagen

Are you a Senior Structural Engineer looking for your next long-term contract? This is your chance to support a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Structural Engineer with a degree in a relevant engineering discipline from April 2023. As the Lead Structural Engineer, you will join the Civil, Structural, Architectural and Weight Control department. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Implement discipline improvements
Complete discipline audits and technical peer reviews
Maintain the required technical quality of work
Identify scope and schedule changes in accordance with the Change Control Process
Ensure that designs comply with the relevant procedures and regulations
Ensure as far as is practically possible, that all assigned work is carried out in compliance with agreed budget and schedule
Prepare estimates and schedules and assist in their review
Maintain good communication with the client and visit sites when necessary
Encourage and provide lateral learning within the project
Commit to and promote Worley values and ensure the realisation of company and project health, safety, environmental, quality and ethics, systems, policies and procedures


Degree in Engineering
Senior Project Management experience
Hydrogen, Power, Waste or Fuel industry experience
Greenfield project experience, from site selection through to delivery
Does this Lead Structural Engineer role sound like a great fit for you? We want to hear from you. Apply today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",19d,False,,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Clearly defined career path, training and the opportunity for International travel."" (in 10 reviews)', '""Fantastic culture, very forward thinking and proactive."" (in 7 reviews)', '""Great people."" (in 7 reviews)', '""Work hard play hard ethos."" (in 3 reviews)', '""quarterly bonuses"" (in 2 reviews)']","['""If you are a \'yes man\' you\'ll be fine and have a great career."" (in 10 reviews)']",,
Quanta,4.3,Copenhagen,Lead Electrical Engineer,"Lead Electrical Engineer – Renewable Energy – Contract – Copenhagen

Are you a Lead Electrical Engineer looking for your next long-term contract? This is your chance to lead a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Electrical Engineer with a degree in engineering from April 2023. As the Project Manager, you will be a crucial contributor to the performance of the business unit. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Manage electrical engineering services that meet our client’s and its customers' and applicable statutory and regulatory specifications, on time and within budget.
Manage electrical engineering project requirements.


participate in relevant meetings, prepare progress reports and comply with required checking procedures;
ensure the project scope is clear and that changes comply with project change management processes;
provide advice during procurement, construction and commissioning activities. For example, oversee requisitions, technical bid evaluations and purchase order preparation.

Communicate effectively with the electrical engineering team and project stakeholders, including the Customer.
Identify issues and problems, develop appropriate solutions, and ask for assistance when required.


Relevant engineering degree.
Chartered Professional Engineer (CPEng) status.
Relevant postgraduate qualifications in engineering; management, project management or supervisory qualifications or equivalent.
Excellent IT skills
Excellent technical and practical engineering skills and ability to consistently deliver quality, accurate and timely work to with our client and its clients.
Excellent knowledge of the fundamental requirements of the electrical engineering
Excellent knowledge of applicable local and international standards and regulatory specifications.
Is this Lead Electrical Engineer position a good fit for you? Get in touch with us today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",19d,False,,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Clearly defined career path, training and the opportunity for International travel."" (in 10 reviews)', '""Fantastic culture, very forward thinking and proactive."" (in 7 reviews)', '""Great people."" (in 7 reviews)', '""Work hard play hard ethos."" (in 3 reviews)', '""quarterly bonuses"" (in 2 reviews)']","['""If you are a \'yes man\' you\'ll be fine and have a great career."" (in 10 reviews)']",,
Uber,3.8,Aarhus,Security Engineer II - Product Security,"The security organization at Uber is dedicated to enabling safe and secure innovation while protecting the communities we serve both online and in the physical world. Our teams are responsible for protecting both people and their data across intersections of the digital and physical world. The primary objective for Uber Engineering Security team is to enable the technical ambitions of the company while maintaining the highest standards of security and privacy for our customers and partners. As cybersecurity threats evolve, so do we.
About the Role
Uber is seeking a Security Engineer II to join our Product Security Team. In this role your principal mission will be to drive security-related engineering engagement and technical remediation across our product lines, supporting our vulnerability management, application security, and cloud security teams to scale security engagement across Engineering.",30d+,False,,10000+,Company - Public,Information Technology,2009,Internet & Web Services,$10+ billion,0.76,0.77,3.5,3.6,3.7,3.4,3.8,"['""Pay is good after I was laid off went to work for Uber it was good money during the pandemic"" (in 3072 reviews)', '""great benefits and pto"" (in 1504 reviews)', '""Best part is flexible hours and being able to choose the trips you want to take"" (in 2374 reviews)', '""The people are great and the use of data within the company to inform decisions is incredible."" (in 1375 reviews)', '""The people at and the culture at Uber are great!"" (in 1529 reviews)']","['""Low pay requires you work more than 40 hours per week and all midweek rush hours."" (in 3072 reviews)', '""No benefits and if something goes wrong Uber will pay you as little as possible."" (in 1504 reviews)', '""hours are long and strict"" (in 2374 reviews)', '""Your car takes a beating and sometimes the tips are poor and the people are rude."" (in 1375 reviews)', '""Toxic culture No clear strategy Messy"" (in 1529 reviews)']",3.4,"['Reduced or Flexible Hours (284 comments)\n""You can make your schedule for work""', 'Employee Discount (194 comments)\n""Uber credits and discount on all orders""', 'Mobile Phone Discount (179 comments)\n""There I no option for mobile""']"
Chr. Hansen,3.9,Denmark,Data Engineer for Research Data Management,"Location: Denmark : Hoersholm
Country: Denmark

We are looking for a curious and dedicated scientific Data Engineer to contribute to our efforts in defining, building and securing our research data management standards to leverage the usage and context of our research data.
The position is placed in our Research Data Management team, which is part of Chr. Hansen’s newly established R&D Digital Innovation function located at the company’s headquarter in Hørsholm, Denmark.

Your new team
As our new scientific Data Engineer you will get the opportunity to join a team of highly skilled and passionate people working on streamlining the acquisition and transformation of our research data, while ensuring their data integrity and security.",8d,False,,,Company - Private,,,,,0.81,,3.6,3.7,4.1,3.5,4.0,"['""flexible work place, good people and colleagues"" (in 9 reviews)', '""Good work environment"" (in 8 reviews)', '""Hansen\'s pros are phenomenal benefits, solid compensation, global organization, great work life balance, and probably the most stable company in the state of Wisconsin."" (in 5 reviews)', '""Learning opportunities and great working culture environment"" (in 4 reviews)']","['""Management changed much too often"" (in 11 reviews)', '""outdated work environments."" (in 8 reviews)', '""honestly, Growth opportunities are few."" (in 4 reviews)']",4.7,
Linkfire Jobs,,Copenhagen,Data Engineer,"Linkfire is looking for a full-time Data Engineer in Copenhagen, Lisbon or remote (EMEA) to support our missions to create value through data. You will join us to continue discovering and delivering new and exciting features for the 150+ million fans which we bring closer to their favorite artists every month.
You will join a company with roots and heart in music. We're a team of designers, engineers, product managers and more, drawn from every corner of the globe.
Our goal? Empowering entertainment discovery everywhere!

What you will do at Linkfire",30d+,True,,,,,,,,,,,,,,,,,,
