Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ViaBill,3.8,Copenhagen,"Data Scientist / Machine Learning Engineer, FinTech Remote","ViaBill operates at the intersection of the eCommerce, payments and consumer credit sectors, and is an industry pioneer and early market entrant in the BNPL industry, which is experiencing rapid growth. Becoming the best at something isn’t easy. It takes skill, hard work, and an unmatched level of ambition and determination. Our team is international, experienced and most of all, hardworking. In just a few years, we’ve grown from our first office in an art gallery in Denmark to having our teams located all over the globe.
From a handful of customers to handling transactions worth more than $150M per year, we aren’t afraid of new challenges and new markets. Our strategy has been validated with external investment from leading VCs Headline and BlackFin Capital Partners.

About The Role",,14d,True,51 to 200,,Financial Services,2010,Banking & Lending,,0.57,,3.5,3.1,3.2,2.9,3.5,"['""Great team and a friendly colleagues, always looking out for each other!"" (in 7 reviews)']","['""On the inside, it is an absolute mess with unethical practices, few processes and unhappy staff."" (in 7 reviews)', '""Management and follow up to improve"" (in 4 reviews)', '""No diversity in higher positions"" (in 2 reviews)', '""The CEO is known for his shouting outbursts"" (in 3 reviews)']",,
Quanta,4.3,Copenhagen,Lead Instrument Engineer,"Lead Instrument Engineer – Renewable Energy – Contract – Copenhagen

Are you a Lead Instrument Engineer looking for your next long-term contract? This is your chance to lead a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Instrument Engineer with a degree in engineering from April 2023. As the Project Manager, you will be a crucial contributor to the performance of the business unit. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Work activities will include both project and proposal work where both the technical approach and continuity must be aligned
Work activities for both projects and proposals will be executed across all phases of projects including Conceptual Studies; Basic; FEED; Detailed Design; Procurement through to Commissioning.
Projects and proposals are for process plant and facilities across the Power and Energy Transition/ New Energy sectors
Project work will include development of Instrument Engineering deliverables as required on a project by project basis
Project work as the functional Lead Engineer for projects as required by the C&I Group Manager


Degree qualified for the related discipline
Chartered Engineer status as a Member of the Institute of Measurement and Control (IMC) or Institution of Engineering and Technology (IET).
20+ years’ experience Instrument Engineering
5 + years’ experience in a Lead role on capital projects from concept to start-up
Experience of working in a client facing large project group environment
Very good proactive communicator.
Experienced at controlling man-hour budgets and scheduled delivery
Proven ability for equipment specification and selection and in ensuring compliance from the suppliers, preferably within an EPC contracting organization
Is this Lead Instrument Engineer position a good fit for you? Get in touch with us today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",,7d,False,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Fantastic culture, very forward thinking and proactive."" (in 8 reviews)', '""Clearly defined career path, training and the opportunity for International travel."" (in 9 reviews)', '""Great people."" (in 6 reviews)', '""The office is nice and they have a solid database which has years of data/contacts available to help do your job."" (in 4 reviews)', '""quarterly bonuses"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Quanta,4.3,Copenhagen,Lead Structural Engineer,"Lead Structural Engineer – Renewable Energy – 12 Month Contract – Copenhagen

Are you a Senior Structural Engineer looking for your next long-term contract? This is your chance to support a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Structural Engineer with a degree in a relevant engineering discipline from April 2023. As the Lead Structural Engineer, you will join the Civil, Structural, Architectural and Weight Control department. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Implement discipline improvements
Complete discipline audits and technical peer reviews
Maintain the required technical quality of work
Identify scope and schedule changes in accordance with the Change Control Process
Ensure that designs comply with the relevant procedures and regulations
Ensure as far as is practically possible, that all assigned work is carried out in compliance with agreed budget and schedule
Prepare estimates and schedules and assist in their review
Maintain good communication with the client and visit sites when necessary
Encourage and provide lateral learning within the project
Commit to and promote Worley values and ensure the realisation of company and project health, safety, environmental, quality and ethics, systems, policies and procedures


Degree in Engineering
Senior Project Management experience
Hydrogen, Power, Waste or Fuel industry experience
Greenfield project experience, from site selection through to delivery
Does this Lead Structural Engineer role sound like a great fit for you? We want to hear from you. Apply today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",,7d,False,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Fantastic culture, very forward thinking and proactive."" (in 8 reviews)', '""Clearly defined career path, training and the opportunity for International travel."" (in 9 reviews)', '""Great people."" (in 6 reviews)', '""The office is nice and they have a solid database which has years of data/contacts available to help do your job."" (in 4 reviews)', '""quarterly bonuses"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
LEGO,4.5,Denmark,Data engineer,"Job Description
#LI-EB1
Are you excited to fuel digital LEGO experiences with data and insights?
Join us on our journey towards more data-driven decisions and help grow our digital ecosystem!
Core Responsibilities",,6d,False,10000+,Company - Private,Manufacturing,1932,Consumer Product Manufacturing,,0.89,0.95,3.6,4.2,4.6,4.1,4.3,"['""Good benefits for a retail shop"" (in 146 reviews)', '""Great people and great environment"" (in 277 reviews)', '""Good pay Friendly Good hours"" (in 190 reviews)', '""Also good work life balance"" (in 154 reviews)', '""Management is amazing and benefits are great!"" (in 129 reviews)']","['""No Benefits (Unless you are ASM and M) Limited Hours Standard pay with little means to move up in company"" (in 146 reviews)', '""Danish language is preferred in some areas, even though people are able to speak English"" (in 277 reviews)', '""low pay and sales targets to meet"" (in 190 reviews)', '""No work life balance"" (in 154 reviews)', '""Management is awful, once took me into the office because I helped a customer for ""too long""."" (in 129 reviews)']",4.4,"['Employee Discount (39 comments)\n""Discount on all LEGO products and local Company store on-site.""', '401K Plan (17 comments)\n""They certainly make enough money to contribute more""', 'Vacation & Paid Time Off (7 comments)\n""Vacation time is based on your length of service""']"
Quanta,4.3,Copenhagen,Lead Electrical Engineer,"Lead Electrical Engineer – Renewable Energy – Contract – Copenhagen

Are you a Lead Electrical Engineer looking for your next long-term contract? This is your chance to lead a major Power-to-X project utilising Hydrogen in Copenhagen!

Our client, a global provider of professional services in the energy, chemicals and resources sector are looking to onboard an experienced Electrical Engineer with a degree in engineering from April 2023. As the Project Manager, you will be a crucial contributor to the performance of the business unit. This is a fantastic opportunity to join a worldwide team of consultants, engineers, construction workers and data scientists on an initial 12-month contract.

The role consists of site work in Copenhagen, although some European travel is expected.


Manage electrical engineering services that meet our client’s and its customers' and applicable statutory and regulatory specifications, on time and within budget.
Manage electrical engineering project requirements.


participate in relevant meetings, prepare progress reports and comply with required checking procedures;
ensure the project scope is clear and that changes comply with project change management processes;
provide advice during procurement, construction and commissioning activities. For example, oversee requisitions, technical bid evaluations and purchase order preparation.

Communicate effectively with the electrical engineering team and project stakeholders, including the Customer.
Identify issues and problems, develop appropriate solutions, and ask for assistance when required.


Relevant engineering degree.
Chartered Professional Engineer (CPEng) status.
Relevant postgraduate qualifications in engineering; management, project management or supervisory qualifications or equivalent.
Excellent IT skills
Excellent technical and practical engineering skills and ability to consistently deliver quality, accurate and timely work to with our client and its clients.
Excellent knowledge of the fundamental requirements of the electrical engineering
Excellent knowledge of applicable local and international standards and regulatory specifications.
Is this Lead Electrical Engineer position a good fit for you? Get in touch with us today.

The candidate must have the rights to work in the location stated in the job advert.

Please note, Quanta part of QCS Staffing does not sponsor Visa applications.

To view Quanta's privacy policy, please visit our website",,7d,False,51 to 200,Company - Private,Human Resources & Staffing,1992,HR Consulting,$25 to $100 million,0.89,0.98,4.5,4.7,4.6,4.5,4.3,"['""Fantastic culture, very forward thinking and proactive."" (in 8 reviews)', '""Clearly defined career path, training and the opportunity for International travel."" (in 9 reviews)', '""Great people."" (in 6 reviews)', '""The office is nice and they have a solid database which has years of data/contacts available to help do your job."" (in 4 reviews)', '""quarterly bonuses"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Vinter,4.3,Denmark,Data Engineer,"We seek a highly skilled and motivated data engineer to join our team. You will use various methods to transform raw data into useful data structures. You will build and maintain the infrastructure and tools needed to collect, process, store, and analyze large amounts of financial data, ensuring that the data is accurate, reliable, and accessible. You’ll create algorithms and conduct statistical analysis.
Vinter’s mission is to institutionalize crypto. We create and calculate complex and high-performant investment strategies used in financial products worldwide. Our customers are some of the most successful crypto funds in the world, and our investors are some of the most well-respected in the industry. We recently raised a $3.4M Series Seed and are looking to build one of the greatest teams in our industry.
Since our incorporation in 2019, we’ve been listed as a top European startup. Our team is a diverse group from over eight countries, speaking 13 languages.",,26d,False,1 to 50,Company - Private,Management & Consulting,2019,Research & Development,$1 to $5 million,0.85,,4.4,4.0,4.0,4.0,2.7,"['""Leadership: strong, skilled, dedicated leaders Colleagues: focused, hard"" (in 1 reviews)', '""This is the perfect work environment for you if you like to swim in muddy water and enjoy daily harassment."" (in 1 reviews)', '""30 days PTO, life balance is valued!"" (in 2 reviews)', '""moving fast, competitive pay, smart colleagues, interesting industry, meritocratic"" (in 1 reviews)']","['""No social benefits."" (in 1 reviews)']",,
Linkfire Jobs,,Copenhagen,Data Engineer,"Linkfire is looking for a full-time Data Engineer in Copenhagen, Lisbon or remote (EMEA) to support our missions to create value through data. You will join us to continue discovering and delivering new and exciting features for the 150+ million fans which we bring closer to their favorite artists every month.
You will join a company with roots and heart in music. We're a team of designers, engineers, product managers and more, drawn from every corner of the globe.
Our goal? Empowering entertainment discovery everywhere!

What you will do at Linkfire",,30d+,True,,,,,,,,,,,,,,,,,
FACTOR 7,,Copenhagen,Data Engineer,"Join the sustainability journey at NREP
NREP is a powerhouse of brilliant and caring people who are raising the bar for the industry. By improving the design, constrauction ans use of urban real estate - with sustainability at the core - they are driving change to create real impact. With a mission to be a global thought leader of urban ecosystems, investing for positive planetary impact, an ambitious goal to reach net zero carbon emissions by 2028. Using their data assets wisely and harvesting new insights from data is key to pushing forward this vision and goal. To keep on innovating and raising the bar for NREP’s data platform, they are now looking for a talented Data Engineer to a newly established role, who wants to embark on an ambitious growth path.

The Team",,6d,False,1 to 50,Company - Private,Manufacturing,,Consumer Product Manufacturing,Less than $1 million,,,,,,,,,,,
Capture One,3.5,Frederiksberg,Associate Data Engineer,"Help us shape the future of photography
Born out of a passion for photography, we provide photographers with the tools to easily collaborate with clients and creatives, achieve the highest quality photographs, and bring their visions to life. We are on a journey to become the most efficient ecosystem of creative and collaborative tools with a flexible photography workflow seamlessly spanning across multiple devices, letting you work from anywhere and with anyone.

The role
Analytics are at the heart of Capture One’s success. In this role, you will empower the business through connecting the data of our 250K+ global customers, which enables us to turn data into actionable insights in support of our ambitious growth goals.",,7d,True,51 to 200,Company - Private,Information Technology,,Computer Hardware Development,,0.72,,3.8,3.5,3.7,3.7,4.1,"['""Friendly, knowledgeable colleagues"" (in 11 reviews)', '""Leadership is knowledgable, passionate, down"" (in 4 reviews)', '""A lot to learn and work with the newest technology in a really friendly environment with the best working conditions and Scandinavian work ethic."" (in 3 reviews)']","['""Not the most competitive salary."" (in 4 reviews)', '""Working for Capture One is a precarious business, one rife with toxic work culture, bad management, poor leadership, and employees who consistently feel devalued and mistreated."" (in 4 reviews)', '""Not everyone is good with change (and not everyone is good with change management), and when change/restructure happens people can get very angry."" (in 5 reviews)']",,
LEGO,4.5,Denmark,Data Platform Engineer,"Job Description
Are you ready to take your engineering and standard methodology approach to the next level? We are looking for a Senior Platform Engineer to be part of a great community of digital builders, responsible for the platform that enables the entire organization to make smart, proven decisions. You will join a team that places extreme value on ways of working, with heightened focus towards a more cohesive interaction model that fosters transparency and knowledge sharing by default. We are good at what we do and want to be the best at what we do together.
Core Responsibilities
As part of the Platform Engineering team, you will help build & maintain a unified and scalable Data Platform for the LEGO Group",,6d,False,10000+,Company - Private,Manufacturing,1932,Consumer Product Manufacturing,,0.89,0.95,3.6,4.2,4.6,4.1,4.3,"['""Good benefits for a retail shop"" (in 146 reviews)', '""Great people and great environment"" (in 277 reviews)', '""Good pay Friendly Good hours"" (in 190 reviews)', '""Also good work life balance"" (in 154 reviews)', '""Management is amazing and benefits are great!"" (in 129 reviews)']","['""No Benefits (Unless you are ASM and M) Limited Hours Standard pay with little means to move up in company"" (in 146 reviews)', '""Danish language is preferred in some areas, even though people are able to speak English"" (in 277 reviews)', '""low pay and sales targets to meet"" (in 190 reviews)', '""No work life balance"" (in 154 reviews)', '""Management is awful, once took me into the office because I helped a customer for ""too long""."" (in 129 reviews)']",4.4,"['Employee Discount (39 comments)\n""Discount on all LEGO products and local Company store on-site.""', '401K Plan (17 comments)\n""They certainly make enough money to contribute more""', 'Vacation & Paid Time Off (7 comments)\n""Vacation time is based on your length of service""']"
