Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Turck Vilant Systems Oy,,Espoo,"Senior Software Engineer, React","What to expect from this role?
We make sense of our customers' RFID data – you ensure our tailor-made RFID systems depict these data meaningfully.
A key element in our track and trace platform is the Turck Vilant Server, which collects and analyses data from a fixed and mobile RFID reader network. In addition, it provides a web-based user interface that, e.g., visualizes the movement of RFID-tagged assets for the user. It will be your task to develop further and design the front end of our Server applications.
You will join our skilled software team in Otaniemi, Espoo. The team works in a hybrid mode, partly from their home offices and partly from the office, so it will be up to you to choose where and how you would like to work, bearing in mind that we would like to see you at the office at a minimum once per week.",,20d,True,,,,,,,,,,,,,,,,,
Topcon Positioning Systems,4.4,Espoo,SOFTWARE ENGINEER,"For our Product Development Center in Espoo, Finland (or remote location within Finland),
we are looking for an enthusiastic Software Engineer who will help us build a sustainable solution platform for our future growth. And that's where you come in!
About the Company
At Topcon Positioning Group, headquartered in Livermore, California, USA, we design, manufacture and distribute productivity tools for developing a brighter future. Whether cultivating the earth or building upon it, Topcon brings innovation in workflow automation and seamless connectivity of data to construction, geopositioning and agriculture industries focused on developing a sustainable tomorrow.",,30d+,True,1001 to 5000,Company - Private,Manufacturing,1994,Electronics Manufacturing,$500 million to $1 billion,0.94,0.95,4.1,4.1,4.3,4.2,4.5,"['""Great people"" (in 33 reviews)', '""Topcon provides a better work/life balance than any other company I have been a part of."" (in 16 reviews)', '""Good benefits and they do what they promised."" (in 13 reviews)', '""If you want to work at a place with a great culture this is the place!"" (in 27 reviews)', '""Supportive management"" (in 16 reviews)']","['""Those people are really rude."" (in 33 reviews)', '""Not a lot of work life balance and employee perks."" (in 16 reviews)', '""Lower wages than market rate, no bonuses, average benefits."" (in 13 reviews)', '""Long chain of management slow down/complicate company progress"" (in 16 reviews)']",2.8,"['401K Plan (3 comments)\n""They match 401k plan contribution""']"
Elisa Oyj,4.3,Finland,Data Engineer,"Elisa Data & Analytics department is responsible for development of large-scale analytics to various Elisa's business needs. We value the data and we are focused on learning how to support our customers better and want to produce experiences in our customers' everyday life.
We're looking for a Data Engineer for the Elisa Data & Analytics team to work together with our skilled Architect, Data Engineers and Scientists.
Your main project would be designing and implementing data integrations between different systems and engineering many kinds of solutions for data handling and machine learning. These complex systems require skills from data integration and solid coding experience.
In this job, you can use your skills in a creative and versatile way right at the heart of our company. You will get a chance to make your own system choices and direct development work in the right direction in line with your own vision.",,12d,False,5001 to 10000,Company - Public,Telecommunications,1882,Telecommunications Services,$1 to $5 billion,0.95,0.87,4.1,4.1,4.4,4.2,4.3,"['""Good community and good salary"" (in 19 reviews)', '""good management and benefits and car allowance"" (in 12 reviews)', '""Flexible hours, full"" (in 8 reviews)', '""Good management, flexible culture, good benefits"" (in 12 reviews)', '""experienced colleagues"" (in 10 reviews)']","['""low salary, hard to recruit to"" (in 19 reviews)', '""incompetent management"" (in 12 reviews)', '""Very Finland centric culture"" (in 12 reviews)']",5.0,
Solita,4.6,Finland,Grow as Data Engineer with us - Solita´s personalised onboarding program,"Growing as a Data Engineer onboarding program helps you to boost your growth as a professional, improving your skills eg. in cloud platforms and their services, databases, data development tools and methodologies as well as more general level consulting skills. With a wider and deeper skillset you´ll have more opportunities to find meaningful and challenging projects to work in.
What Data Engineers do in Solita?
Data Engineers are all-around and end-to-end developers and consultants handling data in all its shapes and sizes in order to fulfil the end users' data needs. Data Engineers work together with the Solita team in various customer projects, where data platforms and various data utilisation solutions are built, data storages are modernised and data is processed.",,4d,False,501 to 1000,Company - Private,Information Technology,1996,Information Technology Support Services,$25 to $100 million,0.98,0.98,4.3,4.2,4.8,4.6,4.9,"['""Incredibly talented and friendly colleagues you can count on"" (in 17 reviews)', '""Great people and culture."" (in 11 reviews)', '""life balance and other issues that may rise on personal level."" (in 8 reviews)', '""Good benefits"" (in 4 reviews)']","['""Average salary."" (in 16 reviews)']",,
Yousician,4.0,Helsinki,Data Engineer,"JOIN YOUSICIAN
Yousician impacts and enriches the lives of millions of people by empowering them to play music they love, learn something new, and feel good in the everyday. We merge music and tech to amplify life. We reimagine the way people learn to play, so that everyone can play.
And, you don't need to be a musician to join Yousician!
We've built an amazing team of creative, passionate, and independent people, all working together to help millions of people learn, play, and have fun. If you are looking for a rewarding career opportunity in a growing and changing scale up business, you're in the right place!",,30d+,False,51 to 200,Company - Private,Information Technology,2010,Software Development,,0.81,0.89,4.0,4.1,4.5,3.9,4.7,"['""Great people to work with"" (in 12 reviews)', '""Great Culture"" (in 11 reviews)', '""Future proof decisions and visions, focusing on the right things, fair benefits and modern tools to work with."" (in 3 reviews)']","['""I guess the only con would be that during my time here, the Pandemic didn\'t allow to be at the office as much and meet all the great people here."" (in 12 reviews)', '""More open communication and culture in projects and decision making is needed."" (in 11 reviews)', '""Unfortunately, there\'s no job security here."" (in 11 reviews)', '""Salaries a bit under average for a tech"" (in 3 reviews)']",,
Nortal,4.3,Finland,Data Engineer (Azure),"SOFTWARE DEVELOPMENT
FINLAND
DATA
Are you already an experienced data engineer or a talent wanting to pivot your role from software engineering to data engineering? We are building a Data and IoT Center of Excellence in Finland, so now is a perfect time to join the team to build something big. You will get to work side-by-side with top-of-the-world experts in data and IoT development.

At Nortal we help organizations harness the power of data and IoT with automated software solutions. Our software engineers are experts in building new hybrid applications in Cloud and Edge, and migrating legacy systems to this architecture. If you want to join an international and growing company, work in great and humorous teams without excess policies or hierarchies - then we have the perfect match for you!",,30d+,False,1001 to 5000,Company - Private,Information Technology,2000,Enterprise Software & Network Solutions,$100 to $500 million,0.86,,4.0,3.9,4.1,4.0,3.9,"['""+ Awesome people and great place to learn."" (in 33 reviews)', '""Competitive salary"" (in 19 reviews)', '""+Good benefits"" (in 12 reviews)', '""life balance (this is global, and I think a unique benefit of European management)"" (in 17 reviews)', '""Comfortable office"" (in 11 reviews)']","['""keep keeping people no 1"" (in 33 reviews)', '""I recommend being very precise and ask everything in writing when you negotiate your salary at this company."" (in 19 reviews)', '""Depending on the project, there are different benefits, working rules and restrictions."" (in 12 reviews)', '""Management is detached from development"" (in 17 reviews)', '""The office in Helsinki is too small for the growing staff."" (in 11 reviews)']",4.0,
CubiCasa,4.0,Helsinki,Data Engineer,"We are looking for a Data Engineer to join our team!
Your tasks include building data pipelines to boost our data scientists work related to exploring new machine learning systems. Act as the technical expert between different teams on data related integrations for future projects.
Technical Background
MSc or PhD degree in computer science or a related field
4+ years of practical experience in developing production systems
Good understanding designing architectures for data pipelines
Experience in Python (or a similar language)",,11d,False,51 to 200,Company - Private,,,,,1.0,,4.7,4.7,3.3,4.7,4.7,"['""Nice people to work with."" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Metacore,4.5,Helsinki,Data Engineer,"Are you a skilled Data Engineer up for owning the data pipeline of an upcoming game, in line to be our second hit? Ready to join one of Europe's fastest growing game companies?

If yes, Metacore could be the right place for you
We are a Helsinki-based game company best known for our hit game Merge Mansion and our people-first company culture. Built on trust, our culture allows us to work autonomously, efficiently, and ambitiously. We have mutually agreed on five cultural norms to describe how we build trust and work as Metacore – you can find them here.

Our company’s mission is to entertain hundreds of millions of people for decades. Although we already entertain 40,000,000+ players worldwide and have grown into a team of 120+ game industry professionals in less than two years, we’re only getting started. That’s where we hope you come in: to take ownership of the data pipeline of one of our upcoming games, and ensure its reliability, scalability, and efficiency. Your expertise in data engineering, combined with your enthusiasm for data analysis, will enable you to generate informative visualizations and pursue engaging data science initiatives that enhance the team's performance.",,17d,False,51 to 200,Company - Private,Media & Communication,2015,Video Game Publishing,,1.0,1.0,4.8,4.7,4.9,4.7,5.0,"['""Fostering a company culture in a way that has been well thought out from the outset, revisited regularly and is exemplified by the founders A clear commitment to everybody’s wellbeing You\'re given true trust, where decisions are made by those who know best Every effort is made to promote togetherness as we grow Transparency as to where the company is going Fantastic colleagues that are all pushing in the same directionSo yeah, I’m a fan of this company and I could really recommend it to anyone looking for an interesting game career opportunity in Helsinki."" (in 5 reviews)', '""Amazing people and great culture where employer truly cares about employee wellbeing."" (in 4 reviews)', '""Comprehensive benefits such as massage, transport, snacks at the office, social gatherings and concierge service to name a few."" (in 2 reviews)', '""Benefits were fine, drinks and stuff"" (in 1 reviews)']","['""Company is growing at a very rapid pace, so getting acquainted with everyone is difficult, especially outside of your specific team, but the company also puts in a lot of effort to combat this through different events."" (in 5 reviews)', '""I do have to note that the salary is lower than what you might expect in this industry."" (in 1 reviews)']",,
Movial,3.6,Helsinki,Data Engineer,"We are looking for an experienced Data Engineer to join our team in Helsinki. You will be in charge of creating and managing technological infrastructure of data platforms, including data pipelines, data storage and BI interfaces for querying, modeling and reporting the data. You will work closely with our customers, helping them to make most of their data and to succeed in a data-driven cultural shift.
We expect you to have experience in:
Data analysis and data analysis platforms (preferably with AWS)
Data pipeline design and implementation
Data lake design and implementation
Data quality assurance and verification",,30d+,True,51 to 200,Company - Private,Information Technology,,Information Technology Support Services,$1 to $5 million,0.72,,3.8,3.1,2.7,2.9,4.0,"['""Good salary."" (in 1 reviews)', '""Good work/life balance."" (in 1 reviews)']","['""Poor people management"" (in 1 reviews)']",5.0,
Meeshkan,,Finland,Backend engineer (Data science interest),"The ideal candidate for this opening is someone who is willing to work crossfunctionally on both data science features and data processing at an ambitious startup.

Personally, you are:
Self-motivated
Honest and passionate
Learn quickly and continously
Meeshkan employees are those who:
Communicate effectively with clients and teammates
Curious about technology and the impact it can make on the world
Tasks

Requirements

Benefits

This role works closely with Mike Meeshkan’s CEO, and with the engineering team.


1. 30 minute video call with our COO, Makenna
2. Take home exercise, if applicable
3. Video call with Mike, CEO of Meeshkan
4. Offer & ""What will make you most successful in this position?""

On average the whole process takes 2-3 weeks end to end, but we're pretty flexible!

We understand the combination of backend and data science chops, is a hard one to find. Our preference is on candidates with strong backend experience, we have an incredible team of data science engineers that you can collaborate with and learn from!

Even if you don't believe you fit all of the requirements but you're interested in the product / position — please apply! We're looking forward to hearing from you.",,12d,True,1 to 50,Company - Private,,,,,,,,,,,,,,,
