Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Topcon Positioning Systems,4.4,Espoo,SOFTWARE ENGINEER,"For our Product Development Center in Espoo, Finland (or remote location within Finland),
we are looking for an enthusiastic Software Engineer who will help us build a sustainable solution platform for our future growth. And that's where you come in!
About the Company
At Topcon Positioning Group, headquartered in Livermore, California, USA, we design, manufacture and distribute productivity tools for developing a brighter future. Whether cultivating the earth or building upon it, Topcon brings innovation in workflow automation and seamless connectivity of data to construction, geopositioning and agriculture industries focused on developing a sustainable tomorrow.",30d+,True,,1001 to 5000,Company - Private,Manufacturing,1994,Electronics Manufacturing,$500 million to $1 billion,0.94,0.95,4.1,4.2,4.3,4.2,4.5,"['""A few good people are still here that still care and want to do what is right."" (in 31 reviews)', '""Pay is above the market rate"" (in 17 reviews)', '""Topcon provides a better work/life balance than any other company I have been a part of."" (in 16 reviews)', '""If you want to work at a place with a great culture this is the place!"" (in 26 reviews)', '""Supportive management"" (in 17 reviews)']","['""Those people are really rude."" (in 31 reviews)', '""Pay is average Slightly outdated technology stack"" (in 17 reviews)', '""Not a lot of work life balance and employee perks."" (in 16 reviews)', '""Long chain of management slow down/complicate company progress"" (in 17 reviews)']",2.8,"['401K Plan (3 comments)\n""They match 401k plan contribution""']"
Nouryon,3.6,Äänekoski,Research Engineer/Scientist,"Why join us?
Are you passionate about sustainability, innovation, safety, and collaboration? Do you want to grow together with a company that is forward-looking and continuously improving how they work? Our employees have ideas on how to build a sustainable future and the drive and passion to realize them. They believe that building long-term relationships and integrity are keys to success. If that describes you, we will gladly make way for your ambitions. We offer you career opportunities. From day one we support you with your personal growth, through challenging positions and comprehensive learning and development opportunities, in a dynamic, international, diverse, and proactive working environment.

Reseacher to global R&D group to Äänekoski site, Finland",24h,False,,5001 to 10000,Company - Private,Manufacturing,2018,Chemical Manufacturing,$1 to $5 billion,0.66,0.58,3.1,3.6,3.2,3.1,3.3,"['""great people to work with"" (in 37 reviews)', '""Good benefits"" (in 19 reviews)', '""Good salary and challenging projects in research environment"" (in 37 reviews)', '""Great team members, good leadership and benefits."" (in 24 reviews)', '""Management was fair and kind"" (in 23 reviews)']","['""Benefits are a joke!"" (in 19 reviews)', '""Salary is below average for the industry"" (in 37 reviews)', '""90% of the site\'s leadership has turned over."" (in 24 reviews)', '""Heartless management."" (in 23 reviews)']",3.6,"['Health Insurance (4 comments)\n""UMR is middle of the road. Not great. Not horrible. My children and I don’t have any ongoing health issues. We use UMR. My spouse has ongoing issues and uses other insurance through their employer because it’s better but would cost us more overall if we were all on it.""', '401K Plan (4 comments)\n""6% match. They put in 3% additional regardless on top of anything you contribute.""', 'Vacation & Paid Time Off (4 comments)\n""3 weeks PTO is in addition to major holidays. Also includes 5 sick days and 3 floating holidays.""']"
Meeshkan,,Finland,Backend engineer (Data science interest),"The ideal candidate for this opening is someone who is willing to work crossfunctionally on both data science features and data processing at an ambitious startup.

Personally, you are:
Self-motivated
Honest and passionate
Learn quickly and continously
Meeshkan employees are those who:
Communicate effectively with clients and teammates
Curious about technology and the impact it can make on the world
Tasks

Requirements

Benefits

This role works closely with Mike Meeshkan’s CEO, and with the engineering team.


1. 30 minute video call with our COO, Makenna
2. Take home exercise, if applicable
3. Video call with Mike, CEO of Meeshkan
4. Offer & ""What will make you most successful in this position?""

On average the whole process takes 2-3 weeks end to end, but we're pretty flexible!

We understand the combination of backend and data science chops, is a hard one to find. Our preference is on candidates with strong backend experience, we have an incredible team of data science engineers that you can collaborate with and learn from!

Even if you don't believe you fit all of the requirements but you're interested in the product / position — please apply! We're looking forward to hearing from you.",21d,True,,1 to 50,Company - Private,,,,,,,,,,,,,,,
Elisa Oyj,4.3,Finland,Data Engineer,"Elisa Data & Analytics department is responsible for development of large-scale analytics to various Elisa's business needs. We value the data and we are focused on learning how to support our customers better and want to produce experiences in our customers' everyday life.
We're looking for a Data Engineer for the Elisa Data & Analytics team to work together with our skilled Architect, Data Engineers and Scientists.
Your main project would be designing and implementing data integrations between different systems and engineering many kinds of solutions for data handling and machine learning. These complex systems require skills from data integration and solid coding experience.
In this job, you can use your skills in a creative and versatile way right at the heart of our company. You will get a chance to make your own system choices and direct development work in the right direction in line with your own vision.",22d,False,,5001 to 10000,Company - Public,Telecommunications,1882,Telecommunications Services,$1 to $5 billion,0.95,0.87,4.1,4.1,4.4,4.2,4.3,"['""Good salary and great team spirit."" (in 18 reviews)', '""Flexible hours, full"" (in 12 reviews)', '""atmosphere, good product, flexibility, management, diversity"" (in 11 reviews)', '""Good benefits"" (in 8 reviews)', '""experienced colleagues"" (in 9 reviews)']","['""low salary, hard to recruit to"" (in 18 reviews)', '""incompetent management"" (in 11 reviews)', '""bad benefits"" (in 8 reviews)']",5.0,
ALM Partners Oy,4.6,Helsinki,Data Engineer,"Data Engineer
Tehtävässä olet osana tiivistä kehitys- ja ylläpitotiimiä, jonka työnä on rakentaa ja ylläpitää dataputkia sekä kehittää tietovarastointia pankkien viranomaisraportointiin. Menestymisen kannalta olennaisia ominaisuuksia ovat SQL-osaaminen, kiinnostus laajojen kokonaisuuksien hallintaan ja ongelmanratkaisuun sekä sitoutuminen jatkuvaan prosessiin, jossa dataputkia kehitetään ja automatisoidaan. Myös Azure-pilviympäristön tunteminen asettaa sinut etulyöntiasemaan.
Työn ytimen muodostavat datavirran end-to-end hallinnointi lähdejärjestelmistä raportointiin sekä datan jalostaminen käyttökelpoiseen muotoon. Käsiteltävä data liittyy mm. pankkien rahoitusinstrumentteihin ja datan käyttökohteet liittyvät pääosin pankkien riskienhallintaan ja viranomaisraportointiin, joten kiinnostus finanssialaa kohtaan ja ymmärrys pankkiliiketoiminnasta katsotaan eduksi. Tarkka tehtäväsi muotoutuu oman osaamisesi perusteella - tietovarastoinnin syväosaajana pääset aiheen vaikeiden kehitystehtävien pariin ja Azure-osaajana pääset toteuttamaan tietovarastointia myös pilvessä.",14d,False,,51 to 200,Company - Private,Financial Services,2011,Financial Transaction Processing,$5 to $25 million,1.0,,4.0,3.4,4.8,3.8,4.2,"['""Salary is alright, not the best available."" (in 3 reviews)', '""Excellent culture and friendships during AND after working hours."" (in 3 reviews)', '""Great coworkers and engagement with employees"" (in 2 reviews)', '""Managers usually listen to feedback."" (in 1 reviews)']","['""Salary is a little low but compensated for in other ways"" (in 3 reviews)']",,
Nortal,4.3,Finland,Data Engineer (Azure),"SOFTWARE DEVELOPMENT
FINLAND
DATA
Are you already an experienced data engineer or a talent wanting to pivot your role from software engineering to data engineering? We are building a Data and IoT Center of Excellence in Finland, so now is a perfect time to join the team to build something big. You will get to work side-by-side with top-of-the-world experts in data and IoT development.

At Nortal we help organizations harness the power of data and IoT with automated software solutions. Our software engineers are experts in building new hybrid applications in Cloud and Edge, and migrating legacy systems to this architecture. If you want to join an international and growing company, work in great and humorous teams without excess policies or hierarchies - then we have the perfect match for you!",30d+,False,,1001 to 5000,Company - Private,Information Technology,2000,Enterprise Software & Network Solutions,$100 to $500 million,0.89,,4.1,4.0,4.2,4.0,4.0,"['""+ Awesome people and great place to learn."" (in 32 reviews)', '""Competitive salary"" (in 17 reviews)', '""life balance (this is global, and I think a unique benefit of European management)"" (in 16 reviews)', '""+Good benefits"" (in 13 reviews)', '""Comfortable office"" (in 12 reviews)']","['""keep keeping people no 1"" (in 32 reviews)', '""I recommend being very precise and ask everything in writing when you negotiate your salary at this company."" (in 17 reviews)', '""Management is detached from development"" (in 16 reviews)', '""Few benefits."" (in 13 reviews)', '""The office in Helsinki is too small for the growing staff."" (in 12 reviews)']",4.0,
Gofore,3.9,Helsinki,"Data Engineer, Data Architect","Gofore on digitaalisen muutoksen asiantuntija. Meitä on Suomessa, Saksassa, Itävallassa, Espanjassa, Virossa ja Italiassa noin 1300 alan johtavaa asiantuntijaa. Hyvinvoivat työntekijät ja menestyvät asiakkaat ovat yrityksemme ydin. Monimuotoista osaajajoukkoamme yhdistää pioneerihenkisyys sekä halu työskennellä yrityksessä, jossa luodaan inhimillisempää, kestävämpää ja eettisempää digimaailmaa. Haluamme tarjota parhaat mahdollisuudet työntekijöillemme kehittyä ja kukoistaa – sekä työssä että sen ulkopuolella. Liikevaihtomme vuonna 2022 oli 149,9 miljoonaa euroa. Gofore Oyj:n osake on listattu Nasdaq Helsinki Oy:ssä.
Lisätietoja Goforesta työnantajana löydät halutessasi liity joukkoon- ja kulttuurisivuiltamme.
Goforen matka tulevaisuuden datataloksi on alkanut! Meitä kiinnostaa ympäröivä maailma ja siksipä toimimmekin laaja-alaisesti niin julkisella kuin yksityisellä sektorilla. Monipuolisissa projekteissa teemme läheistä yhteistyötä erityisesti datatieteilijöiden kanssa – tiimissämme pääsee altistumaan data-aiheiden lisäksi mm. tekoälyyn ja koneoppimiseen liittyviin projekteihin.",8d,False,,501 to 1000,Company - Public,Information Technology,2001,Computer Hardware Development,$25 to $100 million,0.77,,3.4,3.6,4.1,3.6,4.4,"['""Colleagues are the best, customer projects too"" (in 12 reviews)', '""Great culture and great people"" (in 13 reviews)', '""During my years of working at Gofore, I have not seen anything bad from the management, Goforeans or anyone else."" (in 7 reviews)', '""Benefits and offices are nice"" (in 3 reviews)', '""Different opportunities to learn."" (in 10 reviews)']","['""Groping, leaking system passwords and then blaming colleagues, stalking, systematic bullying, various forms of threats, management speaking ill of employees behind their back, you name it... Amount of opportunistic, irresponsible, grandiose and even malevolent persons in Gofore is astounding."" (in 12 reviews)', '""The more Gofore is growing, the more it\'s losing its soul, it\'s becoming more and more corporate and losing its beautiful culture."" (in 13 reviews)', '""Management may also single"" (in 7 reviews)', '""A big part of Gofore\'s profit is collected from the public sector clients who don\'t know what they need, which provides a perfect opportunity to sell all kinds of ""experts"" in large quantities to them."" (in 10 reviews)']",,
Wise People Group,,Espoo,"Data & Cloud Engineer, Betolar Oyj","We are now looking for a Data & Cloud Engineer to join the concrete pioneers at Betolar!
Do you strive for elegant and technically sound implementations? You have a wide profile with an emphasis on Data and Cloud engineering. Security is not just an afterthought for you. We are looking for a senior hands-on person with a sense of ownership and a self-starter mindset.
The actual work spans from standardizing data, to building out data pipelines, and cloud infrastructure. The role is part of our Data team and collaborating closely with our CloudOps function and product teams.
In terms of data volume, we are not among the big players, nor do we have tight latency requirements yet. However, the data is rich, and the problems are massively convoluted and non-trivial. And do check out our website, we strive for real impact fast!",5d,False,,,,,,,,,,,,,,,,,,
HiQ Finland Oy,4.0,Finland,Data Engineer,"Etsimme joukkoomme Data Engineeria mielenkiintoisten asiakashankkeiden pariin. Asiantuntijuus, tiimihenki ja ystävällisyys kuvastavat meitä hiqlaisia, samaa odotamme myös uudelta tiimiläiseltämme.
Data Engineerina työskentelet osana asiakastoimituksiamme. Laajasta asiakasverkostostamme löytyy keskisuuria ja suuria suomalaisia yrityksiä monilta eri toimialoilta.
Olemme erikoistuneet korkealaatuisiin digitaalisiin palveluihin, konsultointiin ja projektitoimituksiin. Ohjelmistokehitys, design, automaatio, dataosaaminen, pilvipalvelut, laadunvarmistus ja jatkuvat palvelut kuuluvat kaikki erityisosaamiseemme.
Kehittäjiltämme odotamme asiantuntemusta ja aitoa intoa teknologiaa kohtaan. Asiakaslähtöisyys ja tiimityöskentelytaidot ovat meidän asiakkuuksissamme avainasemassa. Innostava työyhteisö ja asiantunteva tiimi sekä aktiivinen kompetenssinkehitys ja tiedonjako tukevat onnistumista.",19d,False,,201 to 500,Company - Public,Information Technology,,Information Technology Support Services,,0.75,,3.8,3.9,3.6,3.6,4.1,"['""good people and events"" (in 5 reviews)', '""Career paths are now more clear than they were before."" (in 4 reviews)', '""Great place to work, awesome benefits and competitive salary."" (in 3 reviews)', '""Relaxed work environment, it is not required to take up responsibility in projects"" (in 3 reviews)']","['""The benefits are ok (I guess) for non"" (in 3 reviews)', '""cool work environments."" (in 3 reviews)', '""some bad managers and let them act bad, old fashion"" (in 2 reviews)']",,
murata finland,3.3,Vantaa,Data Integration Engineer,"Our team is comprised of four professionals. Each member has own specialized area, but we collaborate and support each other in technical challenges and in the development of best practices. We work in a hybrid model with broad remote work possibilities, but on-site meetings are required about twice per month. This is a permanent position. Start date is negotiable, but preferably in May 2023.
Working in the Data Integration Team, activities may include:
Expanding our standard data offering to the organization
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data provided to our users",19d,False,,1001 to 5000,Company - Private,,,,,0.53,,3.4,3.4,2.7,3.1,3.0,"['""Great management overall and great company"" (in 2 reviews)', '""Great food."" (in 3 reviews)', '""Exp: Insurance coverage, medical benefit, etc."" (in 2 reviews)', '""Good and accommodating colleagues ever"" (in 1 reviews)']","['""Low pay compared to industry"" (in 2 reviews)']",,
