Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Valtech Group,,Paris,Data Engineer h/f - Paris,"Contexte
Rejoignez le département dédié à la data « stratégie et données » de Valtech, qui aide les plus grandes marques et entreprises mondiales à atteindre une croissance ambitieuse dans différents secteurs (luxe, retail, médias, etc.).
Nos clients nous choisissent en raison de la qualité de nos livrables et de notre engagement à produire des résultats commerciaux clairs et mesurables.

Notre expertise s'exprime dans les domaines de l’ingénierie et de la science des données, de l’analyse de celles-ci, de l’optimisation continue, de la technologie MarTech.",18d,False,,,Company - Public,,,,,,,,,,,,,,,
Valtech France,4.2,Paris,Data Engineer h/f - Paris,"Contexte
Rejoignez le département dédié à la data « stratégie et données » de Valtech, qui aide les plus grandes marques et entreprises mondiales à atteindre une croissance ambitieuse dans différents secteurs (luxe, retail, médias, etc.).
Nos clients nous choisissent en raison de la qualité de nos livrables et de notre engagement à produire des résultats commerciaux clairs et mesurables.

Notre expertise s'exprime dans les domaines de l’ingénierie et de la science des données, de l’analyse de celles-ci, de l’optimisation continue, de la technologie MarTech.",18d,True,,1001 to 5000,Company - Private,Media & Communication,1993,Advertising & Public Relations,$500 million to $1 billion,0.86,0.88,4.0,3.7,4.3,3.9,4.2,"['""Management cool et travail sérieux"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.1,"['Work From Home (4 comments)\n""Very flexible with support to setup""', 'Health Insurance (3 comments)\n""More should be covered; many offices don\'t accept it""']"
MICHELIN,4.1,Clermont-Ferrand,"Software Engineer F/H (Dev.se Full-stack, DevOps, SRE) - 63","Rejoindre une entreprise qui place sa transformation digitale au cœur de sa stratégie, ça vous tente ?
""Nous sommes un leader mondial des pneumatiques, mais nous sommes aussi une software-driven campany"" - Yves caseau, directeur SI et Digital du Groupe Michelin.
Chez Michelin, nous innovons pour inventer la mobilité de demain. A ce titre, les SI et le digital ont un rôle déterminant à jouer pour aider nos employés et nos clients à mieux capter et exploiter la data. Notre transformation digitale nous amène vers des SI plus « green », plus durables, plus performants qui sont de véritables aides à la prise de décision.
Pour mener cette transformation, Michelin recrute 25 Software Engineers en CDI pour des postes d'Analystes Support, Développeur.se full-stack, DevOps et SRE.",7d,False,€35K - €65K (Employer est.),10000+,Company - Public,Manufacturing,1889,Machinery Manufacturing,$10+ billion,0.82,0.93,3.7,3.6,4.1,3.6,3.9,['No Pros have been reported by the Glassdoor community.'],"['""Management top down."" (in 1 reviews)']",4.2,"['Health Insurance (6 comments)\n""All is really well indicate""', '401K Plan (4 comments)\n""I don\'t. Have this benefit ""', 'Vacation & Paid Time Off (4 comments)\n""they were generous in this""']"
Publicis Sapient,3.7,Paris,Manager QA Testing Automation H/F,"Description de l'entreprise

Publicis Sapient agit depuis plus de 30 ans au service de la transformation digitale des entreprises. Notre expertise unique, regroupée sous l’acronyme SPEED, Stratégie et Conseil, Produit, Expérience, Engineering et Data qui combinée à notre connaissance approfondie du secteur, nous permet de créer, avec nos clients, des produits et des expériences innovantes centrés sur la valeur qu’ils délivrent à leurs clients.
Notre approche agile, axée sur les données et les dernières technologies, permet de faire face au changement, en plaçant le digital et ses nouvelles manières de travailler au cœur de l’activité. Avec plus de 21 000 collaborateurs à travers 50 bureaux dans le monde, Publicis Sapient est le pôle de transformation digitale de Publicis Groupe.",30d+,False,,10000+,Company - Public,Management & Consulting,1990,Business Consulting,,0.77,0.91,3.8,3.8,3.9,3.6,3.6,"['""good work life balance and learning curve is high."" (in 1204 reviews)', '""Good Culture and values for work"" (in 1044 reviews)', '""Good salary is good"" (in 898 reviews)', '""The people are great and very welcoming."" (in 616 reviews)', '""Over all management is good"" (in 507 reviews)']","['""my previous project was not that hectic but current one is too hectic hence no work life balance."" (in 1204 reviews)', '""Some projects have an extremely hostile and toxic culture."" (in 1044 reviews)', '""And low salary comparitively"" (in 898 reviews)', '""Where are the happy people now?"" (in 616 reviews)', '""Poor management and not employees not well paid."" (in 507 reviews)']",4.0,"['Vacation & Paid Time Off (47 comments)\n""yes ood benefits in company""', 'Maternity & Paternity Leave (32 comments)\n""I have not used this but my manager had a great time and flexibility during his paternity leave""', '401K Plan (27 comments)\n""401K matches up to 5% i think""']"
Cobbleweb LTD,,Télétravail,Senior Data Engineer (online marketplace development),"This position is 100% remote
What are we looking for?
At CobbleWeb, we do not simply churn out cookie-cutter products. Our clients rely on us to turn their online marketplace ideas into sustainable businesses. That’s why we offer them a custom user-focused approach that increases their opportunities for success substantially.
Based on the Lean Startup Method (used by Google, Airbnb, Uber and Amazon) we follow a BUILD – MEASURE – LEARN process to help our clients establish product-market fit, gain competitive advantages, and grow their businesses.
The golden thread linking each step in our process is data. Without it, we cannot help our clients make informed decisions about their target audience, marketing channels, product features and much more.",30d+,False,,,,,,,,,,,,,,,,,,
ISCOD,4.3,Lyon,Alternance Software Engineer C/C++ Data structure - Lyon (F/H),"Description :
L’ISCOD, spécialiste de la formation en Digital Learning, recherche pour son entreprise partenaire, spécialisée dans la création des applications de bureau, mobiles et Web efficaces pour les sociétés Un(e) Assistant Software Engineer C/C++ Data structure en contrat d'apprentissage, pour préparer l’une de nos formations diplômantes reconnues par l'Etat de niveau 5 à niveau 6 (Bachelor Bac+3/ Master/ Bac+5).
Optez pour l’alternance nouvelle génération avec l'ISCOD !
Missions :
Vous souhaitez faire progresser vos connaissances en technologie et en informatique avec un leader du domaine de la 3D ?",13d,False,,,Company - Public,,,,,0.84,0.54,3.4,4.0,4.0,3.9,4.5,,,,
DOUGS,3.7,Télétravail,Software engineer fullstack - Lancement nouveau produit H/F,"Accompagner les entrepreneurs pour qu’ils réussissent.
Aujourd’hui j’aimerais te raconter une histoire, celle de Dougs
Dougs, c’est avant tout une histoire humaine, c’est la rencontre de Patrick, expert-comptable, et Florent, ingénieur.
C’est une mission, celle d’accompagner les entrepreneurs pour qu’ils réussissent. Comment ? Par une approche innovante et révolutionnaire de la comptabilité via une application développée en interne.
C’est parce que nous travaillons tous au service de cette mission, que nous avons le plaisir d’accompagner aujourd’hui + de 12 000 entrepreneurs.",4d,True,€35K - €55K (Employer est.),1 to 50,Company - Private,,,,,0.77,,3.8,3.8,3.9,3.6,3.8,"['""Great pay plan for finance"" (in 2 reviews)', '""The people you meet are great."" (in 1 reviews)']","['""Bad communicatiom lack of management"" (in 2 reviews)']",,
Valeo,3.6,Paris,Data Analytics Leader,"Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.
Développer, en collaboration avec les équipes BI et le Group Big Data, de nouvelles solutions pour l'exploration et l'analyse des données, principalement basées sur Google Cloud Platform (GCP).

L'équipe Analytics, en pleine synergie avec l'équipe BI, a pour mission de fournir à Valeo Service des solutions innovantes pour les aider à se développer, en s'appuyant à la fois sur des sources de données existantes et externes (via des partenariats avec d'autres entreprises, ou en utilisant des données ouvertes).

Construire et interpréter des modèles / rapports exploitables :













Business Applications Analyst
IS SSC VSA
Full time
Regular
Undefined term
2023-03-27",15d,False,,10000+,Company - Private,Manufacturing,1923,Transportation Equipment Manufacturing,$10+ billion,0.78,0.76,3.7,3.6,3.6,3.3,3.3,"['""Innovation, leader, technologie, autonomie, perspective d\'évolution"" (in 1 reviews)']","['""Management absent"" (in 4 reviews)', '""L\'industrie automobile est tres innovante et donc implique pas mal de stress car les delais sont tres cour"" (in 1 reviews)']",4.0,"['Health Insurance (24 comments)\n""Really good and affordable Health insurance. Dental and Eye is okay or could use improvement.""', 'Vacation & Paid Time Off (24 comments)\n""20+5+5 = 30 days in total - Unique in Prague at the time and still above standard. Unfortunately, it was not always possible to take all days in a given year and the last 5 days could not be carried over to the next year.""', '401K Plan (21 comments)\n""Employer matches double than we give for 401k""']"
Matmut,3.4,Rouen,CDD - DATA ENGINEER F/H,"On vous parle de nous ?

Depuis 1961, la Matmut est complice de vie de ses sociétaires. Profondément humaine et fière de son appartenance à la famille mutualiste, elle s'adresse à tous - particuliers, professionnels, entreprises, associations – en proposant une gamme complète de produits d'assurance des biens et des personnes et de services financiers et d'épargne.

La Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.
Confiante et bienveillante envers ses salariés, elle construit avec eux des parcours professionnels motivants.
Convaincue que la diversité des potentiels est une richesse, elle accompagne, forme et fait grandir tous les talents.

Envie de nous rejoindre ?

Nous recrutons des métiers assurantiels, oui… mais pas que !

Dans un contexte de remplacement de congé maternité, nous sommes à la recherche d'un(e) Data Engineer.

Votre quotidien ?

Périmètre décisionnel et Big Data :",30d+,False,,1001 to 5000,,Insurance,,Insurance Agencies & Brokerages,$1 to $5 billion,0.61,0.79,2.8,3.2,3.4,3.0,3.9,['No Pros have been reported by the Glassdoor community.'],"['""Communication entre certain service parfois compliqué."" (in 1 reviews)']",,
VITO,4.1,Télétravail,Python Engineer on FAIR Data (relocation to Belgium),"As an internationally recognized research center, VITO accelerates the transition to a sustainable world. Its world class Health team puts data and scientific innovation at the service of a healthier society. As a Python Engineer, you play a key role in PARC, a European partnership on chemical risk assessment with strong ambitions in FAIR Data reuse. We work with state-of-the-art technology and a lot of freedom to choose the best tools for the job (Docker, RDF, Airflow, Python -of course :-)-, WebAssembly, React, etc.) and we support EU-wide stakeholders in assessing the impact of chemicals on human health by setting up data repositories & flows and distributed services. Your software solutions will improve the accessibility, interoperability, and reuse of health data across and within organizations.
Some of your daily activities:
You gather requirements and needs from data users and map them to the FAIR principles.",7d,False,,501 to 1000,Company - Private,Management & Consulting,1991,Research & Development,$100 to $500 million,0.99,0.77,3.5,4.2,3.9,3.3,4.4,"['""Friendly people."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
WINK SAS,,Lille,Data Engineer H/F - Remote & Hybride,"Nous recrutons pour un Leader mondial sur ses marchés, à dimension internationale, et recrutons pour son département Digital Booster, un Data Engineer.
Votre contribution : Accélérer le développement de services digitaux au sein du Groupe et les commercialiser en utilisant une méthodologie agile.
Vous serez immergé(e) dans L'équipe du Digital Booster composée de commerciaux (Business Owners), de Product Owners, de développeurs informatiques, d'architectes et d’un UX designer.
Les données sont un atout clé pour générer de la valeur pour l'entreprise et ses clients.
Ainsi, l’accent est mis sur la stratégie de données, le flux de données, l’analyse des données pour chaque solution numérique développée.",8d,True,€35K - €55K (Employer est.),,,,,,,,,,,,,,,,,
Valeo,3.6,Créteil,Senior Cybersecurity Engineer,"Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.
Mission
The Cybersecurity Engineer develops Valeo expertise around Cyber Security in order to feed Group standards, methodology, new technologies and tool strategy in relation with the Group Central R&D organisation, worldwide Business Group R&D entities and international ecosystem.
He/She communicates across Valeo, and outside the Group in order to build international recognition and meet the high customer’s expectations in that domain.
Responsibilities
R&D Team Leader/Architect
BG R&D Engineering Cyber CDA
Full time
Regular
Undefined term
2023-04-01",10d,False,,10000+,Company - Private,Manufacturing,1923,Transportation Equipment Manufacturing,$10+ billion,0.78,0.76,3.7,3.6,3.6,3.3,3.3,"['""Good salary"" (in 20 reviews)', '""Good management"" (in 10 reviews)', '""Friendly work culture"" (in 10 reviews)', '""good benefits"" (in 7 reviews)', '""Friendly people and many nationalities"" (in 7 reviews)']","['""Low salary"" (in 20 reviews)', '""Sometimes management is not able to handle high priority task issues and then it gets a huge burden on employee to complete the task"" (in 10 reviews)']",4.0,"['Health Insurance (24 comments)\n""Really good and affordable Health insurance. Dental and Eye is okay or could use improvement.""', 'Vacation & Paid Time Off (24 comments)\n""20+5+5 = 30 days in total - Unique in Prague at the time and still above standard. Unfortunately, it was not always possible to take all days in a given year and the last 5 days could not be carried over to the next year.""', '401K Plan (21 comments)\n""Employer matches double than we give for 401k""']"
MICHELIN,4.1,Clermont-Ferrand,Alternance - Data engineering F/H,"CONTEXTE
Dans l'équipe groupe de la business line des pneus de véhicule de tourisme Michelin et BFGoodrich, nous imaginons, pilotons de le développement et déployons des outils digitaux pour les équipes marketing produit.
Dans ce monde digital en pleine évolution pour nos clients et pour nous, nous avons pleins d'opportunités à saisir.
Vous serez intégrés à ces équipes pour identifier de nouvelles sources de données, d'analyses pour aider le marketing produit à faire les bons choix et suivre les lancements de nouveaux produit.
Plus particulièrement, vous vous concentrerez sur l'amélioration des prévisions stratégiques de vente.",7d,False,€35.03 Per Hour(Employer est.),10000+,Company - Public,Manufacturing,1889,Machinery Manufacturing,$10+ billion,0.82,0.93,3.7,3.6,4.1,3.6,3.9,['No Pros have been reported by the Glassdoor community.'],"['""Management top down."" (in 1 reviews)']",4.2,"['Health Insurance (6 comments)\n""All is really well indicate""', '401K Plan (4 comments)\n""I don\'t. Have this benefit ""', 'Vacation & Paid Time Off (4 comments)\n""they were generous in this""']"
Datadvance SAS,3.9,Toulouse,Application Engineer,"Description de l'entreprise
We, at DATADVANCE, develop pSeven – a software product line for process integration, design space exploration and machine learning. Our flagship product is pSeven Enterprise – an advanced web-based collaborative low-code software platform to build, explore and deploy Digital Twins. pSeven allows companies in various industries, including aerospace, automotive, marine and offshore, to significantly reduce product design time and cost while improving quality and performance.
DATADVANCE heavily invests into development of advanced mathematical methods and numerical algorithms, as well as into the modern web-based software platform, which allows offering a truly unique product on the market.
Description du poste",30d+,True,,1 to 50,Company - Private,Information Technology,,Computer Hardware Development,,0.84,,3.4,2.4,3.4,4.1,3.9,"['""An extraordinary level of competence in optimization / data analysis; friendly atmosphere; open"" (in 1 reviews)', '""minded management"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Datapy,,Toulouse,Chef de projet Digital dans contexte Data & Aerospace F/H,"Qui sommes-nous ?
Chez DataPy, nous sommes convaincus que la donnée et la technologie sont des leviers majeurs pour rendre le monde meilleur. Les données sont devenues une ressource centrale des entreprises. Nous industrialisons leur traitement et le développement des applications qui les utilisent.
Fondée en 2019 à Paris et Toulouse, DataPy rassemble une quarantaine de consultants autour de projets dans le domaine de la Data et du dev fullstack.
À propos
Le Chef de Projet a quatre responsabilités clefs:",21d,True,€44K - €55K (Employer est.),,,,,,,,,,,,,,,,,
