Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Emphasis DigiWorld,,Athens,"Software Engineer C#, .NET (code_MSW)","Job description
At Emphasis DigiWorld, Athens Greece, we develop solutions for the sensor data-driven operational intelligence. Our team of engineers develops cloud solutions and Industrial Internet of Things (IIoT) hardware to optimize business processes for logistics, industry and mining. Our team of experts empowers the digital transformation and turns our customer vision into reality.
We are looking for a Software Engineer to join our team in Athens. You will have the opportunity to collaborate with a growing team of professionals for the analysis, design and implementation of innovative software solutions for business process visibility and optimization.
We offer a working environment that fosters creativity and we are looking for an engineer who is as excited about developing challenging software solutions, as we are.",5d,True,,,,,,,,,,,,,,,,,,
SDENG ENGINEERING BUREAU,,Greece,Structural Engineer - Πολιτικός Μηχανικός Δομοστατικός,"SDENG Engineering Bureau is the leading engineering firm in Greece specializing in construction and detail engineering services using BIM technology in the fields of Refining and Petrochemicals, Gas, Power, Cement Plants, Commercial Buildings, Infrastructures and Industries.
SDENG is located in the Port of Volos, Central Greece, addressing its expertise to a global clientele. We are currently recruiting for a Structural Engineer to join our highly-skilled engineering team. By joining our team, you will have the opportunity to develop your technical abilities, as well as, gain valued experience by collaborating with renowned construction and engineering companies worldwide.
Qualifications:
Degree in Structural Engineering,",30d+,True,€2K - €2K (Employer est.),,,,,,,,,,,,,,,,,
Sunlight Group Energy Storage Systems,,Xánthi,Junior Production Engineer (Data Analyst),"Basic Information
Sunlight Group Energy Storage Systems is a world-leading technology company and provider of innovative industrial and off-road energy storage solutions, with 30+ years of experience. We specialize in the development and production of lead-acid and lithium-ion batteries and energy storage systems for industrial mobility, leisure mobility, and ESS applications. These products are manufactured and assembled in Sunlight’s state-of-the-art facilities in Greece, Italy, and the USA, and distributed to more than 115 countries. Our core priority is to provide a safe and inclusive workplace that fosters creativity and development. Driven by our commitment to inspire our people and unlock their potential, we have created an agile and innovative environment that promotes open communication and collaboration, while offering continuous learning and development opportunities to the 1,700+ people we employ across the organization.",1 day ago,False,,,,,,,,,,,,,,,,,,
Deloitte,4.0,Heraklion Airport Terminal,Data Engineer / BI Engineer @Crete,"Basic Information
Deloitte’s professionals lead the technological development trend through cutting edge technologies and consulting services oriented to enabling clients harvest the benefits from modern data management and analytics solutions.
We are currently searching for Data Engineers/Business Intelligence Engineers for our Core Business Operations service line in Crete. The selected candidates will work in teams, have a detail-oriented mindset, analytical thinking skills, a drive for quality in technology and will be able to understand and interpret business requirements and transform them into actionable data processes.",14d,False,,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.94,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15371 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 10056 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7954 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 9037 reviews)', '""Get good benefits and Good for fresher"" (in 4301 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15371 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 10056 reviews)', '""people were nice but not good enough"" (in 7954 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 9037 reviews)', '""No benefits and many hours of unpaid work."" (in 4301 reviews)']",4.2,"['Health Insurance (765 comments)\n""A lot of options. Just wish it were cheaper.""', 'Vacation & Paid Time Off (640 comments)\n""vaation and paid time off is fine""', '401K Plan (423 comments)\n""401k has gotten better, but more matching would be ideal.""']"
Deloitte,4.0,Patras,Data Engineer / BI Engineer @Patras,"Basic Information
Deloitte’s professionals lead the technological development trend through cutting edge technologies and consulting services oriented to enabling clients harvest the benefits from modern data management and analytics solutions.
We are currently searching for Data Engineers/Business Intelligence Engineers for our Core Business Operations service line in Patra. The selected candidates will work in teams, have a detail-oriented mindset, analytical thinking skills, a drive for quality in technology and will be able to understand and interpret business requirements and transform them into actionable data processes.",14d,False,,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.94,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15371 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 10056 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7954 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 9037 reviews)', '""Get good benefits and Good for fresher"" (in 4301 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15371 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 10056 reviews)', '""people were nice but not good enough"" (in 7954 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 9037 reviews)', '""No benefits and many hours of unpaid work."" (in 4301 reviews)']",4.2,"['Health Insurance (765 comments)\n""A lot of options. Just wish it were cheaper.""', 'Vacation & Paid Time Off (640 comments)\n""vaation and paid time off is fine""', '401K Plan (423 comments)\n""401k has gotten better, but more matching would be ideal.""']"
Deloitte,4.0,Heraklion Airport Terminal,Data Engineer / BI Engineer @ Ioannnina,"Basic Information
Deloitte’s professionals lead the technological development trend through cutting edge technologies and consulting services oriented to enabling clients harvest the benefits from modern data management and analytics solutions.
We are currently searching for Data Engineers/Business Intelligence Engineers for our Core Business Operations service line in Ioannina. The selected candidates will work in teams, have a detail-oriented mindset, analytical thinking skills, a drive for quality in technology and will be able to understand and interpret business requirements and transform them into actionable data processes.",14d,False,,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.94,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15371 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 10056 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7954 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 9037 reviews)', '""Get good benefits and Good for fresher"" (in 4301 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15371 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 10056 reviews)', '""people were nice but not good enough"" (in 7954 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 9037 reviews)', '""No benefits and many hours of unpaid work."" (in 4301 reviews)']",4.2,"['Health Insurance (765 comments)\n""A lot of options. Just wish it were cheaper.""', 'Vacation & Paid Time Off (640 comments)\n""vaation and paid time off is fine""', '401K Plan (423 comments)\n""401k has gotten better, but more matching would be ideal.""']"
Deloitte,4.0,Thessaloníki,Data Engineer / BI Engineer @Thessaloniki,"Basic Information
Deloitte’s professionals lead the technological development trend through cutting edge technologies and consulting services oriented to enabling clients harvest the benefits from modern data management and analytics solutions.
We are currently searching for Data Engineers/Business Intelligence Engineers for our Core Business Operations service line in Thessaloniki. The selected candidates will work in teams, have a detail-oriented mindset, analytical thinking skills, a drive for quality in technology and will be able to understand and interpret business requirements and transform them into actionable data processes.",15d,False,,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.94,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15371 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 10056 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7954 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 9037 reviews)', '""Get good benefits and Good for fresher"" (in 4301 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15371 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 10056 reviews)', '""people were nice but not good enough"" (in 7954 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 9037 reviews)', '""No benefits and many hours of unpaid work."" (in 4301 reviews)']",4.2,"['Health Insurance (765 comments)\n""A lot of options. Just wish it were cheaper.""', 'Vacation & Paid Time Off (640 comments)\n""vaation and paid time off is fine""', '401K Plan (423 comments)\n""401k has gotten better, but more matching would be ideal.""']"
Ansys,4.3,Greece,Senior Site Reliability Engineer *Remote*,"Ansys is the global leader in engineering simulation. We empower the world’s most innovative companies to deliver transformational products to their customers. By offering the best and broadest portfolio of engineering simulation software solutions, we help our customers solve the most complex design challenges and engineer products limited only by imagination. Whether you are a software developer, product engineer, sales team member, or part of our corporate team, at Ansys we know that by embracing what makes us each unique, we become collectively better.

SUMMARY
Ansys is seeking an experienced Senior Cloud DevOps/SRE Engineer to be part of a rapidly growing team that’s responsible for design, build and delivery of the application stacks for product teams in a cloud-based environment. You will be working closely with software and QA engineers, to build and maintain the right cloud infrastructure, balancing performance and resilience with cost. As part of a growing team focused on emergent technologies, you will run the production environment by monitoring availability and taking a holistic view of system health to ensure quality, security, and reliability. You will provide primary operational support and engineering for multiple large, distributed software applications across multi cloud service providers.",4d,False,,1001 to 5000,Company - Public,Information Technology,1970,Computer Hardware Development,$1 to $5 billion,0.89,0.98,3.9,3.9,4.3,4.0,4.3,"['""Good work life balance and learn simulation if you want"" (in 90 reviews)', '""Good salary and definitely improve your skills level"" (in 101 reviews)', '""Good people to work with"" (in 111 reviews)', '""Good management"" (in 60 reviews)', '""Good work culture"" (in 75 reviews)']","['""Inconsistent work/life balance depending on team."" (in 90 reviews)', '""Low salary compared to other IT companies."" (in 101 reviews)', '""Very flexible, good people to work with."" (in 111 reviews)', '""Poor management, at least for developers, only these who has good relations with header get promoted."" (in 60 reviews)', '""Lazy and under motivated work culture."" (in 75 reviews)']",3.9,"['Health Insurance (26 comments)\n""All offerings as expected - but expensive""', '401K Plan (10 comments)\n""Better than most and good matching""', 'Work From Home (9 comments)\n""Hybrid work is supported by the company""']"
DOVALUE GREECE,3.4,Athens,Azure Data Engineer,"Basic Information
The doValue Group is the main activity operator in Southern Europe for the management of credit assets and real estate arising from non-performing loans, with over 20 years of experience and approximately €140 billion worth of assets under management.

We are looking for an Azure Data Engineer to join our team and share our values to work as a Team Together in order to provide the best solutions to our clients.

Responsibilities
What will your typical day to day look like? You will:",30d+,False,,,Company - Public,,,,,0.56,0.8,2.7,3.2,3.4,3.0,3.0,"['""bad salary"" (in 5 reviews)', '""good working environment and valuable experience"" (in 7 reviews)', '""Good colleagues"" (in 3 reviews)']","['""No work life balance"" (in 7 reviews)', '""No career growth"" (in 5 reviews)']",,
Ispass Technologies Ltd,,Cyprus,Data Engineer,"We are looking for a Data Engineer to join our team! If you are an enthusiastic Data Engineer who enjoy to design, develop, test, and maintain data architectures and systems, enabling the company to efficiently process, analyze and utilize data; then you are a fit for the role! Transforming raw data into useful information providing the organization with decision-making insights is part of the job!

Job Responsibilities

Design and build data pipelines
Design and maintain data storage and infrastructure",15d,True,,51 to 200,Company - Private,,,,,,,,,,,,,,,
