Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Ispass Technologies Ltd,,Cyprus,Data Engineer,"We are looking for a Data Engineer to join our team! If you are an enthusiastic Data Engineer who enjoy to design, develop, test, and maintain data architectures and systems, enabling the company to efficiently process, analyze and utilize data; then you are a fit for the role! Transforming raw data into useful information providing the organization with decision-making insights is part of the job!

Job Responsibilities

Design and build data pipelines
Design and maintain data storage and infrastructure",,3d,True,51 to 200,Company - Private,,,,,,,,,,,,,,,
Synthetica,5.0,Athens,Jr Data Engineer,"Basic Information
Synthetica is a data science company that specializes in the design, development, and delivery of customized software solutions that can seamlessly be integrated into a company’s workflow and improve its efficiency and productivity.
Our team is growing and we are looking for Junior Deep Learning Engineer who will become an integral part of our product delivery process.

Responsibilities
You will create, maintain and optimize data architectures and pipelines",,21d,False,1 to 50,Company - Private,,,,,1.0,,5.0,5.0,5.0,5.0,5.0,"['""Flexible working hours"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
MUFG Investor Services,3.6,Athens,Data Engineer - Cyprus based,"Company Description
MUFG Investor Services is a member of the Mitsubishi UFJ Financial Group, a leading global financial services group, aiming to deliver unparalleled experience to the Group’s customers by successfully meeting their continuous needs. We’ve a vision and a road map for becoming a standout service provider in the fund admin industry. We have the best in class technology to service our clients and we are constantly looking for improvements to stay a head of the curve.
We’re growing our local footprint in Cyprus and will be moving to a new state of the art office location this summer. Imagine your future at MUFG Investor Services where you can grow professionally, in a diverse and inclusive workplace that rewards your contribution.
Job Description
Based at our Limassol office, the successful candidate will be part of a team which will be responsible for the correct, timely and efficient flow of data from various source systems to various end points.",,2d,True,10000+,Company - Public,Financial Services,1864,Banking & Lending,$10+ billion,0.61,,3.2,3.3,3.5,3.2,3.5,"['""Strong and Good work life balance"" (in 323 reviews)', '""great people in my team"" (in 312 reviews)', '""great culture and exit opps"" (in 284 reviews)', '""Good benefit is good one"" (in 207 reviews)', '""Good salary"" (in 341 reviews)']","['""no work life balance for no reason"" (in 323 reviews)', '""Quite Competitive.. but nice people."" (in 312 reviews)', '""poor culture, internally incredibly messy"" (in 284 reviews)', '""8. Poor benefits compared to other banks"" (in 207 reviews)', '""Low salary and hard to get promoted"" (in 341 reviews)']",4.0,"['Health Insurance (57 comments)\n""Comprehensive; great coverage - at par with other companies in Halifax""', 'Vacation & Paid Time Off (32 comments)\n""No vacation and paid time off""', '401K Plan (15 comments)\n""Good contribution rate, however it does not pay out until the end of the year so if you leave in November you lose their contribution for the year.""']"
Commsquare,4.6,Athens,Junior Telecom Data Analysis Engineer,"Basic Information
Commsquare is are currently looking to expand our Analytics Team in Athens, with a Junior Telecom Data Analysis Engineer.

Responsibilities
Participation in the various phases of the post-processing chain of drive test measurement data: importing and validation; transformation of data into a useful format for analysis; creation of specific visualisations; analysis and reporting
Development and maintenance of validation and analysis modules over our data warehouse using Tableau, SQL and Python scripts",,21d,False,201 to 500,,,,,,1.0,,4.1,4.5,4.8,4.5,4.8,"['""Amazing colleagues with great work atmosphere, challenging tasks with new technologies, focus to quality!"" (in 4 reviews)', '""Very good compensation and benefits"" (in 3 reviews)', '""Good benefits."" (in 1 reviews)', '""Great environment and team culture."" (in 1 reviews)']","['""Mediocre management on software requirements, design and timeschedule because everyone does many things or do not know how to do it."" (in 2 reviews)']",,
Intelligencia,5.0,Greece,Data Engineer,"Intelligencia.ai is a technology company at the heart of Healthcare and AI. Our mission is to bring novel therapies to patients faster and more efficiently by applying Data Science to Drug Development. We are pioneering the use of AI for assessing and addressing fundamental risks to maximize the odds of multiple life changing therapeutics.
Our people are the core of our success. We are a fast growing company that operates in a diverse, cross-functional and flexible environment. Our team consists of intellectually curious minds with a can-do attitude that love what they do and enjoy being part of a highly collaborative team. Together, we are solving complex problems and making a positive impact on people's lives by building cutting-edge technologies.
Our Engineering team is focused on applying engineering rigor and innovative design elements to our machine learning driven platform with a mission to accelerate drug development process. This role will be a key contributor to the design and implementation of data engineering pipelines to ingest billions of data points across hundreds of features from publications, patents, genomics, and many other sources.",,30d+,True,51 to 200,Company - Private,Information Technology,2017,Enterprise Software & Network Solutions,,1.0,,4.9,4.9,4.9,4.9,4.8,"['""Great opportunity to meet people and to work for a extremely fast"" (in 1 reviews)', '""Great work life balance."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
PrimeTel,3.4,Cyprus,Junior Network Engineer,"Location: Limassol
PrimeTel is one of Cyprus’ leading telecommunication providers offering telephone, internet, television and mobile services. In PrimeTel, we strongly believe that our positioning in the market, our technology, our reputation and strength have all been achieved through our talented, dynamic and enthusiastic professionals. We are always looking for new colleagues to join our company and help our business to reach new levels of excellence.
If you meet the criteria for Junior Network Engineer, then we are looking forward for you to join our family.",,30d+,False,201 to 500,Company - Private,Telecommunications,,Telecommunications Services,$25 to $100 million,0.55,,3.1,2.6,3.3,3.0,3.5,['No Pros have been reported by the Glassdoor community.'],"['""No bonus or raise."" (in 3 reviews)']",,
Capture One,3.5,Athens,Associate Data Engineer,"Help us shape the future of photography
Born out of a passion for photography, we provide photographers with the tools to easily collaborate with clients and creatives, achieve the highest quality photographs, and bring their visions to life. We are on a journey to become the most efficient ecosystem of creative and collaborative tools with a flexible photography workflow seamlessly spanning across multiple devices, letting you work from anywhere and with anyone.

The role
Analytics are at the heart of Capture One’s success. In this role, you will empower the business through connecting the data of our 250K+ global customers, which enables us to turn data into actionable insights in support of our ambitious growth goals.",,7d,True,51 to 200,Company - Private,Information Technology,,Computer Hardware Development,,0.72,,3.8,3.5,3.7,3.7,4.1,"['""Friendly, knowledgeable colleagues"" (in 11 reviews)', '""Leadership is knowledgable, passionate, down"" (in 4 reviews)', '""A lot to learn and work with the newest technology in a really friendly environment with the best working conditions and Scandinavian work ethic."" (in 3 reviews)']","['""Not the most competitive salary."" (in 4 reviews)', '""Working for Capture One is a precarious business, one rife with toxic work culture, bad management, poor leadership, and employees who consistently feel devalued and mistreated."" (in 4 reviews)', '""Not everyone is good with change (and not everyone is good with change management), and when change/restructure happens people can get very angry."" (in 5 reviews)']",,
ATC GR,5.0,Athens,Data Engineer,"Athens Technology Center seeks for a Data Engineer (Athens/ Thessaloniki/ hybrid)

About us
ATC is an Information Technology Company offering solutions and services targeting specific sectors incl. the Media, Banking, Retail Sectors, Utilities and Public Sector Organisations. As a full-service software development company, we apply modern design principles, along with the latest data science, machine learning, cloud, mobile and desktop technologies. We strive to deliver quality software solutions for top clients and global leaders in numerous industries, while at the same time being at the forefront of research and innovation.",,30d+,False,,Company - Private,Manufacturing,,Machinery Manufacturing,,1.0,,5.0,4.0,5.0,5.0,5.0,"['""Great people great place and good pay on all levels of the company."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],5.0,
MAN Energy Solutions,3.7,Greece,Data Engineer Greece,"What you should know about us
MAN Energy Solutions enables it customers to achieve sustainable value creation in the transition towards a carbon neutral future. Addressing tomorrow's challenges within the marine, energy and industrial sectors, we improve efficiency and performance at a systematic level. Leading the way in advanced engineering for more than 250 years, we provide a unique portfolio of technologies. Headquartered in Germany, MAN Energy Solutions employs some 15,000 people at over 120 sites globally. Our after sales brand, MAN PrimeServ offers a vast network of service centers to our customers all over the world.
MAN Energy Solution Hellas Ltd is looking for a Data Engineer to work on identification of Internal Combustion Engine Components, Construction of Engine Spare Parts List Database and Maintenance of Spares Parts Database. The job requires you to work independently while you have a strong sense of community and can work in teams.

Our work environment is characterized by openness, where knowledge sharing is a natural part of everyday life. Freedom with responsibility is an integral part of our corporate culture.",,30d+,False,10000+,Company - Private,,,,,0.75,0.84,3.1,3.5,3.7,3.1,3.9,"['""Global exposure, salary, work life balance"" (in 38 reviews)', '""good work life balance"" (in 31 reviews)', '""2. Management back up is appreciable."" (in 24 reviews)', '""People are nice and friendly"" (in 23 reviews)', '""It is a great working environment"" (in 25 reviews)']","['""Salary is low compare to competitors"" (in 38 reviews)', '""Change management and high sales targets"" (in 24 reviews)', '""Too many office politics by people who love too much power"" (in 23 reviews)']",4.0,
Margera,4.7,Greece,Junior Analytics Software Engineer (remote),"Margera is a boutique analytics agency founded by an x-Googler. We help Enterprise companies grow through the use of data and analytics. We are proud to support top companies in various industries such as banks (Eurobank, Piraeus Bank, Astrobank), travel-related (Aegean Airlines, Sani/ikos Hotels), tobacco (Philip Morris in 6 countries) and gaming (OPAP, Stoiximan, novibet). Our main services are Digital Analytics (we are the only Google Analytics Sales Partner in Greece/Cyprus), Data warehousing (on-prem or on the Cloud), BI and Machine Learning.

We have an ambitious growth plan (x5 in 3 years) and we are looking for a professional who will be joining our Data Engineering Team.",,30d+,True,1 to 50,Company - Private,Management & Consulting,2019,Business Consulting,,0.89,,4.3,4.3,4.3,4.3,4.2,"['""1) Very friendly colleagues"" (in 16 reviews)', '""There is opportunity to learn and develop, as they let you work on projects that may require technologies that you have little experience on."" (in 11 reviews)', '""Attractive salary"" (in 8 reviews)', '""Great team spirit"" (in 5 reviews)', '""Minimum meetings, which allows to you complete work faster."" (in 5 reviews)']","['""Vague instructions and pointless follow up meetings."" (in 5 reviews)']",,
