Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Motiva Consulting Limited,,Hong Kong,AI/ML Engineer,"Responsibilities:
Design and develop AI/ML models and algorithms to solve complex business problems.
Collaborate with cross-functional teams, including data scientists, software engineers, and product managers, to understand business requirements and develop solutions that meet business needs.
Explore and evaluate new AI/ML technologies and techniques and incorporate them into our development process.
Develop and maintain data pipelines to support AI/ML models and algorithms.
Deploy and monitor AI/ML models and algorithms in production environments.
Requirements:",24h,True,HK$25K - HK$40K (Employer est.),1 to 50,Company - Public,,,,,,,,,,,,,,,
MTR Corporation,3.7,Hong Kong,Data Engineer,"Data Engineer (Ref: 220000VH)

Responsibilities
Conduct big data analytics in the Data Studio, develop analytics systems and generate dashboards/ visualisations to enable effective performance monitoring of railway systems and decision making
Maintaining the availability, usability, integrity and security of the data in Data Studio based on the internal data governance standards and polices
Support to develop standards, policies and procedures for data management framework and supervise data stewardship and data quality
Design, build, test and maintain highly scalable data pipeline, data interfaces and data warehouse systems in the Data Studio for acquiring data from multiple data sources and maintain the databases in servers",1 day ago,False,,10000+,Company - Public,Transportation & Logistics,1975,Taxi & Car Services,$5 to $10 billion,0.63,0.64,3.2,3.6,3.1,2.9,3.3,"['""good salary and benefit for staff"" (in 26 reviews)', '""Well strcutured company with good benefit"" (in 11 reviews)', '""Nothing to do, but good working culture"" (in 14 reviews)', '""Good working environment"" (in 11 reviews)', '""Provide sufficient and support for training and coaching period"" (in 11 reviews)']","['""salary not aligned with gov"" (in 26 reviews)', '""slave drivers, poor technology, no benefits, dictatorship"" (in 11 reviews)', '""working culture is not good, sometime under snow"" (in 14 reviews)']",,
Neuron Digital,,New Territories,Data Scientist / Big Data Engineer (Fresh Graduate and Interim Welcome),"Job Highlight
Create, develop and maintain big data pipeline for the cloud data platform
Apply big data analytic technologies to develop cloud native analytic algorithm for structured data, unstructured data, time series data and other IoT applications
Conduct research on state-of-the-art technologies to solve business problems
Working with our domain expert to develop unique AI algorithm for smart building and smart city applications
Collaborate with academic, industry partners and customers to drive innovative and forward-looking AI technologies
Research latest technologies and techniques of big data sources / deep learning and Machine Learning techniques",8d,True,HK$20K - HK$24K (Employer est.),,,,,,,,,,,,,,,,,
Hoplite Technology,,Hong Kong,Data Engineer (BigData),"We are constantly looking for talents @ Hoplite Technology. For technical posts, we offer the following benefits:
50% subsidy for security certifications: CISSP, CISA, OSCP
Double Pay
5 Day Work
Flexible Work hours
Please email your CV to hr@hoplite-tech.com for further proceedings.
Primary Job Functions:
Maintain database systems and daily administration",10d,False,,1 to 50,Company - Private,,,,,,,,,,,,,,,
Siemens,4.1,Hong Kong,Graduate Trainee Engineer Program 2023,"Graduate Trainee Engineer Program 2023

Forewords

Have you ever imagined contributing the society with your ability? Being an engineer would be one of the best choices.

Engineers have obligations to the public, their clients, employers and the profession. An engineer is a professional practitioner of engineering, concerned with applying scientific knowledge, mathematics, and ingenuity to develop solutions for technical, societal and commercial problems. He/She has to develop solutions to engineering problems using new or existing technologies, through innovation.

Siemens, as a technology and engineering leading company, aiming impact to the society and nutrition of future talents, offers an excellent platform for the engineering students both locally and around the world. There are unlimited and unbounded possibilities and opportunities as industrial Internet of Things (iIoT), Cloud Technologies, aside from the traditional electrical industry, pursuing your career.",30d+,False,,10000+,Company - Public,Manufacturing,1847,Electronics Manufacturing,$10+ billion,0.83,0.9,3.8,3.7,4.1,3.7,4.1,"['""Good work life balance and"" (in 686 reviews)', '""good salary and overtime if needed"" (in 566 reviews)', '""Company has good management and they are friendly."" (in 262 reviews)', '""Good work culture and Cafeteria."" (in 357 reviews)', '""Benefits are good and ok"" (in 217 reviews)']","['""No work life balance for contract employee"" (in 686 reviews)', '""Low salary and when having discussions about negotiations"" (in 566 reviews)', '""Management is poor"" (in 262 reviews)', '""Bad management , Bad work culture"" (in 357 reviews)', '""You will find all the best benefits here"" (in 217 reviews)']",3.9,"['Health Insurance (190 comments)\n""does not cover dental package.""', 'Vacation & Paid Time Off (158 comments)\n""compliant with the local law &amp; regulations.""', '401K Plan (104 comments)\n""They match the benefit so good""']"
JustOneGalaxy Recruitment,,Central,Data Engineer (Financial/ E-commerce),"Data Engineer
The position we offer:
As a Data engineer you will develop, maintain, test and evaluate data solutions within our next generation Data and Analytics Platform. Data engineering are also involved in the design of data solutions matching capabilities to priority business challenges. The Data Engineer also builds and maintains application with cutting-edge AI / Machine Learning technology to resolve complex business challenges.
You should have extensive experience in software development with Agile methodology, continuous integration and automated releases. Experience in engineering (commercial or open source) software platforms and large-scale data infrastructures is a must.",30d+,True,HK$20K - HK$50K (Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
Sapientia Technologies Limited,5.0,Hong Kong,Graduate Machine Learning Engineer 2022-2023,"About your role:
Participate actively in the research and development of trading strategies based on machine learning/deep learning frameworks, including strategy implementation and optimization.
Establish scientific and systematic framework for the performance evaluation of models
Study and research into emerging frontiers in Machine Learning area to propel fundamental research.

About your background:",30d+,True,,,Company - Public,,,,,,1.0,4.0,4.0,2.0,4.0,3.0,"['""Flat hierarchy, CTO is very nice"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Salt Recruitment,3.8,Hong Kong,Data Engineer,"“Where there is data smoke, there is business fire.”
Calling all Data Enthusiasts!
If this is you, send in your CV and we shall discuss about the opportunity!
Champion in Azure Data Factory
No stranger to ETL data pipeline on data collection from various sources
Super familiar with databases e.g. setup, optimization, security best practices and stored procedures / SQL statements
Knows Python or R statistical programming language
Good understanding of data (machine learning) models",29d,False,HK$480K - HK$600K (Employer est.),201 to 500,Company - Private,Human Resources & Staffing,2010,HR Consulting,$5 to $25 million,0.65,,3.9,3.3,3.6,3.7,3.8,"['""Positive vibes, good culture and loads of chances to mingle outside of work through various company incentives (generally 2 incentives per month minimum)."" (in 16 reviews)', '""Awesome people and culture, team leads are strong and knowledgeable"" (in 21 reviews)', '""Great management"" (in 15 reviews)', '""Great commission and reward structure."" (in 14 reviews)', '""Clear Career Path"" (in 15 reviews)']","['""Culture is no longer the same with top management suppressing speech, and deflecting problems/fault back to staff when her suggestions falls through."" (in 16 reviews)', '""Management is awful, the targets are unrealistic, and people are bullied to the point they don\'t want to come into the office."" (in 15 reviews)', '""You need to meet the goal of 10 assisted placements before the promotion, which is so unrealistic and holds you back from being able to make any decent commission."" (in 14 reviews)']",5.0,
MTR Corporation,3.7,Hong Kong,IECC Engineer,"IECC Engineer (Ref: 2300008V)

Responsibilities
Perform relevant departmental systems / equipment monitoring including power supply system, environmental control system, signalling system and Pway system
Perform incident handling and fault recovery in collaboration with various stakeholders in order to minimise the impact to train service and operations in respective Infrastructure Engineering Control Centre (IECC) for all lines
Maintain and centralise the fault reporting history with system monitoring facilities for reviewing the possible improvement of Fault Recovery Guidelines on system monitoring, fault recovery and communications with various stakeholders",24h,False,,10000+,Company - Public,Transportation & Logistics,1975,Taxi & Car Services,$5 to $10 billion,0.63,0.64,3.2,3.6,3.1,2.9,3.3,"['""good salary and benefit for staff"" (in 26 reviews)', '""Well strcutured company with good benefit"" (in 11 reviews)', '""Nothing to do, but good working culture"" (in 14 reviews)', '""Good working environment"" (in 11 reviews)', '""Provide sufficient and support for training and coaching period"" (in 11 reviews)']","['""salary not aligned with gov"" (in 26 reviews)', '""slave drivers, poor technology, no benefits, dictatorship"" (in 11 reviews)', '""working culture is not good, sometime under snow"" (in 14 reviews)']",,
JAC Recruitment,3.9,Hong Kong,Data Engineer,"Job title:
Data Engineer

Contract type:
Permanent

Location:
Hong Kong

Specialisation:
Services

Salary:
$360,000 - $480,000",24h,False,HK$360K - HK$480K (Employer est.),1001 to 5000,Company - Public,Human Resources & Staffing,1975,HR Consulting,$100 to $500 million,0.78,,3.7,3.7,3.8,3.5,3.9,"['""Cheerful and fun colleagues"" (in 23 reviews)', '""Friendly culture"" (in 20 reviews)', '""Not bad basic salary."" (in 17 reviews)', '""The company provides good benefit for working parents."" (in 8 reviews)', '""great environment."" (in 22 reviews)']","['""Japanese culture is quite stringent"" (in 20 reviews)', '""Low base salary, not competitive in market"" (in 17 reviews)', '""No great company benefits at the time"" (in 8 reviews)', '""Bad environment overall"" (in 22 reviews)']",,
