Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Infineon Technologies AG,4.2,Cegléd,Soldering Technology (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

Backend
The backend segments enable the development of comprehensive innovation across the entire value chain: starting with chip manufacturing, to wafer testing, preassembly, package development and development of new materials. The backend cluster combines the competencies for planning, productivity, innovation and quality, assembly and testing.

The term gender in the sense of the General Equal Treatment Act (GETA) or other national legislation refers to the biological assignment to a gender group. At Infineon we are proud to embrace (gender) diversity, including female, male and diverse.",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Work life balance is good and manageable"" (in 396 reviews)', '""salary is good"" (in 374 reviews)', '""Colleagues are friendly and helpful"" (in 317 reviews)', '""Good benefit for self and family"" (in 190 reviews)', '""Regular 1:1 with management and good alignment"" (in 210 reviews)']","['""Descent pay, work life balance"" (in 396 reviews)', '""Salaries are low and there is no stock option program."" (in 374 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 317 reviews)', '""Bad benefits and compensations for such a big company"" (in 190 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 210 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Cegléd,Factory Integration Engineer - Equipment Automation (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

Backend
The backend segments enable the development of comprehensive innovation across the entire value chain: starting with chip manufacturing, to wafer testing, preassembly, package development and development of new materials. The backend cluster combines the competencies for planning, productivity, innovation and quality, assembly and testing.

The term gender in the sense of the General Equal Treatment Act (GETA) or other national legislation refers to the biological assignment to a gender group. At Infineon we are proud to embrace (gender) diversity, including female, male and diverse.",20d,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Work life balance is good and manageable"" (in 396 reviews)', '""salary is good"" (in 374 reviews)', '""Colleagues are friendly and helpful"" (in 317 reviews)', '""Good benefit for self and family"" (in 190 reviews)', '""Regular 1:1 with management and good alignment"" (in 210 reviews)']","['""Descent pay, work life balance"" (in 396 reviews)', '""Salaries are low and there is no stock option program."" (in 374 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 317 reviews)', '""Bad benefits and compensations for such a big company"" (in 190 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 210 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Budapest,Electric Development Engineer (L&M ED) (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

- Industrial Power Control (IPC) empowers a world of unlimited energy -

Power semiconductors play a crucial role in increasing efficiency and reducing energy losses along the whole energy conversion chain.
As the global leader in power semiconductors, Infineon IPC delivers leading products and solutions for smart and efficient energy generation, transmission and consumption. We strive to make this planet a greener place where sufficient energy is accessible to everyone - wherever and whenever they need it.

Click here
for more information about working at IPC with interesting employee and management insights and an overview with more .",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Work life balance is good and manageable"" (in 396 reviews)', '""salary is good"" (in 374 reviews)', '""Colleagues are friendly and helpful"" (in 317 reviews)', '""Good benefit for self and family"" (in 190 reviews)', '""Regular 1:1 with management and good alignment"" (in 210 reviews)']","['""Descent pay, work life balance"" (in 396 reviews)', '""Salaries are low and there is no stock option program."" (in 374 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 317 reviews)', '""Bad benefits and compensations for such a big company"" (in 190 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 210 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
"Stafast Products, Inc.",4.1,Budapest,"Outside Sales Representative, Focus on Eastern Europe","Job Description: Outside Sales Representative, Focus Eastern Europe
Stafast Products Inc. is a growing fastener supplier with locations worldwide. Founded in 1958, Stafast continues to engineer products that meet or exceed their customers’ expectations.
Essential Job Functions:
Responsible for following Stafast’s policies and objectives to successfully meet or exceed the goals of the sales dept. and the company.
Communicate with current and potential customers by personal site visits, remote meetings, telephone, email and other means to develop the need for, and close the sale of, company products with full responsibility for sales activities and further development of our customer base throughout Europe with a concentration in Eastern Europe.",7d,True,HUF 22M - HUF 27M (Employer est.),51 to 200,Company - Private,Retail & Wholesale,,Wholesale,$25 to $100 million,0.72,1.0,3.8,4.3,4.4,4.1,4.3,"['""Great People at the company"" (in 2 reviews)', '""pay decent and close to where I lived in OH"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.0,
Infineon Technologies AG,4.2,Budapest,Electrical Engineer / Physicist Electrical Development Power Semiconductors (f/m/div),"Part of your life. Part of tomorrow.

We make life easier, safer and greener - with technology that achieves more, consumes less and is accessible to everyone. Microelectronics from Infineon is the key to a better future. Efficient use of energy, environmentally-friendly mobility and security in a connected world - we solve some of the most critical challenges that our society faces while taking a conscientious approach to the use of natural resources.

- Industrial Power Control (IPC) empowers a world of unlimited energy -

Power semiconductors play a crucial role in increasing efficiency and reducing energy losses along the whole energy conversion chain.
As the global leader in power semiconductors, Infineon IPC delivers leading products and solutions for smart and efficient energy generation, transmission and consumption. We strive to make this planet a greener place where sufficient energy is accessible to everyone - wherever and whenever they need it.


for more information about working at IPC with interesting employee and management insights and an overview with more .",30d+,False,,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.86,0.95,3.9,3.8,4.1,3.7,4.1,"['""Work life balance is good and manageable"" (in 396 reviews)', '""salary is good"" (in 374 reviews)', '""Colleagues are friendly and helpful"" (in 317 reviews)', '""Good benefit for self and family"" (in 190 reviews)', '""Regular 1:1 with management and good alignment"" (in 210 reviews)']","['""Descent pay, work life balance"" (in 396 reviews)', '""Salaries are low and there is no stock option program."" (in 374 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 317 reviews)', '""Bad benefits and compensations for such a big company"" (in 190 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 210 reviews)']",3.9,"['Health Insurance (22 comments)\n""basic medlife health insurance plus additional insurance""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Brandwatch,3.5,Budapest,Site Reliability Engineer,"Brandwatch is the world’s premier social suite, empowering over 7,500 of the world’s most admired companies to understand and engage with customers at the speed of social.

Combining pioneering, AI-enriched digital consumer intelligence with industry-leading social media management tools, Brandwatch offers a complementary suite of specialized, best-in-class products and services that support intelligently connected workflows. With Brandwatch, brands and agencies can adapt and thrive in today’s fast moving digital world by making smarter decisions and executing data-driven social strategies at every customer touchpoint.

Operating and serving clients the world over, Brandwatch has 15 offices across the globe and more than 1,000 employees worldwide. Brandwatch is a Cision Company.

As a Site Reliability Engineer, you will help build, scale, maintain, and improve the infrastructure of a fast-growing Customer Experience platform. You will be using modern technology to solve hard problems in a friendly and supportive work environment. You will be encouraged to share your experience and knowledge, collaborating with your colleagues to grow together!",30d+,True,,1001 to 5000,Company - Private,Information Technology,2007,Enterprise Software & Network Solutions,,0.57,0.32,3.4,3.1,3.4,3.1,3.9,"['""Awesome culture and great benefits"" (in 79 reviews)', '""The people are great and you\'re encouraged to take responsibility and follow your inclinations."" (in 93 reviews)', '""Good benefits if you close deals"" (in 40 reviews)', '""The absolute worst company and management I\'ve ever worked for."" (in 57 reviews)', '""great leadership, focus on learning, take care of employees"" (in 49 reviews)']","['""Longstanding and new employees are all leaving because the culture has changed so much and the strategy was a complete mess."" (in 79 reviews)', '""The people were pushy and arrogant."" (in 93 reviews)', '""Not a lot of benefits (wellness/ exercise/ food)"" (in 40 reviews)', '""management constantly changing."" (in 57 reviews)', '""Multiple people have left the research team recently because of poor leadership, some without jobs lined up, and the rest of us are trying to figure how to get out."" (in 49 reviews)']",4.1,
Bosch Group,4.2,Budapest,Data Engineer,"Company Description

Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe.
Welcome to Bosch.
The Bosch Engineering Centre of Budapest has been established in 2005. Today, it is a major research and development hub within the Bosch world focusing on the big mobility trends: automated, electrified and connected mobility. More than 2400 engineers are working together on complex automotive products within various fields of engineering from software to mechanical and hardware product development. Your ideas will be part of products improving the life across the globe.",30d+,True,,10000+,Company - Private,Manufacturing,1886,Consumer Product Manufacturing,$10+ billion,0.88,0.85,3.9,3.8,4.2,3.7,4.1,"['""Fair and good salary."" (in 268 reviews)', '""work life balance is good"" (in 204 reviews)', '""Management is good"" (in 108 reviews)', '""Good benefits and the environment is suitable for everyone"" (in 110 reviews)', '""A Vlvery good culture company"" (in 194 reviews)']","['""Many tasks &amp; workload with low salary"" (in 268 reviews)', '""Depends on Team work life balance will be there"" (in 204 reviews)', '""Poor management"" (in 108 reviews)', '""Average benefits"" (in 110 reviews)', '""High competitive culture which dificults collaboration between colleagues and to get stuff done quickly."" (in 194 reviews)']",4.0,"['Health Insurance (33 comments)\n""It doesn\'t cover private health insurance.""', 'Vacation & Paid Time Off (25 comments)\n""It should be included in all companies.""', '401K Plan (18 comments)\n""it just common like others""']"
Sanofi,4.0,Budapest,Data Engineer,"Job Title: Data Engineer
Location: Budapest – Sanofi Business Services, Váci Greens
Flexible working: 60% home office / week
Job type: Permanent, Full time
About the job
About the Digital Data team
We are an innovative global healthcare company, driven by one purpose: we chase the miracles of science to improve people’s lives. Our team, across some 100 countries, is dedicated to transforming the practice of medicine by working to turn the impossible into the possible. We provide potentially life-changing treatment options and life-saving vaccine protection to millions of people globally, while putting sustainability and social responsibility at the center of our ambitions.",30d+,False,,10000+,Company - Public,Pharmaceutical & Biotechnology,1973,Biotech & Pharmaceuticals,$10+ billion,0.77,0.86,3.6,3.9,3.8,3.4,3.7,"['""Good benefits and time off"" (in 491 reviews)', '""Salary is good but possibly to compensate for what the company lacks"" (in 497 reviews)', '""Good culture and lots of interesting events"" (in 476 reviews)', '""Good work life balance and 401K"" (in 355 reviews)', '""Great people and experience ."" (in 406 reviews)']","['""Not always the best compensation and benefits, culture can be restrictive"" (in 491 reviews)', '""Salary low and promotion are limited"" (in 497 reviews)', '""Toxic culture (at that time period 2016"" (in 476 reviews)', '""Lots of expectation and no work life balance."" (in 355 reviews)', '""As with any research environment there are great people to work."" (in 406 reviews)']",4.3,"['Health Insurance (179 comments)\n""Very good choice of doctors, offers assistance with bills and deciding whether to see a doctor.""', 'Vacation & Paid Time Off (115 comments)\n""Accumulated Personal Time Offtime and carryover to the next year""', '401K Plan (96 comments)\n""150 % matching 401K plan!""']"
ABESSE,2.7,Budapest,Data Engineer,"Location: Budapest
Full-time
Allows Remote
Information
Speciality: Data & Analytics
Team: BI
Remote: full (expect Q plannings)
Start: ASAP",8d,False,,1 to 50,Company - Private,Information Technology,,Computer Hardware Development,,0.15,,2.7,2.5,3.3,2.9,3.3,"['""Good teams and nice people"" (in 2 reviews)']","['""bad management communication, low salary"" (in 2 reviews)', '""Management seemingly doesn\'t care about the toxic and stressful environment."" (in 2 reviews)', '""Very Less creative time Available"" (in 1 reviews)']",,
M-RTL ZRT,5.0,Budapest,Data Analyst,"Your Tasks
Az RTL Hungary digitális és egyéb szolgáltatásainak támogatása eseti elemzésekkel
A vállalati riportrendszer kiépítéséhez PowerBI automatizált riportok készítése különböző forrásokra építve
Meglévő riportok üzemeltetése
Adatmodellek definiálása
Összetett SQL lekérdezések összeállítása
Adatpiacok tervezése a data engineer területtel együttműködve",30d+,False,,,Company - Public,,,,,1.0,,4.0,3.0,4.0,4.0,2.0,"['""Nice people, market"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
