Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ficonTEC Service GmbH,,Cork,Process and applications engineer (f/m/d)-Automation Background,"About us
ficonTEC Ireland is located inside Tyndall National Institute in the city of Cork, 253 km from the capital of Ireland, Dublin. ficonTEC Ireland is part of ficonTEC Service GmbH, a leading manufacturer of automated assembly and test equipment for several technical market areas, such as telecommunications, Lidar, Metrology, and assembly of high-quality optical beam lines, such as cameras.
We are hiring
Process and applications engineer (f/m/d)-Automation Background
What will you do?",30d+,True,,,,,,,,,,,,,,,,,,
CSL Ltd,,Carlow,Tendering Engineer,"Due to continued expansion, CSL is currently recruiting for a Tendering Engineer to be based at our head office in Carlow. This is a full time and permanent position and is an excellent opportunity to gain experience within a well-established company working in the water industry.
The Role: Tendering Engineer
Reporting to Senior Management this individual will be required to work on their own initiative based upon external and internal tender and project inquires.
Prepare and analyse project costings for tenders, including materials, quantities, labour and time.
Compiling tender documentation for submission to client. Variation of small to large project works.",30d+,True,€40K - €60K (Employer est.),,,,,,,,,,,,,,,,,
GerTEK Project Management and Technical Services,,Sligo,Validation Engineer,"GerTEK is an engineering consultancy company specialising in project management, talent solutions and commissioning qualification and validation services (CQV) to the life sciences and technology sectors. We partner with many of the world’s largest life science & technology companies who entrust in us to deliver their most strategic and important projects with our technically strong personnel ensuring all important activities meet both current requirements and client’s needs.
We are hiring experienced Validation Engineers to join our leading global healthcare client based in Co. Sligo
Coordination / direction and active participation in the validation and qualification of site equipment, utilities, processes and software in compliance with FDA, European cGMP and GAMP standards.",7d,True,€47K - €71K (Glassdoor est.),,Company - Public,,,,,,,,,,,,,,,
Ex Ordo,5.0,Remote,Senior Infrastructure Engineer (Ireland),"About the Role
We are seeking an experienced Senior Infrastructure Engineer to join our engineering team. You will be responsible for monitoring, upgrading and maintaining the existing infrastructure at Ex Ordo. You will have the opportunity to plan and implement the next iteration of our infrastructure.
Ex Ordo began a growth phase in 2022, we’re nine months into a multi year plan to transform the engineering department. This is a chance to join the team early in this transformation, with the unique opportunity to grow your skill set and your career within the organisation. As the Senior Engineer on the infrastructure team you will lead decisions on the architecture and infrastructure we use as we scale the company and customer base.",30d+,True,€72K - €82K (Employer est.),1 to 50,Company - Private,Information Technology,2012,Software Development,$1 to $5 million,1.0,,4.5,3.8,4.7,4.8,4.5,"['""Responsive/Honest management"" (in 2 reviews)', '""Management do their best to create a culture that is welcoming, collaborative and supportive to make you successful in your role."" (in 1 reviews)']","['""As a small but growing company, the overall benefits package offered for some roles may struggle to be competitive with London based companies or large corporates."" (in 1 reviews)']",,
Dillon Engineering Services,5.0,Remote,Senior Automation Engineer,"The job is for an Automation Engineer in the Technical department of a drug substance bio facility.
Open to European candidates.
There may be up to 1 week per month of travel to Denmark.
This is a hybrid role. Min of at least 2 days a week in the office in either Cork or Dublin.
The engineer will join an existing automation team and develop functional requirements specifications (FRS) for process control systems like bioreactors, clean utilities, media and buffer preparation, chromatography, etc. These FRS's will be given to a Process Control System (PCS) System Integrator (SI) to develop the Software Design Specifications (SDS). The engineer will be responsible for reviewing these SDS documents.",20d,True,€55.00 - €70.00 Per Hour(Employer est.),1 to 50,Company - Private,Human Resources & Staffing,2019,HR Consulting,$1 to $5 million,1.0,1.0,5.0,5.0,5.0,5.0,5.0,"['""Friendly and efficient service"" (in 1 reviews)', '""Excellent communication"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Ex Ordo,5.0,Remote,Back End Engineer - OATS (Ireland),"About the Role
We are seeking a Back End Engineer to join a new team who will develop and operate Ex Ordo’s products and tools. Ex Ordo is at the beginning of a growth phase. We’re six months into a multi year plan to transform the engineering department. This is a unique opportunity to join the team early in that growth phase where you will have impact, visibility and further scope for career progression and growth.
This team is intrinsic to how engineering operates at Ex Ordo. You will work closely with product, marketing, customer success, technical support and other engineering teams. Being at the forefront of this cross team collaboration means no two days are the same and you can develop your skill set across many tools and technologies.
Ex Ordo has been in business since 2012, and we have gotten this far with a small, tight-knit team of engineers, designers and product managers. The pandemic forced a major acceleration in technology adoption amongst our customer base, and we pivoted our offering to meet this demand. Since then, as the waves of the pandemic have come and gone, we have been quietly adjusting our business to align with this new world.",30d+,True,€51K - €62K (Employer est.),1 to 50,Company - Private,Information Technology,2012,Software Development,$1 to $5 million,1.0,,4.5,3.8,4.7,4.8,4.5,"['""Responsive/Honest management"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Dillon Engineering Services,5.0,Dublin,Mechanical BIM Engineer,"Dillon Engineering Services has partnered with a top tier engineering company who specialise in Pharmaceutical and Data Centre Projects. Due to continued growth and expansion, our client is in the market of hiring within their BIM Department.
Due to a major project in the pipeline they are looking to hire a number of Mechanical/Piping BIM Detailers
This position will be based in their West Dublin Office
Duties/Responsibilities include:
Review design model received from client
Prepare and issue requests for information.",5d,True,€35K - €50K (Employer est.),1 to 50,Company - Private,Human Resources & Staffing,2019,HR Consulting,$1 to $5 million,1.0,1.0,5.0,5.0,5.0,5.0,5.0,"['""Friendly and efficient service"" (in 1 reviews)', '""Excellent communication"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
BSS Building Staff Solutions,3.8,Cavan,Senior Engineer,"Job Title - Senior Engineer - Civil Engineering Roads
Location: Cavan
Salary: €65K - €75K DOE
Hours: Full time 5 days
An excellent opportunity has now arisen for an experienced Senior Engineer in Civil Engineering for a Road improvement project in the Cavan area. This is a 2 year project working with a leading Civil engineering Contractor in the Cavan area.
You will need to have a Civil Engineering background and be experienced in Road and Bridge construction,",5d,True,€65K - €75K (Employer est.),51 to 200,Company - Private,,,,,0.41,,3.1,3.2,2.7,3.0,2.8,"['""Excellent good nice very nice"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],3.0,
Colgate-Palmolive,4.3,Dublin,"Analytics Engineer, Digital Applications & Analytics","No Relocation Assistance Offered
# 152384 - Dublin, Dublin, Ireland
IT Analytics Engineer

Do you want to be part of a team that is building a future to smile about? What about having the opportunity to connect with others across the world, full of stimulating discussions, and making impactful contributions? If this is how you see your career,
Colgate is the place to be!

Our dependable household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. The pride in our brand fuels a workplace that encourages creative thinking, champions experimentation, and promotes authenticity which has contributed to our enduring success.",6d,False,€39K - €43K (Glassdoor est.),10000+,Company - Public,Manufacturing,1806,Consumer Product Manufacturing,$10+ billion,0.86,0.91,3.7,3.9,4.2,3.8,3.9,"['""Good work life balance"" (in 18 reviews)', '""Great culture and technology driven company"" (in 21 reviews)', '""Routine days with good pay and overtime available."" (in 18 reviews)', '""Great people and enviornment!"" (in 13 reviews)', '""Friendly work environment"" (in 11 reviews)']","['""Too much work Life Balance"" (in 18 reviews)', '""pay is low"" (in 18 reviews)', '""People are opinionated."" (in 13 reviews)', '""Work environment was hectic and needed better communication."" (in 11 reviews)']",4.2,"['Vacation & Paid Time Off (27 comments)\n""really good, they give you good vacation time""', 'Maternity & Paternity Leave (17 comments)\n""Not good for MX needs updating""', 'Work From Home (12 comments)\n""Pre pandemic WFH was almost non existent. Post pandemic it is assumed 3 days in the office, although unclear on final flexibility. ""']"
CSR,,Cork,Senior Engineer,"Senior Engineer - Cork
CSR Group are currently recruiting for an experienced Senior Engineer for a Large New development in County Cork. The building Contractor has been operating for over 90 years and has an excellent reputation within the industry. Our client has secured a strong order book for the coming 2 years and with the project starting very shortly. They require a top candidate to add to their management team. A strong proven background is required, with the ability to work in a highly demanding environment essential. This opportunity is permanent with a highly competitive salary + vehicle.
Criteria
3rd level degree in Engineering(Civil/Structural).",23d,True,€65K - €75K (Employer est.),,Company - Private,,,,,,,,,,,,,,,
GerTEK Project Management and Technical Services,,Mayo,QA Specialist,"GerTEK is an engineering consultancy company specialising in project management, talent solutions and commissioning qualification and validation services (CQV) to the life sciences and technology sectors. We partner with many of the world’s largest life science & technology companies who entrust in us to deliver their most strategic and important projects with our technically strong personnel ensuring all important activities meet both current requirements and client’s needs.
We are recruiting throughout Ireland for a highly experienced QA Specialist to join our leading global healthcare client based in Co. Sligo.
This role is key to the continuous improvement of lab automation and related software systems. To ensure all QA systems projects are managed in an efficient and compliant way to meet Department and Plant goals.",8d,True,,,Company - Public,,,,,,,,,,,,,,,
BSS Building Staff Solutions,3.8,Dublin,Senior Site Engineer - Dublin,"Job Title - Senior Site Engineer - Dublin
Location: Dublin
Salary: €65K - €75K
Hours: Full time 5 days
Opportunity has now arisen for a Senior Engineer to work with an established Main Contractor and Fit Out Contractor. Our client works on a range of high profile projects and with Blue chip clients, they offer a rewarding and stimulating environment for Construction Professionals looking to progress their career.
What you need to do
Report to Contracts/Project Manager",5d,True,€65K - €75K (Employer est.),51 to 200,Company - Private,,,,,0.41,,3.1,3.2,2.7,3.0,2.8,"['""Excellent good nice very nice"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],3.0,
