Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
InspHire,5.0,Tel Aviv-Yafo,Data Engineer,"A company that was founded in early 2018 with the purpose of creating great entertainment for mobile users around the globe is looking for an experienced Data Engineer with a real passion for building complex, high capacity analytical systems. The company's flagship game, an innovative multiplayer match 3 puzzle, is played by millions of players and the company is focused on making it even better with more players joining each day.
As a data engineer developer you will be part of the Data and Analysis team and strive to ensure the smooth running of all data pipelines, the integrity and quality of the product's data infrastructure. You will be responsible for designing and building comprehensive analytical systems that represent behavioral statistics of millions of players.
Responsibilities",30d+,True,,1 to 50,Company - Private,Management & Consulting,2017,Business Consulting,,,,,,,,,,,,
DBArt,5.0,Hod HaSharon,Data Engineer(Hybrid,"✅Responsibilities:
Be part of the group that delivers Data and AI solutions cross organization, providing the company’s customers with real time lead discovery and analytics.
Own critical data flows, from the storage and database through ETLs and BI using the latest Cloud products and cutting-edge technologies.
Solve challenges that involve Big Data.
Bring ideas from vision to implementation by working with other R&D teams, QA & Product Management through all software lifecycle stages – exploration, design, development & delivery to production.
✅Requirements:
2+ years of experience coding in Python.
2+ years of experience working with RDBMS – MySQL/PostgreSQL.
A team player with strong interpersonal and communication skills.
Independent, highly motivated self-starter with a desire to constantly learn new technologies and practices
Tenacious at solving problems and figuring out the best solutions with a good understanding of architectural & engineering principles
Advantages:
Experience in Java or Scala.
Experience working with AirFlow.
Experience working with ElasticSearch.
Experience working with AWS, GCP or Azure.
Experience working with distributed computing (Spark).",30d+,False,,,Company - Private,,,,,,,,,,,,"['""Amazing collegaues, nice office, flexible."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Neura,4.8,Herzliya,Data Engineer,"Develop an effective, coherent, reliable and phased data architecture approach to help the business grow and change
You'll be expected to:
Develop and maintain processes to acquire, analyze, store, cleanse, and transform large datasets using tools like Spark, Kinesis, Hive etc
We need you to have:
Experience with:

At least 5 years’ experience in Software Development (Java/Scala)",30d+,False,,1 to 50,Company - Private,Information Technology,,Information Technology Support Services,,1.0,1.0,5.0,4.4,4.8,4.8,4.9,['No Pros have been reported by the Glassdoor community.'],"['""None, highly recommended company with great people"" (in 1 reviews)']",,
SQlink,3.7,Israel,Junior Data Engineer,"תיאור המשרה:
חברה פיננסית מובילה מחפשת Junior Data Engineer שי/תצטרף לתחום ה Big Data בחברה.
תפקיד מעניין ומגוון הכולל הובלה ופיתוח מקצה לקצה של תהליכי Data Pipeline,
ביצוע Design ויישום של פתרונות Machine Learning, עבודה עם אנשי Data Science ו- Data Architect, עבודה עם Python, Spark וטכנולוגיות מתקדמות נוספות.
הזדמנות מעולה לעבוד בחברה טכנולוגית המאפשרת איזון בית - עבודה!

דרישות המשרה:
שנה ניסיון בפיתוח קוד ב- Python
יכולת תכנון תהליכי פיתוח עם דגש לתחזוקה ותמיכה לטווח הרחוק
ניסיון בעבודה עם DataBases שונים כגון: MS SQL, Teradata, Hive",13d,False,,1001 to 5000,Company - Private,Information Technology,,Computer Hardware Development,,0.83,,3.7,3.2,3.5,3.0,3.6,"['""Amazing people, salary and Benefits"" (in 10 reviews)', '""Most people at HR are nice and helpful."" (in 9 reviews)', '""Gifts for holidays and birthdays."" (in 4 reviews)', '""Good company, young atmosphere, support and help with every request"" (in 8 reviews)']","['""Low salaries and not growing"" (in 10 reviews)', '""Not a lot of are good people"" (in 9 reviews)', '""It is an outsourcing company, so your career path is limited"" (in 5 reviews)']",,
Bright Machines,3.6,Israel,Cloud Data Engineer,"RETHINK MANUFACTURING

The only way to ignite change is to build the best team. At Bright Machines®, we’re innovators and experts in our craft who have joined together to create a new category of manufacturing that will help transform the industry. We believe software and data are the answer, thoughtfully applied to solve our customers’ unique challenges. Through intelligent automation, we give factories newfound flexibility, scalability, and resilience. We deliver products to meet the demands of today while building a platform to take advantage of what comes next.

Working with us means you’ll have the opportunity to make lasting, impactful changes for our company and our customers. If you’re ready to apply your exceptional skills to create the factory of the future, we’d love to speak with you.",30d+,False,,201 to 500,Company - Private,Manufacturing,2018,Consumer Product Manufacturing,,0.58,0.69,3.5,4.2,3.5,3.1,3.5,"['""Great benefits"" (in 9 reviews)', '""Talented, smart and amazing people, Great atmosphere, Nice benefits, A good product and a huge market waiting for us."" (in 8 reviews)']","['""Many layoffs in a single year."" (in 5 reviews)', '""long hours when customer deliveries are due."" (in 4 reviews)', '""We had a chance early on when we built a great engineering team in the US but sales never followed through, and a toxic culture, weak leadership and a wave of constant political battles destroyed the company."" (in 5 reviews)']",3.7,
SQlink,3.7,Israel,Junior Data Engineer לארגון מוביל,"תיאור המשרה:
ארגון מוכר מגייס Junior Data Engineer.
התפקיד כולל הצטרפות לצוות מנוסה, איסוף דרישות, ניתוח מקורות מידע, ביצוע ניתוח נתונים מתקדם, ועוד.
הצטרף/י לתפקיד מאתגר ומתגמל!

דרישות המשרה:
ניסיון של שנה בעבודה מול Linux
- ניסיון של שנה בניטור ובטיפול בתקלות ושיפור ביצועים בתהליכי הזרמת נתונים - יתרון
ניסיון קודם בניהול Elastic Cluster – יתרון",13d,False,,1001 to 5000,Company - Private,Information Technology,,Computer Hardware Development,,0.83,,3.7,3.2,3.5,3.0,3.6,"['""Amazing people, salary and Benefits"" (in 10 reviews)', '""Most people at HR are nice and helpful."" (in 9 reviews)', '""Gifts for holidays and birthdays."" (in 4 reviews)', '""Good company, young atmosphere, support and help with every request"" (in 8 reviews)']","['""Low salaries and not growing"" (in 10 reviews)', '""Not a lot of are good people"" (in 9 reviews)', '""It is an outsourcing company, so your career path is limited"" (in 5 reviews)']",,
lusha,3.8,Tel Aviv-Yafo,Data Engineer - Data Assets Group,"Description
Lusha is growing rapidly, and we are searching for an experienced Data Engineer to join us!
If you are a highly skilled software engineer experienced in solving complex algorithmic and engineering (preferably data) challenges, with a strong knowledge of a wide range of technologies and solutions as a Data Engineer and someone who thrives in a cross-functional and fast-paced environment - continue reading :)
You will
Design and implement Lusha’s high-scale and data-intensive platform.
Analyze, develop and execute data integration solutions in order to manage the information lifecycle needs of our business units.",30d+,False,,201 to 500,Company - Private,Information Technology,2016,Computer Hardware Development,,0.69,,3.8,4.1,3.7,3.4,4.0,"['""Good people, shame that not many and those usually leave after a relatively short period."" (in 7 reviews)', '""After a pleasant and professional interviews with the HR and R&amp;D managers, I received a competitive offer and had a contract in my hands within days of the process\' beginning."" (in 4 reviews)', '""The benefits and perks are the best in the tech industry."" (in 1 reviews)']","['""Bad Management , bad HR ,bad"" (in 5 reviews)', '""Management and especially the CEO are micromanaging from time to time."" (in 3 reviews)']",,
ThetaRay,4.6,Hod HaSharon,Data Engineer,"DESCRIPTION
ThetaRay is the leading provider of AI-based Big Data analytics.
We are dedicated to helping financial organizations combat financial crimes through money laundering and facilitating malicious crimes such as terrorist financing, narco-trafficking, and human trafficking which negatively impact the global economy.
Our Unsupervised and Semi-Supervised Intuitive AI solutions enable clients to manage risk, detect money laundering schemes, uncover operational issues, and reveal valuable new growth opportunities.
ThetaRay is looking for a Data Engineer to join our growing team of data experts.
The hire will be responsible for designing, implementing, and optimizing data pipeline flows within the ThetaRay system.
The ideal candidate has experience in building data pipelines and data transformations and enjoys optimizing data flows and building them from the ground up.",30d+,False,,51 to 200,Company - Private,Information Technology,2013,Enterprise Software & Network Solutions,,0.94,0.96,4.6,4.3,4.6,4.4,4.2,"['""Teams work well together, feel like family."" (in 1 reviews)']","['""Not much perks, no bonuses"" (in 1 reviews)']",,
Melio,3.6,Tel Aviv-Yafo,Data Engineer,"We're looking for an experienced Data Engineer to take a major part in building our modern data analytics framework, including pipelines' orchestration, data processing and data warehouse modeling.
As a Data Engineer, you will collaborate with various stakeholders to design, develop and maintain data analytics solutions, using the latest tools and technologies.
Minimum qualifications to apply this role:
4+ years experience working as a BI Developer or as a Data Engineer
Excellent SQL skills
Python proficiency",30d+,True,,201 to 500,Company - Private,Management & Consulting,2018,Research & Development,,0.69,1.0,3.6,3.9,3.7,3.4,3.8,"['""Great growth opportunities."" (in 3 reviews)', '""People are amazing Technology is top Working on a new stuff and ideas"" (in 2 reviews)']","['""Challenging code base which is almost impossible to debug."" (in 2 reviews)', '""Awful old and messy codebase, zero communication between squads leading to massive delays in roadmap planning and execution."" (in 2 reviews)', '""touch upper management with a patronizing attitude (the very oppposite of a flat organizational structure);"" (in 2 reviews)']",4.8,
BIyond,4.4,Israel,Data Engineer,"At BIyond, we utilize Big Data, data science algorithms and process massive amounts of data in order to deliver the product’s core features.
We are looking for a Data Engineer to join our team
What will you do?
Analyze data sources to reach actionable recommendations for business decisions.
Design and create ETLs, reports and dashboards that will provide insights about the product and business performance.
Build data-based tools and models for performance monitoring and optimization.
You’ll own a problem end-to-end and use your knowledge and creativity to answer business problems using real data.",30d+,False,,1 to 50,Company - Private,,,,,1.0,,3.5,2.5,3.0,3.5,3.5,['No Pros have been reported by the Glassdoor community.'],"['""Salary is not the highest."" (in 1 reviews)']",,
