Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
"rinna Co., Ltd.",,,【rinna Summer Internship】技術職・Technical Role (Software Engineer Intern),"ジョブID
5033
勤務地
渋谷区渋谷2-24-12渋谷スクランブルスクエア39F WeWork・リモート可能
職種
インターンシップ
給与形態",30d,False,,,,,,,,,,,,,,,,,,
EAGLYS株式会社,,,Internship (Frontend Engineer),"【通期インターン】新卒 秘密計算を利用したWebサービスのフロントエンドを手掛けるチャンス！
仕事概要
秘密計算技術を利用したWebサービスのフロントエンド開発をご担当いただきます。 秘密計算技術を利用したWebサービスに関わる業務を能力に応じてお任せします。 アプリケーション、インフラ環境の新規開発を行います。 今回はフルスクラッチ開発のためモダンな技術を選定しており、エンジニアとしての価値を高める経験を積むことが可能です。 ・フロントエンド: React.js/Vue.js ・バックエンド: Node.js You will be responsible for the development and maintenance of Web services that use secret calculation technology. We will entrust you with tasks related to Web services using secret calculation technology according to your ability. We will develop new applications and infrastructure environments. This time, we have selected modern technology for full scratch development, and it is possible to gain experience gaining value as an engineer. ・Front-end: React.js/Vue.js ・Back-end: Node.js",30d+,False,,,,,,,,,,,,,,,,,,
オルグロー株式会社,,,Data Engineer/Scientist,"給与
経験、スキルによって協議のうえ決定（月給制）
待遇
通勤費全額支給、各種社会保険完備、昇給査定 年1回、在宅勤務制度有

雇用形態
正社員
業務内容
データ分析基盤、分析モデルの設計と構築。
必須条件
データエンジニア/データサイエンティストとしての実務経験
歓迎条件
心理統計学分野におけるデータ分析の経験。ピープルアナリティクスなど人事経営部門と連携したデータ分析の経験。営業職の採用選考に関わった経験。",30d+,False,,,,,,,,,,,,,,,,,,
Fortinet,,,Technical Support Engineer - Fukuoka,"Role Overview
Provide direct technical web and telephone support to Fortinet customers.

Responsibilities:
Troubleshooting on the full range of Fortinet products.
Collection, analysis and change recommendations of configuration information.
Collection and analysis of customer network information.
Collection and initial analysis of packet trace information.
Recommend corrective actions based on analysis.",30d+,False,,,,,,,,,,,,,,,,,,
Pepperl+Fuchs,,,Application Engineer,"You want to make your ideas reality …
… and extend your limits at the same time?
Then you've come to the right place! We can offer you plenty of space for your ideas, excellent development possibilities and exciting challenges.
In automotive production, water treatment plants or chemical systems - around the world, electronic sensors and automation components by Pepperl+Fuchs guarantee smooth and safe operations. We know that dedicated and highly motivated employees are crucial to our success. As we want to continue growing, we hope to find, as soon as possible, for our subsidiary in Japan a:
Application Engineer",24h,False,,,,,,,,,,,,,,,,,,
株式会社アガルート,,,GCP Professional Data Engineerの通信講座講師,"仕事内容:
〜求人のポイント〜
在宅勤務：講義・収録以外は自由！在宅勤務もOK！
応募資格：資格があればOK！マニュアル・研修ありで未経験者も安心
選べる給与：固定給・歩合給（出来高払）を勤務体系に合わせて選べます
兼業・副業OK：希望勤務日、勤務時間等は面接時にご相談ください
【仕事内容】
株式会社アガルートは「アガルートアカデミー」のブランド名で、各種資格試験、検定試験等のオンライン講座（通信講座）を展開しております。
あなたには GCP Professional Data Engineer 対策講座の講師として、商品企画、テキスト作成、講義の収録、受講相談等の業務をご担当いただきます。
先輩講師に教わりながら進めていくことができますので、未経験者でも安心して働けます。",20d,False,,,,,,,,,,,,,,,,,,
TechPeople Managed Services LTD,,,IT Support engineer,"仕事内容:
Role: End User Computing (Desktop Analyst) L1-Onsite services Experience/Skills: ● 2-4 years of experience in Onsite support ● Knowledge and experience on windows 7 OS ● Manage Desktop Devices (hardware, software and connectivity) incidents through to resolution. ● Manage IMAC and desk side support services. ● Manage hard and soft break fix services for laptops and desktops. ● Provide standard and approved hardware and software (operating systems and standard office applications) support and maintenance on Desktop (Field Users) Devices for their entire lifecycle (including the remote management of Desktop Devices using appropriate tools). ● Support, Manage, Optimize and Maintain the configuration and installation of the Desktop, to include, but not limited to, patch updates, hardware replacements, with spares provided by vendor. ● Experience with Service management tool – ex – Service now ● Should have good expertise on EUC tools, remote support tools, MS office and outlook. ● Preferable to have a good understanding of Lync, VPN, and mobile device support. ● Analyze Service Desk calls for Desktop Devices and incident data to identify and advice Customer of any potential user training requirement and automation. ● Ensure that each Desktop Device is installed with the appropriate Desktop image. ● Manage Desktop Devices (hardware and software) incidents through to resolution. ● Monitor security profiles and anti-virus software on all Desktop Devices and take appropriate action in the event of non-compliance with security requirements ● Provide VIP support for Desk side issues per contract and be point of contact at the site for all IT related issues if no other IT support team unavailable like for MI calls. ● Should be aware of ITIL process of Incident, Change, Problem, Service Request and related activities like spare and buffer stock management ● Good to have – knowledge in AD and smart hands and feet support. ● Good to have – knowledge and experience of supporting MAC devices and tablets",11d,False,,,,,,,,,,,,,,,,,,
Nexperia Germany GmbH,,,Principal Test Engineer,"What you will do
Development of ATE test programs and hardwares
Responsible for the quality of the test program and test yield.
Responsible for the introduction and release of the testing in APx.
Proper archiving of test data, test plan, and other relative docs.
Initiate peer and gate reviews for the TE part.
Drive improvements for test efficiency and product quality.
Responsible for the product test strategy for new products and cost downs.
Responsible for the test risk assessment (Test-FMEA).
Responsible to provide NPR input (test costs & NRE).",2d,False,,,,,,,,,,,,,,,,,,
ASM International,,,Mechanical (Physical Simulation) Engineer,"Who is ASM?
ASM is a leading, global supplier of semiconductor wafer processing equipment. Our ambitious team is dedicated to delivering innovative technology solutions to the world’s leading semiconductor manufacturers. We operate in 14 countries, including Belgium, Japan, Netherlands, South Korea, Singapore, Taiwan and United States. Together we work to develop Epitaxy, ALD, PEALD, Vertical Furnaces and PECVD thin-film deposition technologies for our customers. Our goal is to remain an industry leader by being ahead of what’s next. We accomplish this by focusing on finding collaborative solutions to make integrated circuits, or chips, smaller, faster and even more powerful.

ASM, an inclusive workplace",24h,False,,,,,,,,,,,,,,,,,,
ネクスト・ムーブ　株式会社,,,Data/Business Intelligence Engineer opening!,"Cutting edge tech and job security
Data/Business Intelligence Engineer opening!
勤務地
東京都 23区
雇用形態
正社員
給与
経験考慮の上、応相談 ~ 900万円
募集要項

雇用形態正社員給与経験考慮の上、応相談 ~ 900万円",30d+,False,,,,,,,,,,,,,,,,,,
