Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ING Netherlands,4.1,Télétravail,Senior DevOps Engineer Elastic Stack,"Kubernetes, OpenShift & Elastic Stack - you love your IT craft and your innovative heart beats for good software solutions? You are guided by tech curiosity and enjoy sharing your expertise with your colleagues? Perfect! At ING, we place great value on team spirit, a productive agile working atmosphere and further training for our employees. Do you think this suits you? Then apply!

The department: Global Tribe Cloud
The purpose of the Global Tribe Cloud is to build and run the target infrastructure platform in a (private) cloud delivery model. This delivery model is based on multi-tenant, self-service, pay-per-use capabilities for application DevOps teams as defined in our One Way of Working. We deliver services for ING engineers worldwide, and onboarding new countries to our private cloud happens all the time.
Tribe Cloud comprises five Global Areas:
The ELKaaS service that we offer is part of the Area Data Services. While the Area Data Services consists of colleagues working in the Netherlands, Belgium, Poland, Germany and India, the 5 engineers currently working on ELKaaS all work in Germany. As ING appreciates the idea of working from home, there is absolutely no requirement to be based in Germany to fulfil this position. However, it would make sense to physically meet up with the team in Germany once in a couple months. And of course, you will also be invited to our yearly internal cloud conference in Amsterdam.


Your toolbox is the towards INGs DevOps teams worldwide: you develop and support global, containerised solutions for log file monitoring and metrics analysis, record and recognize dependencies to other systems and processes, and your team can count on your IT knowledge and process understanding. Our containerized ELKaaS offering runs on OpenShift 4 and all changes are done via our Azure DevOps pipeline. The ELKaaS service is gaining popularity and it is more and more being integrated into core systems of ING, meaning that soon standby shifts (occasionally) will be part of the job.


You don't have to tick all boxes, but if you recognize yourself in some of these things make sure to apply!

We want to make sure that it's possible for you to strike the right balance between your career and your private life. You can find out more about our employment conditions at https://www.ing.jobs/netherlands/Why-ING/benefits.htm

Contact Stella Draskóczy in our TECH recruitment team stella.draskoczy@ing.com for more information about this role. Want to apply directly? Please upload your CV and motivation letter by clicking the ""Apply"" button.


With 57,000 employees and operations in approximately 40 countries, there is no shortage of opportunities for people with initiative who want to help people take a step ahead in life and in business. Do you want to work at the cutting edge of what's possible and at the same time ensure you work with integrity and hold the customer's interests at heart? Do you want to be surrounded by progressive, inspiring, diverse and supportive colleagues? Then there is no better place to invest your talents than at ING. Join us. Apply today.",19d,False,,10000+,Company - Public,Financial Services,1900,Investment & Asset Management,$5 to $25 million,0.83,0.91,3.8,3.9,4.1,3.6,4.1,"['""salary is good for newbie"" (in 450 reviews)', '""Good work life balance and quality of work"" (in 369 reviews)', '""Good enrionmenta and firendly culture"" (in 351 reviews)', '""People were nice and friendly"" (in 364 reviews)', '""Benefits were good for health and dental"" (in 174 reviews)']","['""salaries are low in terms of the current conditions of the country (Turkey) which i am employed"" (in 450 reviews)', '""no work life balance in Finance"" (in 369 reviews)', '""Quite risk averse culture and complex processes"" (in 351 reviews)', '""they don\'t care much about people"" (in 364 reviews)', '""no benefits"" (in 174 reviews)']",4.0,"['Vacation & Paid Time Off (15 comments)\n""Offers Birthday leave but charged to your VL credits""', 'Health Insurance (6 comments)\n""They have collective health insurance.""', '401K Plan (4 comments)\n""No plan conducted by ING""']"
ING Netherlands,4.1,Télétravail,Architect Security,"As an experienced Security Architect you'll be working in a small team of architects and with all relevant stakeholders. On a larger scale you are member of the Center of Expertise Architects in ING Domestic Bank Netherlands. When applicable you will work with ING colleagues from other areas to ensure alignment. Working at ING means working in a dynamic and international setting.

The Opportunity
You will translate business vision and strategy into effective enterprise by creating, communicating and improving the key principles and models that describe the future state and enable its evolution to deliver the IT Architecture for the organization and its customers. You execute the global Business & IT Roadmap process, with centralized designs and (logical) global decompositions, analyze market- and IT-trends and, based on this information, contribute to the strategy of the organization. Draft logical IT-Roadmaps, monitor and manage the progress of the execution of Business & IT-Roadmaps towards the target state and the use of global standards and solutions.


You will be member of a small team of architects, led by our enterprise architect technical foundation. In creating architecture deliverables, you will work closely with business colleagues, Enterprise Architects, Domain Architects, Feature Engineers, IT managers and Dev/Ops teams.


We hire smart people like you for your potential. Our biggest expectation is that you'll stay curious. Keep learning. Take on responsibility. In return, we'll back you to develop into an even more awesome version of yourself.

We want to make sure that it's possible for you to strike the right balance between your career and your private life. You can find out more about our employment conditions at https://www.ing.jobs/netherlands/Why-ING/benefits.htm

The benefits of working with us at ING include:

Contact Fabian Nagy in our TE CH recruitment team fabian.nagy@ING.com for more information about this role. Want to apply directly? Please upload your CV and motivation letter by clicking the ""Apply"" button.


With 57,000 employees and operations in approximately 40 countries, there is no shortage of opportunities for people with initiative who want to help people take a step ahead in life and in business. Do you want to work at the cutting edge of what's possible and at the same time ensure you work with integrity and hold the customer's interests at heart? Do you want to be surrounded by progressive, inspiring, diverse and supportive colleagues? Then there is no better place to invest your talents than at ING. Join us. Apply today.",19d,False,,10000+,Company - Public,Financial Services,1900,Investment & Asset Management,$5 to $25 million,0.83,0.91,3.8,3.9,4.1,3.6,4.1,"['""salary is good for newbie"" (in 450 reviews)', '""Good work life balance and quality of work"" (in 369 reviews)', '""Good enrionmenta and firendly culture"" (in 351 reviews)', '""People were nice and friendly"" (in 364 reviews)', '""Benefits were good for health and dental"" (in 174 reviews)']","['""salaries are low in terms of the current conditions of the country (Turkey) which i am employed"" (in 450 reviews)', '""no work life balance in Finance"" (in 369 reviews)', '""Quite risk averse culture and complex processes"" (in 351 reviews)', '""they don\'t care much about people"" (in 364 reviews)', '""no benefits"" (in 174 reviews)']",4.0,"['Vacation & Paid Time Off (15 comments)\n""Offers Birthday leave but charged to your VL credits""', 'Health Insurance (6 comments)\n""They have collective health insurance.""', '401K Plan (4 comments)\n""No plan conducted by ING""']"
ING Netherlands,4.1,Télétravail,Full Stack Developer,"ING Private Cloud Full Stack Developer

Anyone interested in digital (banking) understands why ING is transforming and working hard towards an IT company having its own unique Top Engineering culture.
We are working hard to stay ahead in being a financial innovator offering the best possible solutions and services to millions of appreciated clients all over the globe.
And therefore we are looking for a Dev/Ops Engineer who helps us offering the best products and services to both our business and private customers. Get an impression here: https://youtu.be/-QknLYEdfyI

Your working environment:

ING's Private Cloud is one of the main projects contributing to the Think Forward Strategy. It's the first step toward helping ING produce the same products and services throughout the entire world. The Private Cloud is set up to simplify and streamline current processes, first by simplifying the infrastructure landscape through standardization. It is also to improve and encourage ING performance culture by creating a highly engaged workforce that embraces the new technology.
One way of supporting our ING DevOps engineers using the ING Private Cloud is by delivering an API, which provides insight on the performance metrics of IPC. To be able to provide the most relevant- and up-to-date information, you will keep close contact with the actual developers of IPC, who are based in three different countries and are distributed over the various tribes in ING.

You will be part of an ambitious- and result driven squad. We have an Agile way of working and are building new functionalities quickly by continuously refining with our users.




Contact Malgorzata Witczak in our Tech recruitment team on malgorzata.witczak@ing.com for more information about this role. Want to apply directly? Please upload your CV and motivation letter by clicking the ""Apply"" button.



With 57,000 employees and operations in approximately 40 countries, there is no shortage of opportunities for people with initiative who want to help people take a step ahead in life and in business. Do you want to work at the cutting edge of what's possible and at the same time ensure you work with integrity and hold the customer's interests at heart? Do you want to be surrounded by progressive, inspiring, diverse and supportive colleagues? Then there is no better place to invest your talents than at ING. Join us. Apply today.",30d+,False,,10000+,Company - Public,Financial Services,1900,Investment & Asset Management,$5 to $25 million,0.83,0.91,3.8,3.9,4.1,3.6,4.1,"['""salary is good for newbie"" (in 450 reviews)', '""Good work life balance and quality of work"" (in 369 reviews)', '""Good enrionmenta and firendly culture"" (in 351 reviews)', '""People were nice and friendly"" (in 364 reviews)', '""Benefits were good for health and dental"" (in 174 reviews)']","['""salaries are low in terms of the current conditions of the country (Turkey) which i am employed"" (in 450 reviews)', '""no work life balance in Finance"" (in 369 reviews)', '""Quite risk averse culture and complex processes"" (in 351 reviews)', '""they don\'t care much about people"" (in 364 reviews)', '""no benefits"" (in 174 reviews)']",4.0,"['Vacation & Paid Time Off (15 comments)\n""Offers Birthday leave but charged to your VL credits""', 'Health Insurance (6 comments)\n""They have collective health insurance.""', '401K Plan (4 comments)\n""No plan conducted by ING""']"
ING Netherlands,4.1,Télétravail,IT Class September 2023,"Are you completing your Masters' or PhD degree from an EU university in 2023? Do you want to make an excellent career move into the Tech industry? Then join the ING IT Class, beginning on 1 September 2023. We are looking for top IT engineers to join us!

This role is based in Amsterdam. Relocation will be provided to candidates from within Europe. If required, we will take care of sponsorship.

Working at ING
ING is a frontrunner in the transformation of banking and a company that puts technology at its heart. The bank is becoming an ever-more tech-driven organisation with an outstanding engineering culture. Our mission is to empower people to stay a step ahead in life and in business and provide products & services that make our customers' life easier. In order to achieve our ambitious goals, we need the very best people, not only experienced professionals, but also the very best starters. The growth of your career is fully dependent on your talent, effort and ambition. The environment allows for many opportunities.


The IT Class offers you the possibility to explore your engineering skills in one year. In this year you will get three personal and one group assignment within different departments of ING. We will make sure you experience different lines of business and work with different techniques such as backend, frontend, ops, etc. In the personal assignments you will be working with an existing and experienced agile team. In the group assignment you will work with IT Class colleagues on an innovation challenge. For the whole first year you will have a dedicated coach and weekly sessions with the IT Class group. Based on your performance in the first year ING will offer you a permanent contract.
Examples of rotations where you can work:

A job of 40 hours and a unique offer that fits in with the times of today located at ING Amsterdam.
To give you an idea, we will tell you about the benefits of working at ING:
On top of that we offer personal growth and challenging work with endless possibilities to realize your ambitions in an informal working environment with innovative colleagues who strive for the very best. Discover all our employment conditions here .


You can apply for the IT Class providing your CV, motivation letter and grade lists (Bachelor and Master until now). All documents should be in English.
After a screening phase, you will be invited to complete an online technical assessment. The results will then be analyzed by a Management Committee together with your application documents. In case of a positive assessment, you will be invited for one of our digital selection days in May. The start of the IT Class contract is 1 September 2023.


For more information please go to website or contact us through IT.Class@ing.nl . Want to apply directly? Please upload your CV and motivation letter by clicking the ""Apply"" button.


With around 52,000 employees and operations in approximately 40 countries, there is no shortage of opportunities for people with initiative who want to make a diﬀerence. We hire smart people like you for your potential, not your past. Our biggest expectation is that you'll stay curious. Keep learning. Take on more responsibility. In return, we'll back you to develop into an even more awesome version of yourself. If you want to work at the cutting edge of what's possible, surrounded by progressive, inspiring and supportive colleagues, there is no better place to invest your talents than at ING. Join us. Apply today.",30d+,False,,10000+,Company - Public,Financial Services,1900,Investment & Asset Management,$5 to $25 million,0.83,0.91,3.8,3.9,4.1,3.6,4.1,"['""salary is good for newbie"" (in 450 reviews)', '""Good work life balance and quality of work"" (in 369 reviews)', '""Good enrionmenta and firendly culture"" (in 351 reviews)', '""People were nice and friendly"" (in 364 reviews)', '""Benefits were good for health and dental"" (in 174 reviews)']","['""salaries are low in terms of the current conditions of the country (Turkey) which i am employed"" (in 450 reviews)', '""no work life balance in Finance"" (in 369 reviews)', '""Quite risk averse culture and complex processes"" (in 351 reviews)', '""they don\'t care much about people"" (in 364 reviews)', '""no benefits"" (in 174 reviews)']",4.0,"['Vacation & Paid Time Off (15 comments)\n""Offers Birthday leave but charged to your VL credits""', 'Health Insurance (6 comments)\n""They have collective health insurance.""', '401K Plan (4 comments)\n""No plan conducted by ING""']"
EyeTech Solutions,4.1,Luxembourg,Data Scientist,"EyeTech Solutions est un cabinet de recrutement international spécialisé dans le placement de professionnels des technologies de l'information au Luxembourg, en Belgique, en France et en Allemagne. Avec plus de 30 ans d'expérience dans le secteur du recrutement, nous travaillons avec une expertise interne spécialisée. Ainsi, nous sommes en mesure d'identifier précisément vos besoins, ce qui nous permet de vous fournir une solution rapide et efficace.

Un seul objectif - vous offrir l'excellence.

We are seeking a highly skilled and motivated data scientist to join our client's team.The client is an IT provider for software enhacing data migration. Length : 12 Months.

Tasks

Work closely with cross-functional teams to identify business problems and design data-driven solutions

Develop statistical models, predictive algorithms, and Machine Learning models to support business decisions

Analyze large, complex data sets to identify patterns, trends, and insights

Present findings and insights to both technical and non-technical stakeholders

Collaborate with data engineers to ensure the accuracy, completeness, and reliability of data sources

Continuously evaluate and improve data models to ensure optimal performance and accuracy

Stay up-to-date with the latest trends and advancements in data science and Machine Learning

Profile

Master's or PhD in computer science, statistics, mathematics, or related field

3+ years of experience in data science or related field

Proficient in programming languages such as Python or R

Experience with Machine Learning algorithms and statistical modeling

Strong analytical and problem-solving skills

Excellent communication and presentation skills

Ability to work independently and as part of a team",6d,False,,1 to 50,Company - Private,Management & Consulting,,Business Consulting,,1.0,,4.6,4.6,4.3,4.2,3.1,"['""great trainings and development in company"" (in 1 reviews)']","['""L\'inconvénient est le micro management"" (in 2 reviews)']",,
EyeTech Solutions,4.1,Luxembourg,Data Engineer,"EyeTech Solutions est un cabinet de recrutement international spécialisé dans le placement de professionnels des technologies de l'information au Luxembourg, en Belgique, en France et en Allemagne. Avec plus de 30 ans d'expérience dans le secteur du recrutement, nous travaillons avec une expertise interne spécialisée. Ainsi, nous sommes en mesure d'identifier précisément vos besoins, ce qui nous permet de vous fournir une solution rapide et efficace.

Un seul objectif - vous offrir l'excellence.

Our client, a well-established company, is seeking a Data Engineer for a 12-month mission to join their team.

The client is active in the banking industry. Start date: 01/03/2023. Daily rate: 550EUR-650EUR.

As a Data Engineer, you will be responsible for

Designing, developing, and maintaining data Storage and management systems.

Extracting, transforming, and loading data from various sources into the data warehousing systems.

Building and maintaining data pipelines for data integration and analysis.

Implementing data quality checks to ensure the accuracy and completeness of the data.

Collaborating with data analysts and business stakeholders to understand their data needs and provide solutions.

Keeping up-to-date with the latest technologies and industry trends, and suggesting ways to improve the existing solutions.

Mentoring junior data engineers and contributing to the growth of the team.

The ideal candidate will have

At least 3 years of experience in data engineering

Strong knowledge of data Storage and management systems such as Hadoop, Spark, and Snowflake

Experience with programming languages such as Python, SQL, and Java

Familiarity with data visualization tools such as Tableau and PowerBI

Understanding of data warehousing concepts and ETL processes

Excellent problem-solving and communication skills",30d+,False,,1 to 50,Company - Private,Management & Consulting,,Business Consulting,,1.0,,4.6,4.6,4.3,4.2,3.1,"['""great trainings and development in company"" (in 1 reviews)']","['""L\'inconvénient est le micro management"" (in 2 reviews)']",,
WESTPOLE,3.4,Luxembourg,Data Engineer (ETL),"We are the point of reference in the IT market for the pioneering companies ready to leverage new technological & digital projects, to embrace innovation and to evolve their business.

Born as a carve out from IRIS Group, and with more than 30 years of experience in the management of complex IT environments, we help companies, both private and public to scale up the Digital Transformation path, with a combination of Hybrid Technologies, Managed Services, EIM solutions and High-level Professionals.

Our people wake up every day with the aim to create the new around our customers' need, with an approach devoted to research and innovation and with the pioneering spirit of those who believe in technological progress.

We manage the entire IT stack with integrated Hybrid Technology and Managed Services, while also providing best-in-class IT personnel to support any kind of IT project.

We also provide companies with digital solutions to help the management of information and to optimize business processes.

HYBRID TECHNOLOGIES
Optimal mix of on-premise, private and public cloud with centralized view

MANAGED SERVICES
Centralized support for your hybrid infrastructure and all the managed solutions to keep the business running (from monitoring, backup, disaster recovery and EIM as a service)

STAFFING & SOURCING
The right people for the right project, from ECM services to Hardware, Software and Datacenter services

BPM & EIM
Digital Mailroom, Advanced Case Management, Information Governance, Business Process Automation

We are currently recruiting for our client, a bank located in Luxembourg, a Data Engineer (ETL).

Your mission

As a member of the client's Data department, helped by your recent experience on ETL tools (ideally Oracle Data Integrator), you participate in the project of the new Core Banking System T24 and the exploitation of its data. You'll participate in the delivery of a new Business Datawarehouse and its datamarts, feeding Downstream Components, other applications and supporting Reporting.

Your main objectives will be

To develop and review complex data flows in a moving environment using Oracle Data Integrator and PL/SQL to feed ODS

To help improve the tools and process on Build Factory & DevOps (GIT, Deploy and Release Management tools)

To support technical documentation of the new Datawarehouse

To support analysis of changes with functional banking knowledge

To review requirements before their development

To participate in code review and quality

To support the Integration and the Testing of the development

Your competences

A master's degree in Computer Science, Management Information Systems or Engineering

English

Well experienced in ETL tool, Oracle Data Integrator experience is a strong advantage.

DevOps mindset and release management experience

Capable of reading a Data Model

Advanced knowledge of SQL querying

General knowledge of the banking products and services

Good knowledge and understanding of the banking processes is an advantage

Good knowledge of Business Reporting Tools (Business Objects/MicroStrategy) is an advantage

Experience in implementation / exploitation of T24 data is an advantage

Your hard skills

Oracle Data Integrator 12 (another ETL can be considered)

Oracle 12/19, SQL

Unix & Shells Scripts

GIT

XL Deploy & XL Release

Interested? Send us your CV via the button below!",30d+,False,,201 to 500,Company - Private,Information Technology,1979,Information Technology Support Services,$25 to $100 million,0.66,0.63,3.0,3.3,3.4,3.1,3.5,"['""Bonne compagnie avec de bons managers et où tout est fait dans les règles de l\'art (ça devient rare)."" (in 2 reviews)', '""Goede verloning, goede locatie, sterk technisch team"" (in 1 reviews)', '""Azienda che mette nelle condizioni di condurre il proprio lavoro nel miglior modo possibile, dando opportunità di crescita professionale concreta e fornendo un ottimo work life balance."" (in 1 reviews)']","['""Manager di scarso livello, mancanza di responsabilità manageriale, stipendi nella norma, omissione di informazioni, comunicazione ingannatoria, cattiva gestione del dipendente, no benefit, poca inclusione."" (in 4 reviews)', '""low salary, no training options, little support provided to consultants."" (in 1 reviews)']",,
ArcelorMittal,4.0,Luxembourg,DATA ENGINEER,"You will join theTechnology Department composed of three teams (1) Data Management; (2) Automation & Industrial Modeling (AIM); and (3) Energy and Decarbonation. Reporting to the Chief Operational Officer of the cluster AM LPL, the department has the mission to deliver new technological solutions to AM LPL plants and contribute to the major projects of the decade for the decarbonization of the metallurgical industry, all supported by a massive deployment of digital technologies to improve performance.
This position is inside the Data Management team.

Missions:
Contribution to the standardisation of AM LPL Automatic Reporting (Power BI, SAP Analytics): daily production, following Production/Maintenance/Quality/ Health & Safety KPIs etc. Support the corresponding teams through the management and analysis of the related data.",30d+,False,,10000+,Company - Public,Manufacturing,1921,Metal & Mineral Manufacturing,$10+ billion,0.77,0.8,3.4,3.7,3.5,3.3,3.4,"['""Good salary and benefits here"" (in 152 reviews)', '""Company benefits are good."" (in 71 reviews)', '""The management is amazing and very flexible"" (in 92 reviews)', '""very good company good people"" (in 78 reviews)', '""Good Work Life Balance Here"" (in 68 reviews)']","['""you dont learn easily and low salaries"" (in 152 reviews)', '""Working shifts and having no benefits"" (in 71 reviews)', '""pas de stratégie commerciale claire et sentiment d\'avoir un grand écart de vision avec le management"" (in 92 reviews)', '""The people are nice but not all of them"" (in 78 reviews)', '""Difficult to have work life balance."" (in 68 reviews)']",3.6,"['Health Insurance (42 comments)\n""They have their own health insurance and it is excellent""', '401K Plan (21 comments)\n""Great matching percentage of 401K""', 'Vacation & Paid Time Off (18 comments)\n""When you return from vacation you recive 2/3 salary""']"
Editus Luxembourg S.A.,2.7,Kayl,Data Engineer (H/F),"Description
Vous êtes mordu(e) d’innovation et êtes prêt(e) à relever de nouveaux défis captivants ? Vous avez envie de plonger tête la première dans l’univers démesuré du Marketing Digital ? Ne cherchez plus, Editus est l’entreprise qu’il vous faut !

Intégrer Editus c’est se laisser séduire par une entreprise collaborative et « data oriented », qui place la donnée au cœur de ses métiers.
Fun, Target et Team Spirit ça vous parle ? Ce sont justement les valeurs par lesquelles sont animés nos 140 collaborateurs !

Base de données référente à Luxembourg, Editus est aussi le Partenaire Marketing de nombreuses entreprises au niveau local. Notre ambition est de proposer à nos clients des solutions Marketing sur mesure et adaptées à leurs besoins.




Langues French Education Master Expériences professionnelles 3+ years",30d+,False,,51 to 200,Company - Private,Media & Communication,,Advertising & Public Relations,,0.35,,2.1,2.6,2.3,1.9,3.1,"['""Parking gratuit, ticket restaurant mais à 8,40€ seule société du groupe poste à avoir si peux les autres 10€40"" (in 4 reviews)']","['""Une culture qui oblige au travail par la crainte de la sanction."" (in 1 reviews)']",,
Hays,3.7,Luxembourg,R&D Engineer,"Hays plc est l'un des principaux groupes mondiaux de recrutement de professionnels. Hays est l'expert du recrutement de personnes qualifiées, professionnelles et compétentes dans le monde entier. Hays est le leader du marché au Royaume-Uni et en Asie-Pacifique et également l'un des leaders du marché en Europe continentale et en Amérique latine. Hays intervient pour le compte de milliers d'entreprises des secteurs privé et public, sur des postes en CDI, CDD, Travail Temporaire et Contracting.

Hays France & Luxembourg compte aujourd'hui plus de 650 salariés répartis au sein de 22 bureaux (Aix-en-Provence, Amiens, Biarritz, Bordeaux, Clermont-Ferrand, Dijon, Grenoble, La Rochelle, Lille, Lyon, Montpellier, Nancy, Nantes, Nice, Paris, Reims, Rennes, Rouen, Strasbourg, Toulouse, Tours et au Luxembourg) couvrant 25 secteurs d'activité.

Your tasks

You strengthen an R&D team of fifteen experts, including 10 high-level software developers.

You design and implement state of the arts software solutions in C++, including Hardware interfacing (e.g.cameras), graphical user interfaces, network communication, data management, and others.

In collaboration with our service technicians, you qualify and refine your software modules to meet our customers' needs. Occasionally, you deploy new solutions to our customers abroad.

Your profile

A Master or Engineering degree or a PhD in a technical field.

A proven practice of C++

Fluent English, spoken and written. We have colleagues of 15 nationalities, English is our common language

Preferably 2 to 3 years in a similar position, but young graduate accepted

Additional skills

image processing or computer vision

Hardware integration (cameras, acquisition cards...)

development of User Interfaces using QT.

real time processing and multi-threading

network communication, including real time bus.

German language would be an asset.

Your personality

You are open minded and ready to work in a multicultural environment

You have a great team spirit which is really important to share your daily tasks with your future colleagues in an open space

You have the ability to work in autonomy

Don't hesitate to apply via the button below!",30d+,False,,5001 to 10000,Company - Private,Human Resources & Staffing,1968,HR Consulting,$1 to $5 billion,0.7,0.82,3.8,3.3,3.6,3.5,3.4,"['""Good training and job flow"" (in 648 reviews)', '""Good money and salary."" (in 668 reviews)', '""Most of the teams have a great culture and it’s a very success driven company."" (in 487 reviews)', '""Good management"" (in 320 reviews)', '""Great people and team environment"" (in 428 reviews)']","['""No training to support career progression"" (in 648 reviews)', '""Industry has low salaries for junior staff and Hays is no different"" (in 668 reviews)', '""Poor culture, directors are patronising"" (in 487 reviews)', '""Bad management and out dated way of working."" (in 320 reviews)', '""Very sales driven, aggressive people"" (in 428 reviews)']",3.7,"['Health Insurance (17 comments)\n""The best thing about the health insurance at Hays is the teledoc.""', '401K Plan (7 comments)\n""nice so much love it""', 'Vacation & Paid Time Off (5 comments)\n""Classic benefits like other company has""']"
