Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ARAG,4.6,Leusden,Lead Data Engineer,"Op zoek naar een organisatie met ambitieuze doelstellingen én waar jij vorm kunt geven aan onze splinternieuwe Datahub? Voor onze locatie in Leusden zijn wij namelijk op zoek naar een gedreven en communicatieve Lead Data Engineer. Als Lead Data Engineer ben je de functionele leider van het team van engineers die in een scrumteam bouwen aan onze Datahub. Je zorgt ervoor dat standaarden gevolgd worden, de engineers op een uniforme manier werken en dat de OTAP-straat op een goede manier tot uitvoer wordt gebracht. Je bent een echte benaderbare senior, je coacht de andere engineers in hun werkzaamheden en help je het team in hun ontwikkeling. Je zorgt samen met de Product Owner voor de juiste prioriteiten en bedenkt met de DataHub Architect hoe bronnen en databestanden optimaal op elkaar aangesloten kunnen worden.

Een doel van de Datahub is het beschikbaar stellen van een datamodel aan onze interne klanten. Dit model wordt samengesteld uit diverse databronnen welke worden samengebracht door gebruik te maken van de modernste technieken en tooling: Azure DevOps, Spark, Kubernetes, Airflow, Terraform, etc.Je bent actief bezig om de infrastructuur te verbeteren, daarnaast heb je regelmatig contact met onze interne klanten om nieuwe toevoegingen in de Datahub te toetsen. Verder ben je een sparring partner voor je mede teamleden als het gaat om technische uitdagingen en oplossingen.

Over de afdeling / bedrijfscultuur
De afdeling BITS staat voor Business Information & Technology Services en is verantwoordelijk voor onze projectmanagement- en ICT organisatie. Binnen deze afdeling is het BI-team verantwoordelijk voor de aanlevering van juiste data, rapportages en dashboards waarmee wij verzekerden en partners optimaal kunnen bedienen. De engineer die wij zoeken zal in dit muldisciplinaire team een belangrijke bijdrage gaan leveren aan deze doelstelling.

Een cultuur van je en jij. Elkaar groeten in de gang. Een cultuur waarbij iedereen even tijd voor elkaar vrijmaakt. En waar kennis en successen gedeeld worden. Professioneel richting de klant, informeel richting je collega's. - De salarisrange van deze functie loopt van € 3.731 tot € 5.862 op basis van 38 uur per week. Het betreft een indicatie van het salaris waarbij jouw uiteindelijke salaris afhankelijk zal zijn van de kennis en relevante werkervaring die je meebrengt;

ARAG Nederland maakt onderdeel uit van de ARAG Groep, een van oorsprong Duits familiebedrijf met vestigingen in 16 Europese landen, de Verenigde Staten, Canada en Australië. Met zo’n 750 professionals in Nederland werken wij in een collegiale omgeving en informele werksfeer vanuit de locaties in Amsterdam, Rotterdam, Den Haag, Leusden en Roermond. Meer weten? Klik dan op onze bedrijfspagina: https://www.arag.nl/over-arag/ Je hebt HBO of WO werk- en denkniveau en minimaal 5 jaar ervaring als (Lead) Data Engineer. Je hebt ruime ervaring met het opzetten van robuuste data pipelines en data modellen én bent bekend met de DevOps werkwijze. Je kunt jezelf mondeling en schriftelijk goed uitdrukken, zowel in het Nederlands als in het Engels.

Daarnaast beschik je over:

Jij herkent jezelf in de volgende competenties die wij graag terugzien bij jou:
ondernemend, analytisch, flexibel, communicatief, samenwerkingsgericht en gedreven! Ben jij de professional die wij zoeken? Dan ontvangen wij graag jouw CV en motivatie. Heb je nog vragen? Neem dan contact op met onze manager IT, Hilbert de Graaf, telefoon 06 - 51649024 of met onze corporate recruiter Tancha Christiaanse via 06 – 52726700.",30d+,True,,1001 to 5000,Company - Public,Insurance,1935,Insurance Carriers,$1 to $5 billion,0.74,0.87,3.3,3.6,3.9,3.4,3.8,"['""Great Benefits, New Office, Friendly People"" (in 8 reviews)', '""Had a great experience and manager"" (in 3 reviews)']","['""Can be quite cliquey but people are nice if you ask questions."" (in 8 reviews)', '""Enough money to conceal toxic culture by intimidating staff."" (in 3 reviews)', '""Bullying is rife."" (in 2 reviews)', '""Life balance none existing at all."" (in 3 reviews)']",4.6,"['Maternity & Paternity Leave (4 comments)\n""Average for companies of similar size.""']"
Acknowledge,4.5,Eindhoven,Data Engineer,"Locatie: Eindhoven (Waalre), Nederland
Uren: 40
Duur van dienstverband: Bepaalde tijd met mogelijkheid tot verlenging
Niveau:
Vind je het leuk om bezig te zijn met de doorontwikkeling van ons datawarehouse? Wil jij werken bij een organisatie waarbij je écht de vrijheid krijgt om jezelf te ontwikkelen? En ben jij nieuwsgierig, enthousiast en een echte aanpakker? Dan is deze baan als Data engineer bij ons echt iets voor jou!
De baan",30d+,True,€4K - €5K (Employer est.),201 to 500,Company - Private,Information Technology,1994,Information Technology Support Services,$25 to $100 million,1.0,,4.5,3.8,5.0,3.8,4.7,,,,
De Rooy Slijpcentrum BV | Precision BV,,Nuenen,Supply Chain Engineer,"Jouw functie
De Rooy groeit en bereidt zich voor op een toekomst waarin producten groter, complexer en meer divers worden. Onze klanten stellen steeds hogere eisen en wij verleggen continue onze grens op het gebied van maakbaarheid en meetbaarheid. Om dit te kunnen realiseren moeten we ervoor zorgen dat we continue verbeteren en dienen we onze procedures goed te borgen. Hierin is een belangrijke rol voor de QHSE Manager weggelegd. Naast de borging en het verbeteren van ons kwaliteitsmanagementsysteem zorg jij als QHSE Manager eveneens voor een veilige en gezonde werkomgeving voor onze medewerkers. Dit alles doe jij samen met jouw team, waarover jij de leiding hebt. In deze rol treedt jij als onderdeel van het MT op als directievertegenwoordiger in het kader van QHSE aangelegenheden.
Jouw takenpakket bestaat uit:",30d+,True,€3K - €5K (Employer est.),,Company - Private,,,,,,,,,,,,,,,
Axians,3.6,Capelle aan den IJssel,Services Engineer Networking,"Hoe ziet jouw uitdaging eruit?
Je werkt voor de Business Unit Services. Met een team van ruim 40 gedreven collega’s dragen we zorg om de ICT-infrastructuren van onze klanten werkend te maken en vooral werkend te houden. Een ‘nieuwe normaal’ tekent zich hierbij af waarbinnen het internet het nieuwe netwerk is, de cloud het nieuwe datacenter en As A Service de snelst groeiende dienstverlening is.
Wij geloven dat diverse(re) teams met innovatievere oplossingen komen. Met wat jij weet en wat jij kunt, draag je op basis van gelijkwaardigheid bij aan één van onze hybride klantenteams. Teams die dicht bij de klant staan en waarin de collega's elkaar aanvullen, elkaar ruimte geven om te groeien en ... onze klanten optimaal ondersteunen.

We geloven dat klant (domein) kennis minstens zo belangrijk is als technische (product) kennis: kennis over hoe de klant zijn netwerk gebruikt helpt je om gerichter te analyseren en de impact in te schatten. De infrastructuur geeft immers een schat aan data die jij weet te interpreteren en weet om te zetten naar concrete acties om onze klanten het beste uit hun ICT-oplossingen te laten halen; ieder dag weer!

De Services engineer Networking is verantwoordelijk voor de afhandeling van kort cyclische cases en wijzigingen. Dit zijn verstoringen maar veel liever blijven we uitval van functionaliteit voor door proactief de infrastructuur te monitoren en daarover vroegtijdig met de klant het gesprek aan te gaan. Samen met de collega’s in het hybride klantenteam bedenk je de oplossing en schakelt, indien nodig met de technologie leverancier.

Samen met de Services coördinator (één van de leden van het klantenteam) bepaal je de agenda van vandaag; de ene dag is meer oplossend van aard en op de andere dag ligt de nadruk op analyseren, bijvoorbeeld vanuit een problem, een complexere verstoring of pro actief beheer.

Je speelt een sleutelrol bij het in beheer nemen van (delen van) infrastructuren van onze klanten. Hiermee doe je, naast technische kennis ook de gewenste klantkennis op.
Je bent bereid om na te denken over automatisering en hoe ons dit helpt om dagelijkse beheertaken te vereenvoudigen, de foutkans te verminderen om daarmee waarde toe te voegen aan onze dienstverlening.",30d+,False,,10000+,Subsidiary or Business Segment,Information Technology,1999,Information Technology Support Services,$1 to $5 billion,0.74,0.79,3.3,3.4,3.7,3.2,3.6,"['""Good salary"" (in 31 reviews)', '""People are great and it\'s a solid group to work for."" (in 23 reviews)', '""Unlimited remote Job, Friendly management"" (in 17 reviews)', '""Work/Life Balance."" (in 12 reviews)', '""Good Support and Benefits"" (in 11 reviews)']","['""Low salaries for the area"" (in 31 reviews)', '""Well the salary isn\'t stretching as well!.. There\'s tremendous lack of skilled engineers and management."" (in 17 reviews)', '""Life balance, investment in professional qualification to manager positions"" (in 12 reviews)']",,
De Rooy Slijpcentrum BV | Precision BV,,Nuenen,QHSE Manager,"Jouw functie
De Rooy groeit en bereidt zich voor op een toekomst waarin producten groter, complexer en meer divers worden. Onze klanten stellen steeds hogere eisen en wij verleggen continue onze grens op het gebied van maakbaarheid en meetbaarheid. Om dit te kunnen realiseren moeten we ervoor zorgen dat we continue verbeteren en dienen we onze procedures goed te borgen. Hierin is een belangrijke rol voor de QHSE Manager weggelegd. Naast de borging en het verbeteren van ons kwaliteitsmanagementsysteem zorg jij als QHSE Manager eveneens voor een veilige en gezonde werkomgeving voor onze medewerkers. Dit alles doe jij samen met jouw team, waarover jij de leiding hebt. In deze rol treedt jij als onderdeel van het MT op als directievertegenwoordiger in het kader van QHSE aangelegenheden.
Jouw takenpakket bestaat uit:",30d+,True,€4K - €6K (Employer est.),,Company - Private,,,,,,,,,,,,,,,
AIVD,,Zoetermeer,DevOps Engineer,"Informatie is het belangrijkste kapitaal van de AIVD: jij zorgt dat deze informatie op de juiste manier wordt verzameld en verwerkt. Hoe je dat doet? Door topapplicaties te bouwen waarmee je de targets van onze onderzoeken altijd een stap voor blijft.
Wat ga je doen?
Wat weten we van onze targets? Hoe communiceren ze met elkaar? Wat zijn hun relaties? Voorbeelden van informatie die we (na toestemming vooraf van de toezichthouder) verzamelen om zicht te krijgen op personen die mogelijk een dreiging vormen voor onze democratische rechtsorde. Zulke inlichtingen zijn onmisbaar voor onze analisten en inlichtingenofficieren. Het is essentieel dat de informatie in goede structuren en systemen wordt opgeslagen, altijd terug te vinden is en doorzoekbaar blijft.
Jouw werk als softwareontwikkelaar bij de afdeling Vastlegging van onze Unit ICT is hierbij van groot belang. Met moderne technologieën als Docker, Kubernetes, GraphQL, ElasticSearch en nog veel meer bouw je applicaties waarmee de groeiende hoeveelheid data uit uiteenlopende bronnen kan worden verzameld en verwerkt. In samenwerking met collega’s van de DevOps-teams ga je daarbij zo creatief mogelijk te werk. Je volgt innovaties op de voet en kunt niet wachten om nieuwe technieken toe te passen. Door deel te nemen aan expertisegroepen denk je bovendien team overstijgend mee over ontwikkelingen, kansen en oplossingen.",14d,False,,51 to 200,Company - Public,,,,,,,,,,,,,,,
Rheinmetall Defence Nederland B.V.,3.8,Ede,ILS Engineer,"Rheinmetall Defence Nederland B.V. (RD-NL) te Ede is onderdeel van de divisie Vehicle Systems en is een 100% dochter van Rheinmetall Military Vehicles GmbH. In Ede zijn de Nederlandse Militaire voertuigen en systemen ontwikkeld en gebouwd. Naast nieuwe productie en ontwikkeling wordt er ook service en doorontwikkeling gedaan op militaire voertuigen.
Wij zijn ter uitbreiding van ons team op zoek naar een
ILS Engineer
ILS (Integrated Logistic Support) is een geïntegreerd proces om materiaal te ontwerpen en een strategie te ondersteuen om het functionele gebruik van het voertuig te verbeteren, de totale kosten van de levensduur van het voertuig inzichtelijk te maken en te reduceren en de betrouwbaarheid van het voertuig te optimaliseren.",30d+,True,,10000+,Company - Public,Aerospace & Defense,1889,Aerospace & Defense,$1 to $5 billion,0.7,0.73,3.4,4.0,3.5,3.1,3.8,"['""Good management and perspectives."" (in 23 reviews)', '""Nice people to work with."" (in 24 reviews)', '""Good culture, follow industrial practices, trainings certifications, Travel"" (in 40 reviews)', '""Good salary and facilities."" (in 20 reviews)', '""Good work life balance and benefits."" (in 21 reviews)']","['""You are seen as a threat to the local management teams yet you inputs were initially invaluable."" (in 23 reviews)', '""Blame culture."" (in 40 reviews)', '""Salary is below average for the industry."" (in 20 reviews)', '""Poor work life balance."" (in 21 reviews)']",4.5,
CNCverspanen B.V,,Zoetermeer,Application Engineer - portal beheerder,"Als portalbeheerder binnen onze onderneming als toeleverancier van CNC-draai en CNC-freeswerk, ben jij verantwoordelijk voor het beheren en onderhouden van de online verkoopomgeving. Dit omvat het dagelijks controleren en bijwerken van de website en portal om ervoor te zorgen dat de data actueel en relevant is voor de klanten. Hieronder vind je een aantal taken die een portalbeheerder in de verspanende sector dagelijks kan uitvoeren.
Het verwerken van offerte-aanvragen voor CNC draai- en freeswerk die via de portal binnenkomen, deze worden binnen het team aan- en onderhanden genomen.
Het controleren en bijwerken van de actuele prijzen en calculaties van de producten die via onze portal worden aangeboden.
Het beantwoorden van vragen van klanten over de producten en diensten die via de portal worden aangeboden.",15d,True,,,,,,,,,,,,,,,,,,
Luminis,4.1,Amsterdam,Senior AWS Cloud Engineer,"Als Senior AWS Cloud Engineer ben je verantwoordelijk voor de technische groei van onze diensten en heb je een leidende, coachende rol naar andere collega’s.
Jij onderzoekt, experimenteert en adviseert over de mogelijkheden binnen AWS en bedenkt hoe deze ons kunnen helpen in groei van onze managed services dienstverlening. Daarnaast hou je tijd en ruimte om ook waar nodig technisch bij te springen bij een van onze Cloud projecten.
Als persoon houd je van verdieping en uitdagingen en weet deze (in samenwerking met het team en klanten) om te zetten in praktische oplossingen.
Wat ga je doen?
Dev: wij zijn van oudsher een grote groep software en data engineers en onze zienswijze is dat ‘Cloud is Code’. Nu en in de toekomst. Wij verwachten dan ook ruime ervaring met ‘Infrastructure as Code’ zoals CloudFormation en/of Terraform in combinatie met Python, Typescript (en Bash als het nodig is).",30d+,True,€3K - €5K (Employer est.),51 to 200,Company - Private,Information Technology,2002,Information Technology Support Services,,1.0,1.0,3.7,3.3,4.6,3.1,4.5,"['""Fairly Relaxed environment and family feel"" (in 1 reviews)']","['""The pay can be better, sometimes not that interesting assignments."" (in 3 reviews)']",,
OMRON,4.0,Den Bosch,Production Engineer,"Wat deze functie uniek maakt…
Op onze locatie in ’s-Hertogenbosch assembleren we producten voor de industriële automatiseringsmarkt. Hierbij kun je denken aan industriële pc’s, PLC’s, HMI’s en robotica. Daarnaast hebben we drie SMD-lijnen en twee Wave machines waar we PCB’s produceren voor onze eindproducten. Als Production Engineer Robotics ben je verantwoordelijk voor het optimaliseren van het productieproces op basis van data. Je focust hierbij op de proces- en productiekwaliteit, leverbetrouwbaarheid en efficiency van de productielijnen. Jouw acties hebben invloed op de productieresultaten en maakt nieuwe product- en procesintroductie mogelijk. Je rapporteert in deze functie aan Olaf van Grinsven (Production Manager). De afdeling bestaat uit 6 andere collega’s (Production Engineers en een Equipment Programmer), met jou erbij 7 ;). Je werkt in deze functie nauw samen met Maintenance en Product Engineering.",30d+,True,€3K - €5K (Employer est.),10000+,Company - Public,Manufacturing,1933,Electronics Manufacturing,$5 to $10 billion,0.84,,3.6,3.6,4.1,3.5,3.9,"['""Good Benefits and that it"" (in 23 reviews)', '""Good work life balance for individual"" (in 24 reviews)', '""good working environment for fresh graduate"" (in 43 reviews)', '""Pros only when you know how to get into management good books"" (in 28 reviews)', '""Great culture and people to work with"" (in 38 reviews)']","['""Low salary and benefits not much compared to other mnc."" (in 23 reviews)', '""Poor management, inability to grow"" (in 28 reviews)', '""Politics, Japanese culture, Bias towards certain departments"" (in 38 reviews)']",3.9,"['Health Insurance (9 comments)\n""Great incentives for healthy actions, expensive coverage to start""', '401K Plan (9 comments)\n""Everything is good with the 401k plan.""', 'Vacation & Paid Time Off (6 comments)\n""Two weeks accrual which is probably common with other companies ""']"
