Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Ericsson,4.2,Maastricht,Junior Integration Engineer - Packet Data,"Ben jij pas afgestudeerd aan Hogeschool Zuyd of Fontys en wil jij werken aan de meest moderne en complexe mobiele netwerken van de toekomst? Ericsson zoekt jou!
Organisatie
Ericsson is 's werelds grootste aanbieder van mobiele netwerken en vervoert 40% van al het mobiele verkeer. Ericsson is gespecialiseerd in IoT en 5G. In Nederland werkt de 5G HUB bijvoorbeeld samen met Vodafone/ Ziggo en Brainport Eindhoven om organisaties te informeren en de mogelijkheid te bieden om 5G te ervaren.
Ericsson werkt voor de grootste mobiele operators om hen te voorzien van state of the art technologie. Vanuit het kantoor in Maastricht werken dagelijks bijna 100 professionals voor hun klanten.",,9d,True,10000+,Company - Public,Telecommunications,1876,Telecommunications Services,$10+ billion,0.82,0.92,3.5,3.8,4.1,3.5,3.8,"['""+ your colleagues will most likely hold a degree in engineering + very interesting processes + very interesting tasks + good work/life balance"" (in 1425 reviews)', '""Good Salary for experienced and timely payout on the 25th of every month."" (in 1487 reviews)', '""Culture is good and inspiring"" (in 1168 reviews)', '""and good benefits"" (in 460 reviews)', '""Management is good and take care of me specially during COVID lockdown."" (in 579 reviews)']","['""There is unmanaged plan activity and no work life balance because of dynamic work stracture."" (in 1425 reviews)', '""Low salary and very low yearly increment"" (in 1487 reviews)', '""They will tell you they have such a good culture that it makes up for it."" (in 1168 reviews)', '""Promotional benefits low"" (in 460 reviews)', '"". Bad management"" (in 579 reviews)']",4.4,"['Vacation & Paid Time Off (206 comments)\n""Relax, Free, Good, Happy, Supportive""', 'Health Insurance (157 comments)\n""competitive plans for different needs""', '401K Plan (147 comments)\n""very good benefits overall being employed""']"
MoneyBird,,Enschede,Growth Engineer,"Moneybird automatiseert de financiële zaken van ondernemerschap, zodat de ondernemer kan bouwen aan een gezond bedrijf.
Boekhouden hoort bij ondernemen. De boekhouding geeft een ondernemer inzicht in de financiën en het is de basis voor een stabiel bedrijf. Toch zien veel ondernemers tegen hun boekhouding op. Met Moneybird hebben wij daar een oplossing voor. Onze software maakt boekhouden makkelijk, slim en leuk. Moneybird is continu in ontwikkeling.
Ook intern vragen we ons altijd af hoe we alles nog beter kunnen maken voor onze medewerkers. We zijn niet voor niets een gecertificeerd Great Place to Work. Werken bij Moneybird is net zo plezierig, doordacht en leerzaam als het product dat we samen bouwen.
Dat we nog niet alle antwoorden hebben weten we, we blijven continu leren. We staan open voor eerlijke feedback, van elkaar en van onze klanten. We geven onze mening met duidelijke argumenten en niet vanuit ons ego. We durven het diepe in te springen, omdat we weten dat we alleen op die manier snel leren.

Recent hebben we onze website vernieuwd en hebben we de Moneybird Betaalrekeningen en Betaalpassen gelanceerd. We staan voor uitdagingen om Moneybird nog verder te laten groeien. Via onze website krijgen we duizenden aanmeldingen per maand, daarnaast is het een bron van informatie voor ondernemers voor het vinden van antwoorden op hun vragen.
Tot op heden werd de ontwikkeling van onze website gedaan door de engineers die ook aan de software van Moneybird bouwen. Om de kansen die we zien te benutten, willen we deze taken nu een permanente invulling geven. Daarom zoeken we nu een Growth Engineer die het marketing-team komt versterken.
In deze functie ben je continu bezig om de Moneybird-website en achterliggende (meet)infrastructuur technisch te optimaliseren! We vragen daarbij een grote mate van zelfstandigheid en ervaring om goede afwegingen en keuzes te maken.
Stel dat je vandaag zou beginnen, dan is dit een greep uit de werkzaamheden (en bijbehorende verwachtingen) die we momenteel hebben:",,22d,False,1 to 50,Company - Private,,,,,,,,,,,,,,,
Inspectie Leefomgeving en Transport,3.6,Utrecht,Data engineer,"Functieomschrijving
Een waardevolle bijdrage leveren aan een optimale en zakelijke vergunningsverlening; dat is jouw rol als data engineer in het programma Optimalisatie Vergunningsverlening. Dit doe jij door het realiseren van een vergunningsketen die efficiënt, klantvriendelijk en zakelijk is. Met als doel een optimaal proces van het verlenen van vergunningen met een verbeterde en transparante informatievoorziening. Spreekt dit je aan? Lees dan verder!Hoe jij bijdraagt in je rolEén van de kernwaarden van de ILT is een optimale dienst- en vergunningverlening. Het aanvragen van een vergunning moet duidelijk, eenvoudig en efficiënt zijn. Daar werkt het programma Optimalisatie Vergunningsverlening aan.In het programma ben jij de schakel tussen de business en informatievoorziening. Je brengt de behoeften, wensen en eisen van de datalevering vanuit de organisatie in kaart. Denk aan afspraken over welke velden worden aangeleverd, de frequentie en het te gebruiken format. Via deze afspraken zorg je dat de kwaliteit van de data hoog blijft. Uiteraard toets je of de aanlevering ook volgens afspraak gebeurt. Vervolgens zie je erop toe dat de data op de juiste manier ontsloten kunnen worden in onze organisatie. Op deze manier ben je cruciaal voor een goed functionerend programma, zodat de vergunningsaanvragers hun taak goed kunnen uitoefenen en de ILT als toezichthouder haar rol kan uitvoeren. Dit is waar jij voldoening uit haalt het verder specificeren van eisen en wensen om bijvoorbeeld grote railinfrastructuurprojecten te kunnen beoordelen het vertalen van datalevering in datamodellen en ERD’s het ontwikkelen van datamodellen voor de start van het vergunningsimplementatietraject voor onze Nederlandse vloot met vergunningsverleners van het Nederlandse luchtruim samenwerken om analyses uit te voeren nauw samenwerken met andere professionals, zoals SAS developers voorbereidingen maken voor de realisatie van de Wet Open Overheid (WOO) Meer weten?We kunnen ons voorstellen dat je nog wat meer wilt weten over deze functie. Je kunt daarom altijd vrijblijvend contact opnemen met Margot van Dorst, teamleider van Team Data, via 06-52401165. Zij staat jou graag te woord!",,24h,False,,Company - Public,,,,,0.18,,3.0,4.3,3.0,2.7,4.4,"['""Good work life balance, driven colleagues, contributing to society as a public servant."" (in 1 reviews)', '""Lots of freedom to work on different projects"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
VleugelAutomation B.V.,,Opmeer,Engineer Industriële Automatisering,"Bedrijfsomschrijving
VleugelAutomation B.V. ontwikkelt toekomstgerichte software voor de industriële automatisering, waarmee organisaties het verschil maken. Onze specialisten creëren maatwerk oplossingen voor complexe problemen in de breedste zin van het woord. Vakmanschap en innovatie zijn hierbij de kernwaarden.
Vacatureomschrijving
De rol van Engineer Industriële Automatisering
Als engineer binnen het jonge en gedreven team van VleugelAutomation B.V., spreek je de taal van de gebruiker en vertaal je zijn wensen naar heldere software oplossingen. Variërend van een sensor in het veld tot de data uitwisseling met kantoorautomatisering. Je houdt je voornamelijk bezig met procestechniek, maar ook machinebouw komt regelmatig voor. Je deinst niet terug voor nieuwe uitdagingen en bijt je graag vast in complexe materie. Zo sla je samen met enthousiaste collega’s een brug tussen mens en techniek!",,30d+,True,,,,,,,,,,,,,,,,,
Luminis,4.1,Amsterdam,Senior AWS Cloud Engineer,"Als Senior AWS Cloud Engineer ben je verantwoordelijk voor de technische groei van onze diensten en heb je een leidende, coachende rol naar andere collega’s.
Jij onderzoekt, experimenteert en adviseert over de mogelijkheden binnen AWS en bedenkt hoe deze ons kunnen helpen in groei van onze managed services dienstverlening. Daarnaast hou je tijd en ruimte om ook waar nodig technisch bij te springen bij een van onze Cloud projecten.
Als persoon houd je van verdieping en uitdagingen en weet deze (in samenwerking met het team en klanten) om te zetten in praktische oplossingen.
Wat ga je doen?
Dev: wij zijn van oudsher een grote groep software en data engineers en onze zienswijze is dat ‘Cloud is Code’. Nu en in de toekomst. Wij verwachten dan ook ruime ervaring met ‘Infrastructure as Code’ zoals CloudFormation en/of Terraform in combinatie met Python, Typescript (en Bash als het nodig is).",,30d+,True,51 to 200,Company - Private,Information Technology,2002,Information Technology Support Services,,1.0,1.0,3.7,3.3,4.6,3.1,4.5,"['""Fairly Relaxed environment and family feel"" (in 1 reviews)']","['""The pay can be better, sometimes not that interesting assignments."" (in 3 reviews)']",,
Data Access Europe,3.6,Hengelo,C/C++ Software Engineer,"Ben jij een Software Developer die zichzelf verder wil ontwikkelen? Wil je andere technieken en concepten verkennen en de tijd krijgen om je daar verder in te verdiepen? En daarnaast leren van collega’s in een internationale werkomgeving?
Als je bij ons start beginnen we met een maatwerk opleidingstraject. Hoe dit opleidingstraject er exact uit komt te zien is afhankelijk van waarin je je wilt verdiepen en welke technische basis je al hebt. Je krijgt als Software Engineer de mogelijkheid dingen uit te proberen, te experimenteren, waarbij je de hulp krijgt van senior engineers. Daarnaast ga je het geleerde in de praktijk brengen.
Dit kan bijvoorbeeld zijn op het gebied van Research & Development. Bij Data Access werken we namelijk met onze eigen software genaamd DataFlex welke in een internationaal ontwikkelteam continue wordt verbeterd, getest en geïmplementeerd.
Kortom jij:",,7d,True,,Company - Private,,,,,1.0,,3.8,3.8,4.1,5.0,4.2,['No Pros have been reported by the Glassdoor community.'],"['""less training period.. Provide proper training for new joiner"" (in 1 reviews)']",,
Rheinmetall Defence Nederland B.V.,3.8,Ede,ILS Engineer,"Rheinmetall Defence Nederland B.V. (RD-NL) te Ede is onderdeel van de divisie Vehicle Systems en is een 100% dochter van Rheinmetall Military Vehicles GmbH. In Ede zijn de Nederlandse Militaire voertuigen en systemen ontwikkeld en gebouwd. Naast nieuwe productie en ontwikkeling wordt er ook service en doorontwikkeling gedaan op militaire voertuigen.
Wij zijn ter uitbreiding van ons team op zoek naar een
ILS Engineer
ILS (Integrated Logistic Support) is een geïntegreerd proces om materiaal te ontwerpen en een strategie te ondersteuen om het functionele gebruik van het voertuig te verbeteren, de totale kosten van de levensduur van het voertuig inzichtelijk te maken en te reduceren en de betrouwbaarheid van het voertuig te optimaliseren.",,30d+,True,10000+,Company - Public,Aerospace & Defense,1889,Aerospace & Defense,$1 to $5 billion,0.7,0.72,3.4,4.0,3.5,3.1,3.8,"['""Supportive management"" (in 21 reviews)', '""Great people to work with."" (in 24 reviews)', '""International, diversity culture, great opportunity for growth"" (in 37 reviews)', '""Pay is good and always on time, 9 day fortnight."" (in 20 reviews)', '""Great Work life balance honestly."" (in 20 reviews)']","['""You are seen as a threat to the local management teams yet you inputs were initially invaluable."" (in 21 reviews)', '""Blame culture."" (in 37 reviews)', '""Not enough pay."" (in 20 reviews)', '""Poor work life balance."" (in 20 reviews)']",4.5,
Rörink IT Recruitment,,Almelo,SOFTWARE ENGINEER,"De Organisatie;
Dasko is een in 1913 opgericht familiebedrijf en vandaag de dag een internationaal opererende transportorganisatie gespecialiseerd in gekoelde en vriestransporten en opslag.
In drie landen heeft Dasko vestigingen en er werken meer dan 400 collega’s. Met 180 transportcombinaties is Dasko een betrouwbare logistieke dienstverlener en een trendsettende onderneming.
De functie;
In de rol van Software Engineer bij Dasko ontwikkel en onderhoud je ons eigen ontwikkelde platform “Daskoel”, wat geschreven is met PHP/Laravel als basis. Daskoel is onze omgeving waar modules in zijn ontwikkeld die andere software niet voor elkaar konden krijgen. Denk daarbij aan koppelingen (API) tussen pakketten, een eigen kloksysteem inclusief eigen hardware en een verzuimregistratiesysteem.",,9d,True,,,,,,,,,,,,,,,,,
OMRON,4.0,Den Bosch,Production Engineer,"Wat deze functie uniek maakt…
Op onze locatie in ’s-Hertogenbosch assembleren we producten voor de industriële automatiseringsmarkt. Hierbij kun je denken aan industriële pc’s, PLC’s, HMI’s en robotica. Daarnaast hebben we drie SMD-lijnen en twee Wave machines waar we PCB’s produceren voor onze eindproducten. Als Production Engineer Robotics ben je verantwoordelijk voor het optimaliseren van het productieproces op basis van data. Je focust hierbij op de proces- en productiekwaliteit, leverbetrouwbaarheid en efficiency van de productielijnen. Jouw acties hebben invloed op de productieresultaten en maakt nieuwe product- en procesintroductie mogelijk. Je rapporteert in deze functie aan Olaf van Grinsven (Production Manager). De afdeling bestaat uit 6 andere collega’s (Production Engineers en een Equipment Programmer), met jou erbij 7 ;). Je werkt in deze functie nauw samen met Maintenance en Product Engineering.",,30d+,True,10000+,Company - Public,Manufacturing,1933,Electronics Manufacturing,$5 to $10 billion,0.84,,3.6,3.6,4.1,3.5,3.9,"['""Competitive salary, Cozy office, Good environment to learn"" (in 50 reviews)', '""Good work life balance for individual"" (in 25 reviews)', '""good working environment"" (in 41 reviews)', '""Great people and products."" (in 38 reviews)', '""Good Benefits and that it"" (in 21 reviews)']","['""Below average salary."" (in 50 reviews)', '""Good working environment."" (in 41 reviews)', '""too minor to list, it really is a good place to build a career next to some very smart people!!"" (in 38 reviews)']",3.9,"['Health Insurance (9 comments)\n""Great incentives for healthy actions, expensive coverage to start""', '401K Plan (9 comments)\n""Everything is good with the 401k plan.""', 'Vacation & Paid Time Off (6 comments)\n""Two weeks accrual which is probably common with other companies ""']"
Cadmes,3.4,Den Bosch,Consultant PDM PLM,"Onze consultants zoeken nieuwe enthousiaste collega’s
Een ervaren techneut, consultant, engineer maar bovenal een enthousiaste vakman/vrouw, jij snapt de techniek en je wil graag jouw praktijkkennis als engineer delen met klanten die hun bedrijfsprocessen willen verbeteren.
Ben jij nieuwsgierig naar in-the-cloud mogelijkheden en wil je samen met je klant werken en bouwen aan een oplossing? En voel jij je thuis in een team waar we efficiënt (samen) werken en we betrokken zijn en altijd elkaar verder helpen. Reageer dan op deze baan!
Full-time of Part-time · 's-Hertogenbosch - Nederland
Functieomschrijving
Wat doet onze afdeling?
Onze afdeling helpt klanten in de maakindustrie op weg bij PDM/PLM implementaties en technische ondersteuning over de software (upgrades, advies, administrator training, etc.). We richten ons op de slimme maakindustrie met klanten die groeien, innoveren en/of willen veranderen. Wij zijn reseller van Dassault en onze klanten werken veelal met de merken Solidworks en Catia. We ontwikkelen ons van een succesvolle software reseller en project serviceorganisatie naar een organisatie die processen bij onze klant standaardiseert. Dit met behulp van SAAS-oplossingen in de cloud en daarbij passende managed services, eigen IP en Business consultancy.
Wat ga jij doen?
Al in een vroege fase ben je betrokken bij trajecten voor (nieuwe) klanten waar implementatie van de software nodig is of een upgrade. Doordat je zo kort op de bal zit weet je precies wat er speelt en wat er nodig is voor een succesvolle implementatie van de software en begeleiding in en optimalisatie van werkmethodieken. De projecten die je zelfstandig uitvoert hebben een doorlooptijd vanaf 1 dag tot meer dan een half jaar. Samen met sales denk je mee in de presales fase over de te behalen doelen van de klanten en weet deze te vertalen naar een mooi projectvoorstel. Zodra het voorstel een project wordt help je de klant in het optimaliseren van processen en werkmethodieken en begeleidt hen in de realisatie van die doelen. Daarnaast heb je ook technische kennis van de applicaties en weet de klant te begeleiden in de juiste configuratie.
Je proceskennis en inlevingsvermogen zorgen ervoor dat je goed zicht krijgt op de behoeftes die de klant heeft en de risico’s die je tegen kunt komen. Hierbij ziet de klant jou als de adviseur en heb je oog voor de stakeholders bij de klant. Je weet hoe je jouw visie op verschillende niveaus (engineer/productie/management) duidelijk weet over te brengen. Daarnaast werk je zelfstandig in projecten, waarbij je samenwerkt met de klant, project coördinatie, sales en eventueel een lead consultant. Je communiceert op een prettig manier en dat kan per mail, teams, live, telefonisch of wat dan ook verlopen. Net wat op dat moment efficiënt is.
Wat bieden we jou?
Cadmes helpt klanten bij het optimaliseren van hun ontwerp- en productieprocessen met intelligente ICT-oplossingen (zoals CAD, CAM, CAE, PDM, PLM en PCF), business consultancy en training.
Onze consultant collega's zien vooral de uitdaging van het 3DEXPERIENCE platform met daarnaast innovatieve en vernieuwende bedoeling van onze organisatie (wij lopen voorop) als een grote USP.
Onze collega’s werken ook bij ons omdat ze vrijheid, zelfstandigheid en vertrouwen belangrijk vinden. In deze functie betekent dat veel eigen inbreng, sparren met collega’s, gewoon jezelf zijn en door samen te werken haal je de beste resultaten. Dus geen maatpak of attache koffer, maar vooral wat jezelf wilt en onze oranje Cadmes sokken, die maken het wel compleet.",,30d+,False,51 to 200,Company - Private,,,,,1.0,1.0,3.2,2.3,3.7,3.2,3.2,"['""Professional growth; enthusiasm; challenges; work life balance"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
