Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ICE BASE,,Auckland,Data Engineer,"Phoenix Generation is a career pathway-focused community programme for migrants up to 1st generation and refugee students, graduates, and young professionals who identify within Middle Eastern, Latin American, African, Asian, or Continental European – Ethnic Communities Aotearoa New Zealand.
This opportunity is delivered by ICE Early in Careers Community of programmes which means we have access to some great employer partners who can offer you meaningful and professional career pathways in industries such as STEM, Marketing, Advertising, Accounting, Financial Services, Tech, Law, Professional Services and the ability to network with other growth-minded young professionals who will be Aotearoa New Zealand's future leaders.
The role of the Data Engineer is to develop data integrations, data warehousing and reporting solutions. They will be primarily responsible for preparing data for analytical and operational uses by building data pipelines to bring together information from different source systems and facilitate integration with the downstream systems. Will be associated with technical project delivery as part of the ITS Data team, ensuring that it meets high standards of security, performance, and reliability.",30d+,True,NZ$80K (Employer est.),,Company - Public,,,,,,,,,,,,,,,
Precision Data,,Wellington,Senior Data Engineer,"Why we need you & what you will be doing
We are looking for 7 Software engineers to work with our team.
This is a full time permanent role with 40 hours per week.
What we are doing:
Precision Data are working closely with a client who are doing a Risk assessment of payment transactions and this role is around upgrading their current platform, it is on some VM's (virtual machines) and needs upgrading versions.
The Proactive Risk platform is responsible for real time and near-real time risk assessment of payment transactions. The client is currently upgrading the platform and improving the automation of deployments. Our upgrade work will also see us improve the resiliency and reliability of the overall platform.",10d,True,NZ$110K - NZ$145K (Employer est.),,,,,,,,,,,,,,,,,
EY,3.9,Auckland,Data Engineer,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.
As a Data Engineer you will support our clients in defining and implementing a data journey aligned with their strategic objectives.",3d,False,NZ$114K - NZ$140K (Glassdoor est.),,,,,,,,,,,,,,,,,
New Zealand Government,4.1,Wellington,Data Engineer,"Be a Data Warehouse expert while aligning data strategies and architecture
We are a close knit and committed team of specialists
Wellington or Auckland
Come and join the enterprise data warehouse team in shaping the data foundation at Waka Kotahi! Te Whiwhinga mahi | The opportunity Waka Kotahi sees data as a key building block to delivering on the agency's strategic objectives. The purpose of this role is to work closely with our data teams to develop a data environment that enables fast and high-quality outputs. The enterprise data warehouse team plays a fundamental role in shaping the data foundation of the agency and the NZ transport sector at large. We are a close-knit entity empowered to determine the digital configuration of a data platform using our expertise. The Data Engineer will have ownership over procuring, curating and documenting the data needs of our teams. This role will consider how we optimise the flows of data for analytical and business purposes, whilst ensuring it aligns to our longer-term data strategies and overall architecture. If you enjoy working in a team, have influencing, problem solving and make a difference to make a difference by your Agile thinking, then this is the role for you. Ko koe tēnei | About you To be successful in this role, you will bring:

You will demonstrate knowledge of, or a willingness to gain an understanding of Te Ao Māori and promote tikanga and Te Reo Māori. You will also have knowledge of, or a willingness to gain an appreciation of te Tiriti o Waitangi (the Treaty of Waitangi) as it applies in the public sector. Ko wai mātou | About us Te Aukaha | Digital strengthens Waka Kotahi through supporting our people and delivering future-focussed solutions. We enable digital change and provide quality data, information and security services. Along with our other benefits we also have new Waka Kotahi Life, Income Protection and Critical Illness Insurance scheme available for permanent employees. View the Position Description here.
Thursday, 2 June 2022.

careers@nzta.govt.nz
To be considered for this position you must have a legal right to live and work in New Zealand.
Waka Kotahi is an equal opportunity employer (EOE). At the Agency we recognise the importance of diversity and inclusion and are committed to providing a working environment that embraces these values. Please let us know if you need any support or have any access requirements that will help you through the recruitment process.
Please note that we may begin shortlisting as we receive applications. We encourage early applications as we may withdraw the advertising at any time.",30d+,False,NZ$84K - NZ$131K (Glassdoor est.),10000+,Government,,1852,,$10+ billion,0.93,1.0,3.9,3.2,3.8,3.3,3.5,"['""Job security, Work life balance ,Training, Benefits"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Valocity,5.0,Auckland,Data Engineer (Auckland or Wellington),"About Valocity:

Our award-winning team of game-changers drive transformation and world-class innovation across the entire mortgage valuation process. Combining our data, technology, and people, the Valocity dream team works collaboratively to streamline the home buying journey for people around the world.
With offices in New Zealand, Australia, and India, Valocity is constantly evolving culture and strategy with a focus on the future. We’re open to innovation, technology, and new ideas to ensure we continue to be fast, agile, and equipped for success.
At Valocity, we endorse positive goals and a productive atmosphere that embodies the highest level of commitment to the business, customers, and one another. This is a great opportunity to be part of a dynamic and growing global team where your professionalism and skills will make a difference.",30d+,False,NZ$90K - NZ$127K (Glassdoor est.),1 to 50,Company - Private,Real Estate,,Real Estate,,1.0,,4.0,2.0,5.0,5.0,5.0,"['""Great culture"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
BNZ,4.1,Auckland,Senior Data Operations Engineer,"Ko mātou tēnei | This is Us
Here at BNZ, it's about more than just banking. We work together in an agile, energising environment to create innovative solutions through our promise ""If you can imagine a better future, let's find a way.""
The Senior Data Operations Engineer is responsible for the reliability and availability of all critical Finance production data assets. This tūranga (role) is core to enabling the function to provide the support required to meet the various Finance and DA&S A&I reporting and insights needs.
Mō te Tūranga | About the Roles
We sat down with our, Finance Data Operations Manager who let us know the following about the Senior Data Operations Engineer tūranga (role);",24h,False,NZ$75K - NZ$97K (Glassdoor est.),1001 to 5000,Company - Public,Financial Services,1861,Banking & Lending,$1 to $5 billion,0.76,0.73,3.9,3.9,3.9,3.6,4.1,"['""Good culture and enough flexibility"" (in 12 reviews)', '""All the people are amazing and there are a lot of perks"" (in 6 reviews)', '""Training and career progression is always available"" (in 9 reviews)', '""Great environment, talented people, would reccomend"" (in 8 reviews)', '""Good annual leave, good employee benefits"" (in 4 reviews)']","['""Not good environment when job related political channels are considered"" (in 8 reviews)']",,
Sugandi Consulting Limited,,Auckland,Data Engineer,"Hi

We are looking for a Data Engineer for one of our client who has got huge presence in New Zealand.

Job Description:

Data ETL/Analytics
Good to have experience of implementing any Data Preparation and ETL Tool like Data3sixty Analyse (previously known as Lavastorm) or Alteryx or Informatica
Extensive experience with Excel strong understanding of formula language and VBA and able to decipher business logic and intent.",30d+,False,NZ$78K - NZ$120K (Glassdoor est.),,Company - Private,,,,,,,,,,,,,,,
The Warehouse,3.5,Auckland,Data Engineer Chapter Member,"Company Description
Due to our significant scale and the rapid modernisation of our data pipeline and toolset this really is an awesome opportunity for an intermediate level Data Engineer to come join us!
The Warehouse Group (TWG) has become a Kiwi household name, and we proudly recognise the role that we play in communities throughout New Zealand. We are the largest general merchandise retailer in NZ with over $3 billion in sales, and employing over 12,000 people across The Warehouse, Warehouse Stationery, Noel Leeming, Torpedo7 and TheMarket.com. To ensure we can adapt quickly to ever-changing customer needs, we’ve adopted an agile structure with a focus on collaboration, productivity, and speed-to-market.
Job Description",7d,False,NZ$52K - NZ$100K (Glassdoor est.),10000+,Company - Public,Retail & Wholesale,1982,"Department, Clothing & Shoe Stores",$1 to $5 billion,0.45,0.68,3.1,3.2,3.1,2.9,3.3,['No Pros have been reported by the Glassdoor community.'],"['""Structure of teams and chapters"" (in 1 reviews)']",4.0,
Rio Tinto,4.0,Invercargill,Process Control Engineer,"Process Control Engineer
Be part of a group that is safety driven and values inclusion
Join our global leading business offering outstanding personal development & global career opportunities
Permanent employment which includes a huge range of additional benefits
About the role
Finding better ways to provide the materials the world needs.
We are currently looking for a Process Control Engineer to support and enhance a range of process control systems and applications in our aluminium casting facilities, based at our NZ Smelting Operation at Tiwai Point.",7d,False,,10000+,Company - Public,"Energy, Mining & Utilities",1873,Mining & Metals,$10+ billion,0.79,0.86,3.8,4.0,3.7,3.3,3.7,"['""Good benefits, overall good team vibes"" (in 33 reviews)', '""Good hours and good pay"" (in 46 reviews)', '""The management allows you to grow and be involved in a lot of projects"" (in 16 reviews)', '""Development Opportunities"" (in 36 reviews)', '""Good culture . . ."" (in 23 reviews)']","['""management is bad"" (in 16 reviews)']",4.4,"['Health Insurance (29 comments)\n""The maturity package is pretty good and medical package offers a Good upgrade with unlimited claim however it only allows top up for everyone within the household""', '401K Plan (14 comments)\n""I wouldn\'t recommend getting into the stock plan it is a pain to liquidate once you leave the company""', 'Vacation & Paid Time Off (14 comments)\n""20days annual leave with upto 40days carry over""']"
Power It services,2.6,Auckland,Data Engineer,"ABOUT US
We are providing Recruitment Services and IT Consulting Services for our Tier-1 Multinational Clients covering following major domains, but not limited to Banking, Financial Services and Insurance, Retail, Airline, Automotive, Energy and Consumer Sector
ABOUT CLIENT
Our Client is a Tier-1 System Integrator and global leader in providing IT Services. Our Client is Australia’s LinkedIn ‘Top 25 Companies’ and ’Top Employer’ for 4 consecutive years.
Our Client began its operations in 1998 in Australia, starting from Sydney. Today it has regional offices across the country with an agile and diverse work force, skilled at enabling growth and business transformation. Our Client's clientele are a number of Australia and New Zealand’s biggest companies and it is recognized as a top employer brand.",30d+,True,NZ$100K - NZ$120K (Employer est.),201 to 500,Company - Private,,,,,0.43,,2.6,2.3,2.6,2.7,2.7,"['""Very good atmosphere and culture"" (in 1 reviews)', '""Good Manager"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
