Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
EUMETSAT,3.4,Norway,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",20d,False,NOK 8K (Employer est.),201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.5,0.49,2.4,3.7,2.9,2.6,3.1,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""International working environment, friendly people, decent working conditions and income."" (in 4 reviews)', '""Compensation and benefits package, multicultural environment, great canteen."" (in 4 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 6 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)']",,
EUMETSAT,3.4,Norway,Contracts Officer (Based in Germany),"Contracts Officer
EUMETSAT is Europe’s meteorological satellite agency, operating satellites that monitor the weather and climate from space - 24 hours a day, 365 days a year.
It’s an exciting time to be working at EUMETSAT. As an organisation we’re operating a fleet of satellites delivering weather and climate-related satellite data and images to our users worldwide; helping protect lives, property and industries. However, you don’t need to be an engineer or a scientist to make a positive contribution. Our specialist administrative and support functions play an equally important role in the success of the EUMESAT programmes and are valued members of the EUMETSAT family.
The Contracts Division provides contractual and commercial expertise across the organisation and ensures that best value for money is achieved by an efficient procurement process. The Division provides contractual and commercial expertise to the organisation, performs checks and balances to ensure compliance with the procurement rules, and ensures that procurements are timely and well managed.",15d,False,NOK 8K (Employer est.),201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.5,0.49,2.4,3.7,2.9,2.6,3.1,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""International working environment, friendly people, decent working conditions and income."" (in 4 reviews)', '""Compensation and benefits package, multicultural environment, great canteen."" (in 4 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 6 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)']",,
Riverty Group GmbH,4.0,Oslo,Data Governance Engineer (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

Riverty offers customers payment solutions that make everyday life simpler!

Our solutions contribute to a flexible and customer-friendly payment alternative, offering customers (m/f/d) the opportunity to choose when and how they want to pay for a purchase. Delivering a trustworthy and positive shopping experience, both for retailers and end customers makes us proud but not content. Our ambition is higher and now we have a great opportunity for a Data Governance Engineer (m/f/d) to join our growing team.",30d+,False,,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.78,1.0,3.7,3.3,4.0,3.6,4.1,"['""Good company, good salary, time"" (in 20 reviews)', '""Good management"" (in 11 reviews)', '""Colleagues are friendly and helpful"" (in 16 reviews)', '""Good training"" (in 7 reviews)', '""Corporate Benefits"" (in 5 reviews)']","['""Poor salaries"" (in 20 reviews)', '""Pathetic HR workspace and ridiculous management"" (in 11 reviews)', '""Lack of organisation, some strange colleagues who just constantly message you in a creepy way."" (in 16 reviews)', '""Poor training and oversight"" (in 7 reviews)']",4.0,
Cambi,,Remote,Data Engineer,"Cambi has developed our own tool to help our customers achieve high process performance and smooth operation of all our Thermal Hydrolysis Plant (THP) installations and ancillaries. We call this tool PLUS - an online platform for process monitoring, analysis and support.
We are now seeking to strengthen our PLUS team with a highly skilled Data Engineer. As a successful candidate, you will play a key role in the further development and deployment of PLUS across our plants worldwide. This is a unique opportunity to get involved at an early stage and be a key player in developing one of the company’s main strategic activities.
As a PLUS Data Engineer, you will be responsible for developing and maintaining data streaming solutions from our industrial automation systems. Your key responsibilities will include setting up data pipelines from the plant floor to the end-user, ensuring that real-time data is continuously updated and available for analysis. Additionally, you will have the opportunity to be involved in this data analysis. You will work closely with a cross-functional team of experts to design and implement scalable, efficient, and reliable data streaming pipelines. You will also integrate new data sources, troubleshoot and debug streaming issues, and ensure data quality and integrity. Furthermore, you will play a significant role in implementing best practices for data management, data security, and data privacy.",21d,False,,51 to 200,Company - Private,,,,,,,,,,,,,,,
Bekk,4.8,Norway,Sommerjobb for data scientists / data engineers — Oslo,"En relevant sommerjobb er gull verdt for deg som ønsker erfaring og muligheten til å sette teori i praksis. Jobb med erfarne Bekk-konsulenter på aktuelle oppdrag, lær masse og vis oss hva du kan – og kanskje leder det til en jobb etter studiene! Sommerjobb i 2023 er fra 13. juni til 28. juli.
Hvem er du?
Du studerer datateknikk, informatikk, kybernetikk, matematikk, eller du har en annen relevant utdannelse. Du har et ønske om å få erfaring som data scientist eller data engineer, og interessen for å løse problemer med data bør være en drivkraft for deg.
Hva skal du gjøre?",30d+,False,,201 to 500,Company - Private,Management & Consulting,,Business Consulting,$500 million to $1 billion,1.0,,4.1,3.8,4.9,4.4,4.8,"['""Smart colleagues"" (in 3 reviews)', '""Good salary and interesting projects."" (in 1 reviews)', '""the average age of the colleagues is young"" (in 1 reviews)']","['""career path is not fully clear"" (in 1 reviews)', '""not so easy to work overtime"" (in 1 reviews)']",,
TIDAL,4.2,Oslo,Data Engineer (Java),"Company Description

TIDAL is a global music and entertainment streaming platform committed to creating a deeper connection between artists and fans through its library of more than 80 million songs, over 350,000 high quality videos, and available in over 60 countries. In addition, TIDAL offers its subscribers exclusive access to high-profile music and music videos, original content series, podcasts, documentaries, livestream concerts, tickets, merchandise and live experiences. Together, TIDAL and Block will be music-obsessed and artist-focused while we explore new artist tools, listener experiences, and access to financial systems that help artists be more successful.

Job Description",8d,True,,5001 to 10000,Company - Public,Information Technology,2009,Internet & Web Services,$1 to $5 billion,0.85,0.89,3.9,4.0,4.3,3.8,4.1,"['""Great benefits and a lot of trust"" (in 143 reviews)', '""The company has great benefits and culture!"" (in 175 reviews)', '""Great people working here and mission"" (in 144 reviews)', '""Good work/ life balance if your role allows it"" (in 93 reviews)', '""Good pay, fun co"" (in 126 reviews)']","['""No higher learning benefits are a downer"" (in 143 reviews)', '""The culture here overall is great."" (in 175 reviews)', '""Work life balance now totally out the window"" (in 93 reviews)', '""Definitely have to hit over quota to see a decent pay"" (in 126 reviews)']",4.6,"['Maternity & Paternity Leave (46 comments)\n""4 months of parental leave""', 'Health Insurance (30 comments)\n""Health insurance is a good price for coverage but the choices are limited.""', 'Vacation & Paid Time Off (22 comments)\n""Depending on your job title and role, your PTO / time off is lower, the lower your rank is. They say your PTO is flexible the higher you are, but you\'ll miss out on important updates, meetings, and changes within the company internally, that nobody will help you keep up to date, except for yourself.""']"
Statkraft,4.5,Oslo,Data Engineer (m/f/d),"Company Description

Statkraft has been making clean energy possible for over a century. That’s what we offer. 125 years of unrivalled expertise in supplying the world with what it needs most. Because in the fight against climate change, we don’t see renewable energy as part of the solution - we believe it must be the solution. With us, you’ll shape a career that is truly forward-facing with many amazing opportunities and offerings to match.

But there’s more work to be done - that’s why we need you to join us.

Job Description",30d+,False,,1001 to 5000,Company - Public,"Energy, Mining & Utilities",1895,Energy & Utilities,$10+ billion,0.91,0.96,3.8,4.0,4.4,3.8,4.2,"['""Great work life balance"" (in 14 reviews)', '""Good benefits and salary."" (in 18 reviews)', '""Flat hierarchy, open culture, great work"" (in 13 reviews)', '""Great people to work with"" (in 12 reviews)', '""Great work environment and opportunities"" (in 19 reviews)']","['""Lack of support and work life balance"" (in 14 reviews)', '""Low salary"" (in 18 reviews)', '""Too centered in Norway culture, not an international mentality"" (in 13 reviews)', '""Few opportunities to work in other oversees projects"" (in 19 reviews)']",,
Mnemonic,4.8,Oslo,Data Engineer – Java Developer,"We are looking for a skilled Java Developer
We are looking for a skilled Java Developer for our Argus Distributed Systems team.
We encourage both experienced candidates, and candidates with strong commitment and relevant skills to apply.
About mnemonic
mnemonic responds to the region’s most serious cyberattacks. We work side by side with Europe’s most important organisations and critical infrastructure to protect them from the cyberattacks they see today, and what they can expect to see tomorrow.
At more than 350 employees, we are amongst the largest pure play security companies in Europe, and continue to grow rapidly in Norway and internationally. In addition, we are continually ranked by Great Place to Work as one of Norway’s and Europe’s top workplaces.",30d+,False,,201 to 500,Company - Private,Information Technology,2000,Information Technology Support Services,,1.0,,4.4,4.1,4.7,4.1,5.0,"['""Very competent and friendly colleagues."" (in 5 reviews)', '""Company culture is great."" (in 4 reviews)', '""Full schedule flexibility"" (in 2 reviews)', '""Good benefits."" (in 1 reviews)', '""Excellent training budget"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
AvantGarde Search AS,,Oslo,"Data Engineer | NorgesGruppen | Skøyen, Oslo","Er du en nytenkende og forretningsorientert Data Engineer som ønsker å være en sentral bidragsyter i reise mot å bli en datadrevet organisasjon? Ønsker du å utforske og finne gode løsninger for å skape innsikt som påvirker viktige beslutninger knyttet til utvikling av varesortiment i flere av Norges dagligvarekjeder?
Kategori / Innkjøp (KI) i NorgesGruppen består av en tverrfaglig gjeng som brenner for å realisere forbedringer og ny funksjonalitet med fokus på verdi for våre kunder. Vi har mange planer og ønsker, og er midt oppi et teknologisk løft som gjør at vi trenger flere dyktige data engineers med på laget.
Om NorgesGruppen
NorgesGruppen er landets største handelshus. V åre rundt 40.000 medarbeidere står på hver dag for å gjøre hverdagen enklere for folk flest. Vi brenner for å gjøre dagligvarene billigere og bedre, inspirerer til gode matopplevelser, og bidrar til grønne og sunne valgmuligheter.",30d+,False,,,Company - Private,,,,,,,,,,,,,,,
GE Digital,3.8,Remote,Software Support Engineer,"Job Description Summary
Provides expertise in sustained customer success and growth in the post-sales customer lifecycle through training, professional services, technical support, renewals, outcome attainment, retention, expansion, and customer advocacy with a Digital focus. Responsible for departmental operations planning/execution or is focused on execution of professional activities within a technical discipline. Functions with some autonomy but guided by established policies or review of end results.
The job allows modification of procedures and practices covering work as long as the end results meet standards of acceptability (quality, volume, timeliness etc.).
Job Description


#LI-Remote - This is a remote position",30d+,False,,1001 to 5000,Company - Public,Information Technology,2012,Enterprise Software & Network Solutions,$1 to $5 billion,0.67,0.88,3.3,3.5,3.8,3.3,3.9,"['""Work life balance Is good"" (in 103 reviews)', '""good people to work with"" (in 76 reviews)', '""Good benefits (insurance and 401k employer contribution)"" (in 50 reviews)', '""Good Management"" (in 61 reviews)', '""It is a good culture but it doesn\'t have budget due to continues loss making since its inception."" (in 78 reviews)']","['""Not a good place for seniors who has personal responsibilities as there is no work life balance"" (in 103 reviews)', '""Average salary ranges but good benefits"" (in 50 reviews)', '""bad management and direction"" (in 61 reviews)', '""Always on culture."" (in 78 reviews)']",3.4,"['Health Insurance (32 comments)\n""With this ensurarence choose the clinic which will heal you""', '401K Plan (30 comments)\n""they matched 100% of first 6%""', 'Vacation & Paid Time Off (11 comments)\n""Follow the standard national standards""']"
