Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Acreto,,Remote,Technical Reporting & Compliance Lead,"Technical Reporting and Compliance Lead
This is a role for a senior data engineer to architect, develop and operate a large scale, high performance data collection, processing and reporting infrastructure. This infrastructure will most likely involve a variety of data store types spanning SQL, NoSQL and Time Series.
This architecture must also consider data security, privacy, performance and availability.
In this role, you will need to:
Gather, store, process and categorize data generated by a variety of system sources and types
Analyze, discuss and understand reporting requirements for a variety of compliance standards",,30d+,True,,,,,,,,,,,,,,,,,
Equinix,4.2,Przysieka Polska,Controls Engineer Senior Associate,"Controls Engineer Senior Associate
Equinix is a global digital infrastructure company that operates 245+ data centers across the globe, providing interconnections to all the key clouds and networks. Businesses need one place to simplify and bring together the fragmented, complex infrastructure that spans private and public cloud environments. Our global platform allows customers to place infrastructure wherever they need it and connect it to everything they need to succeed.
We are a fast-growing global company with 20 years of consecutive quarterly growth*. Through our innovative portfolio of high-performance products and services, we have created the largest, most active global ecosystem of 10,000+ companies, including 2,000+ networks and 3,000 cloud and IT service providers in 32 countries spanning six continents.",,30d+,False,10000+,Company - Public,Information Technology,1998,Enterprise Software & Network Solutions,$1 to $5 billion,0.85,0.91,3.9,4.0,4.3,3.9,4.0,"['""Good culture Flexible Good work life balance"" (in 26 reviews)', '""The people are great."" (in 35 reviews)', '""The management is caring"" (in 33 reviews)', '""life balance, good salary"" (in 34 reviews)', '""Good benefit and environment"" (in 18 reviews)']","['""No work life balance ."" (in 26 reviews)', '""Not helpful people."" (in 35 reviews)', '""Bad management."" (in 33 reviews)', '""base salary is not so competitive"" (in 34 reviews)', '""Diminished benefit Very little leaves Hard to convert to perm staff"" (in 18 reviews)']",4.4,"['Health Insurance (52 comments)\n""Luxmed package, unfortunately without dental coverage""', '401K Plan (29 comments)\n""Not available (not related) in Poland""', 'Vacation & Paid Time Off (28 comments)\n""The system used for tracking it rubbish""']"
nVent,3.8,Dzierżoniów,Electro Mechanical Design Engineer,"We’re looking for people who put their innovation to work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
What You Will Experience In This Position
In this position, you will get to:
Conduct electrical, material, and mechanical investigations.
Perform testing, research, and data gathering, charting, analysis, and recording.
Develop qualification plans in accordance with nVent Thermal and industry standards.
Manage project execution with limited oversight. Coordinate internal and external laboratory resources.",,8d,True,10000+,Company - Public,Manufacturing,2018,Electronics Manufacturing,$1 to $5 billion,0.72,0.88,3.6,3.5,3.8,3.5,3.8,"['""Good people to work with for mentorship"" (in 8 reviews)', '""Above average pay, friendly environment"" (in 6 reviews)', '""Actually decent culture, like people are generally friendly and interested in conversation."" (in 10 reviews)', '""Good working environment"" (in 11 reviews)', '""The benefits barely pass."" (in 4 reviews)']","['""Low pay, not much room for improvement"" (in 6 reviews)']",4.4,"['401K Plan (6 comments)\n""100% match up to 5%""', 'Health Insurance (5 comments)\n""Several options to best suit your needs""', 'Maternity & Paternity Leave (3 comments)\n""benefits for mothers and faterhs""']"
EUMETSAT,3.6,Poland,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",,8d,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""Flexibility, good working conditions and multicultural environment"" (in 2 reviews)', '""People, Salary, Quality of Life, Meaningful work."" (in 1 reviews)']","['""Things are very bureaucratic and can be slow in terms of work."" (in 1 reviews)']",,
EUMETSAT,3.6,Przysieka Polska,Contracts Officer (Based in Germany),"Contracts Officer
EUMETSAT is Europe’s meteorological satellite agency, operating satellites that monitor the weather and climate from space - 24 hours a day, 365 days a year.
It’s an exciting time to be working at EUMETSAT. As an organisation we’re operating a fleet of satellites delivering weather and climate-related satellite data and images to our users worldwide; helping protect lives, property and industries. However, you don’t need to be an engineer or a scientist to make a positive contribution. Our specialist administrative and support functions play an equally important role in the success of the EUMESAT programmes and are valued members of the EUMETSAT family.
The Contracts Division provides contractual and commercial expertise across the organisation and ensures that best value for money is achieved by an efficient procurement process. The Division provides contractual and commercial expertise to the organisation, performs checks and balances to ensure compliance with the procurement rules, and ensures that procurements are timely and well managed.",,2d,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""Nice working Environment"" (in 5 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 5 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)', '""Sometimes there is too much bureaucracy"" (in 3 reviews)']",,
Upcruit,,Remote,Senior Technical Support Engineer (PL/SQL and Unix),"Hourly Rate: $22 - $31 per hour
24-month B2B contract
100% Remote in Poland
Overview:
The Senior/Principal Technical Support Engineer will ensure the successful operation of the development, test and production systems of the client. The system is a security and data management platform. The engineer will work with a senior tech. support manager under a shift-based system and follow a plan of tasks that are assigned during the shift.
Must have the ability to effectively communicate as well as manage and define risk strategies to ensure projects are delivered on time and within scope.",,26d,True,,,,,,,,,,,,,,,,,
Farmer Connect,,Poznań,Software QA Test Engineer,"farmer connect® aims to help the food and beverage supply chain evolve into a collaborative data-driven model, connecting participants at every level. Our platform ConnectHub helps our clients to leverage supply chain data, enabling actionable insights through end-to-end traceability. As our platform continues to grow, we want to ensure that we can continue to offer our clients a high-quality service and are therefore looking for a QA Test Engineer.
You will be responsible for assessing software quality through manual and automated testing, finding & reporting bugs and working closely with both the product & customer success team to establish a high customer-product satisfaction. Ultimately, we envision you leading farmer connect towards QA/automation excellence!
Responsibilities",,21d,True,,,,,,,,,,,,,,,,,
Snowflake,4.2,Poland,Software Engineer Intern - Frontend/Fullstack,"Build the future of data. Join the Snowflake team.
Snowflake started with a clear vision: to develop a cloud data platform that is effective, affordable, and accessible to all data users. Snowflake developed an innovative new product with a built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. We are now a global, world-class organization with offices in more than a dozen countries and serving many more.
We’re looking for dedicated students who share our passion for ground-breaking technology and want to create a lasting future for you and Snowflake.
WHAT WE OFFER:",,30d+,False,1001 to 5000,Company - Public,Information Technology,2012,Enterprise Software & Network Solutions,$1 to $5 billion,0.76,0.9,4.1,4.2,4.0,3.9,3.6,"['""Smart people and amazing tech"" (in 22 reviews)', '""Great culture and focus."" (in 15 reviews)', '""Great management"" (in 7 reviews)', '""Great work life balance for tech"" (in 6 reviews)', '""Pay is competitive and benefits are comprehensive."" (in 11 reviews)']","['""People were friendly but pretty reserved"" (in 22 reviews)', '""work life balance is not good"" (in 6 reviews)']",4.2,"['Health Insurance (10 comments)\n""Very good health insurance that covers many things.""', 'Vacation & Paid Time Off (7 comments)\n""I don\'t remember the exact number of days of Vacation &amp; Paid Time Off but it was quite generous.""', 'Maternity & Paternity Leave (6 comments)\n""The number of weeks are great""']"
Netflix,4.3,Poland,UI Engineer (L4/L5) - Content Engineering,"Warsaw, Poland
Core Engineering
Netflix is the world's leading streaming entertainment service with over 230 million paid memberships in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, and stop and restart their membership without long-term commitments.
Content Engineering builds the products and services used by our internal and external creative partners producing and managing our global content. Our products enable the entire workflow of content production, from pitch to play, and provide innovative new ways to develop and manage the entertainment at scale.",,20d,False,5001 to 10000,Company - Public,Information Technology,1997,Internet & Web Services,$5 to $10 billion,0.85,0.92,3.9,4.6,4.2,3.9,3.9,"['""The people you work with are great"" (in 29 reviews)', '""high salary good work environment trust"" (in 34 reviews)', '""Good work life balance"" (in 20 reviews)', '""The motto ""Freedom and responsibility"" is deeply lived at all levels of the organization."" (in 33 reviews)', '""Great benefits and really intelligent individuals"" (in 20 reviews)']","['""love the people and my managers"" (in 29 reviews)', '""Salaries are much bigger than many other companies in NL and very comfortable, but still considerably lower than what your peers are making in the US, in a magnitude of 3x~4x times lower"" (in 34 reviews)', '""Work life balance is missing."" (in 20 reviews)', '""Freedom and Responsibility"" (in 33 reviews)']",4.4,"['Health Insurance (69 comments)\n""You get I free but to a bad health care""', 'Free Lunch or Snacks (39 comments)\n""You get food on set""', '401K Plan (26 comments)\n""Haven’t used it yet. But is available""']"
Token Metrics,3.2,Przysieka Polska,Crypto Data Engineer Intern (Remote),"Token Metrics is seeking a multi-talented Big Data Engineer intern to facilitate the operations of our Data Scientists and Engineering team. The Big Data Engineer intern will be responsible to employ various tools and techniques to construct frameworks that prepare information using SQL, Python, R, Java, and C++. The Big Data Engineer intern will be responsible for employing machine learning techniques to create and sustain structures that allow for the analysis of data while remaining familiar with dominant programming and deployment strategies in the field. During various aspects of this process, you should collaborate with coworkers to ensure that your approach meets the needs of each project.

The duration of the Token Metrics internship program is 3 months. It is an evaluative unpaid internship with the possibility of return offers, depending on the company's needs.",,5d,True,1 to 50,Company - Private,Financial Services,2019,Investment & Asset Management,,0.44,0.51,2.9,3.0,3.1,3.0,3.3,"['""life balanced 2. Great culture."" (in 1 reviews)']","['""Nowhere on the website or job listing, it was mentioned that the Internship was unpaid."" (in 1 reviews)', '""They take cognitive assessments and behavioral assessment tests before even the initial interview."" (in 1 reviews)']",,
