Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Fogbyte Lda,,Portugal,Senior AWS DevOps Engineer,"As a modern IT service provider,
we implement innovative cloud solutions for our customers.
For our team, we are looking for a motivated
Senior AWS DevOps Engineer
What we are looking for?
deep knowledge in AWS cloud services
strong experience in CI/CD, Gitlab, DevOps and Container technologies as Docker and Kubernetes
strong experience in scripting (e.g Bash, PowerShell, Python or Java)
deep knowledge in IAC as Terraform. Cloudformation is a must.",30d+,True,,,,,,,,,,,,,,,,,,
Arkadium,4.1,Portugal,Full Stack Developer,"Trying to be part of the next great online game? That’s what we do.
At Arkadium our purpose is to have fun while creating fun - and that’s exactly what we’ve been doing for 20 years. We’re the creators behind the world’s most-played games. From the Solitaire that came on your Windows machine, to hundreds of other games you’ve come to know and love - you can find our games on Arkadium.com, iOS, Android, and lots of other big sites worldwide.
As a proud Evergreen business our values of Fierce Drive, Positive Energy and Living Full Lives are the driving force behind how we run and the choices we make.
We’re privately held (aka stable and reasonable about growth), founder-led (aka passionate about our craft) and we consistently rank as a “Best Place to Work” (aka not your typical games company).",30d+,True,,51 to 200,Company - Private,Media & Communication,2001,Video Game Publishing,$5 to $25 million,0.76,0.85,3.8,3.9,4.2,3.9,4.2,"['""Easy job And a big salary"" (in 4 reviews)', '""My workload was tailored to my strengths as the internship progressed."" (in 3 reviews)', '""Great employees"" (in 5 reviews)', '""Very inclusive, great culture, care about your growth."" (in 5 reviews)']","['""Salary comes intermittently строгий работодатель"" (in 4 reviews)', '""It was a great internship."" (in 3 reviews)', '""Run unprofessionally...disorganized, favoritism, decisions made seemingly randomly, etc"" (in 3 reviews)']",3.7,
Leafwell,4.0,Home office,Data Engineer,"Please visit our career page to apply: https://leafwell.com/careers/
The Data Engineer will be in charge of creating and orchestrating the Leafwell data pipeline, which means gathering data, creating & automating data transformations, and producing actionable insights for Leafwell’s internal stakeholders. Responsibilities also include supporting critical testing and rollout of new data features. The objective of the Data Engineer role is to build and maintain systems that inform Leafwell’s business stakeholders about Key Performance Indicators (KPIs) and suggest data-driven strategies to optimize those metrics.
At Leafwell, we believe cannabis is medicine, and our mission is to unlock the therapeutic potential of the plant by increasing access, research, and education.
About Leafwell:",30d+,True,€71K - €72K (Employer est.),51 to 200,Company - Public,Information Technology,,Information Technology Support Services,,0.8,,3.7,3.9,4.2,4.0,4.2,"['""Great coworkers, quick communication, enjoyable content."" (in 4 reviews)', '""Management is very understanding and co"" (in 1 reviews)', '""lead tech company, flexible, work/life balance, thought"" (in 1 reviews)']","['""Bad pay"" (in 2 reviews)', '""Poor leadership"" (in 1 reviews)']",,
"Hala Systems, Inc.",,Portugal,"Software Engineer, Data Architecture","How to apply:
Please submit your resume and application materials at https://hala.link/job-se-data-architect-apply-indeed
Software Engineer, Data Architecture
Engineering Department
Hala Systems, Inc. is a social enterprise working to transform the nature of protection and accountability in the world’s toughest places by democratizing advanced defense, sensing, and artificial intelligence technology. Hala is currently saving lives, reducing trauma, and improving resilience for millions of people.
Our team works across the globe and hails from over 15 countries. We speak over 20 languages and have studied and worked in leading educational, business, research and government institutions. We are mission-driven thinkers, and we share a deep respect for each other and for the communities that partner with us.",30d+,True,,,,,,,,,,,,,,,,,,
Essity,4.0,Portugal,Ingestion Senior Data Engineer (f/m/d),"Ingestion Senior Data Engineer (f/m/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!
About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.
30 jun. 2023",30d+,False,,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.86,3.4,3.7,4.0,3.4,3.7,"['""Good work life balance"" (in 51 reviews)', '""Management easy to talk too."" (in 52 reviews)', '""Good benefits and convenient location"" (in 41 reviews)', '""Good salaries compared to other companies"" (in 59 reviews)', '""Friendly colleagues"" (in 61 reviews)']","['""Can do with better work life balance"" (in 51 reviews)', '""Poor management agreeing on certain jobs to do"" (in 52 reviews)', '""Basic benefits"" (in 41 reviews)', '""Poor Growth and low salaries"" (in 59 reviews)']",3.5,"['Health Insurance (5 comments)\n""There are quite few services covered, but the medical company can find available space for a check-up only in few weeks, when they know you have a company insurance.""', '401K Plan (4 comments)\n""The plan is good for the job ""', 'Vacation & Paid Time Off (4 comments)\n""Based on national contract rules""']"
Essity,4.0,Portugal,SQL Engineer,"SQL Engineer (m/f/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!

About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.

30 jun. 2023",30d+,False,,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.86,3.4,3.7,4.0,3.4,3.7,"['""Good work life balance"" (in 51 reviews)', '""Management easy to talk too."" (in 52 reviews)', '""Good benefits and convenient location"" (in 41 reviews)', '""Good salaries compared to other companies"" (in 59 reviews)', '""Friendly colleagues"" (in 61 reviews)']","['""Can do with better work life balance"" (in 51 reviews)', '""Poor management agreeing on certain jobs to do"" (in 52 reviews)', '""Basic benefits"" (in 41 reviews)', '""Poor Growth and low salaries"" (in 59 reviews)']",3.5,"['Health Insurance (5 comments)\n""There are quite few services covered, but the medical company can find available space for a check-up only in few weeks, when they know you have a company insurance.""', '401K Plan (4 comments)\n""The plan is good for the job ""', 'Vacation & Paid Time Off (4 comments)\n""Based on national contract rules""']"
Rows,4.0,Porto,Senior Data Engineer- Analytics,"Porto, Portugal - Remote
UTC +01:00
More details
Permanent
Gross annual salary: €45.000 - €65.000
Data Scientist
At least 3 years of experience - Intermediate
Language(s): Required English
| Nice to have Portuguese
SKILLS
Must have:
Python",24h,False,,51 to 200,Company - Private,,,,,1.0,,3.5,4.5,4.0,4.0,4.5,"['""Good culture, good management, good energy"" (in 2 reviews)', '""Very competitive compensation and benefits."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Prologica SA,,Home office,Data Engineer,"Acreditas no poder dos dados e da tecnologia para alavancar uma melhor prática e dinâmica na saúde?
Queres fazer da evidencia da realidade a base de todas os processos de decisão em saúde? Sonhas com a aplicação de toda a capacidade da inteligência artificial e novas tecnologias de data science na saúde?
O que é mais importante do que a vida, a nossa individual, a da nossa família, amigos e da sociedade em geral? Nada! Então concluímos que não existe melhor setor, melhor área da sociedade para colocarmos a nossa energia, paixão e conhecimentos do que na saúde!
Então junta-te a nós!! Somos uma empresa jovem, pioneira e disruptiva que acredita que esta transformação já começou e, estando ainda no início, nós seguimos no pelotão da frente!!",23d,True,,,,,,,,,,,,,,,,,,
EDICOM,3.6,Portugal,Software Integration Engineers,"Quiénes somos
EDICOM es una empresa pequeña de ACCOUNTING_CONSULTING. Nuestra empresa es profesional, ágil, innovadora y nuestro objetivo es Did you know that EDICOM is one of the world’s major EDI and e-invoicing businesses? Our solutions connect companies and large multinationals located on five continents and integrate their management systems.
EDICOM helps digitalize companies through the development of SaaS solutions (Software as a Service), automating and integrating data interchange (EDI), so eliminating manual insertion errors and unnecessary use of paper worldwide. The company has subsidiaries in New York, Milan, Paris, Valencia, Seville, Murcia, Mexico City, Bogota, Buenos Aires, Sao Paulo and Casablanca. Our next step will be to open a new office in Lisbon and Porto.",30d+,True,€21K - €35K (Employer est.),501 to 1000,Company - Private,Information Technology,1995,Computer Hardware Development,,0.64,0.63,3.1,3.3,3.5,2.9,3.4,"['""good projects as well as salaries"" (in 8 reviews)', '""Great multicultural team and awesome boss"" (in 5 reviews)']","['""Salary is kind of low"" (in 8 reviews)', '""40k salary (poor), no incentives, low employee morale, no flexibility, no empathy, old school company culture"" (in 2 reviews)', '""does not have a good management processes"" (in 3 reviews)']",1.0,
We Are META,4.9,Portugal,Data Engineer,"Are you a Data Engineer? Become a Rhino join the #crash
We are META , more than a company a TEAM that will shake your idea about tech recruitment. Based in Évora but acting mainly in a remote way, we work with national and international partners in several areas with offices across the country .
We are a disruptive company always ‘charging down’ for big opportunities for the best professionals, through a Human 2 Human approach, we are straight to the point, always focus on transparency , making sure the well-being of our Rhinos and their professional development .
META provides you:
A welcome kit",1 day ago,True,,1 to 50,Company - Private,Human Resources & Staffing,2021,HR Consulting,,1.0,,4.5,4.5,4.8,4.8,4.7,"['""Meta is a company that cares about people and the work"" (in 6 reviews)', '""Good Salary."" (in 2 reviews)', '""New consultancy, but with a lot of team spirit and the desire to really take care of people."" (in 2 reviews)', '""Good benefits and work conditions, they\'re flexible and have an open"" (in 1 reviews)', '""There is a generous budget for employee training."" (in 1 reviews)']","['""salary a little below average"" (in 2 reviews)']",,
Damia,4.0,Home office,Aptiv.io - Data Engineer - Remote,"Aptiv.io is recruiting a Data Engineer
The AI platform that captures missed revenue opportunities and connects with targeted buyers
About: Tech Start-up based in NY, that is leading in sales and marketing for B2B companies, that want to see real opportunities to sell products and have information about customers' intentions. The platform uses data processing and scraping, collecting information from different data providers, and identifying key buyers to do marketing campaigns and sell their products.
They’re the future of sales.
Their all-in-one AI platform positions companies to achieve sustainable growth. Aptiv.io helps Chief Revenue Officers with opportunity discovery, revenue conversions, unifying sales and marketing, and optimizing the selling experience. Their platform empowers sales reps with real-time signals and actionable insights to anticipate the needs of customers before the competition with opportunities within 48 hours, tailored to your go-to-market playbook.",9d,True,,1 to 50,Company - Private,Human Resources & Staffing,1995,HR Consulting,,0.93,1.0,3.4,3.9,4.4,4.0,4.3,"['""good energy and people committed to working alongside each other"" (in 6 reviews)', '""AMAZING culture;"" (in 4 reviews)']","['""The company is still growin, so for now there aren´t many career opportunities."" (in 4 reviews)', '""No Exit Interview"" (in 2 reviews)']",,
Essity,4.0,Portugal,Software Engineer (SAP PLM),"Software Engineer SAP PLM (m/f/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!
About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.

30 jun. 2023",30d+,False,,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.86,3.4,3.7,4.0,3.4,3.7,"['""Good work life balance"" (in 51 reviews)', '""Management easy to talk too."" (in 52 reviews)', '""Good benefits and convenient location"" (in 41 reviews)', '""Good salaries compared to other companies"" (in 59 reviews)', '""Friendly colleagues"" (in 61 reviews)']","['""Can do with better work life balance"" (in 51 reviews)', '""Poor management agreeing on certain jobs to do"" (in 52 reviews)', '""Basic benefits"" (in 41 reviews)', '""Poor Growth and low salaries"" (in 59 reviews)']",3.5,"['Health Insurance (5 comments)\n""There are quite few services covered, but the medical company can find available space for a check-up only in few weeks, when they know you have a company insurance.""', '401K Plan (4 comments)\n""The plan is good for the job ""', 'Vacation & Paid Time Off (4 comments)\n""Based on national contract rules""']"
