Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Mconnect Ltd,,Băbeni,Data Engineer,"About us
We are professional, agile, and our goal is to We aim to make a solid team to travel around Europe working along side our team on data center installs .
Our work environment includes:
International workforce
Relaxed atmosphere
On-the-job training
Flexible working hours
Safe work environment",27d,True,RON 20K (Employer est.),,,,,,,,,,,,,,,,,
Da Vinci Engineering GmbH,4.0,Timişoara,Functional Safety Engineer (m/f/d),"We are searching for intelligent and innovative employees for our Automotive customers as Mercedes-Benz, Porsche and Robert Bosch. If you are interested in working for a dynamic company with flat hierarchy, we look forward to receiving your application.
Your tasks:
Perform tasks required by ISO 26262
Administrative tasks, for example Safety plan and Safety case
Define technical safety concept, including all Safety mechanisms
Derive from SGs the SSR, HSR and HSI and Consultation for internal staff from other departments
Perform software and hardware safety analysis and component qualification",30d+,False,,501 to 1000,Company - Private,Management & Consulting,2005,Research & Development,$25 to $100 million,0.88,0.92,3.6,3.5,4.2,3.8,3.9,"['""Flexible employer, great colleagues, optimal work"" (in 3 reviews)', '""Paid overtime."" (in 1 reviews)', '""Great communication with the team and managers."" (in 1 reviews)']","['""Le management de certains responsable"" (in 2 reviews)', '""No career development as all are externals"" (in 1 reviews)']",,
EUMETSAT,3.4,Romania,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",21d,False,RON 8K (Employer est.),201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.5,0.49,2.4,3.7,2.9,2.6,3.1,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""International working environment, friendly people, decent working conditions and income."" (in 4 reviews)', '""Compensation and benefits package, multicultural environment, great canteen."" (in 4 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 6 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)']",,
CrowdStrike,4.3,Bucharest,"Sr. Backend Software Engineer - Python, Go, OpenSearch a.k.a Elasticsearch, MySQL, AWS (Romania)","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.

About the team:
You will be joining the EASM Engineering team a.k.a. CrowdStrike Falcon Surface based in Romania and Israel.",30d+,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
CrowdStrike,4.3,Romania,"Backend Software Engineer (Go, AWS, Cassandra) - Cloud Security (Remote or Hybrid, Romania)","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role
Cloud Security Posture Management (CSPM) is a new and complementary product area for CrowdStrike. We’re extending CrowdStrike’s mission of “stopping breaches” into the public cloud control plane and native cloud resources. CrowdStrike’s CSPM offering will give customers visibility into both the (mis)configuration and compliance of native cloud resources, and potential adversary activity involving those resources. When coupled with Falcon, CrowdStrike’s endpoint security offering, our CSPM offering will provide a more comprehensive perspective on how the adversary is targeting key customer infrastructure.",30d+,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
CrowdStrike,4.3,Romania,"Software Backend Engineer (Discover), Remote or Hybrid","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
We are looking for an experienced Software Engineer to join our Discover Cloud Team.

Falcon Discover is CrowdStrike’s IT visibility & hygiene product, providing a single pane of glass for IT and security professionals to deep-dive into a rich data set consisting of host, user and application data. We’re dealing with an ever increasing volume of data - hundreds of TB of information - which needs to be served in real time. Find out more about the Falcon Discover -
.",26d,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
CrowdStrike,4.3,Romania,Software Development Engineer in Test (Java) - Sandbox | Romania (Remote),"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
CrowdStrike is looking for an experienced SDET to join our Sandbox Engineering Team on our quest to keep the bad guys out.
The Sandbox is a complex software system designed to ingest thousands of potentially bad samples every day, tear them apart and uncover their secrets. From these secrets, we can provide the best in industry protection for our customers and community CrowdStrike is known for.",30d+,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
CrowdStrike,4.3,Romania,"Frontend Engineer (Discover), (Remote)","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role
As a UI Engineer at CrowdStrike, you will work with a talented and dedicated team to build and maintain the user interface for the Falcon platform. You will provide a high quality user experience that our customers around the world use 24/7 to protect their systems from the most sophisticated adversaries.",18d,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
CrowdStrike,4.3,Romania,"Cloud Developer | Discover | Golang, Kafka, Cassandra, AWS - Remote or Hybrid","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
We are looking for an experienced Software Engineer to join our Discover Cloud Team!
Falcon Discover is CrowdStrike’s IT visibility & hygiene product, providing a single pane of glass for IT and security professionals to deep-dive into a rich data set consisting of host, user and application data. We’re dealing with an ever increasing volume of data - hundreds of TB of information - which needs to be served in real time. Find out more about the Falcon Discover -
.",25d,False,,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.81,0.88,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 113 reviews)', '""Great management and teamwork."" (in 92 reviews)', '""Great Pay"" (in 106 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 69 reviews)']","['""Remote first culture, but will see"" (in 113 reviews)', '""1. Poor management."" (in 92 reviews)', '""VERY below average pay"" (in 106 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 69 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
Samskip,3.3,Cluj-Napoca,Software Test Engineer,"Testing, testing! Plan and implement essential software testing for an innovative digital transformation that will drive the ongoing growth of our international transport operations
As a company that organises thousands of international cargo transports every week, Samskip’s success depends substantially on the use of complex data sets such as customer data, sensory data from our equipment, and data from our business processes. To optimize this process we are currently undergoing a Digital Transformation towards a self-designed, cloud-based system (OutSystems). If you are a flexible and proactive problem-solver who can help us to deliver the smooth and efficient testing of the new system, we’d love to hear from you.
A great team within a growing company
Samskip has offices across Europe, North America, Asia and Australia. We are a true leader in the innovation and implementation of sustainable and multimodal transport links across Europe. Our office in Cluj-Napoca is central to this growth with a team of 10 software engineers and testers that works closely with a team of five developers in Rotterdam, the Netherlands. It’s busy, it’s fun and every day is different as you develop your skills by working on greenfield, innovation projects.",30d+,False,,201 to 500,Company - Private,Transportation & Logistics,1990,Taxi & Car Services,$100 to $500 million,0.37,0.73,2.9,3.1,3.0,2.6,3.2,"['""Salaris is good, colleagues are fun, trustworthy and at times heartwarmongly sweet."" (in 3 reviews)', '""Young and diverse work force"" (in 1 reviews)', '""flexible working schedule, transport compensation, 7 card allowance"" (in 1 reviews)']","['""High fast paced environment for Juniors have started their career from their Onboarding month"" (in 2 reviews)', '""Low basic salary."" (in 2 reviews)']",,
