Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Klook,3.9,Singapore,"Data Engineer, ETL (SG)","About Klook

Klook is the go-to travel and leisure e-commerce platform for experiences and services anytime, anywhere. Founded in Hong Kong in 2014 out of passion for discovery, our purpose today is to inspire and enable more moments of JOY. Even when the COVID-19 pandemic hit, we held on to our conviction and successfully unlocked the domestic travel business. To date, we are already offering over 490,000 activities in over 1,000 destinations. With cross-border travel resuming, we have made it our mission to reshape the world of travel. Isn’t this exciting?!

It certainly is for our international community of over 1,200 employees, based in over 20 locations globally! Joymakers at heart, Klookers are not only curating joyful experiences for others, but also co-creating our world of joy in the Klookiverse. We are on a journey to foster a strong company culture that supports a high-performing and successful business, and we are guided by our core beliefs - ush boundaries, sk for and give feedback, ake ownership, and elp each other - in everything we do. We are excited about building and realizing endless possibilities in the new era of travel. Care to be a part of this revolution?",7d,False,,1001 to 5000,Company - Private,Hotels & Travel Accommodation,2014,Travel Agencies,,0.8,0.91,3.7,3.6,4.0,3.6,3.9,"['""Team is nice, less overtime, comfy office, can bring pet, medium stress, enough vacation, open environment."" (in 3 reviews)', '""Nice office"" (in 1 reviews)']","['""Salary is below average."" (in 2 reviews)']",4.3,
EY,3.9,Singapore,"SAS Data Engineer, Data & Analytics, Technology Consulting","At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity
EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.
We implement information-driven strategies, data platforms and advanced data analytics solution systems that help grow, optimize and protect client organizations. We go beyond strategy and provide end to end design, build and implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientists, big data engineers, developers and consultants in the region.",4d,False,SGD 72K - SGD 108K (Glassdoor est.),,,,,,,,,,,,,,,,,
Titansoft Pte Ltd,4.4,Singapore,Data Engineer,"About us

If you believe data makes the world go round, we believe we have found the one we are looking for. Our data and research team are the ultimate managers of data. Others see meaningless figures but they see value.
Our team are part of mathematician, part of computer scientist, and part of interpreters. Of data.

You will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for the data science teams. Provide support to our product developers, data analysts and data scientists to ensure that data is meaningful, consistent, and easily available for a wide array of projects and research.







Job Reference: TITANSOFT00115",30d+,False,,201 to 500,Company - Private,Information Technology,2005,Information Technology Support Services,,0.86,,3.9,4.1,4.3,4.0,3.7,"['""Good learning opportunity"" (in 5 reviews)', '""Friendly colleagues"" (in 3 reviews)', '""Good management"" (in 3 reviews)']","['""Pay is very average."" (in 3 reviews)', '""Even though for some projects, the development plans could be orchestrated with longer timeline, but the managers didn\'t want to and forced developers to work on weekend instead."" (in 3 reviews)']",,
PwC,3.9,Singapore,Junior Data Engineer,"Line of Service
Internal Firm Services
Industry/Sector
Not Applicable
Specialism
IFS - Information Technology (IT)
Management Level
Associate
We believe that challenges are better solved together. That's why you'll join a diverse, global community of solvers - an unexpected mix of people that come together to build trust in society and solve important problems. With us, you are encouraged to lead with your heart and values, and where your unique skills are developed and put to work in unexpected and exciting ways, superpowered by technology.

Firmwide Corporate Services

Our Firmwide Corporate Services unite to help build our competitive advantage with first class support internally. Spanning Administration, Business Development, Chairman’s Office, Compliance, Finance, Human Resources, Learning and Development, Legal, Marketing and Communications, Operations and Change Management, and Technology, we power our lines of services to make sure all of us have the right sources, services and technology to be the best we can be.

Not all of us work directly with external clients. Some of our most talented people choose to harness their skills, experience, expertise and service excellence within PwC. The possibilities are endless and our business landscape is changing everyday.
Degrees/Field of Study required:
Degrees/Field of Study preferred:
Not Specified
No
No",9d,False,,10000+,Company - Private,Financial Services,1998,Accounting & Tax,$5 to $10 billion,0.8,,4.1,3.5,3.9,3.7,3.0,"['""Good work / life balance"" (in 143 reviews)', '""In general there are good salaries"" (in 127 reviews)', '""Well organized company and great culture and on boarding"" (in 96 reviews)', '""management is good and friendly environment"" (in 61 reviews)', '""met many good people and various type of projects"" (in 85 reviews)']","['""no work life balance &gt;&gt;&gt; do you need more than that ...!"" (in 143 reviews)', '""Less Salary and sometime need to manage other work also including your project work"" (in 127 reviews)', '""Bad organizational culture in this company"" (in 96 reviews)', '""Bad hikes and management."" (in 61 reviews)', '""bad people"" (in 85 reviews)']",4.1,"['Maternity & Paternity Leave (389 comments)\n""It is very generous to male fathers and mothers""', 'Health Insurance (282 comments)\n""A lot of doctors in network""', 'Vacation & Paid Time Off (172 comments)\n""They are very flexible with the PTO you take""']"
ITCAN Pte Ltd,4.0,Singapore,Associate Data Centre Engineer (fresh graduates are welcome to apply),"System & alert monitoring and escalation
Batch jobs processing including backups (e.g., execute/ submit, monitor, and handle jobs according to work instructions / MOP defined)
Server health checks
Start-up, shut-down, reboot systems, restart services, etc.
Initiate prompt actions for tasks indicated on the checklists
Ensure proper hand-over to next shift team member
Provide support for incident management
Incident ticketing and escalation
Liaise with users/ customers on project related operational matters",14d,True,,1001 to 5000,Company - Private,Information Technology,2004,Information Technology Support Services,$25 to $100 million,0.73,0.8,3.9,3.4,3.6,3.6,3.6,"['""Welfare benefit are good."" (in 6 reviews)', '""Good HR management"" (in 4 reviews)', '""Client work place."" (in 1 reviews)']","['""Benefits are kot so great"" (in 6 reviews)']",5.0,
ONNEC Group,3.2,Singapore,Data Centre Cabling & Hardware Support Engineer,"ONNEC builds, supports and optimises the IT infrastructure, networks and connectivity which drive global business performance.
We are a rapidly growing organisation and finding and retaining the highest calibre of people is fundamental to us for the success of our business, we work hard to create a challenging, supportive and satisfying working environment for all our employees. ONNEC has successfully achieved the Investors in Diversity Foundational Award for our commitment to equality, diversity and inclusion in the workplace.
We re recruiting for Engineers to work within a team carrying out cabling infrastructure and network hardware support at Onnec client sites. The work will include all types of patching, break-fix, circuit provision and recovery, disconnect/reconnect of desktop and networking equipment, rack and stack of Data Centre Hardware (eg Server, Network and Storage) and provision of connectivity to DC Hardware. The position will be site based as required and reports to the Service Delivery Manager.",15d,True,SGD 75K (Employer est.),501 to 1000,Company - Private,,,,,0.35,,2.4,3.2,2.8,3.3,3.3,"['""Some of the staff were nice that were NOT on the HR Team."" (in 2 reviews)', '""Pay good money, work isn\'t too difficult"" (in 2 reviews)', '""Managers are easy to get on with"" (in 1 reviews)']","['""managers no care for staff, staff not happy working here"" (in 2 reviews)', '""Bully culture."" (in 2 reviews)', '""No training in place, you have to train yourself."" (in 1 reviews)']",,
DNA INFOTECH PTE. LTD.,4.2,Singapore,Data Engineer,"Hands on experience on relational databases (DB2, Oracle, MySql, etc.)
Ability to work directly with data and datastores through programming language such as SQL, Python, Java, etc.
Experience with a variety of data modeling techniques and data structures.
Ability to optimize data for analytics and data science.
Experience building/operating systems for data extraction, ingestion and processing of large data etswith ETL tool such as Informatica.
Knowledge and direct experience using business intelligence reporting toolssuch as Business objects and Power BI.
Experience building data products incrementally and integrating and managing datasets from multiple sources.",24h,False,SGD 6K - SGD 9K (Employer est.),201 to 500,Company - Public,,,,,1.0,,3.6,3.8,4.7,3.3,4.2,"['""culture, Salary, Freedom, Learning, Scope"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
"JPMorgan Chase Bank, N.A.",4.0,Singapore,"Data Centre Engineer, Analyst","As a member of our Technology Operations team, your initiative and creative problem-solving will help propel global innovation in technology and business. Working with a team of motivated collaborators, you'll develop and implement strategic technology solutions, ensuring the successful integration of network system and applications servers into existing and new technology infrastructures. You'll play a key role in the care and support of customers, including proactive incident monitoring. In addition to valuable on-the-job experience, you'll receive coaching, mentorship and a host of other development opportunities to advance your career at the firm and beyond.

This role requires a wide variety of strengths and capabilities, including:
Bachelor's Degree
Minimum 1 years in data center operation",6d,False,,10000+,Company - Public,Financial Services,1799,Banking & Lending,$10+ billion,0.8,0.88,4.0,3.8,4.0,3.6,3.6,"['""Work Life Balance is good"" (in 361 reviews)', '""Good benefits and vibes."" (in 259 reviews)', '""Good pay and other perks"" (in 391 reviews)', '""I think the people here are great and highly motivated ."" (in 273 reviews)', '""Good company to work with with good culture"" (in 274 reviews)']","['""Hectic work No work life balance Late Night work Politics"" (in 361 reviews)', '""There is no benefit and they are very serious about it."" (in 259 reviews)', '""Pay is low and plenty of overtime"" (in 391 reviews)', '""people avoid to help each other"" (in 273 reviews)', '""Extremely rigid hierarchy of authoritarian culture."" (in 274 reviews)']",4.1,"['Health Insurance (981 comments)\n""great benefits from day 1""', 'Vacation & Paid Time Off (571 comments)\n""Paid time off is good""', '401K Plan (539 comments)\n""Match is only once a year""']"
PARALLELCHAIN LAB PRIVATE LIMITED,4.0,Singapore,Machine Learning / Data Engineer,"We are looking for Machine Learning / Data Engineers who strive to find and implement effective solutions to constrained problems.

Location: Singapore
Job Type: On-site, Full-time

Duties
Carry out research and data processing to support the development of fintech applications.",1 day ago,False,SGD 7K - SGD 9K (Employer est.),1 to 50,Company - Private,,,,,,,,,,,,"['""Good work and good team"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Horizon Corp,,Singapore,Data Center Engineer,"Role - Data Center Engineer
Location - Singapore
Duration - Long term contract (Payroll under R Systems)
Job description
To manage the overall availability and uptime of the Data Centres
To manage the Data Centre surveillance system
To manage the Data Centre physical access and control
To manage the Data Centre space, power and IT inventories",1 day ago,True,SGD 6K - SGD 7K (Employer est.),,Company - Public,,,,,,,,,,,,,,,
