Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Amzn Corporate Services Korea,,,"APAC Global Expansion Engineer, Data Center Design Engineering","Engineering degree in Electrical, Mechanical or related discipline
Cumulative 5+ years of experience in enterprise Data Center or Carrier-class Telecommunications design, engineering and/or operations and maintenance (O&M).

AWS data centers are the foundation upon which our software and services operates to meet the growing demands of our customers. This role provides the opportunity to collaborate with business development, design engineers, data center operations professionals, and other cross-functional teams to assess and select colocation facilities that meet our business requirements. As a Global Expansion Engineer you will have the opportunity to: • Showcase your in-depth understanding of data center design, engineering, and operations of infrastructure common to data centers and telecommunications facilities. • Work with internal business teams and with colocation vendors to identify, document, and resolve any operational/design deficiencies which could impact a site’s capability or availability. • Influence standards, processes on a global scale. Key job responsibilities • Conduct site assessments against AWS standards for colocation data centers, legacy facility upgrades, and general capital endeavors. • Perform risk analysis and availability calculations for vendor owned and operated colocation data center’s infrastructure to determine fit-for-use/fit-for-service. • Influence AWS’ design and specification requirements to meet our business needs. • Document root-cause failure analysis associated with infrastructure and equipment failures. • Work with local agencies having jurisdiction to ensure compliance with federal, state and municipal requirements and building codes. • Collaborate with engineering, operations and commissioning teams to properly test and validate installation, operation, and performance of electrical/mechanical/fire suppression/controls systems. • Support Operations to determine utilization, efficiency, and fail-over analysis on critical systems. Travel to Data Center sites as required (up to 50%) – mostly regional and domestic trips out Monday/Tuesday back Thursday/Friday with occasional international travel. About the team Are you an engineer with a passion for data center design and looking for a challenge to chart your own course? If so, we are looking for you to help us make history. AWS data centers are the foundation upon which our software and services operates to meet the growing demands of our customers. This role provides the opportunity to collaborate with business development, design engineers, data center operations professionals, and other cross-functional teams to assess and select colocation facilities that meet our business requirements. You will be able to showcase your in-depth understanding of data center design, engineering, and operations of infrastructure common to data centers and telecommunications facilities. You will work directly with internal business teams and with colocation vendors to identify, document, and resolve any operational/design deficiencies which could impact a site’s capability or availability. You will have opportunities to influence standards, processes and the direction of our business on a global scale. So, if you are a strong leader with solid data center design engineering experience, Amazon will present a fast paced, fun, and exciting work environment that is unique in every aspect and offers an exceptional opportunity for you.
Preferred qualifications • Master’s degree in engineering • 10+ years cumulative data center design experience; co-location experience a plus • PE or EIT • Prior project management experience PMP, PMI • Meets/exceeds Amazon’s leadership principles requirements for this role • Meets/exceeds Amazon’s functional/technical depth and complexity for this role",24h,False,,,,,,,,,,,,,,,,,,
데브시스터즈,,,[데브시스터즈] Data Engineer - Analytics/BI,"div { position: relative; } a { height:3.5%; width:100%; position: absolute; left: 0; display: inline-block; cursor: pointer; } img { width: 100%; }
인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>시스템엔지니어|인터넷·IT·통신·모바일·게임>게임(Game)>시스템기획·설계",30d+,False,,,,,,,,,,,,,,,,,,
티맵모빌리티,,,Data Engineer,"Data Engineer
인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터웨어하우징|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터아키텍처|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터사이언스",30d+,False,,,,,,,,,,,,,,,,,,
LINE Plus corporation,,,Data Platform Engineer,"데이터에 대한 가치와 중요도가 커짐에 따라 LINE도 체계적인 데이터 관리와 효율적인 활용을 위해서 노력을 하고 있고 이를 위해서 기술적인 리드를 담당하는 조직입니다.
여러 나라의 다양한 서비스에서 발생하는 글로벌 규모의 대용량 데이터를 모으고 처리하고 있으며,
개발자들이 쉽게 데이터를 여러 가지 목적으로 활용할 수 있도록 Data Platform을 개발하고 제공하고 있습니다.
데이터 규모가 크고 시간적인 요구사항이 짧아지고 있어서 기술적인 도전 과제들이 많이 있고 머신 러닝과 같은 새로운 기술셋과 솔루션으로 확장되고 있습니다.
컴퓨터 사이언스 기본기가 있으신 분이라면 관련 경험 자체는 중요하지 않으니 이러한 기술 문제를 해결하는 것을 즐겨 하고 함께 의미 있는 플랫폼을 만들어 가실 분을 모십니다.
담당업무",30d+,False,,,,,,,,,,,,,,,,,,
플리토,,,Data/Machine Learning Engineer (신입),"Data/Machine Learning Engineer 채용 (신입)"" 강한 책임감을 가지고 동료들과 소통하는 동료를 찾습니다! ""플리토는 2012년에 설립된 언어 데이터 전문 기업으로 집단지성, 아케이드 등자체 플랫폼을 통해 텍스트, 이미지, 음성 데이터를 수집하며, 기업의 요구사항에맞춰 데이터를 수집 및 가공해 판매하고 있습니다.Data/Machine Learning Engineer는 이렇게 만들어진 데이터를 다루는데 필요한 개발을 담당합니다.[주요업무]- 다양한 언어쌍의 코퍼스 신규 구축 및 관리- 자연어 처리(Natural Language Processing)를 이용한 코퍼스 정제 및 품질 분석- 기업 고객사를 위한 맞춤형 데이터 구축(텍스트, 이미지, 음성 등)에 필요한 개발 업무 지원- 코퍼스 주제 분류, 개인정보 비식별화, 불량 코퍼스 필터링 등 다양한 ML 프로젝트 (예정)[자격요건]- Julia / Python / R 중에서 자신 있는 프로그래밍 언어가 있는 분- 하나의 데이터도 놓치지 않고 꼼꼼하게 관리할 수 있는 성격[우대사항]- 외국어를 잘하지 않아도 언어 자체에 관심이 있는 분- 공개된 데이터셋을 이용해 개발한 경험- 머신러닝 프레임워크(PyTorch, TensorFlow 등)를 이용한 개발 경험[기타사항] - 근무지 : 플리토 서울 본사 (2호선 역삼역 도보 5분 거리 위치)- 근로계약 : 정규직 (수습기간 3개월)- 근무시간 : 10시~19시 기본. 금요일은 플렉서블 근무(8~11시 출근 선택)- 문화 : 직급없는 “님” 호칭 및 경어 사용, 완전 자율 복장 : 수평적 소통 문화(대표실 없음, 누구든 자유롭게 아이디어 및 의견 제시 가능) : 자유로운 연차 사용, 사생활에 대한 존중과 배려- 복지 : 연봉 外 중식대 별도 제공 (앱 활용) &n",30d+,False,,,,,,,,,,,,,,,,,,
컬리,,,[컬리] 데이터플랫폼팀 데이터 엔지니어 (Data Engineer),"[컬리] 데이터플랫폼팀 데이터 엔지니어 (Data Engineer)

데이터플랫폼팀 소개
데이터플랫폼팀은 컬리가 데이터에 기반해 더 효율적이고 정확하고 지능적으로 운영되도록 함에 필요한 데이터 관련 엔지니어링 활동을 전개합니다. 데이터 파이프라인을 구축을 기본으로, 데이터 프로덕트 개발, 모델링, 데이터 애플리케이션 개발, 데이터 스토리지 관리 등의 다양한 활동을 수행합니다.",30d+,False,,,,,,,,,,,,,,,,,,
제로웹,,,부산본사 개발자 (Data Engineer / Backend Develope),"작은점, 거대한 세상을 잇는 제로웹에서 중소상공인 경영관리 플랫폼의 Backend 개발하고 Data를 Information으로 만드는 역할을 할 개발자를 찾습니다!
성별,나이,학력,경력을 보지않는 회사! 직원들이 모여 자발적으로 일하는 회사! 좋은 환경에서 최고의 능률을 끌어올릴 수있도록하는 회사! 제로웹입니다:)",30d+,False,,,,,,,,,,,,,,,,,,
Google,,,"Customer Engineer, Data Analytics, Google Cloud","Google welcomes people with disabilities.
Minimum qualifications:
Bachelor's degree in Computer Science or equivalent practical experience.
7 years of experience working in a sales engineering or a customer-facing role.
Experience with traditional Analytic Warehouse solutions including Teradata, Netezza, Vertica, Oracle, SQL-Server, and Big Data technologies.
Experience implementing analytics systems architecture.

Preferred qualifications:



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",3d,False,,,,,,,,,,,,,,,,,,
Google,,,"Associate Customer Engineer, Data Analytics, Google Cloud, gReach Program for People with Disabilities (장애인 채용)","This role is exclusively for people who have/or are in the process of applying for a government-issued disability certificate.

Google welcomes people with disabilities.
Minimum qualifications:
Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
Experience writing code in languages such as Python, SQL, Shell Script or Java.
Ability to speak and write in English and Korean fluently to collaborate with colleagues and complete tasks and projects.









Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",8d,False,,,,,,,,,,,,,,,,,,
백패커,,,데이터 엔지니어 (Data Engineer),"백패커(아이디어스/idus)는?백패커는 국내 최대 핸드메이드 마켓플레이스인 '아이디어스(idus)'를 운영하고 있습니다.
인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>분석·설계",15d,False,,,,,,,,,,,,,,,,,,
