Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Boston Consulting Group,4.4,Madrid,Data Engineer,"WHAT YOU'LL DO

As a part of BCG’s GAMMA team - part of BCG X, you will work closely with consulting teams on a diverse range of advanced analytics topics. You will have the opportunity to leverage analytical methodologies to deliver value to BCG's Consulting (case) teams and Practice Areas (domain) through providing analytics subject matter expertise, and accelerated execution support.

You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs. You will provide technical support through deeper understanding of relevant data analytics solutions and processes to build high quality and efficient analytic solutions.









You should be strong in analytical solutioning with hands on experience in advanced analytics delivery, through the entire life cycle of analytics. Strong analytics skills with the ability to develop and codify knowledge and provide analytical advice where required",30d+,False,,10000+,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion,0.89,0.95,4.5,4.5,4.3,4.1,3.2,"['""Work life balance, latest Technology, free food."" (in 21 reviews)', '""good salaries for all employees"" (in 16 reviews)', '""Great onboarding, daily routine and benefits."" (in 12 reviews)', '""Employee friendly"" (in 13 reviews)', '""efficiently working environment, good remote work guidelines"" (in 12 reviews)']","['""bad work life balance though"" (in 21 reviews)', '""Could do better on the salaries"" (in 16 reviews)', '""The actual salary is a bit lower than what a software engineer in NYC could find, but other perks and benefits, particularly the health care, help to make up for it."" (in 12 reviews)']",4.8,"['Health Insurance (130 comments)\n""Fully covered premium insurance, you can basically see any in plan doctor at close to no cost""', 'Vacation & Paid Time Off (53 comments)\n""Industry standard for PTO but in reality most people don\'t take most of their vacation""', 'Maternity & Paternity Leave (22 comments)\n""Best compared to other companies""']"
Fichtner GmbH & Co. KG,3.8,Madrid,Project Manager / Engineer Smart Cities & Smart Grids (m/f/x),"About Us
With over 2.000 employees, Fichtner is Germany’s leading independent planning and consultancy enterprise. We are global players and tackle challenging projects in more than 100 countries. Among our clients are companies from the sectors of central utility supplies and waste management, international development and commercial banks, investors, public administrations, and energy-intensive industrial enterprises. We offer our clients a unique combination of engineering consultancy with classical management consultancy.
We are looking to fill a permanent position at our new Madrid office as soon as possible with a long-term oriented and highly motivated",29d,False,,1001 to 5000,Company - Private,Management & Consulting,,Business Consulting,$100 to $500 million,0.78,0.99,3.4,3.7,3.5,3.5,3.6,"['""busy environment to work in"" (in 4 reviews)', '""People are helpful and the surpervisors always provide good guidance."" (in 4 reviews)', '""Good Salary receiving on monthly basis."" (in 2 reviews)', '""Communication, support, teamwork, evolvement, and international exposure."" (in 2 reviews)']","['""here people do work very well."" (in 4 reviews)', '""Comparing to other companies, this salary is a bit low."" (in 2 reviews)', '""Sometimes busy schedule but that wasn\'t an issue for me"" (in 2 reviews)']",,
DerbySoft,4.0,Barcelona,Technical Service Engineer,"Job Title: Technical Service Engineer
Location: Barcelona, Spain
Supervisor Title: Manager, Technical Services
*
What is Derbysoft?*
Founded in 2002, DerbySoft is a technology company whose mission is to make the travel business easier through industry leading technology that empowers travel industry services. The company supports technology for Connectivity Services at the CRS and PMS levels, Marketing Services which uses machine learning and rich data to drive high-performing marketing campaigns and a Content platform that collects, manages and distributes quality hotel content. DerbySoft’s technology empowers the travel industry around the globe. Headquartered in Dallas, Texas, USA and with offices in Barcelona, Tokyo and Shanghai, DerbySoft serves partners in 197 countries around the world.",30d+,True,,201 to 500,Company - Private,Information Technology,2002,Information Technology Support Services,Less than $1 million,0.8,,3.8,3.9,3.8,3.8,4.3,"['""PTO, Good work life balance,"" (in 6 reviews)', '""Company culture is nice."" (in 6 reviews)', '""Great people"" (in 3 reviews)', '""The career growth is good, the company has good reputation in the hotel industry."" (in 3 reviews)', '""Great benefits"" (in 1 reviews)']","['""Work life balance is the least priority"" (in 6 reviews)']",3.5,
Boston Consulting Group,4.4,Madrid,Senior IT Architect,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.",30d+,False,,10000+,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion,0.89,0.95,4.5,4.5,4.3,4.1,3.2,"['""The people at BCG were great and were always there to help when needed."" (in 19 reviews)', '""People centric company, work life balance is good, perks are amazing"" (in 12 reviews)', '""The firm has an amazing culture"" (in 13 reviews)', '""Lots of free food and competitive benefits"" (in 15 reviews)', '""The salary is competitive and if you outperform you can earn up to 16% of your yearly base salary as bonus."" (in 13 reviews)']","['""No work life balance at all"" (in 12 reviews)', '""Base salary"" (in 13 reviews)']",4.8,"['Health Insurance (130 comments)\n""Fully covered premium insurance, you can basically see any in plan doctor at close to no cost""', 'Vacation & Paid Time Off (53 comments)\n""Industry standard for PTO but in reality most people don\'t take most of their vacation""', 'Maternity & Paternity Leave (22 comments)\n""Best compared to other companies""']"
HENSOLDT,4.0,Madrid,Systems Engineer Future Combat Air System Relocation to Germany (f/m/d),"For the area ""Solution and Cross Functional Engineering"" we are looking for a ""System Engineer Future Combat Air System (f/m/d)"" at the location Immenstaad or Ulm in Germany as soon as possible.
The area ""Solution and Cross Functional Engineering"" is responsible for the system design and development of cockpit systems, navigation and mission support systems, as well as the corresponding sensor technology for helicopters and aircraft.
In the Future Combat Air System (FCAS) core team, you will contribute to the overall system design to meet future needs of the European Air Force for the next decades.
You will collaborate with national and European industrial partners, research institutes, customers and armed forces.
Your Tasks",11d,False,,5001 to 10000,Company - Private,Aerospace & Defense,2017,Aerospace & Defense,$1 to $5 billion,0.71,,3.4,3.9,3.6,3.3,3.9,"['""people are friendly."" (in 1 reviews)']","['""boring management, low salaries, undefined policies, location difficult to get there using normal transport."" (in 1 reviews)', '""Innovation is spoken off, but implementation is sort of a mirage."" (in 1 reviews)']",,
Symanto Research GmbH,,Spain,Research Engineer (m/f/x/d),"Research Engineer (m/f/x/d)
Do you like Natural Language Processing (NLP)? Do you enjoy solving scientific problems? Are you passionate about creating and deploying deep learning models using cutting edge technology?
We are currently looking for a Research Engineer (m/f/x/d) for our Research team in Valencia (Spain). In this position, you will play a key role in the team and will have the opportunity to participate in innovative projects in different NLP areas: opinion mining, low-resource NLP, generative information extraction, author profiling, relation extraction, etc.
Your work will attempt to improve the company's products and be aligned to customers’ needs. However, at Symanto we will also encourage you to explore new research ideas and to publish in blogs, forums, reputable research conferences and journals.?",13d,True,,,,,,,,,,,,,,,,,,
nVent,3.8,Trabajo en remoto,M3 Functional Analyst (Remote Role),"We’re looking for people who put their innovation work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
In This Position, You Will Get To
· Be part of an internal ERP modernization team that is currently deploying Infor’s M3 Cloud Edition platform globally
· Participate in global ERP implementation projects working closely with cross-functional business teams
· Act as a process expert and be a bridge between Infor’s M3 functionalities and nVent’s business processes",30d+,True,,10000+,Company - Public,Manufacturing,2018,Electronics Manufacturing,$1 to $5 billion,0.75,0.9,3.6,3.4,3.8,3.4,3.8,"['""Good people"" (in 2 reviews)', '""the company did provide some sort of flexibility within means"" (in 1 reviews)', '""Friendly environment to work"" (in 1 reviews)']","['""Also poor PTO and benefits available, though they say they are working to improve."" (in 1 reviews)']",4.4,"['401K Plan (6 comments)\n""100% match up to 5%""', 'Health Insurance (5 comments)\n""Several options to best suit your needs""', 'Maternity & Paternity Leave (3 comments)\n""benefits for mothers and faterhs""']"
Adroit People Ltd.,4.5,Trabajo en remoto,Data Engineer,"Technical Skills:
8+ years of software engineering experience.
Experience with following technologies - SQL, Airflow, Snowflake, Databricks, Spark, Py-Spark, Kinesis, Kubernetes, Docker
Data Architecture using Parquet, Avro, Star Scheme
Data Ingestion design pattern
Ability to design application components and evolve architecture including UI, API/Services, Data Access, Integration, Application components etc.
Build tools to automate the monitoring or workload and take proactive measure to scale the platform or to fix the problem.",30d+,True,€37.50 Per Hour(Employer est.),1 to 50,Company - Private,,,,,0.96,1.0,4.5,3.9,4.4,4.5,4.3,"['""Good Management, Good Colleagues, Better understanding management."" (in 3 reviews)', '""Very Friendly Staff,Good company."" (in 2 reviews)', '""Its a great place to me work with a great environment feels blessed."" (in 1 reviews)']","['""Has absorbed smaller companies, so experience from location to location, or team to team can be different, or have residual culture of those companies."" (in 3 reviews)']",,
Boston Consulting Group,4.4,Madrid,Senior Data Engineer - BCG X,"WHAT YOU'LL DO
As a part of BCG’s GAMMA team - part of BCG X, you will work closely with consulting teams on a diverse range of advanced analytics topics. You will have the opportunity to leverage analytical methodologies to deliver value to BCG's Consulting (case) teams and Practice Areas (domain) through providing analytics subject matter expertise, and accelerated execution support.

You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs. You will provide technical support through deeper understanding of relevant data analytics solutions and processes to build high quality and efficient analytic solutions.









You should be strong in analytical solutioning with hands on experience in advanced analytics delivery, through the entire life cycle of analytics. Strong analytics skills with the ability to develop and codify knowledge and provide analytical advice where required",30d+,False,,10000+,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion,0.89,0.95,4.5,4.5,4.3,4.1,3.2,"['""Work life balance, latest Technology, free food."" (in 21 reviews)', '""good salaries for all employees"" (in 16 reviews)', '""Great onboarding, daily routine and benefits."" (in 12 reviews)', '""Employee friendly"" (in 13 reviews)', '""efficiently working environment, good remote work guidelines"" (in 12 reviews)']","['""bad work life balance though"" (in 21 reviews)', '""Could do better on the salaries"" (in 16 reviews)', '""The actual salary is a bit lower than what a software engineer in NYC could find, but other perks and benefits, particularly the health care, help to make up for it."" (in 12 reviews)']",4.8,"['Health Insurance (130 comments)\n""Fully covered premium insurance, you can basically see any in plan doctor at close to no cost""', 'Vacation & Paid Time Off (53 comments)\n""Industry standard for PTO but in reality most people don\'t take most of their vacation""', 'Maternity & Paternity Leave (22 comments)\n""Best compared to other companies""']"
CAS TRAINING,3.2,Trabajo en remoto,"Data Engineer, 100% En remoto","Data Engineer en 100% En remoto.
Cas Training empresa de referencia con más de 20 años en consultoría tecnológica outsourcing y formación especializada selecciona a Data Engineer para formar parte de importante proyecto remoto.

Requisitos imprescindibles

Experiencia en virtualización de datos (Denodo) AWS - Amazon Web Services (Avanzado) Amazon Web Services (AWS) Data Analytics (Avanzado) Deseable Experiencia en AWS Athena

INGLÉS NIVEL B2 O SUPERIOR

Se ofrece
Formar parte de un equipo joven y dinámico altamente cualificado en una empresa en proceso de expansión.
Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.
Proyectos de larga duración estabilidad profesional y progresión laboral.
Contratación Indefinida.
Horario flexible.
Acceso gratuito al catálogo de formación anual de Cas Training.
Salario negociable en base a la experiencia y valía del candidato/a.

Denodo, AWS,",11d,False,€30K - €33K (Employer est.),,Company - Public,,,,,0.48,,3.3,3.1,2.9,2.2,2.9,,,,
