Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Siemens Energy,4.1,Finspång,Kreativ BI-utvecklare med passion för dataanalys,"Mid-level Professional
Kreativ BI-utvecklaremed passion för dataanalys

En ögonblicksbild av din dag
Vi erbjuder en varieradarbetsdag – du deltar i spännande projekt i kombination med eget drivet arbete därden röda tråden är att skapa möjligheter att fatta välgrundade beslut i våroperativa verksamhet. Du löser detta tack vare tillgången till vår rikadatakälla, moderna verktyg och fantastiska kollegor. Du kommer bli en nyckelspelare att bygga vidare på vår satsning inomdataanalys.
Vi erbjuder enarbetsplats med högt i tak, där vi har tillit till varandra och möjlighet att delvisstyra var arbetet ska utföras.",6d,False,,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.82,0.89,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 204 reviews)', '""Good salary or pay structure"" (in 207 reviews)', '""Benefits in the company is good and acceptable"" (in 103 reviews)', '""good management"" (in 97 reviews)', '""Great people and laid back environment"" (in 126 reviews)']","['""No work life balance."" (in 204 reviews)', '""Low salaries for new employees"" (in 207 reviews)', '""Not a great payer although benefits are ok"" (in 103 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 97 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Riverty Group GmbH,4.0,Stockholm,Data Governance Engineer (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

Riverty offers customers payment solutions that make everyday life simpler!

Our solutions contribute to a flexible and customer-friendly payment alternative, offering customers (m/f/d) the opportunity to choose when and how they want to pay for a purchase. Delivering a trustworthy and positive shopping experience, both for retailers and end customers makes us proud but not content. Our ambition is higher and now we have a great opportunity for a Data Governance Engineer (m/f/d) to join our growing team.",30d+,False,,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.78,1.0,3.7,3.3,4.0,3.6,4.1,"['""Easy life, No pressure, Flexible times, Lovely Place to Work"" (in 2 reviews)', '""Good enough benefits and salary."" (in 1 reviews)']","['""too much bureaucracy, lazy people, too much things to fix"" (in 3 reviews)', '""Each team member is located different country, which means it may take time to get used to the environments and domains."" (in 5 reviews)', '""The salary is a little bit less than in the IT industry."" (in 4 reviews)']",4.0,
Siemens Energy,4.1,Finspång,Examensarbete - Inverkan av materialstruktur på livslängd hos polykristallina superlegeringar,"Student (Not Yet Graduated)
Examensarbete: Inverkan av materialstruktur på livslängd hos polykristallina superlegeringar
OM DIG
Din profil
Blivande civilingenjör eller motsvarande.
Intresse och kunskap inom materialvetenskap och hållfasthetsberäkningar
Kommunikativ, nyfiken och nätverkande",7d,False,,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.82,0.89,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 204 reviews)', '""Good salary or pay structure"" (in 207 reviews)', '""Benefits in the company is good and acceptable"" (in 103 reviews)', '""good management"" (in 97 reviews)', '""Great people and laid back environment"" (in 126 reviews)']","['""No work life balance."" (in 204 reviews)', '""Low salaries for new employees"" (in 207 reviews)', '""Not a great payer although benefits are ok"" (in 103 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 97 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Needo,,Stockholm,DevOps Engineer to Zebware,"Zebware are looking for a talented and passionate DevOps Engineer to join the team. As a DevOps Engineer, you will work alongside both the development and customer facing teams to streamline their software development, deployment and management processes. You will play a critical role in developing and maintaining their infrastructure, automating deployment and testing, and optimizing Zebwares´ product for scalability, manageability, reliability, and security.
About Zebware
At Zebware, you´ll be part of a small team of dedicated professionals who are committed to providing innovative data management solutions to enterprise businesses. They are currently seeking a DevOps Engineer to continue delivering an exceptional product to their customers.
Zebware understand that data is a critical component of any business, and that using it effectively can be a complex, slow and costly task. That's why they have developed a product that provides all the performance characteristics of locally available storage, with all the cost and scalability benefits of cloud storage, all bundled in an easy to use and seamlessly adaptable product, allowing their clients to focus on their core business activities.
At Zebware, they value innovation, reliability, along with a proactive and pragmatic mindset, and they´re looking for someone who shares those values. Zebware offer a supportive and collaborative work environment, where you'll have the opportunity to learn and grow alongside a team of talented professionals.",23d,False,,,Company - Private,,,,,,,,,,,,,,,
Siemens Energy,4.1,Finspång,"Manager Parts Business - STG Steam Turbines, Finspång fleet","Experienced Professional
Manager Parts Business - STG Steam Turbines

We make tomorrow different today!

At Siemens Energy it is our people and their passion for innovation who make a difference by energizing society. A long heritage in engineering and innovation inspires us to focus on our top priorities: combating climate change and addressing increasing energy demands.

Steam turbine and Generators (STG) looking for a new Manager Parts Business - STG Steam Turbines",10d,False,,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.82,0.89,3.6,3.7,4.0,3.5,3.9,"['""Great work life balance Decent salary"" (in 22 reviews)', '""work life balance is good"" (in 19 reviews)', '""Benefits are great"" (in 13 reviews)', '""Good teams and culture, new business potential and direction defined"" (in 16 reviews)', '""great people to work with"" (in 14 reviews)']","['""Low salaries."" (in 22 reviews)', '""Lack of work life balance"" (in 19 reviews)', '""innovative culture."" (in 16 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Siemens Energy,4.1,Finspång,Service Application Engineer,"Mid-level Professional
SGT 800 Maintenance Engineering: Service Application Engineer

The SGT 800 fleet is growing, and now we need to expand our engineering team that delivers preventive maintenance for our products. Our technical support and close collaboration with our customers worldwide, is essential for achieving high availability, reliability and a satisfied customer.

This position offers a complete overview of the SGT-800 i.e., Core Engine as well as the Auxiliaries.
Don’t miss this opportunity to become the technical front figure in all of the technical disciplines: Control, Electrical, Instrument, Mechanical Engineering etc.",14d,False,,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.82,0.89,3.6,3.7,4.0,3.5,3.9,"['""Work Life balance is good"" (in 60 reviews)', '""Interesting products and technologies, good salaries"" (in 60 reviews)', '""Good Work Culture"" (in 41 reviews)', '""Good benefits"" (in 17 reviews)', '""Great colleagues and very helpful."" (in 29 reviews)']","['""No work life balance."" (in 60 reviews)', '""Low Salary"" (in 60 reviews)', '""As a contractor not very good benefits"" (in 17 reviews)', '""Ever since the carve out from Siemens AG, more top positions are filled by colleagues based in Germany."" (in 29 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Needo,,Kista,Head of Azure till Bitlog,"About Bitlog
Since 2006, Bitlog has delivered modern solutions for smart inventory management using a SaaS-solution. Bitlog WMS is a warehouse management system with powerful standard functionality to suit companies that work with warehousing and distribution. The one modern system can be configured so that it works well for different businesses and size of companies. Bitlog has contributed with great success to e-retailers in Scandinavia and today has some of the most successful e-retailers as its customers, such as Nordic Nest and Matsmart.
Their modern architecture allows the system to run stably in the cloud or installed close to the customer's business system and e-commerce system. With Bitlog's e-commerce warehouse system, companies can focus on their e-commerce. Bitlog helps its customers to increase efficiency, reduce errors and increase customer satisfaction.
Today, 30+ employees at Bitlog work with the ambition to strengthen the teams going forward. With the help of financing from Cloud Capital, Bitlog are accelerating growth and will invest in product development and market expansion going forward.",26d,False,,,Company - Private,,,,,,,,,,,,,,,
HCL Tech,,Gothenburg,Network Data Engineer,"As a Network Engineer you will work with architecture, planning, implementation, troubleshooting and issue resolution of existing and future network infrastructures to deliver best-in-class network performance. The infrastructure includes network CISCO-ACI, LAN/WAN (switches, routers)/ CISCO Nexus.
Your Responsibilities
Data Center hands-on work (installation, configuration, commissioning and decommissioning)
Provide engineering support to manage the network infrastructure including technical requirements, analysis and implementation of DC-LAN, LAN.
Install, configure, administer and maintain all Cisco Network switches and routers.",26d,True,SEK 600K - SEK 750K (Employer est.),,,,,,,,,,,,,,,,,
Volvo Group,4.3,Gothenburg,Battery Module Safety Engineer,"Battery Module Safety Engineer
In this position, you will be part of the ESS team, an organization dedicated to technology as well as empowering and developing our employees. We always use customer satisfaction as the ultimate performance measurement.
You will be part of an agile and approachable organization with skilled teams consisting of passionate people. We work in an optimistic atmosphere, where joy, knowledge sharing, and openness are key characteristics. With us, you will have a diverse, friendly and open-minded team on your side, always providing you with the help needed to manage tasks you cannot imagine today.",15d,False,,10000+,Company - Public,Manufacturing,1927,Transportation Equipment Manufacturing,,0.81,1.0,3.7,3.9,3.8,3.0,4.2,"['""Good benefit package for healthcare, etc."" (in 1 reviews)']","['""Feckless management in Aftermarket Engineering (AMT)"" (in 1 reviews)']",4.7,
Riverty Services GmbH,4.0,Stockholm,Process Manager (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

We are looking for a
Process Manager (Personal Finance) (m/f/d)
(unlimited, full-time) Choose one of our locations globally, with 80% Mobile Office: Verl, Baden-Baden, Berlin, Amsterdam, Wien, Stockholm or Glasgow",30d+,False,,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.78,1.0,3.7,3.3,4.0,3.6,4.1,"['""Good colleagues and overall atmosphere"" (in 1 reviews)']","['""New strategy process is taking ages and people are in limbo"" (in 1 reviews)']",4.0,
