Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Google,,,"Data Center Facilities Mechanical Engineer (English, Mandarin)","Google welcomes people with disabilities.
Minimum qualifications:
Associate's degree, trade school certification or other verifiable training in a relevant technical field, or equivalent practical experience.
Experience working in a data center or facility.
Ability to speak in English and Mandarin fluently.
Ability to work in shifts including night, weekends, and holidays.

Preferred qualifications:











Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",21d,False,,,,,,,,,,,,,,,,,,
台灣積體電路製造,,,Data Engineer,"Role
Are you a creative IT professional with strong technical aptitude who embraces changes and is passionate about data and information? We invite you to join our highly innovative data engineering team which is constantly designing, developing, and delivering high quality solutions for our customers.
As a data engineer, you will have opportunities to work in a dynamic and fast-paced environment to collaborate with business functions to design solutions. You will translate business requirements into technical needs, connect and automate data pipelines, and deliver data architecture and data governance solutions.

Responsibility
1.Perform IT system architecture design, new technology research, and provide recommendation.",30d+,False,,,,,,,,,,,,,,,,,,
台灣積體電路製造,,,Data Analytics and Supply Chain Management Engineer - 身心障礙人才招募,"TSMC為維護身心障礙者就業權益，特別規劃聘僱身障人才專區，歡迎領有身障手冊者加入TSMC的大家庭！

1. Collecting and interpreting analytical and performance data to determine supply chain KPIs.
2. Designing and delivering innovative business intelligence solutions (including reporting dashboards, APIs, RPA robots) to enhance people productivity, supply chain traceability and visibility.
3. Utilizing modeling techniques (big data, machine learning, linear programming) to make recommendations to supply chain stakeholders.
4. Building the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
5. Keeping abreast of developments in information technology to push the envelope of supply chain data analytics.",30d+,False,,,,,,,,,,,,,,,,,,
Tookitaki Holding PTE LTD,,,Big Data Engineer : Taiwan,"Reporting to: Technical Lead
Responsibilities :
Owns and delivers installation, configuration of AI products.
Participates in solution architecture discussions to estimate hardware sizing.
Analyses defects and conducts effective triaging.
Works closely with engineering, product, solution architects in resolving defects.
Proactively participates in product release cycle and sign off on client releases.
Supports current ETL designs and code to resolves defects on existing solutions.",10d,True,,,,,,,,,,,,,,,,,,
台灣積體電路製造,,,Data Scientist Engineer,"Job Responsibility:
Ideal candidates would have either a Master’s degree or a Ph.D. in computer science, information systems, information science or related fields. The responsibilities of this role include developing machine learning, deep learning, text mining, and/or network science-based approaches to extract insights from structured (transactional) and unstructured data sources.
Qualifications
Job Requirement:
Minimum Technical Qualifications:
Excellent knowledge of Python (with Jupyter, PyCharm, or similar environment), GitHub, and Markdown
Extensive experience with data wrangling, data pre-processing (e.g., de-duplication, imputation), and data extraction from structured and unstructured (e.g., social media) data sources with tools such as Pandas or SideTable",30d+,False,,,,,,,,,,,,,,,,,,
AECOM,,,Contract Engineer I,"Company Description

At AECOM, we’re delivering a better world.
We believe infrastructure creates opportunity for everyone. Whether it’s improving your commute, keeping the lights on, providing access to clean water or transforming skylines, our work helps people and communities thrive.
Our clients trust us to bring together the best people, ideas, technical expertise and digital solutions to our work in transportation, buildings, water, the environment and new energy. We’re one global team – 47,000 strong – driven by a common purpose to deliver a better world.
Here, you will have freedom to grow in a world of opportunity.",1 day ago,False,,,,,,,,,,,,,,,,,,
台灣積體電路製造,,,Mask Data Preparation Engineer,"1. Mask DP (data preparation) pattern conversion engineering and integration
2. Conduct projects related to mask pattern conversion and OPC handling
3. Mask DP production 2nd-line support and continuous improvements
4. Collaboration with TSMC internal fabs and departments for engineering tasks and new business flow setup
Qualifications
1. Bachelor's degree or above in engineering related fields.
2. Clear logical thinking and a fast learner
3. Good communication skill and capable to coordinate across teams
4. Teamwork spirit and self-motivated, willing to support production related activities
5. Familiar with fab and photo/litho is a plus
6. Familiar with Unix/Linux user-level operations and/or programming languages is a plus
Primary Location: Taiwan-Hsinchu
Job: Manufacturing (fabs)",30d+,False,,,,,,,,,,,,,,,,,,
台灣積體電路製造,,,Data Engineer-身心障礙人才招募,"TSMC為維護身心障礙者就業權益，特別規劃聘僱身障人才專區，歡迎領有身障手冊者加入TSMC的大家庭！
Role
Are you a creative IT professional with strong technical aptitude who embraces changes and is passionate about data and information? We invite you to join our highly innovative data engineering team which is constantly designing, developing, and delivering high quality solutions for our customers.
As a data engineer, you will have opportunities to work in a dynamic and fast-paced environment to collaborate with business functions to design solutions. You will translate business requirements into technical needs, connect and automate data pipelines, and deliver data architecture and data governance solutions.

Responsibility
1.Perform IT system architecture design, new technology research, and provide recommendation.",30d+,False,,,,,,,,,,,,,,,,,,
Canonical - Jobs,,,Python Engineer - Data Center Hardware Integration (Taipei),"This role is office based at our location in Xizhi District, New Taipei City.
This is a Python software engineering opportunity for a computer lab engineer passionate about open source software, Linux, and the latest server and network technologies. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company. If you love hacking in your home lab and are curious about hardware, you will love this opportunity.
As a Python Engineer - Data Center Hardware Integration Engineer in Canonical, you will be responsible for the day-to-day management and operations of our lab in Taipei, which serves as a centre point for Ubuntu device certification efforts, in partnership with Asia based OEMs, ODMs, and silicon companies. This role includes software defined hardware management, working with, and developing data centre automation tooling (MAAS), interacting with vendors, asset tracking and handling deliveries.",2d,False,,,,,,,,,,,,,,,,,,
Apple,,,Precision Optics Manufacturing Engineer,"Summary
Posted: Sep 16, 2022
Role Number:200425980
We are looking for a world class optics manufacturing engineer to join a team that is making a big difference in the future of Apple. The team features a broad engineering roster including optical engineers, human perception experts, product design engineers, and experimental physicists, which presents a unique opportunity to influence and learn from a diverse group of experts. This position requires close collaboration with other experts at Apple, and is focused on working directly with optics suppliers to develop high precision manufacturing processes new to industry.
Key Qualifications",25d,False,,,,,,,,,,,,,,,,,,
Parexel,,,Clinical Data Engineer II,"Support the setup of Data Receipt Agreements with vendors by working
with cross functional teams.
Programming and setup of Import procedures to allow the ingestion of
data either using SAS or alternative technology (e.g. “Workbench”)
Programming of reconciliation checks to ensure appropriate transfer of
data.
Programming of offline listings and custom reports to allow better
insights to all external data.
structures, handling programming errors, accessing, and managing data,
appending and concatenating SAS datasets.
study teams and clients.
timelines are adhered to by:
in the conduct of their daily work to ensure first- time quality.",30d+,False,,,,,,,,,,,,,,,,,,
Lenovo,,,Data Engineer,"General Information
Req #
WD00050205
Career area:
Hardware Engineering
Country/Region:
Taiwan
State:
Taipei City
City:
Taipei
Date:",30d+,False,,,,,,,,,,,,,,,,,,
Kimberly-Clark,,,Technical Quality Engineer,"SUMMARY OF POSITION:

The Technical Quality team – APAC ensures effective design-to-commercialization life-cycle quality management activities are in place for all product categories across the end-to-end supply chain so required product quality performance and regulatory compliance is achieved.
The Technical Quality Engineer will support activities for one or more product categories &/or platforms including, but not limited to:
Implementation of QMS elements per global strategic plans",1 day ago,False,,,,,,,,,,,,,,,,,,
