Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
PLANSEE,3.5,Istanbul,Key Account Engineer (w/m/x),"CERATIZIT is a high-tech engineering group specialized in tooling and hard material technologies. The privately owned company headquartered in Mamer, Luxembourg, employs over 7,500 people worldwide at 34 production sites and over 70 sales offices.
We are looking for ambitious, passionate and forward-thinking professionals who can integrate our teams and contribute to our success. In return, we offer our employees the opportunity to develop their careers and ideas within a dynamic international group.

Join the CERATIZIT team and get started today as:
KEY ACCOUNT ENGINEER (W/M/X)
CERATIZIT TURKEY – ESKISEHIR OR BURSA REGIONS",30d+,False,,5001 to 10000,Company - Public,Manufacturing,1921,Metal & Mineral Manufacturing,$1 to $5 billion,0.59,0.76,3.2,3.1,3.3,2.8,3.3,"['""Good work life balance and Family culture."" (in 3 reviews)', '""Good working environment and great flatform to learn"" (in 4 reviews)']","['""Low salary"" (in 3 reviews)', '""Management is lying and manipulative."" (in 3 reviews)', '""1.No Training Will be provided 2. Career Growth moderate 3.Sharing of knowledge from seniors is low 4.Canteen food quality is low"" (in 2 reviews)']",4.3,
"MEDCAPTAIN MEDICAL TECHNOLOGY CO., LTD.",,Istanbul,Technology Service Engineer (Turkey),"Responsibilities：
A. Support distributors of responsible area to proceed the installation, maintenance, troubleshooting and end users visit of all Medcaptain products. Maintain the relationship with key customers and model hospitals, especially the relationship of the medical equipment management dept of the hospitals.
B. Provide technical support and conduct training to staff of distributors to be able to provide service to end users. Monitor the distributors’ service quality and maintain the customers’ satisfaction.
C. Collect and deal with the issues from distributors. Support distributor to handle the customer complain and major issue of responsible area.
D. Assist sale and marketing team to conduct product promotion and marketing support. Collect the installation information, customers’ requirements and competitors’ information and feedback to head quarter.
E. Manage the spare part stock and demo unit of responsible area.
F. Regularly output service experience and English/local language materials.
G. Develop and maintain Medcaptain brand at the local market.",30d+,True,TRY 16K (Employer est.),,,,,,,,,,,,,,,,,
Inpsyde GmbH,4.8,Turkey,DevOps Engineer / IT Support (m/w/d) - Remote/(Home) Office,"We are Inpsyde ‒ The biggest WordPress agency in Europe, one of the leading WordPress Agencies in the world, and a Gold Agency Partner of WordPress VIP. With over 120 employees in more than 40 countries, we create sophisticated projects with WordPress and WooCommerce ‒ completely remote!
We are currently looking for a DevOps Engineer (m/w/d) to join our company.
You are a multi-skilled and detail-oriented problem solver with deep knowledge of hosting web applications? You will be part of our growing DevOps team in which new and varied tasks are constantly waiting for you. From planning and delivering our agency hosting infrastructure to collaborate with our developers on imrpoving workflows while being 100% remote. This might be your dream job!
Your responsibilities",30d+,False,,51 to 200,Company - Private,Information Technology,2006,Internet & Web Services,,1.0,1.0,4.5,4.3,4.8,4.7,5.0,"['""flexible working hours"" (in 5 reviews)', '""Fully remote and has an excellent culture."" (in 5 reviews)', '""Learned a lot while working on interesting, large"" (in 3 reviews)', '""20 days holiday"" (in 1 reviews)', '""Very interesting projects, experienced colleagues, you can learn a lot."" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Accelleron,4.0,Istanbul,Service Engineer - Turbocharging / Servis Mühendisi - Turbocharging (80-100%),"As a Service Engineer, you will execute service work with low to medium complexity according to work instructions and in accordance with Accelleron standard processes, quality standards, and safety guidelines. Reporting to the Service Coordinator, you will cooperate closely with customers and other Accelleron teams, acting as the technical point while delivering quality and satisfying customer service. In this role, you will be responsible for providing routine maintenance and on-site or remote technical support. The position involves frequent traveling, as you will be providing hands-on assistance at customer sites.
Your responsibilities
Drive customer satisfaction by competent and timely execution of a high-quality level of service jobs on-site and in the workshop.",30d+,False,,10000+,Company - Public,Manufacturing,1883,Electronics Manufacturing,$10+ billion,0.82,0.89,3.7,3.6,4.0,3.5,3.8,"['""processes are well defined and work life balance good"" (in 619 reviews)', '""Good Salary and project exposure"" (in 821 reviews)', '""Good benefit and remuneration package"" (in 347 reviews)', '""Good management and get to work remotely"" (in 406 reviews)', '""Good culture and athmosphere in general"" (in 604 reviews)']","['""No work life balance and no decent hike"" (in 619 reviews)', '""Low salaries and less organized and no defined responsibilities"" (in 821 reviews)', '""No benefits...compare to other MNCs..in respect to increments..."" (in 347 reviews)', '""poor management and review system"" (in 406 reviews)', '""Bad culture and i didn\'t like the food"" (in 604 reviews)']",3.7,"['Health Insurance (87 comments)\n""Lack of coverage for common transgender care compared to other large companies.""', 'Vacation & Paid Time Off (71 comments)\n""Unlimited time off. Good if you have a good manager and you stay on top of claiming it.""', '401K Plan (46 comments)\n""3% plus 75% match up to 6% employee contribution.""']"
Galaksiya Bilişim Teknolojileri,,İzmir,DevOps Engineer - Remote,"DevOps Engineer
Objectives of this Role:
Design, document, automate, implement, and maintain DevOps processes (build, release, cloud deployment, version control, branching, merging, etc.) for Projects
Improvement, operation, and maintenance of existing Continuous Integration ( CI ) pipeline and test environment
Working with software developers and software engineers to ensure that development follows established processes and works as intended
Coordinate and communicate with internal and external teams to support customer needs",3d,True,,,,,,,,,,,,,,,,,,
Trendyol,4.3,Turkey,Data Engineer - Remote,"Ready to get to know us?
We were founded in 2010 with a dynamic and agile start-up spirit. Since then we have grown into a decacorn with a valuation of over $16.5 billion, backed by Alibaba, General Atlantic, Softbank, Princeville Capital, and several sovereign wealth funds. Operating with that same energy from the first day, we believe we will achieve our targets and grow even more together!

May the tech be with us.
From day one, we believed that technology is the driver; e-commerce is the outcome. Thanks to our dedicated team, we are now one of the top 5 e-commerce companies in EMEA and one of the fastest-growing e-commerce companies in the world! Now we’re a team in our thousands, currently delivering more than 1.5 million packages every day to 27 countries. We offer our 30 million customers a flawless shopping experience.",3d,False,,1001 to 5000,Company - Private,Information Technology,2010,Internet & Web Services,,0.84,0.89,4.1,4.2,4.3,3.9,3.4,"['""Agility, competitive salary in Turkey\'s conditions"" (in 71 reviews)', '""Culture is good"" (in 68 reviews)', '""Good work life balance"" (in 67 reviews)', '""good company and benefits"" (in 28 reviews)', '""good people and salary."" (in 51 reviews)']","['""Average salaries."" (in 71 reviews)', '""defined culture; might be hard to adapt to somehow"" (in 68 reviews)', '""No work / life balance whatsoever"" (in 67 reviews)', '""Working time too long and benefits are limited"" (in 28 reviews)']",,
P.I. Works Inc,3.8,Istanbul,Machine Learning Engineer With Data Science Experience,"P.I. Works is the first company in the world to automate the management of a commercial 5G network.

Our automated network management products and services empower mobile operators to accelerate network transformation and to drive network quality and efficiency on the path to 5G. These solutions have been deployed across more than 67 mobile operators in 47 countries around the world.

Come and join us to work with the leading telecom operators around the world and redefine the mobile experience worldwide leveraged by contemporary, pioneer use-cases based on wide variety of Artificial Intelligence methods such as Statistical Machine Learning, Deep Learning, Big Data Complex Event Processing and to be applied in the Telecommunication industry etc.",7d,True,,201 to 500,Company - Private,Telecommunications,2005,Telecommunications Services,,0.64,0.82,3.5,3.8,4.1,3.5,3.7,"['""Salary is competitive compared to market"" (in 13 reviews)', '""Awesome people"" (in 12 reviews)', '""Flexible working hours"" (in 9 reviews)', '""Good communication"" (in 8 reviews)', '""The engineering department is really good, engineering department management is good and supportive."" (in 9 reviews)']","['""Low salary"" (in 13 reviews)']",4.0,
VeloxPartners,,Istanbul,Data Engineer,"We are looking for a Big Data Engineer who will work on the collecting, storing, processing, and analyzing of huge sets of data. The primary focus will be on choosing optimal solutions to use for these purposes, then maintaining, implementing, and monitoring them. You will also be responsible for integrating them with the architecture used across our clients
Responsibilities
Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities
Gather and process raw data at scale (including writing scripts, web scraping, calling APIs, write SQL queries, etc.)
Process unstructured data into a form suitable for analysis and then execute analysis",30d+,False,,,,,,,,,,,,,,,,,,
Vodafone,4.0,Istanbul,Big Data & AI Engineer,"Description
Your dream job does exist.
Discover it at Vodafone!


Join our journey as we connect for a better future. Ready?

We are looking for a Big Data Engineer
First things first: Our Brand.






Here, everyone can feel free to be themselves and express their ideas.",7d,False,,10000+,Company - Public,Telecommunications,1982,"Cable, Internet & Telephone Providers",$10+ billion,0.79,0.88,3.7,3.7,4.0,3.5,3.9,"['""good salary and very helpful"" (in 1907 reviews)', '""Flexibility and good work life balance"" (in 1284 reviews)', '""Management is good and knowledgeable"" (in 866 reviews)', '""Not hard and good benefits"" (in 751 reviews)', '""IT section of the Company is great and people will love working there"" (in 1163 reviews)']","['""The salary is low and not competitive"" (in 1907 reviews)', '""Too beauracratic and no work life balance"" (in 1284 reviews)', '""Management is poor and not very good"" (in 866 reviews)', '""Nothing, everything is great though benefits are average thought"" (in 751 reviews)', '""Great people and environment!"" (in 1163 reviews)']",4.2,"['Maternity & Paternity Leave (14 comments)\n""It is the best thing""', 'Vacation & Paid Time Off (14 comments)\n""All is very good, Awsome""', 'Health Insurance (5 comments)\n""ok. Not bad. Covers Vision.""']"
P.I. Works Inc,3.8,Istanbul,Network Data Solutions Delivery Engineer,"P.I. Works is the first company in the world to automate the management of a commercial 5G network.

Our automated network management products and services empower mobile operators to accelerate network transformation and to drive network quality and efficiency on the path to 5G. These solutions have been deployed across more than 67 mobile operators in 47 countries around the world.

Our success is built by our people that strive for excellence and deliver great value to our customers.",1 day ago,True,,201 to 500,Company - Private,Telecommunications,2005,Telecommunications Services,,0.64,0.82,3.5,3.8,4.1,3.5,3.7,"['""Salary is competitive compared to market"" (in 13 reviews)', '""Awesome people"" (in 12 reviews)', '""Flexible working hours"" (in 9 reviews)', '""Good communication"" (in 8 reviews)', '""The engineering department is really good, engineering department management is good and supportive."" (in 9 reviews)']","['""Low salary"" (in 13 reviews)']",4.0,
