Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Places for People,4.0,,Data Engineer,"We are Places for People Group, we're a social enterprise that believes it's more than just homes that make a community - it's the people. That's why we build homes and manage communities where everyone can thrive.
We aren't your typical company. We apply the same philosophy to our People as we do to our communities, ensuring our team is appreciated and supported. At Places for People, you're more than just a number - you're a part of our cause.
More about your role
The Group IT function has a critical role to play in supporting the Group's commitment to put ‘People First' and to be a digital business. Our strategic objective is to partner with the business functions to proactively deliver innovative digital solutions and create technology platforms that allow the Group to flex and operate in an environment in which the pace of change, often technology-driven, continues to increase enabling the Group to meet and exceed its strategic objectives ensuring that people are our first priority.",14d,False,£47K (Employer est.),10000+,Company - Private,Real Estate,1965,Real Estate,$500 million to $1 billion,0.82,0.96,3.9,3.8,4.0,3.8,3.9,"['""Good manager."" (in 3 reviews)', '""Innovative approaches."" (in 1 reviews)', '""Very diverse group of companies."" (in 1 reviews)', '""Good employee benefits offered here"" (in 1 reviews)']","['""Some managers are only out for themselves."" (in 3 reviews)', '""Very diverse group of companies."" (in 1 reviews)', '""Restricted opportunities to progress career"" (in 1 reviews)']",5.0,
Rolls-Royce,4.0,"Derby, England",Data Engineer - Submarines,"Job Description
Data Engineer - Submarines
Full Time
Derby
An exciting opportunity has arisen for a Data Engineer to join Rolls-Royce Submarines to join the Data Management and Transformation team to help drive value from data across the Submarines business.
We’re a leader in propulsion system design and development for the Royal Navy’s nuclear submarine fleet and the sole provider and technical authority.
Join us and we’ll provide an environment where you can be yourself. An inclusive, digital-first culture that invests in you, gives you a platform for continuous learning, and access to an incredible breadth and depth of opportunities to grow your career.
The business is increasingly reliant on high quality data, therefore we must continue to protect our critical data and to build a digitally enabled business that makes fast and assured decisions based on data.
Digital
11 Apr 2023; 00:04",1 day ago,False,£45K - £59K (Glassdoor est.),10000+,Company - Public,Aerospace & Defense,1906,Aerospace & Defense,$10+ billion,0.8,0.89,3.7,3.7,3.8,3.3,4.0,"['""Good work life balance with flex time"" (in 104 reviews)', '""Good pay and pension."" (in 109 reviews)', '""For the most part the people are great."" (in 100 reviews)', '""Good benefits"" (in 58 reviews)', '""Easy going, friendly management, supportive"" (in 78 reviews)']","['""poor work life balance, forever in arears, building a production schedule around maximum overtime is no way to run a business"" (in 104 reviews)', '""Below average pay"" (in 109 reviews)', '""Benefits are broad but not particularly valuable"" (in 58 reviews)', '""Poor management for such a corporate company"" (in 78 reviews)']",3.8,"['Health Insurance (18 comments)\n""Good benefits for health insurance""', 'Vacation & Paid Time Off (18 comments)\n""Plenty of PTO. Could be scheduled at the last minute""', '401K Plan (17 comments)\n""Matching program for 401k benefits""']"
Appriss Retail,3.7,Remote,Data Engineer,"About Appriss Retail:
We deliver software-as-a-service solutions used by leading retail chains across the world — 39 of the Top 100 retailers rely on one or more of the Appriss Retail solutions to prevent fraud, improve customer experience, detect and remediate employee fraud, and improve operational processes. The ability to interact with customers and technical teams is required.
About the role

Develop and code software programs, algorithms, and automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. Analyze and evaluate the usability of data provided by customers and interact with product and service teams to identify questions and issues regarding data quality. Develop, and program methods, processes, and systems to consolidate and analyze diverse data sources to generate actionable insights.",3d,False,,51 to 200,Company - Private,Information Technology,1989,Enterprise Software & Network Solutions,,0.52,1.0,3.6,3.8,3.4,3.6,4.0,['No Pros have been reported by the Glassdoor community.'],"['""Management do not share much when it comes to what\'s going on with the company."" (in 1 reviews)']",,
Mercury Holidays,3.3,Remote,Data Engineer,"Mercury Holidays is a travel company based in Sevenoaks providing award-winning holidays for 40 years. We're currently undergoing an internal transformation focusing on customer centricity and data-driven marketing to create a leading digital platform.
We are looking for a Data Engineer and a Data Analyst who are passionate about turning data and information into valuable insights.

What you'll be doing

Implementing and maintaining data pipelines into our data lake
Applying ETL and ELT techniques to raw data",14d,True,£30K (Employer est.),51 to 200,Company - Private,Hotels & Travel Accommodation,1980,Travel Agencies,$25 to $100 million,0.28,1.0,2.6,2.4,1.9,2.2,2.3,"['""Friendly place to work and every day was different"" (in 2 reviews)', '""Nice people, pizza Fridays, free holidays"" (in 1 reviews)']","['""Lack of communication from mangers"" (in 1 reviews)', '""Managers contradict themselves and you constantly have that feeling of walking on eggshells and they are quick to point out what you’ve done wrong infront of others."" (in 1 reviews)']",,
eSynergy Solutions,4.4,Remote,Data Engineer,"Are you a thought leader who has worked in the data space?

esynergy is a technology consultancy delivering business value to our clients across all areas of cloud computing, our project list is growing; we are currently looking to for a Data Engineer to join our fully remote team for a critical project.
You will be a thought leader who has worked in the data space and effectively worked around restructuring across the business to focus on a product, not project led approach allowing companies to respond and evolve alongside their demand around data solutions.
You will be a subject matter expert with plenty of teams experience and be highly skilled in PySpark and understand how to set up connections to API’s and can structure production ready pipelines.

Technical requirements: ✔️",8d,False,,51 to 200,Company - Private,Management & Consulting,2001,Business Consulting,$25 to $100 million,0.82,1.0,4.2,4.4,4.4,4.3,4.2,"['""Culture is brilliant, the people are lovely and everyone is working towards the same goal"" (in 6 reviews)', '""Career development opportunities"" (in 4 reviews)', '""Really friendly, supportive colleagues"" (in 4 reviews)', '""The culture is one of empowerment and encouragement, the values and the vision make it a great environment to work in and an inspiring company to be a part of."" (in 3 reviews)']","['""Long hours but normal in recruitment"" (in 4 reviews)']",,
Bet Victor,3.9,United Kingdom,Data Engineer,"Purpose of the role
To build and support infrastructure that enables Data Science to provide services to the business.
Key Responsibilities / Duties
Design and develop robust data infrastructure required to deliver Data Science projects.
Maintain existing infrastructure, such as Airflow instances and Kubernetes clusters, that are used by Data Science to provide critical services to the business (e.g. Safer Gambling).
Work with other data engineers and stakeholders to rationalise, and then regulate, the data model in the data warehouse.",21d,True,£58K - £68K (Employer est.),501 to 1000,Company - Private,"Arts, Entertainment & Recreation",1946,Gambling,,0.82,,3.6,3.3,3.7,3.5,3.5,"['""Great office"" (in 4 reviews)', '""flexible hours"" (in 2 reviews)']","['""Not a lot of advancement opportunities."" (in 2 reviews)', '""you dont get an american software developer salary but its good in hungary especially if you invest in Bitcoin"" (in 1 reviews)', '""Poor vertical communication"" (in 1 reviews)']",,
Specsavers,3.5,Remote,Data Engineer,"Competitive salary with an excellent bonus plan
We offer two bonuses (personal performance paid quarterly and company performance paid annually) and car allowance with private healthcare and dental cover and a generous pension scheme.

For over three decades our purpose hasn’t changed: we are here to make a positive difference to the lives of all. Through the exceptional products, services and value we offer, we are proud of how far we’ve come as a business, now we want to see you grow with us.",8d,False,,10000+,Company - Private,Retail & Wholesale,1984,Drug & Health Stores,$1 to $5 billion,0.58,0.72,3.5,2.8,3.4,3.1,3.2,"['""Good salary, workload was appropriate"" (in 3 reviews)', '""My one pro is that fellow team members at grass roots are lovely and can at least cry in the cupboards together!"" (in 2 reviews)']","['""Salary is a little low."" (in 3 reviews)', '""The poison starts at the top of the tree with the Director it then seeps down into the poor outdated management who are so terrified themselves they will sell the staff out to save their own skin."" (in 2 reviews)']",,
Travtus,,"London, England",Data Engineer (Junior),"Data Engineer (Junior)
Our technology
Adam is the leading digital employee for rental communities, delivering automation and front-line intelligence through natural conversation. Through Adam, we are changing the way that real estate is operated, bringing automation for owners/operators and world-class customer service to renters.
Travtus is an AI R&D Company based in London, developing AI solutions for the Residential Real Estate industry.
About the Role",12d,True,£45K (Employer est.),,,,,,,,,,,,,,,,,
Alphadog Recruit,,Remote,Data Engineer,"Seems there are very few opportunities that offer you the chance to work within a sector that is doing something good for others, one that tugs on the heartstrings as well as pays bills.
Let's start by telling you a little more about my client and what they offer
Established in 2014, they are a SaaS software provider that has created a piece of software used by the care industry, that allows the caregivers to log and track information on a system to keep track of the people they look after, ensuring they can offer the best possible care for those that most need it.
The care industry as a whole has historically been paper-based, slightly archaic you may think but with traditional costs involved in buying software and employees in the sector not always used to using traditional software programs, it's not always been an option. Now with my client's offering being reasonably priced and the ability for employees to be able to use the system through a simple App on their phones this is a thing of the past.",30d+,True,£60K - £85K (Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
SOAX,5.0,Remote,Data Engineer,"SOAX is a value-driven UK company dedicated to empower the world and help people advance tomorrow’s technologies with public data at their service.
Our product is a high-margin and fast-growing SaaS business with a usage-based pricing model operated by a stellar team of 70+ fully remote people across 20+ countries. Founded in early 2020, SOAX has won the hearts of 1000+ data-hungry organizations across the globe with its core product — robust infrastructure for public data collection (a.k.a Residential Rotating Back-connect Proxy Network).
We are in the process of creating a new generation of Proxy Services and are looking for a talented Data Engineer to help us develop and maintain our ETL processes. Other responsibilities include connecting new data sources, selecting appropriate data schemas for storage, and writing tasks for DevOps.",9d,True,,1 to 50,Company - Private,,,,,1.0,,4.4,4.6,4.4,4.8,4.4,"['""No pressure from management."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
