Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Apple,4.2,"Cupertino, CA",Data Engineer,"Summary
Posted: Dec 22, 2021
Weekly Hours: 40
Role Number:200327520
As part of our Video Engineering group, you’ll help deliver creative solutions to various problems that could impact the people all over the world. This Data Engineer will work closely with other members of the Video Engineering group to mine data, implement model evaluation pipeline, analyze large scale data, visualize data, and ensure the delivery is of the highest quality. This position will also require strong coding skills, presentation skills, and collaborating with multiple teams (ex: machine learning, cloud infrastructure support).",,24h,False,10000+,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion,0.83,0.9,3.8,4.3,4.2,3.7,3.6,"['""Good benefits and TC as APPL is increasing and lots of new interesting projects"" (in 373 reviews)', '""Good Work Life Balance !"" (in 448 reviews)', '""it was manageable and the pay was good"" (in 552 reviews)', '""They are good people and they are beautiful"" (in 477 reviews)', '""good culture and work ethics"" (in 384 reviews)']","['""Not much responsibility and no benefit"" (in 373 reviews)', '""there is no work life balance"" (in 448 reviews)', '""The pay is low especially when living in San Diego where rent and housing cost is super inflated."" (in 552 reviews)', '""Bad people and not fun times"" (in 477 reviews)', '""bad atmosphere and culture of toxicity"" (in 384 reviews)']",4.5,"['Employee Discount (1097 comments)\n""Stay 90 days and you\'ll enjoy the discounts""', 'Health Insurance (879 comments)\n""A vast network of providers to choose from.""', '401K Plan (480 comments)\n""Includes fitness and dental cleaning and glasses""']"
United Airlines,4.0,"Chicago, IL",Data Engineer,"Description
There’s never been a more exciting time to join United Airlines. We’re on a path towards becoming the best airline in the history of aviation. Our shared purpose – Connecting People, Uniting the World – is about more than getting people from one place to another. It also means that as a global company that operates in hundreds of locations around the world with millions of customers and tens of thousands of employees, we have a unique responsibility to uplift and provide opportunities in the places where we work, live and fly, and we can only do that with a truly diverse and inclusive workforce. And we’re growing – in the years ahead, we’ll hire tens of thousands of people across every area of the airline. Our careers include a competitive benefits package aimed at keeping you happy, healthy and well-traveled. From employee-run ""Business Resource Group"" communities to world-class benefits like parental leave, 401k and privileges like space available travel, United is truly a one-of-a-kind place to work. Are you ready to travel the world?

Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT",$82K - $119K (Glassdoor est.),3d,False,10000+,Company - Public,Transportation & Logistics,1926,"Airlines, Airports & Air Transportation",$10+ billion,0.77,0.76,4.0,3.9,3.8,3.4,3.6,"['""employee fight benefits are good"" (in 62 reviews)', '""Good pay, and set hours."" (in 26 reviews)', '""The people are great and it\'s a great company."" (in 25 reviews)', '""Good work life balance"" (in 20 reviews)', '""good team and management over all"" (in 23 reviews)']","['""Just ok benefits."" (in 62 reviews)', '""It\'s a big company, but they pay good"" (in 26 reviews)', '""Bad management"" (in 23 reviews)']",4.2,"['401K Plan (259 comments)\n""it was matched by the company""', 'Employee Discount (185 comments)\n""The flight discount is so good, I rarely fly standby.""', 'Health Insurance (133 comments)\n""The cost is getting higher but that is the norm this day for most companies""']"
Small Batch Standard,4.1,Remote,Junior Data Engineer,"We're the premier, remote accounting, tax, and consulting firm built exclusively to serve the craft brewing industry.
Our mission is to help craft breweries grow profits and build deep successful relationships. And our team is filled with expert, autonomous, adaptable, technology-driven high performers.
Are you up for the challenge?
We're looking for a full-time, remote Junior Data Engineer to join our specialized team. The main objective of this role is to design, develop, implement, and improve both internal and external applications to support our brewery clients and team in accordance with the SBS Core Values.",Employer Provided Salary:$58K - $70K,30d+,True,1 to 50,Company - Private,Financial Services,2010,Accounting & Tax,,0.69,1.0,4.4,4.4,4.4,4.1,5.0,"['""Remote work, endless opportunities to bring your strengths to the table and develop them, cohesive and dynamic remote work environment, flexibility and variability in the work."" (in 2 reviews)', '""Flexible hours and work from home"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
YT Global Network,5.0,Remote,Data Engineer- Remote,"Data Engineer- Remote
Role: Data and Analytics is an evolving space which includes more software engineering, distributed systems, and cloud skills.
WIll develop, maintain, and enhance the data platform capabilities in an open and collaborative environment to build the central platform.
Will collaborate with internal data customers across IT and the Business to minimize the time from idea inception to analytical insight.
Job responsibilities will include: contributing to data infrastructure design efforts and collaborating with other platforms to integrate infrastructure into the client's systems and testing the feasibility and effectiveness of various technology options; supporting complex tools and solutions to manage orchestration, data pipelines, and infrastructure as code solutions the Data Engineering team builds.",Employer Provided Salary:$90.00 - $120.00 Per Hour,30d+,True,,Company - Public,,,,,,,,,,,,"['""good benefits and good people"" (in 1 reviews)']","['""Not too much work given"" (in 1 reviews)']",,
Kanini Software Solutions,4.4,Remote,Data Engineer,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.",Employer Provided Salary:$65.00 - $70.00 Per Hour,24h,True,501 to 1000,Company - Private,Information Technology,2003,Enterprise Software & Network Solutions,,0.94,0.96,4.5,4.0,4.4,4.4,4.4,"['""One of the best place to work and grow, friendly management, managers,employees, hr are so friendly etc"" (in 3 reviews)', '""Office environment and culture is very good"" (in 6 reviews)', '""Leads and architects are very supportive."" (in 4 reviews)']","['""management is very tricky and picky"" (in 3 reviews)', '""No response and no work life balance"" (in 2 reviews)', '""No job security"" (in 7 reviews)']",,
Ford Motor Company,4.1,"Dearborn, MI",Data Engineer,"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
As a key member of our Information Technology group, you’ll play a critical part in shaping the future of mobility. If you’re looking for the chance to leverage advanced technology to redefine the transportation landscape, enhance the customer experience and improve people’s lives, this is the opportunity for you. Join us and challenge your IT expertise and analytical skills to help create vehicles that are as smart as you are.
What you’ll be able to do:
We are seeking a Data Engineer to provide technical solutions to an existing team. A great opportunity to hone technical skills and grow leadership/communication skills.",$81K - $112K (Glassdoor est.),24h,False,10000+,Company - Public,Manufacturing,1903,Transportation Equipment Manufacturing,$10+ billion,0.79,0.84,3.8,3.9,3.9,3.5,3.9,"['""flexible and good work life balance"" (in 333 reviews)', '""Good pay (but didn\'t keep up)"" (in 293 reviews)', '""Other benefits are good but expected for a company this size."" (in 167 reviews)', '""Great People to work with who are ready to share knowledge"" (in 225 reviews)', '""It is a Good team and management"" (in 172 reviews)']","['""no work life balance recently"" (in 333 reviews)', '""Relatively less pay for a product company"" (in 293 reviews)', '""Benefits could be better for such a large corporation."" (in 167 reviews)', '""Not good for ambitious people."" (in 225 reviews)', '""Poor management, unclear goals for us"" (in 172 reviews)']",4.0,"['Health Insurance (191 comments)\n""Good medical , Dental and Vision Coverage""', 'Employee Discount (107 comments)\n""A Plan on Vehicles is a valuable benefit when purchasing a vehicle""', 'Vacation & Paid Time Off (75 comments)\n""not enough compared to other companies.""']"
TAA Solutions LLC,,Remote,Big Data Engineer,"U.S. Citizenship required or GREEN CARD
Faizhan Consulting Grooup (FCG) a fast growing IT services firm is currently looking for smart and self-motivated HPC Systems/Grid Engineer with the ability to take on and overcome challenges in a dynamic and collaborative team environment.
The position supports the deployment and sustainment of Grid technologies/Parallel Cluster in Amazon Web Services.
Responsible for developing custom Amazon Machine Image’s (AMI’s) and automating the build and provisioning of clusters. Collaborates with a highly technical user base on how to properly use the Grid and Slurm.
Develops user documentation, guides and training sessions for staff.",Employer Provided Salary:$19.29 - $85.16 Per Hour,30d+,True,1 to 50,Company - Public,,,,,,,,,,,,,,,
Hermitage Infotech,3.5,Remote,Data Engineer,"Please go thru the urgent req given below and kindly send me your updated resume in word document, if you are available and interested in this project. Please let me know your minimum expected hourly rate / yearly salary, work authorization, contact details and availability. Please email the resumes to varma@hermitageinfotech.com. Or please call Varma at 732-338-7524.

Data Engineer
SQL knowledge and relational databases, & query authoring. Data engineering certification (e.g IBM Certified Data Engineer). Optimal data pipeline architecture. Analyze and organize raw data. Assemble large, complex data sets that meet functional / non-functional business requirements.

Regards
Varma
732-338-7524",,30d+,True,1 to 50,Company - Private,Information Technology,,Information Technology Support Services,$1 to $5 million,0.7,1.0,3.7,3.7,3.8,3.8,3.9,"['""Good and experienced sales team."" (in 1 reviews)', '""management is very transparent."" (in 1 reviews)', '""Work life balance is good Culture is good provide knowledge work"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.5,
Mericaninc,,"Atlanta, GA",Data Engineer,"Job Role: Data engineer
Location: Hybrid model (Day 01 onsite)
Type: Contract
EXPERIENCE :
Python
Kafka or Kinesis
DevOps deployment model
AWS
Job Type: Contract",Employer Provided Salary:$60.00 - $65.00 Per Hour,30d+,True,,,,,,,,,,,,,,,,,
Pinterest,4.0,Remote,"Software Engineer, Big Data","About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
The Big Data & Analytics Platform team at Pinterest is responsible for end to end big data infrastructure, data warehousing & business intelligence solutions that powers the rest of the business. The team owns both the critical data infrastructures from log ingestion, batch & stream processing, big data query & workflow systems, and also the data processing & ETL pipelines for data warehousing and business intelligence.

Not Specified
0",,2d,False,1001 to 5000,Company - Public,Information Technology,2010,Internet & Web Services,$100 to $500 million,0.76,0.79,3.7,4.1,4.1,3.4,4.1,"['""People are friendly."" (in 33 reviews)', '""Benefits are great (not as good as Meta or Google but still great)."" (in 20 reviews)', '""Great culture"" (in 17 reviews)', '""Great Pay"" (in 18 reviews)']","['""People are nice to a fault."" (in 33 reviews)', '""More importantly do yourself a favor find a better company that is challenging, has a better culture and would let you grow even if it takes time."" (in 17 reviews)', '""I’ve worked with 3 different managers and all of them are arrogant."" (in 15 reviews)']",4.4,"['Maternity & Paternity Leave (25 comments)\n""Wide coverage which is one of the best in the industry. It would be great if Sabbatical could be added as a benefit.""', 'Health Insurance (9 comments)\n""A lot of options and affordable (even with family and kids)""', 'Vacation & Paid Time Off (9 comments)\n""Difficult to take time off for my team""']"
