Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
"Lakeshore Learning Materials, LLC",4.1,"Long Beach, CA",Junior Data Engineer (Remote),"Company Description

At Lakeshore, we create innovative learning materials and world-class guest experiences for teachers, parents and children. Since 1954, we’ve grown into a global community—with a thriving e-commerce business, multiple catalogs, 60+ retail stores, a peerless national sales force, plus international offices that support our preeminent supply chain division. But today we’re working better, smarter and faster than ever—and setting our sights even higher. We’re building an infrastructure designed for scalability, embracing data-driven decision-making and using technology to improve efficiency and ensure the best tools for the best work. Most importantly, we continue to invest in a diverse team of inquisitive top talent who fuel each other’s passions and curiosity, take risks, try new things, and believe that every new day brings opportunities for growth.",24h,True,$27.00 - $31.00 Per Hour(Employer est.),1001 to 5000,Company - Private,Retail & Wholesale,1954,Other Retail Stores,$500 million to $1 billion,0.78,0.98,3.8,3.7,4.1,3.8,4.1,"['""Good work environment growth and work life balance"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.0,"['Employee Discount (14 comments)\n""This company has great employee discount""', 'Health Insurance (6 comments)\n""Health insurance rates have risen over the years but employee cost is still lower than most including several plans to choose from.""', '401K Plan (5 comments)\n""Matching doesn\'t start until 1 year""']"
Oxfaa Pvt.Ltd,,"Trenton, NJ",AWS Data Engineer,"Required Skill:
· Prior experience with writing and debugging python
· Prior experience with building data pipelines.
· Prior experience Data lakes in an AWS environment
· Prior experience with Data warehouse technologies in an AWS environment
· Prior experience with AWS EMR
· Prior experience with pyspark
Job Type: Contract",24h,True,$75.00 - $80.00 Per Hour(Employer est.),,Company - Public,,,,,,,,,,,,,,,
Wevision LLC,,"Irvine, CA",Data Engineer,"Job description
We build services, data platform and machine learning based optimization engines for every aspect of advertising, including targeting, decisioning, pricing, personalization, inventory forecasting, attribution and full-funnel measurements. Our tenant is a strong tech team to deliver E2E solutions covering tech areas ranging from research, bigdata, microservices to data applications with front-end tools. Our team is seeking a software developer who will be an outstanding addition and will be responsible for development of high-available and high-concurrent backend services or data solutions. The right person for this role should have experience on either full stack components, or microservices or bigdata platforms. If you are someone who is proactive, hardworking, and enthusiastic in either these domains, this is a phenomenal role for you!
WHAT YOU’LL DO",13d,True,$55.00 - $85.00 Per Hour(Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
zettalogix.Inc,,Remote,Azure Data Engineer,"Azure Data Engineer
Jackson, MS (100% REMOTE)
6+ Months
Job Description:
This position will require qualified T-SQL Developers to take the lead in the following tasks:
Rationalizing and mapping data between transactional and dimensional database
models/systems",2d,True,$50.00 - $55.00 Per Hour(Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
Gridiron IT,4.5,"Washington, DC",Data Engineer,"Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.",14d,True,$65.00 - $75.00 Per Hour(Employer est.),51 to 200,Company - Private,Information Technology,2017,Information Technology Support Services,,0.87,0.86,4.5,4.3,4.4,4.3,4.7,"['""Their recruiters are very professional and were always accessible if I needed further assistance during the hiring process."" (in 4 reviews)', '""Very nice and competent team."" (in 3 reviews)', '""Plenty of opportunity to make money"" (in 1 reviews)', '""Very good salary."" (in 1 reviews)']","['""no PTO but understandable because its a contract position"" (in 1 reviews)']",3.7,
Konnectingtree,,Remote,Data Engineer,"Greetings from KonnectingTree!
We are looking for a Data Engineer for one of our clients. This is a remote position with an Implementation partner. AWS Certification Mandatory.
Data Engineer with AWS Experience
Experience with PySpark/Spark
Experience in Python
Able to work independently
Able to work with the business team directly
Interested candidates kindly share your updated resume with mythili.saravanan@konenctingtree.com. Please reach me at 952-679-2916.",15d,True,$45.00 - $50.00 Per Hour(Employer est.),1 to 50,Company - Public,,,,,,,,,,,,,,,
Infoway solutions LLC,3.9,"Santa Clara, CA",Data Engineer,"Need min 10+ Years exp
Data Engineer
Bay Area, CA – Onsite(Hybrid)
Job Responsibilities:
Expert in data engineering and GCP data technologies.
Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.
Work with Agile and DevOps techniques and implementation approaches in the delivery",30d+,True,$68.00 Per Hour(Employer est.),,Company - Private,Human Resources & Staffing,,Staffing & Subcontracting,,0.77,0.84,4.0,3.8,3.8,3.8,3.8,"['""good interview and group mate"" (in 1 reviews)', '""Nice and friendly work environment"" (in 1 reviews)']","['""lower salary for living in Fremont"" (in 1 reviews)']",2.2,
Sthavirsoft Inc,,"Trenton, NJ",AWS Data Engineer,"AWS Data Engineer
Client: State of New Jersey - DOH
Job ID: 708389
Location: Trenton , NJ
Duration: 1+ years (Multiple Year Contract)
Interview mode: Skype
Note: This will be a hybrid office work environment with a 3 day in office requirement
Job Description",24h,True,$50.00 - $65.00 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Strivernet RPO Services Ltd,,"Santa Clara, CA",Data Engineer,"(W2 CANDIDATES ONLY) (SANTA CLARA, CA)
PLEASE SHARE UPDATED RESUMES AS PER THE JD
Following skills sets is must
1. 5 years of hands-on experience working on data using SQL on multiple platforms (SQL server, my SQL, NoSQL, Snowflake, Mongo) (required)
2. 4 years of hands-on experience with Python and C# programming (required)
3. 4 years of hands-on AWS Stack (S3, CLI, Lamdba, SNS,SQS)
4. 3-4 years of hands-on experience with Application Development Skills - web based or service based (required)",30d+,True,$90.00 - $95.00 Per Hour(Employer est.),,Company - Public,,,,,,,,,,,,,,,
FreeWheel,4.1,"New York, NY",Data Engineer - REMOTE,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.

Job Summary
Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Summary Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries, and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Description About FreeWheel FreeWheel, A Comcast Company, empowers all segments of The New TV Ecosystem. We are structured to provide the full breadth of solutions the advertising industry needs to achieve their goals. We provide the technology, data enablement and convergent marketplaces required to ensure buyers and sellers can transact across all screens, across all data types, and all sales channels, in order to ensure the ultimate goal – results for marketers. With offices in New York, San Francisco, Chicago, London, Paris, Beijing, and across the globe, FreeWheel, A Comcast Company, stands to advocate for the entire industry through the FreeWheel Council for Premium Video. For more information, please visit freewheel.com. We are looking for a savvy Data Engineer to join our growing engineering team in Freewheel, New York. If you’re excited to work with a tightly-knit team of data engineers solving hard problems the right way using cutting-edge data collection, transformation, analysis, and monitoring tools in the cloud, this opportunity is for you. You'll be part of the Identity team whose mission is to build the next generation of Audience & Identity data platform that handles enormous scale and uses state-of-the-art technologies to unlock the data’s business value. We build and maintain high-quality data solutions to process terabytes of user data on the cloud-native data platform using AWS.",24h,False,$118K - $177K (Employer est.),1001 to 5000,Subsidiary or Business Segment,Media & Communication,2007,Advertising & Public Relations,,0.83,0.96,3.9,4.1,4.2,4.0,4.6,"['""Great work/life balance"" (in 9 reviews)', '""Great colleagues"" (in 9 reviews)', '""Also I loved all the managers I directly reported to, but I might had been just lucky."" (in 6 reviews)', '""Amazing culture in which you actually become best friends/travel companions with your colleagues outside of work"" (in 5 reviews)']","['""Engineering managers do some of the work of pm\'s, and spend time on proof of concepts."" (in 6 reviews)', '""no clear career growth"" (in 10 reviews)']",4.3,"['401K Plan (9 comments)\n""Employer matches up to a certain percentage""', 'Health Insurance (6 comments)\n""the Health Insurance is good""', 'Maternity & Paternity Leave (3 comments)\n""Maternity & Paternity Leave under China Gov rule &regulation""']"
