Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Riverty Services GmbH,3.9,Vienna,Process Manager (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

We are looking for a
Process Manager (Personal Finance) (m/f/d)
(unlimited, full-time) Choose one of our locations globally, with 80% Mobile Office: Verl, Baden-Baden, Berlin, Amsterdam, Wien, Stockholm or Glasgow",,30d+,False,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.76,1.0,3.7,3.2,3.9,3.5,4.0,"['""Good colleagues and overall atmosphere"" (in 1 reviews)']","['""New strategy process is taking ages and people are in limbo"" (in 1 reviews)']",4.0,
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Digital Verification (f/m/div)*,"You are looking for a new challenge to bring in your broad knowledge of digital verification? Then this is the right job for you: as our new Digital Verification Engineer you will define verification concepts and supervise measurement test cases. Have we sparked your interest? Then apply now!
In your new job you will:
Translate the product and design requirements to an executable verification plan and maintain it through the project
Align, track and report the implementation of test-benches and stimuli according to the verification plan
Run simulations, analyze results and conduct verification reviews to ensure that requirements are fully met",,25d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 152 reviews)', '""salary is good"" (in 154 reviews)', '""Good benefits for fresh graduates"" (in 65 reviews)', '""Colleagues are friendly and helpful"" (in 105 reviews)', '""Good management"" (in 74 reviews)']","['""Descent pay, work life balance"" (in 152 reviews)', '""Below average salary and benefits."" (in 154 reviews)', '""location was bad, benefits are not much"" (in 65 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 74 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Product Development for GaN-based ICs (f/m/div)*,"Do you want to get to know the development of high-voltage GaN products (like GaN based HEMTs) and even drive it yourself? Can you further on imagine to extend your activities to multicomponent products consisting e.g. of a switch and a driver IC? As a new team member, you will contribute in our product development projects across different sites. At the same time, you will be responsible for technical work packages, like designing and verifying your own products. This role will bring you in contact with diverse colleagues from all over the world and will give you the chance to share and discuss your ideas with different people.
In your new job you will:
Design & verify analog/mixed-signal circuits to support all phases of product development including concept, testing, application; focus will be on GaN-based ICs for power applications",,18d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 152 reviews)', '""salary is good"" (in 154 reviews)', '""Good benefits for fresh graduates"" (in 65 reviews)', '""Colleagues are friendly and helpful"" (in 105 reviews)', '""Good management"" (in 74 reviews)']","['""Descent pay, work life balance"" (in 152 reviews)', '""Below average salary and benefits."" (in 154 reviews)', '""location was bad, benefits are not much"" (in 65 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 74 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Villach,Component Verification and Product Characterization Engineer (f/m/div)*,"You are looking for a new challenge to bring in your broad knowledge of component verification and product characterization? Then this is the right job for you: as our new Component Verification and Product Characterization Engineer you will define verification concepts and supervise measurement test cases. Have we sparked your interest? Then apply now!
You will work in a highly professional team being responsible for the definition of verification concepts and tests in close cooperation with concept engineers, design engineers and test development engineers

In your new job you will:
Define component verification concepts (hard- and software)",,25d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 152 reviews)', '""salary is good"" (in 154 reviews)', '""Good benefits for fresh graduates"" (in 65 reviews)', '""Colleagues are friendly and helpful"" (in 105 reviews)', '""Good management"" (in 74 reviews)']","['""Descent pay, work life balance"" (in 152 reviews)', '""Below average salary and benefits."" (in 154 reviews)', '""location was bad, benefits are not much"" (in 65 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 74 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Villach,Product Application Engineer (f/m/div)*,"You enjoy working in an international team, interacting with multiple different groups? If you are furthermore eager to define and bring to market our new technologies, you should seize the chance to become part of our success story! Join our team as Product Application Engineer, and you will support discrete MOSEFTs and GaN in DC/DC power supply applications.
In your new job you will:
Develop evaluation boards for new discrete and IC products
Perform Fit for Use bench validation in application corner cases, to insure new products / technologies matching with initial specifications
Insure design-win of new discrete and ICs products by providing 3rd level technical support to customers and regional field application engineers",,26d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 152 reviews)', '""salary is good"" (in 154 reviews)', '""Good benefits for fresh graduates"" (in 65 reviews)', '""Colleagues are friendly and helpful"" (in 105 reviews)', '""Good management"" (in 74 reviews)']","['""Descent pay, work life balance"" (in 152 reviews)', '""Below average salary and benefits."" (in 154 reviews)', '""location was bad, benefits are not much"" (in 65 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 74 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
B-612 UK Ltd.,,Vienna,Freelance Hardware/ Data Centre Field Engineer,"REQUIREMENTS
We will consider self-employed contractors only for this position, and as such you will be asked to provide us with proof of your self-employment.
Given the time difference with London, and the nature of the role, it is critical for us to work with highly reactive people, fast to respond to emails and calls, in as well out of working hours - in particular during your onboarding process and when working on tickets/deployments.
THE ROLE & KEY RESPONSIBILITIES
Based in Vienna, the role holder will be focusing on equipment installation; device configuration; maintenance, testing & troubleshooting.",,8d,True,,,,,,,,,,,,,,,,,
Iventa IT Recruiting GmbH,4.7,Gerasdorf bei Wien,IT Solution Engineer (m/w/d),"Du hast Interesse an Infrastruktur- und Cloud Lösungen und möchtest dein Team bei externen Kundenprojekten unterstützen? Dann bist DU der perfekte MATCH!

Werde Teil des erfolgreichen Teams von Bacher Systems EDV GmbH am Standort Wien! Sie unterstützen zahlreiche Unternehmen in den Bereichen Cloud-Services, IT-Security, Data Infrastructure und Data Analytics und sind einer der wichtigsten IT-Dienstleister am heimischen Markt!

IT Solution Engineer (m/w/d)
>> JUNIOR – SENIOR Level << mit Fokus auf Infrastruktur- und Cloud Lösungen",,26d,False,51 to 200,,Management & Consulting,1991,Business Consulting,,1.0,,2.5,3.3,3.5,4.7,4.0,,,,
Raben BEXity GmbH,2.0,Vienna,Data Analyst & -Engineer (m/w/d),"DU BIST ZAHLENAFFIN, HAST SPASS AN ABWECHSLUNGSREICHEN AUFGABEN UND BEHÄLTST IMMER DEN ÜBERBLICK? MIT LEIDENSCHAFT FÜR DAS, WAS DU TUST UND DER ENERGIE, IMMER WEITER VORANZUGEHEN, UNTERSTÜTZT DU DIE STETIGE ENTWICKLUNG DER RABEN BEXITY UND SCHAFFST PASSENDE STRUKTUREN FÜR DAS WACHSTUM.
WIR BIETEN DIR:
Eine interessante und abwechslungsreiche Position in einem international tätigen Unternehmen
Ein kleines Team in dem jede*r alles macht und flache Hierarchien für schnelle Entscheidungswege
Ein vollausgebautes Data Warehouse mit allen Unternehmensdaten als Basis",,30d+,False,,Company - Public,,,,,,,1.4,2.4,1.6,1.0,1.8,,,,
"ESRI, Inc.",4.1,Vienna,Android Mobile Developer,"Overview:
Join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. Esri makes indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.
The Esri R&D Center in Vienna, Austria leads the research and development of cutting-edge indoor positioning systems technologies used in ArcGIS IPS. By combining radio signal data from Bluetooth low energy beacons and Wi-Fi with trajectory information derived from motion sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Shape the way users of the ArcGIS Runtime SDK for Android consume our cutting-edge Indoor Positioning Technology (IPS) and enable them to build unique experiences
Requirements:
Recommended Qualifications:
The Company:",,30d+,False,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.82,0.91,3.7,3.4,4.1,3.7,4.1,"['""Great people and teaching opportunities."" (in 57 reviews)', '""Decent pay"" (in 64 reviews)', '""Work life balance is great"" (in 42 reviews)', '""The benefits are good."" (in 36 reviews)', '""Culture is good."" (in 40 reviews)']","['""Old people; doesn\'t care."" (in 57 reviews)', '""Pay is low for what the local housing market is demanding."" (in 64 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 36 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
"ESRI, Inc.",4.1,Vienna,Sr. Software Development Engineer – C++,"Overview:
As an enthusiastic and talented C++ software developer, you will join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. In the past few years, Esri has put a large effort into making indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.

At the Esri R&D Center in Vienna, Austria, we lead the research and development of cutting-edge indoor positioning systems technologies. By combining radio signal data from Bluetooth Low Energy beacons and Wi-Fi with trajectory information derived from sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Requirements:
Recommended Qualifications:
The Company:",,30d+,False,1001 to 5000,Company - Private,Information Technology,1969,Computer Hardware Development,$1 to $5 billion,0.82,0.91,3.7,3.4,4.1,3.7,4.1,"['""Great people and teaching opportunities."" (in 57 reviews)', '""Decent pay"" (in 64 reviews)', '""Work life balance is great"" (in 42 reviews)', '""The benefits are good."" (in 36 reviews)', '""Culture is good."" (in 40 reviews)']","['""Old people; doesn\'t care."" (in 57 reviews)', '""Pay is low for what the local housing market is demanding."" (in 64 reviews)', '""The pay is relatively low, and the benefits are less than mediocre."" (in 36 reviews)']",4.3,"['401K Plan (99 comments)\n""50% match on what you contribute""', 'Health Insurance (56 comments)\n""it is good in my opinion""', 'Vacation & Paid Time Off (36 comments)\n""bank hours is a great system""']"
REWE International IT,3.6,Vienna,"Data Engineer, Analytics (m/f/x)","Unternehmensbeschreibung

As the IT of the REWE Group Austria, we work together with our more than 600 employees to develop innovative IT products and services for all our corporate divisions in Austria and abroad, setting the tone for modern trade.
In our newly formed agile ""Data Platform"" team, you will work on the one-stop-shop for providing, searching, and consuming business relevant data. Your focus as an IT expert is on providing a curated, domain-agnostic tool-set into a simple-to-use environment to enable its customers to provide, search & consume data in a standardized, efficient and decentralized way. Within our dedicated data team, you work on a basis for our new data infrastructure and are responsible for the technical feasibility of projects",,3d,True,10000+,Company - Private,Retail & Wholesale,1927,Grocery Stores,$10+ billion,0.69,0.77,3.4,3.3,3.4,3.2,3.3,"['""You can get into a good team where professional freedom is highly encouraged"" (in 1 reviews)']","['""Outsourcing / Consultants are preferred instead of hiring and fairly compensating employees long term"" (in 1 reviews)', '""Low salary expectations, limited space in growth regarding compensation"" (in 1 reviews)']",2.5,
