Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Torfs,3.8,Sint-Niklaas,Data Engineer (met affiniteit voor Data Science),"Wie zijn wij?
Voor het continu verbeteren van haar klantenbenadering en bedrijfsprocessen werkt Schoenen Torfs actief met de vele data die ze permanent vergaart vanuit haar winkels, webshop en verschillende departementen. Om de data-gedreven processen efficiënt te kunnen blijven beheren en aansturen, zoeken we een enthousiaste Data Engineer met ervaring.

Je zal Torfs’ datateam versterken en een sleutelrol spelen in de ontwikkeling van strategische data oplossingen gebaseerd op best-in-class data- en analytics-principes. Je zal een actieve rol spelen in het ontwerpen en bouwen van big data pipelines, en van de technische onderbouw nodig voor de data flow naar verschillende modellen en rapporten doorheen het bedrijf.

Je rol omvat:
Het bouwen en onderhouden van data pipelines.
Het analyseren en verbeteren van efficiëntie, schaalbaarheid, betrouwbaarheid en prestaties van de data infrastructuur.
Het automatiseren van analytics en data science in bestaande business processen en applicaties.
Indien interesse en kennis, kan ruimte gemaakt worden om het takenpakket aan te vullen met advanced data analytics (exploratie, segmentatie, modelling).
Wie ben jij?
Je hebt een master in computer science engineering of business engineering optie data analytics, of je niveau is gelijkwaardig door ervaring.
Je beschikt 3+ jaar hands-on ervaring met de volgende componenten uit de Microsoft stack:
Synapse (pipelines, notebooks, serverless sql...), Azure analysis services, Azure log analytics, Azure automation, Data lake storage, SQL Database, Databricks…
Power BI (DAX, Report builder, Tabular Editor, Analyze in Excel, Power Apps, Power Automate
Project Management, version control, pipelines
Je hebt 5+ jaar hands-on ervaring met SQL en Python. PySpark ervaring is een plus.
Ervaring met SSIS is een pluspunt.
Ervaring met data science en machine learning models is een pluspunt.
Je bent constant op zoek om bij te leren en je volgt de trends in de data community.
Wat vind je bij ons?
We bieden een boeiende uitdaging binnen een state-of-the-art data architectuur waarin on-premise en cloud oplossingen gekoppeld zijn over technologieën van Microsoft, Google, Salesforce, Databricks en externe toepassingen.

Je zal deel uitmaken van een jong, dynamisch en professioneel team, waarin je ondersteund wordt om jezelf verder te ontwikkelen, zowel op inhoudelijk vlak (via on the job en extern trainingen) als op persoonlijk vlak. Uiteraard biedt Torfs een marktconforme verloning.",,30d+,False,,,,1948,,$100 to $500 million,0.75,0.87,3.5,4.0,4.1,3.6,3.1,"['""Veel appreciatie van je manager"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Datalumen,,Kontich,Data Engineer,"Wat hebben wij te bieden
You can join a diverse TEAM

You can join a diverse team. People at the beginning of their career but also team up with the most seasoned consultants. People focused on technology or the functional side of data projects. If you like to share but also learn from others, Datalumen is the place to be for you.

A clear focus on DATA solutions",,30d+,False,,,,,,,,,,,,,,,,,
Mind The Gap,4.6,Kontich,Data engineer / ETL consultant,"Wat hebben wij te bieden
We offer you a full-time contract in an innovative organization that will support you in your growth. In addition to further developing your existing expertise, you will also be given the opportunity to dive into new technologies.
You will join a stable, established organization that is part of the Cronos Group, and enjoy the benefits of working within a smaller organization as well as the bigger picture.
As a consultant you will be in contact with clients more often than with colleagues... That's why we regularly organize team events with both educational and recreational purposes. Team spirit and a good professional connection are important to us.",,30d+,False,51 to 200,Company - Private,"Arts, Entertainment & Recreation",,Culture & Entertainment,$1 to $5 million,1.0,,4.4,3.4,5.0,4.6,4.2,"['""Great work environment, solid work team."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
NewBrix,,Kontich,Medior Data Protection Engineer,"Wat hebben wij te bieden
Of het nu gaat over een traditionele storageoplossing of een innovatieve tegenspeler: eenvoud en maatwerk zijn steeds de sleutelwoorden in onze missie om bedrijven te ondersteunen in hun infrastructurele IT-keuzes van morgen.

Met meer dan tien jaar ervaring in de sector zijn we een erkende partner in dataopslag en IT-infrastructuur. We volgen de evoluties binnen de markt op de voet en zijn een baken van expertise en vertrouwen voor onze klanten. En dat uit zich ook in ons team.

Je komt in een open en vooruitstrevende omgeving terecht waarin we naast bewezen technologieën en methodieken ook nieuwkomers zoals infrastructure en private & public omarmen, en je komt in aanraking met . Met aandacht voor nieuwe technologieën, creëren we ook ruimte voor : een persoonlijk opleidingstraject van minstens zes maanden en een geweldig team van experten die je begeleiden tijdens je eerste professionele stappen.",,30d+,False,,Company - Public,,,,,,,,,,,,,,,
Stichting Kankerregister,,Sint-Joost-Ten-Node,data manager,"De Stichting Kankerregister, gelegen in het hart van Brussel, is een dynamische
organisatie, die verantwoordelijk is voor het verzamelen, de kwaliteitscontrole, de
verwerking en de analyse van kankerregistratiegegevens.
Om het team van data collection and processing te versterken, zijn we op zoek naar
Een data manager junior (M/V)
Voorstelling van het Data Collection and Processing team
Sinds de oprichting in 2005, werden de opdrachten van de Stichting Kankerregister verder uitgebreid om te komen tot een volledig en kwalitatief netwerk voor de kankerregistratie en eveneens voor de pathologische onderzoeken in het kader van de vroegtijdige opsporing van baarmoederhals-, borst- en dikke darmkanker.",,19d,True,,,,,,,,,,,,,,,,,
Ordina,3.8,Mechelen,AWS Data Engineer,"Your Impact
Do you have a passion for AWS and enjoy devising and implementing complex solutions? Are terms like data lake, serverless, VPX, monitoring, ...
music to your ears? If you want to boost your career and make an impact as an AWS Data Engineer, joining Ordina may be just the ticket!


Where you're going to get started
As a consultant AWS Data Engineer within the Data Driven unit, you will help our customers in various sectors become intelligent, data-driven organizations and strengthen their market position.",,5d,False,1001 to 5000,Company - Public,Information Technology,1973,Information Technology Support Services,$100 to $500 million,0.8,0.84,3.6,3.4,3.9,3.4,4.0,"['""Young Talent program is a good start for your career"" (in 2 reviews)', '""Great colleagues, good atmosphere, fair pay, amazing work"" (in 2 reviews)']","['""Low chances of promotions and salaries are not high."" (in 2 reviews)']",,
Algorhythm,,Ghent,Data Engineer,"Wat hebben wij te bieden
Wat bieden wij onze Cloud Data Engineer?
Deel uitmaken van een scale-up binnen het Cronos Ecosysteem: je zal werken binnen de volwassen context van de Cronos Group, het grootste IT-netwerk van België.
Een inspirerende omgeving: elke dag ondersteunen we je om nieuwe dingen te leren en je grenzen te verleggen.
Toffe collega's: je werkt in een team dat altijd graag zijn kennis deelt en plezier maakt tijdens teamevents, lunches en onze jaarlijkse skitrip.
Een vlakke structuur: je komt terecht in een werkomgeving met een vlakke structuur en een open cultuur waarin iedereen aanspreekbaar is en elke stem telt.",,30d+,False,1 to 50,Company - Public,,,,,,,,,,,,,,,
Ordina,3.8,Mechelen,Azure Data Engineer,"Your Impact
Within our Data Driven Unit, we help companies become smart and data-driven organizations and strengthen their market position. To expand our unit, we are looking for an Azure Data Engineer to help our clients with their digital transformation.

Do you have a passion for Microsoft Azure Cloud and doesn't devising and implementing complex solutions scare you? Do terms like Data Lake, Cloud Storage, Serverless, Monitorring, IaaS, PaaS, SaaS, ... sound like music to your ears? Then be sure to apply and who knows, maybe you will soon strengthen our team!",,5d,False,1001 to 5000,Company - Public,Information Technology,1973,Information Technology Support Services,$100 to $500 million,0.8,0.84,3.6,3.4,3.9,3.4,4.0,"['""Young Talent program is a good start for your career"" (in 2 reviews)', '""Great colleagues, good atmosphere, fair pay, amazing work"" (in 2 reviews)']","['""Low chances of promotions and salaries are not high."" (in 2 reviews)']",,
DEME Group,4.6,Hasselt,Project controls engineer,"At DEME, we work together on the cutting edge of technology in a challenging and rapidly changing world. Through our activities in the dredging, off-shore, infrastructure and environmental sectors, we work to bring tailor made solutions to our customers’ projects helping them to be safer, more cost effective and sustainable. Now you can help us to plot a course into the future of maritime engineering on your DEME journey as a project controls engineer.
Your responsibilities
As a project controls engineer, you will provide end-to-end support for one of our projects from contract award until handover. You are responsible for planning the work and keeping track of progress. Adopting new tools and processes is a challenge you relish and you make sure that their implementation goes smoothly. Thinking out of the box and finding innovative ways to improve business processes are the key elements in this job.",,28d,False,,Company - Private,,,,,1.0,,4.7,5.0,4.7,4.0,4.3,"['""Great environment, good relationship between colleagues and a lot of benefits."" (in 1 reviews)', '""opportunity to take responsibility"" (in 1 reviews)', '""innovative company"" (in 1 reviews)', '""Great benefits, great managers, great community"" (in 1 reviews)', '""good atmosphere"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Ordina,3.8,Mechelen,DevOps Engineer (Data),"Your Impact
Within our Data Driven Unit, we help companies become smart and data-driven organizations and strengthen their market position. To expand our unit, we are looking for a DevOps Engineer to help our customers with their digital transformation.


Where you're going to get started
In this way, you will make an impact:",,5d,False,1001 to 5000,Company - Public,Information Technology,1973,Information Technology Support Services,$100 to $500 million,0.8,0.84,3.6,3.4,3.9,3.4,4.0,"['""Young Talent program is a good start for your career"" (in 2 reviews)', '""Great colleagues, good atmosphere, fair pay, amazing work"" (in 2 reviews)']","['""Low chances of promotions and salaries are not high."" (in 2 reviews)']",,
