Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
MOZ Group,3.4,Remote,BI Engineer,"Moz is looking for a natural problem solver with a strong interest in fulfilling the business' expanding appetite for data and helping define our data analytics roadmap. Role involvement will be in all parts of the BI process > from data acquisition to final presentation. The engineer will develop reports and self-service tools for internal customers via Domo and Amazon Quicksight from data housed in log files, Redshift, S3 buckets, datashares, and 3rd party API integrations.
This is a fully remote position.
Responsibilities:
Act as the subject matter expert for sourcing and transforming diverse, structured data across the Ziff Davis product platforms using combinations of pipeline tools.",,25d,False,51 to 200,Company - Private,Information Technology,2004,Computer Hardware Development,$25 to $100 million,0.47,0.67,2.9,3.6,3.6,2.7,4.1,"['""The culture is amazing."" (in 9 reviews)', '""Decent pay."" (in 8 reviews)', '""Most people were great to work with."" (in 11 reviews)', '""Great benefits"" (in 9 reviews)']","['""The company was purchased in 2021 by Ziff Davis for bargain basement prices, and the culture (which was already flagging) changed dramatically."" (in 9 reviews)', '""late sitting not enough pay"" (in 8 reviews)', '""Within less than two years, I moved between having five different managers"" (in 8 reviews)']",4.4,"['Maternity & Paternity Leave (4 comments)\n""4 months for every new child""', 'Health Insurance (3 comments)\n""For the HDHP/HSA Moz adds 3k to your HSA account (for the year) - this is a great benefit.""', '401K Plan (3 comments)\n""There was 401k matching. It was pretty good. ""']"
Wave,3.6,Toronto,Analytics Engineer,"We believe small businesses are at the heart of our communities, and championing them is worth fighting for. We empower small business owners to manage their finances fearlessly, by offering the simplest, all-in-one financial management solution they can't live without.
*
About the Role:*
Reporting to the Senior Manager of Data Platform and Operations, as an Analytics Engineer you will be building tools and infrastructure to support efforts of the analytics and data team as a whole.
We’re looking for a talented, curious self-starter who is driven to solve complex problems and can juggle multiple domains and stakeholders. This highly technical individual will collaborate with all levels of the Data team as well as the various operations teams (e.g. Risk, Finance, Compliance) to provide data solutions, improve our data models as the business scales, and advance Wave to the next stage in our transformation as a data-centric organization.",,30d+,False,201 to 500,Company - Private,Information Technology,2010,Computer Hardware Development,,0.61,0.39,3.6,3.4,3.8,3.3,4.2,"['""First and foremost, Wave is full of kind, driven, clever people all moving toward the same goals."" (in 2 reviews)', '""great benefit, time off, best Fintech team to work with"" (in 1 reviews)', '""Numerous channels and opportunities for personal and professional development and career growth."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Trolley,5.0,Montreal,Analytics Engineer,"Trolley is the payouts platform for the internet economy. Our vision is to unlock the collective economic opportunity of the internet – for everyone – by building a truly global payouts ecosystem. Through our powerful platform and API, Trolley enables businesses to reach workers from all corners of the world and offers creators, on-demand workers, and suppliers the ability to bring their specialized talents to a global market. Businesses use Trolley to automate and manage payouts, collect recipient tax and banking information, and mitigate fraud and risk. The payouts solution of choice for hundreds of businesses, Trolley has made payouts to over 1.1 million different musicians, artists, makers, vendors, and suppliers around the world.

Trolley is seeking a self-driven, analytical individual to join our team as an Analytics Engineer. Reporting to the VP of Product, this role manages the end-to-end data pipeline. You will empower data-informed decisions for the Trolley team and our customers. The ideal candidate will have experience with the toolset required (ELT, Warehousing, BI, etc) and have driven healthy data cultures across organizations.",,30d+,True,51 to 200,Company - Private,Financial Services,2015,Financial Transaction Processing,,1.0,1.0,4.8,4.5,5.0,5.0,5.0,"['""They have invested in the right tools, training, and support their employee\'s growth opportunities."" (in 1 reviews)', '""Good autonomy given to employees and employees are trusted"" (in 1 reviews)', '""Management actually cares about people."" (in 1 reviews)', '""Strong leadership"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
GlossGenius,4.0,Toronto,Senior Analytics Engineer,"About GlossGenius
GlossGenius is building an ecosystem enabling entrepreneurs to succeed. We empower small businesses owners to focus on being creators, not admins, by offering a range of business management tools including booking and scheduling, marketing, analytics, payment processing and much more.
Tens of thousands of small business owners have chosen to rely on GlossGenius every day to run their entire set of business operations. With its powerful, intuitive platform, GlossGenius is some part a fintech company, some part an SMB software company, while its vibrant, distinguished brand makes it some part a consumer company.
About the Role",,30d+,False,1 to 50,Company - Private,Information Technology,,Enterprise Software & Network Solutions,,0.68,,3.7,3.9,3.7,3.5,3.0,"['""Love the team members that I work with."" (in 6 reviews)', '""Great culture and great app!"" (in 6 reviews)', '""I\'ve had an amazing experience at GG so far, from the hiring process, to the onboarding process, to day"" (in 5 reviews)', '""I also think it offers a really good amount of career growth opportunity."" (in 8 reviews)']","['""The team became very micro"" (in 6 reviews)', '""Leadership is always willing to improve and constantly iterating on feedback."" (in 5 reviews)']",5.0,
ALLUDO,3.8,Vancouver,BI Engineer,"BI Engineer
Push the boundaries of tech. In your sweatpants.
Alludo is looking for an experienced BI Engineer to help us change the way the world works. Here, you’ll facilitate the advancement of our analytical capabilities. We are moving from “what was/is” to Predictive modeling and Business optimization. This role will be the key to establishing and developing the data science capabilities at the company.
The top creative and technical minds could work anywhere. So why are so many of them choosing Alludo? Here are three reasons:

It’s an exciting time at Alludo, with new leadership, a refreshed brand (you probably know us as Corel!), and a whole new approach to changing the way the world works. We’re at the forefront of a movement, and we want you to ride this wave with us.",,24d,True,501 to 1000,Company - Private,Information Technology,1985,Computer Hardware Development,$100 to $500 million,0.58,0.8,3.5,3.5,3.9,3.7,3.9,"['""Good Team to work with"" (in 1 reviews)', '""The friendly working environment that could support me in getting enough communication"" (in 1 reviews)']","['""Pay is very low compared to similiar sized orgs."" (in 2 reviews)']",3.0,"['Work From Home (4 comments)\n""Overall positive. They provided good equipment and stipend to offset expense.""', '401K Plan (3 comments)\n""Easy to contribute. The administrator does a good job.""']"
Wave HQ,3.6,Toronto,Analytics Engineer,"We believe small businesses are at the heart of our communities, and championing them is worth fighting for. We empower small business owners to manage their finances fearlessly, by offering the simplest, all-in-one financial management solution they can't live without.

About the Role:

Reporting to the Senior Manager of Data Platform and Operations, as an Analytics Engineer you will be building tools and infrastructure to support efforts of the analytics and data team as a whole.

We’re looking for a talented, curious self-starter who is driven to solve complex problems and can juggle multiple domains and stakeholders. This highly technical individual will collaborate with all levels of the Data team as well as the various operations teams (e.g. Risk, Finance, Compliance) to provide data solutions, improve our data models as the business scales, and advance Wave to the next stage in our transformation as a data-centric organization.",,30d+,True,201 to 500,Company - Private,Information Technology,2010,Computer Hardware Development,,0.61,0.39,3.6,3.4,3.8,3.3,4.2,"['""First and foremost, Wave is full of kind, driven, clever people all moving toward the same goals."" (in 2 reviews)', '""great benefit, time off, best Fintech team to work with"" (in 1 reviews)', '""Numerous channels and opportunities for personal and professional development and career growth."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
War Room Holdings,4.4,Vancouver,Analytics Implementation Engineer,"Vancouver, BC
Full Time, Hybrid

Who We Are.
We are a highly specialized programmatic advertising agency. We focus 100% of our efforts on digital media buying.
It’s how we exceed conversion goals in nearly every campaign we run and why our clients include some of the biggest companies in North America.
We know that happy employees = exceptional work and client satisfaction. That’s why we’ve created an environment that is welcoming and inspiring for all team members. We value your aspirations, and we’ll regularly help you set goals to achieve those milestones.",,23d,False,1 to 50,Company - Private,Media & Communication,2010,Advertising & Public Relations,,0.83,0.83,4.3,4.3,4.3,4.3,4.2,"['""The people here are amazing"" (in 12 reviews)', '""Learning opportunities, pet friendly, great people"" (in 11 reviews)', '""Great leadership: the managers are genuine, personable, assertive, and lead with care."" (in 7 reviews)', '""friendly office!"" (in 6 reviews)', '""Another amazing thing about this company other than the amazing employees and opportunities for growth is how diverse and inclusive they are."" (in 2 reviews)']","['""working out operational processes and building systems that work for the greater majority as well as providing opportunities to be challenged with the growth of the team skills while still keeping lean on costs (such as hiring new team members)."" (in 11 reviews)']",,
SS&C,3.2,Toronto,Financial Engineer/ACM Business Analyst,"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.
Job Description
Job Title: Financial Engineer / Business Analyst or SME
Location: Toronto, ON Canada
Get To Know The Team:
SS&C Technologies, Inc. (known as SS&C) is an American multinational financial technology company that provides software and software as a service to the financial services industry. The company has offices globally including the Americas, Europe, Asia, Africa, and Australia. Through its numerous acquired subsidiaries, such as Advent Software, Varden Technologies, Eze Software, and Primatics Financial, SS&C specializes in specific fintech markets, such as fund administration, wealth management accounting, and insurance and pension funds. SS&C acquired Algorithmics in 2019.",,1 day ago,False,10000+,Company - Public,Information Technology,1986,Information Technology Support Services,$1 to $5 billion,0.42,0.51,2.8,2.8,2.7,2.6,3.1,"['""Great people in all the levels"" (in 32 reviews)', '""Competitive pay"" (in 43 reviews)', '""Relaxing work culture , good incentive"" (in 32 reviews)', '""Work life balance is good"" (in 33 reviews)', '""Good benefits &amp; pay."" (in 15 reviews)']","['""Shareholder driven so no investments in developing people"" (in 32 reviews)', '""low pay"" (in 43 reviews)', '""Bad culture"" (in 32 reviews)', '""There’s no work life balance unless you like chugging down coffee & energy drinks to keep you going!"" (in 33 reviews)']",3.7,"['401K Plan (69 comments)\n""It\'s Match and immediate vesting""', 'Health Insurance (62 comments)\n""Best is overall coverage, worst is continued increase in costs""', 'Vacation & Paid Time Off (41 comments)\n""open ended, not min or max""']"
York University,4.1,Toronto,Business Analyst & Process Engineer,"Purpose:
Accountable to the Manager, Operational Excellence, the Business Analyst and Process Engineer (BAPE) is responsible for supporting the PMO in servicing the customers, clients and stakeholders of York University. The BAPE provides subject matter and execution expertise in Lean, Six Sigma (or Lean Six Sigma) and business analysis disciplines. The BAPE provides counsel to University leadership on various topics ranging from business plans, policy and processes to staff levels and their roles. The BAPE is an agent of change leveraging best practices to affect them.Exposure to, and use of, sensitive and confidential financial and HR data for process development and re-engineering activities requires that the BAPE exercise strong judgement and discretion when disclosing information to a wider audience.

Education:
University degree preferably in business, engineering or computing. Green Belt Certification or higher in Lean Six Sigma or Six Sigma.Business Analyst Training/Certification. CCBA or CBAP certification an asset.Proficient in the use MS Project, MS Visio, MS Office (Word, Excel, Power Point, Access).Change Management certification (e.g. ProSci/ADKAR methodology) an assetKnowledge of collaborative systems such as Confluence and Basecamp an asset.


4+ years of progressive experience in Business Analysis and/or Process (Re-)Engineering roles with project responsibilities, and a good understanding of project management methodologies, work-flow/process design and re-engineering. cost/benefit analysis for medium, large or complex systems.Thorough knowledge of system and process analysis with demonstrated experience and expertise in requirements management, process development/re-engineering and testing skills including information gathering, problem solving, and test plan creation and execution.Proven experience in process and system analysis, documentation/validation of business requirements from business users and functional specification requirements using interviews, documented analysis, tasks and workflow analysis.Experience in the development and execution of project plans, detailed task lists (project Gantt) and time estimating.Demonstrated analytical and decision making ability.Strong written, verbal and presentation skills.Proven accuracy and attention to detail.Strong interpersonal skills and the ability to work effectively in a team environment.Good knowledge of system development lifecycle, methodologies, standards, tools and techniques. Ability to identify opportunities to use technology to add value and recognize and present opportunities for adoption of process efficiencies through automation to replace existing manual work (i.e. process re-engineering). Experience in project management and system implementation processes. Experience in a Higher Education is an asset.


Research and Analytical skills: Superior data gathering, elicitation, analytical and problem solving skills. highly skilled in evaluation of information gathered from multiple sources (including internal and external leading practices). Ability to reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs.Problem Solving: Demonstrated ability to identify optimal solutions based on the analysis of causes.Process Re-engineering: Thorough knowledge of process development and re-engineering best practices in a business to business environment to lead, cross-functional teams to analyze, develop, re-engineer and implement business workflow processes to support business products and services.Process Mapping and Design: Ability to gather input from diverse user groups and develop current/future state process maps.Conceptual Thinking: Ability to make the complex simple or link together things not obviously related.Written communication: Strong writing skills to support business recommendations and proposals. Communicating details such as the business requirements, requested changes, issues with impact assessment and recommendations.Strong oral presentation skills: Excellent verbal communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts. Ability to clearly convey complex concepts and constructs in a straightforward manner.Results oriented: Demonstrated initiative. delivers results. continuously improves. displays a dynamic approach, energy and enthusiasm. Flexible: Adaptable to different circumstances. receptive to change. willing to learn. takes on additional responsibility as required. able to change priorities. Effective planning and organizational skills with the ability to adapt to change and perform effectively under pressure.Judgment: Considers context. weighs options. understands priorities, consequences. makes appropriate decisions. Conscious of audience and disclosing of confidential information when discussing process re-engineering and introduction of technological change and automation that will impact staff and work assignments.Creativity: Ability to present new ideas. looks at things in a new way and shares ideas. novel approach to existing processes or problems. Initiative: Self-starter: perceives a need and fulfills it in a relevant way. Set high personal performance standards with a demonstrated ability to plan, organize and implement activity with little to no direct supervision.Manages change: Plans for and is proactive about change. encourages new approaches. Ability to work effectively in an environment of conflicting priorities, shifting management structures, scope changes and to adjust priorities as required. Tact and diplomacy: Ability to work within a complex organizational framework. comfortable tabling difficult conversations to further positive outcomes, including recommending changes in business methods and processes that will impact staffing levels and resource allocation.


This position requires the candidate to produce a verification of degree(s), credentials(s), or equivalencies from accredited institutions and/or international equivalents at the time of interview.
York implemented a revised CPM Compensation Framework in 2019. The Framework is a salary grid consisting of 6 or 8 steps (depending on job grade) which is reviewed annually with possible adjustments, and a lump sum Performance Based Recognition Award. Employees will receive the grid adjustment and depending on performance, eligible permanent employees may move to the next step of the grid and may receive a lump sum Performance Based Recognition Award.Visit the CPM Compensation page on the HR Website to find out more about York's CPM Compensation Program.",,30d+,False,5001 to 10000,College / University,Education,,Colleges & Universities,$1 to $5 billion,0.78,0.77,3.7,3.8,3.8,3.6,3.9,"['""Benefits are great!"" (in 4 reviews)', '""Great Work life balance"" (in 2 reviews)', '""Colleagues within finance were pleasant"" (in 3 reviews)', '""flexibility, interpersonal and communication skills"" (in 3 reviews)']","['""boring, low compensation, and uncertainty"" (in 4 reviews)']",4.0,
Deloitte,4.0,Toronto,"Analyst/Senior Associate, AML - Financial Engineering & Modeling (FEM)","Job Type: Permanent
Reference code: 122995
Primary Location: Toronto, ON
All Available Locations: Toronto, ON

Our Purpose

At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Our Purpose is to build a better future by accelerating and expanding access to knowledge. Purpose defines who we are and gives us reason to exist as an organization.",,30d+,False,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.93,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 4582 reviews)', '""Very hard working depending on projects and time but good salary"" (in 3158 reviews)', '""good culture and company policies are good"" (in 2580 reviews)', '""Great people and very smart"" (in 2028 reviews)', '""Benefits are good if you interested in stocks and investing."" (in 1269 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 4582 reviews)', '""Low salary and hard to excel against your peers due to locked in the promotion ladder"" (in 3158 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 2580 reviews)', '""Inflated egos at times but mostly good people"" (in 2028 reviews)', '""No benefits and many hours of unpaid work."" (in 1269 reviews)']",4.2,"['Health Insurance (764 comments)\n""But it is very expensive""', 'Vacation & Paid Time Off (637 comments)\n""it accrues quickly as you move up in the firm""', '401K Plan (422 comments)\n""They don\'t do a match up to a %""']"
