Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Universitätsklinikum Carl Gustav Carus Dresden,4.3,Dresden,Data Engineer (w/m/d),"Die Digitalisierungsprozesse im Gesundheitswesen eröffnen enorme Chancen für Effizienz, Innovation, Transparenz und Kooperation in der medizinischen Versorgung, Forschung und Lehre. Mit dem Zentrum für Medizinische Informatik (ZMI) werden die organisatorischen Rahmenbedingungen geschaffen, um die strukturübergreifenden IT-Kompetenzen in den Bereichen Versorgung, Forschung und Lehre der Hochschulmedizin Dresden nachhaltig zusammenzuführen. Zeitgleich mit der Gründung des Zentrums und mit Bezug zur Förderinitiative Medizininformatik des BMBF wird nun die für die Verknüpfung von Daten erforderliche zentrale Forschungsplattform, das Datenintegrationszentrum, aufgebaut. Das Datenintegrationszentrum stellt dabei Daten und Anwendungen für die medizinische Forschung in strukturierter Form bereit. Hiermit wird sowohl die Entwicklung von medizinischen und technischen Innovationen sowie auch deren Translation in den Versorgungsprozess wesentlich beschleunigt.",,15d,False,1001 to 5000,,Healthcare,1901,Health Care Services & Hospitals,,1.0,1.0,4.0,4.1,3.8,3.5,4.0,"['""Nice and competent team Well equipped"" (in 3 reviews)', '""Fittness, Caruso Restauran, travelling, salary, freedom"" (in 1 reviews)', '""Flexible Arbeitszeiten"" (in 1 reviews)']","['""management, some of colleagues, some old building"" (in 2 reviews)']",,
Universitätsklinikum Carl Gustav Carus Dresden,4.7,Dresden,Data Engineer (w/m/d),"Jobs mit Aussicht
Modern – Kompetent – Innovativ
Jobs mit Aussicht
Modern – Kompetent – Innovativ
Die Digitalisierungsprozesse im Gesundheitswesen eröffnen enorme Chancen für Effizienz, Innovation, Transparenz und Kooperation in der medizinischen Versorgung, Forschung und Lehre. Mit dem Zentrum für Medizinische Informatik (ZMI) werden die organisatorischen Rahmenbedingungen geschaffen, um die strukturübergreifenden IT-Kompetenzen in den Bereichen Versorgung, Forschung und Lehre der Hochschulmedizin Dresden nachhaltig zusammenzuführen. Zeitgleich mit der Gründung des Zentrums und mit Bezug zur Förderinitiative Medizininformatik des BMBF wird nun die für die Verknüpfung von Daten erforderliche zentrale Forschungsplattform, das Datenintegrationszentrum, aufgebaut. Das Datenintegrationszentrum stellt dabei Daten und Anwendungen für die medizinische Forschung in strukturierter Form bereit. Hiermit wird sowohl die Entwicklung von medizinischen und technischen Innovationen sowie auch deren Translation in den Versorgungsprozess wesentlich beschleunigt.",,14d,False,1 to 50,,,1995,,$5 to $25 million,1.0,,4.5,4.5,4.6,4.5,5.0,"['""Junges und dynamisches Unternehmen mit großartigen Benefits, engagierten Teams und einer soliden Business"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Hoffmann Group,3.7,Munich,Senior Data Engineer (m/f/d),"More than 4,000 highly motivated employees in over 50 countries have made the Hoffmann Group through their performance into Europe's leading partner for quality tools, factory equipment and personal protective equipment and ""Germany's Best Employer 2022"" with a very high level of attractiveness (awarded by DIE WELT). Our healthy growth is reflected, among other things, in a global annual turnover of more than 1.4 billion euros in 2022. As a family business, we offer a working environment characterised by mutual trust, in which performance and commitment are rewarded. We encourage personal initiative, creativity and independent, results-oriented action.

As part of our defined company growth targets, we are looking for a Senior Data Engineer (m/f/d) in Munich.
Your responsibility",,30d+,False,1001 to 5000,Company - Private,Retail & Wholesale,1919,General Merchandise & Superstores,$1 to $5 billion,0.64,1.0,3.1,3.6,3.6,3.1,3.5,"['""colleagues is good but 95% are retrenched"" (in 4 reviews)', '""Great culture and freedom to act"" (in 6 reviews)', '""very corrupt and poor leadership"" (in 5 reviews)', '""Good benefits, nice people, vacation"" (in 2 reviews)']","['""&gt; Culture is SO TOXIC that one can not sustain even 6 months here."" (in 6 reviews)', '""Very micromanagement, poor culture, bad leadership"" (in 5 reviews)', '""Worse Asia Management,"" (in 4 reviews)']",3.0,"['Sick Days (4 comments)\n""yes they offer sick days""']"
CureVac SE,3.3,Tübingen,RNA Data Engineer (w/m/d),"Gemeinsam. Fortschritt. Gestalten.
Die CureVac SE ist ein globales biopharmazeutisches Unternehmen, das neuartige Medikamente auf Basis des Botenmoleküls Messenger RNA (mRNA) erforscht und entwickelt. Unsere Schwerpunkte liegen auf prophylaktischen Impfstoffen, innovativen Krebsimmuntherapien sowie proteinbasierten Therapien. Aktuell engagieren sich alle RNA people dafür, unser großes Ziel zu erreichen: Wir wollen mehrere Best-in-Class mRNA-Arzneimittel auf den Markt bringen.
Zur Unterstützung unseres Teams am Standort Tübingen bei Stuttgart suchen wir zum nächstmöglichen Zeitpunkt Sie in der Position als
RNA Data Engineer (w/m/d)


Human Resources
Gregor Zimmermann Friedrich-Miescher-Straße 15
72076 Tübingen
www.curevac.com",,17d,False,51 to 200,Company - Public,,1995,,$5 to $25 million,0.56,0.35,2.9,2.7,3.2,2.8,3.2,"['""Nice colleagues"" (in 6 reviews)', '""Offers some corporate benefits."" (in 2 reviews)', '""Calibre of people high."" (in 6 reviews)']","['""Below market salary and benefits"" (in 2 reviews)', '""Bad internal communication and data management system..."" (in 3 reviews)', '""No compensation for overtime work."" (in 2 reviews)']",,
RTL Deutschland GmbH,4.1,Köln,Full Stack Developer .NET Core / Angular (w/m/d),"Deine Aufgaben
Als Full Stack Developer (m/w/d) bist du maßgeblich an der Weiterentwicklung, Pflege und Modernisierung und dem Erfolg unserer Produkte beteiligt - je nach Team liegt der Fokus auf unseren internen Systemen für die Einspielung von Medienmaterial, der Anreicherung mit Metadaten für die Recherche bzw. Materialsuche für Journalisten, bis zur Bereitstellung für den Schnitt zur anschließenden Ausspielung im TV oder unseren digitalen Content-Plattformen
Basierend auf deinen Interessen finden wir gemeinsam das passende Projekt für dich und Du erarbeitest im Team auf Basis bestehender und zukünftiger Medien-Workflows flexible und modulare Lösungen. Du hast hierbei die Möglichkeit dich in neue Tech-Stacks einzuarbeiten, oder individuell deinen Schwerpunkt auf die Frontend- oder Backendentwicklung zu legen",,17d,False,501 to 1000,Company - Public,Media & Communication,,Broadcast Media,,0.61,0.73,3.5,3.2,3.5,3.0,3.6,"['""Good team and vibes."" (in 8 reviews)', '""Work life balance is great, colleagues are friendly."" (in 5 reviews)', '""Salary by commission is ok."" (in 4 reviews)', '""Good benefits."" (in 3 reviews)']","['""Salary was not engough, for the provised work"" (in 4 reviews)', '""No career support."" (in 7 reviews)']",4.0,
1&1 Mail & Media Applications SE,3.8,Heimarbeit,Senior Data Analyst (w/m/d) - onsite or remote / home office,"Über uns
Mit unseren starken Marken GMX, WEB.DE und mail.com sind wir mit über 42 Mio. aktiven Nutzer*innen die führende E-Mail- und Kommunikationsplattform im DACH-Raum. Aus dieser starken Marktposition heraus entwickeln wir Services und Apps, die das digitale Leben vereinfachen - von Office-Tools und Cloud-Speicher bis hin zum persönlichen ID-Management.
Ihre Aufgaben
Daten sind Deine Leidenschaft? Du hast eine Passion für Data Analytics und willst in einer Digital Company mit agilem Umfeld und flachen Hierarchien wirklich etwas bewegen? Bei uns wartet mehr als ein Job auf Dich: Die Möglichkeit, mit Deinem Können und Deinen Ideen, Data Analytics Themen aufzubauen, voranzubringen und sich individuell weiterzuentwickeln. Unterstütze uns als Data Analyst dabei, neue IT-Sicherheitslösungen auf den Weg zu bringen, um unsere über 43 Millionen Kundenaccounts der Marken GMX, WEB.DE sowie mail.com vor Cyberangriffen zu schützen.",,30d,True,5001 to 10000,Company - Public,Information Technology,,Internet & Web Services,$1 to $5 billion,0.76,0.7,3.2,3.0,3.4,3.0,3.5,"['""Flexible Arbeitszeiten"" (in 2 reviews)', '""Als Dualer Student bekommt mal viel Eigenverantwortung in die Hände gelegt"" (in 2 reviews)', '""Friendly team， professional leader，perfect culture"" (in 1 reviews)']","['""Not many instructions or chance of development"" (in 1 reviews)']",,
BARMER,4.2,Wuppertal,Senior Cloud - Data-Engineer (m/w/d),"Über uns
Wir sind eine der größten Krankenversicherungen in Deutschland und es gibt viele individuelle Gründe, bei uns zu arbeiten. Aber eines haben unsere rund 16.000 Mitarbeiterinnen und Mitarbeiter gemeinsam: Wer bei uns arbeitet, setzt sich täglich für die Gesundheit von Millionen von Kunden ein. Weil wir den Menschen helfen, gesünder zu leben, bei Krankheit die bestmögliche Versorgung sicherstellen und bei Vorsorge unterstützen.
Mit diesem Anspruch entwickeln wir uns weiter. Hin zu einem dynamischen Unternehmen in einem digitalen Markt, mit Freiraum für neue Impulse und gesellschaftlicher Verantwortung. Unsere besondere Kultur macht es möglich: Wir stehen füreinander ein, über Standorte, Fachrichtungen und Karrierelevel hinweg. Wir arbeiten miteinander, denn nur gemeinsam können wir das höchste Gut des Menschen erhalten und Gesundheit weiterdenken. Deshalb: Finden Sie Ihren Grund, bei uns zu arbeiten.",,30d+,False,10000+,Government,Insurance,2017,Insurance Carriers,$10+ billion,0.93,0.93,3.4,4.2,3.7,3.7,4.2,"['""Flexible Arbeitszeiten (Gleitzeit)"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
SBB AG,3.8,,Data Engineer (m/w) in der Schweiz,"Data Engineer (m/w)
Bern
ab sofort oder nach vereinbarung
60-100%
90405
Darauf können Sie sich freuen.
Wir etablieren zukunftsorientierte Prozesse, Systeme und Daten, um die Digitalisierung der SBB im Bereich Einkauf voranzutreiben. Sie treiben aktiv Design, Weiterentwicklung, Implementation, Testing und Dokumentation standardisierter Datenintegrations- / ETL- und Data Warehouse-Lösungen voran. Dabei klären Sie fachliche, technische und architektonische Anforderungen und steigern mit innovativen Lösungen den Nutzen für die Geschäftsbereiche. Sie planen, in die Schweiz umzuziehen? Gerne unterstützen wir Sie dabei. Erste Infos dazu finden sie auf unserer Seite «Arbeiten in der Schweiz». Sie sind flexibel und nutzen die Möglichkeit von ""Work Smart"", um von Zuhause oder unterwegs zu arbeiten.",,2d,False,10000+,Company - Public,Transportation & Logistics,1902,Rail Transportation,$5 to $10 billion,0.82,0.8,3.6,3.6,3.9,3.4,3.9,"['""Excellentes conditions salariales avec 13e salaire et de nombreux benefits (abonnement général 1ère classe compris dans le package avec des avantages pour les membres de la famille, etc.)"" (in 10 reviews)', '""Teamwork, Climate, Good salary, Working hours, Benefits, Extra holidays"" (in 8 reviews)', '""Best PT offerings in Europe, committed employees, decent compensation"" (in 9 reviews)', '""friendly, cosy, nice atmosphere, not hard working"" (in 8 reviews)']","['""salary low, difficult to move inside the company"" (in 8 reviews)', '""better work life balance at work"" (in 16 reviews)']",5.0,
Hoffmann Group,3.7,Munich,Lead Analytics Engineer / BI Engineer (m/f/d),"More than 4,000 highly motivated employees in over 50 countries have made the Hoffmann Group through their performance into Europe's leading partner for quality tools, factory equipment and personal protective equipment and ""Germany's Best Employer 2022"" with a very high level of attractiveness (awarded by DIE WELT). Our healthy growth is reflected, among other things, in a global annual turnover of more than 1.4 billion euros in 2022. As a family business, we offer a working environment characterised by mutual trust, in which performance and commitment are rewarded. We encourage personal initiative, creativity and independent, results-oriented action.

As part of our defined company growth targets we are looking for a Lead Analytics Engineer / BI Engineer (m/f/d) in Munich.
Your responsibility",,30d+,False,1001 to 5000,Company - Private,Retail & Wholesale,1919,General Merchandise & Superstores,$1 to $5 billion,0.64,1.0,3.1,3.6,3.6,3.1,3.5,"['""colleagues is good but 95% are retrenched"" (in 4 reviews)', '""Great culture and freedom to act"" (in 6 reviews)', '""very corrupt and poor leadership"" (in 5 reviews)', '""Good benefits, nice people, vacation"" (in 2 reviews)']","['""&gt; Culture is SO TOXIC that one can not sustain even 6 months here."" (in 6 reviews)', '""Very micromanagement, poor culture, bad leadership"" (in 5 reviews)', '""Worse Asia Management,"" (in 4 reviews)']",3.0,"['Sick Days (4 comments)\n""yes they offer sick days""']"
QuinScape,4.1,Dortmund,"Senior DevOps Engineer (m/w/d) für Dortmund, Hannover oder remote","Kurzbeschreibung
Du brennst für moderne Softwareentwicklung und den Betrieb von Cloud Applikationen und bist stetig auf der Suche nach neuen Lösungsansätzen?

Du begeisterst Dich gleichzeitig für die Entwicklung, Automatisierung und Bereitstellung von Cloud-Umgebungen und anderen Infrastrukturen?

Du liebst es agil zu arbeiten, scheust keine Herausforderung und löst gerne anspruchsvolle Probleme in einem tollen Team?

Dann bist du bei uns genau richtig! Wir suchen einen Senior DevOps Engineer (m/w/d), der Spaß an den folgenden Tätigkeiten hat:",,17d,False,51 to 200,Company - Private,Information Technology,,Enterprise Software & Network Solutions,,1.0,1.0,3.3,3.8,4.7,4.3,4.0,,,,
