Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
TMC,4.0,Luxembourg,DATA ENGINEER,"Luxembourg
TMC Luxembourg est une société fondée sur les principes de transparence et d’esprit entrepreneurial. Notre modèle d’entreprise « l’employeneurship » est vraiment unique et pour renforcer l’équipe nous recherchons actuellement un Data engineer.

| Vos challenges?
Collecte et traitement de données à partir de diverses sources telles qu'Oracle, SQLServer, DB2, Excel et fichiers plats
Conseil et assistance à l'équipe de migration dans la conception des traitements SSIS pour la solution de migration, ainsi que contribution au plan final de migration",,24d,False,1001 to 5000,Company - Private,Management & Consulting,2000,Business Consulting,,0.77,0.93,3.8,3.6,4.0,3.7,4.0,"['""good salary"" (in 22 reviews)', '""friendly management"" (in 10 reviews)', '""People are nice and professional."" (in 9 reviews)', '""Entrepreneurial spirit"" (in 8 reviews)', '""Good benefits even for starting people"" (in 3 reviews)']","['""On occasions I had to chase them for bonus owed to me or to correct salary / expenses \'mistakes\'."" (in 22 reviews)', '""The management is not true with the employees, and if you disagree about a decision or contest a decision, they will mark you as the guy that is a negative person."" (in 10 reviews)', '""People aren’t necessarily nice and a lot of gossips which makes the atmosphere unprofessional"" (in 9 reviews)']",,
Amazon EU SARL,3.8,Luxembourg,2023 Data Engineer Internship,"Currently enrolled in a Bachelor’s or Master’s degree program in computer engineering, computer science, or a similar technical field
Availability to complete an internship minimum 6 months long working full time week
Experience with one or more query language (e.g., SQL, PL/SQL, DDL, MDX, HiveQL, SparkSQL, Scala)
Experience with one or more scripting language (e.g., Python, KornShell)
Experience with data mining, data warehouse solutions
Experience with ETL flow and tools

Job summary
We’re on the lookout for the curious, those who think big and want to define the world of tomorrow. At Amazon, you will grow into the high impact, visionary person you know you’re ready to be. Every day will be filled with exciting new challenges, developing new skills, and achieving personal growth.

How often can you say that your work changes the world? At Amazon, you’ll say it often. Join us and define tomorrow.

2023 Luxemburg Data Engineering Internship

Do you love building tools and data pipelines? Are you excited by the opportunity to create clear effective reports and data visualizations, and collaborate with stakeholders to answer key business questions? Do you want to be a part of a fast-paced environment and contribute to one of the most visited sites on the Internet?

If this describes you, consider joining us as an intern. Amazon is looking for a data engineer intern to join one our many lines of business. Amazon interns have the opportunity to work alongside the industry’s brightest engineers who innovate everyday on behalf of our customers. You will be matched to a manager and a mentor. You will have the opportunity to affect the evolution of Amazon technology as well as lead mission critical projects early in your career. Your work will contribute to solving some of the most complex technical challenges in the company.

In addition to working on an impactful project, you will have the opportunity to engage with Amazonians for both personal and professional development, expand your network, and participate in fun activities with other interns throughout the summer. No matter the location of your internship, we give you the tools to own your summer and learn in a real world setting.

Key job responsibilities

A day in the life
Our Data Engineers build and maintain the infrastructure to answer questions with data, using software engineering best practices, data management fundamentals, data storage principles, and recent advances in distributed systems (e g MapReduce, MPP architectures, NoSQL database. We’re looking for Data Engineer interns to join one of our many lines of business.



About the team
If you’re insatiably curious and always want to learn more, then you’ve come to the right place. Depending on your location, country, job status and other requirements, some or all of the following benefits may be available to you as an intern.

If you’re successful during your internship, you could be considered for a graduate role after finishing your university studies

Internship start dates vary throughout the year.
Internship ideal length is 6 months.

We are committed to diversity, equity, and inclusion, and leveraging our unique perspectives to scale our impact and grow. Amazon has 13 affinity groups (https://www.aboutamazon.com/affinity-groups), sometimes known as employee resource groups, which bring employees together across businesses and locations around the world. With executive and company sponsorship, these groups play an important role in building internal networks for creating a community, advising Amazon business units, leading in service projects, and reaching out to communities where Amazonians live and work.
Want to know more about our opportunities? Visit our EMEA Student Programs Team Events page to register for one of our upcoming events: https://amazonstudentevents.splashthat.com/careers",,30d+,False,10000+,Company - Public,Information Technology,1994,Internet & Web Services,$10+ billion,0.73,0.77,3.9,3.9,3.7,3.5,3.4,"['""Pay is good but not worth the asks made from IT and how they are treated"" (in 27268 reviews)', '""Their health benefits is good and their career choice is helpful to start a new career."" (in 15870 reviews)', '""Good work / life balance in my case (not the case of all the teams)."" (in 23005 reviews)', '""management was good and helped out a lot"" (in 13497 reviews)', '""They people are great and the fun things that happen monthly are also really great."" (in 14255 reviews)']","['""The pay was low even though I was trained and doing multiple departments jobs without a raise."" (in 27268 reviews)', '""No benefits in shopping with Amazon to employees like discounts or tip offs before high discounts."" (in 15870 reviews)', '""You do work bloody hard and very long hours so there is no work life balance"" (in 23005 reviews)', '""Poor management and it\'s difficult to get a hold of someone when there\'s a problem that needs fixing."" (in 13497 reviews)', '""People are rude and won’t help you find the exit to the building for some reason."" (in 14255 reviews)']",4.0,"['Health Insurance (1615 comments)\n""Nice health insurance but you have to pay the tax for the insurance cost""', 'Employee Discount (1483 comments)\n""The best thing is that there is a discount and the worst thing is it is not that much of a discount""', 'Vacation & Paid Time Off (1218 comments)\n""They have pretty standard paid time off policy""']"
KPMG Luxembourg,4.1,Luxembourg,Data Engineer,"Find your purpose at KPMG Luxembourg

We see a world of opportunity. From uncovering ways to digitalize, to enabling new sectors to take off, to building sustainability and resilience into economies, we know insights reveal new opportunities for all.

We are diverse and dedicated problem solvers, part of the worldwide network of high-quality audit, tax and advisory services.

We offer excellent career prospects that balance autonomy, flexibility, and responsibility. Our comprehensive benefits inspire our people do and feel their best.

Right now, we have more than 1800 employees from over 70 nationalities. Join our growing group of young and youthful innovators to uncover a world of opportunity together.



In an ever faster changing Tax environment, companies are facing complex and evolving Reporting and Tax Compliance obligations; we see the active management of tax issues and tax compliance requirements as a way for businesses to realize their full potential in an agile, efficient and progressive way. Our team assists clients to be up to date with all new tax reporting requirements in Europe and more widely i.e. Asia and US.

This new role will contribute to the overall growth of KPMG Luxembourg as we continue to expand our Best-in-Class service to our clients hence focusing on quality and digital solution.

By being part of the product management team, you will participate in the digitalization of the fund industry. You will contribute to the development of our innovative technological solution, as well as the onboarding processes of new clients.







KPMG is where you will find the right opportunities to advance your career and the widest available range of possibilities so you can grow professionally. Make a real impact, join a diverse team of leading experts, work with global clients, and discover technological solutions.

By submitting your resume and application information, you authorize KPMG to transmit and store your information in the KPMG recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.

KPMG is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. Our recruiting decisions are based on your experience and skills.",,30d+,False,10000+,Company - Private,Management & Consulting,1987,Business Consulting,$10+ billion,0.78,0.87,4.2,3.7,4.1,3.8,3.3,"['""Work life balance is good to have"" (in 435 reviews)', '""The people are great and always help"" (in 259 reviews)', '""Good benefits and able to navigate between industries and types of projects"" (in 163 reviews)', '""Good pay fresh out of college"" (in 244 reviews)', '""Good culture and team building activities"" (in 192 reviews)']","['""No work life balance at the company due to very long hours of work especially during Busy seasons."" (in 435 reviews)', '""None, great people and thrilling work."" (in 259 reviews)', '""Excluded from many of the benefits allocated to non"" (in 163 reviews)', '""low pay and not balanced life"" (in 244 reviews)', '""In my experience, the individual partners did not always foster the great culture of the parent Company."" (in 192 reviews)']",4.3,"['Health Insurance (32 comments)\n""best is that its decent, worst is that it doesn\'t offer comprehensive mental health benefits""', 'Maternity & Paternity Leave (25 comments)\n""Both maternity and paternity are offered""', 'Vacation & Paid Time Off (16 comments)\n""5 weeks PTO plus 2 shutdown weeks, and additional days off (Memorial Day, Labor Day, etc.) adds up to about 8 weeks total PTO.""']"
Avient,3.6,Wiltz,IT Support Engineer,"For our site in Belgium and the EMEA Headquarter in Luxembourg, we're looking for an IT Support Engineer.
The Role
As IT Support Engineer, based on site at the Avient Belgium and Luxemburg facilities, you will work closely with the members of the IT and Business teams to understand business requirements and deliver IT solutions to meet those needs. You'll be implementing technical designs, procedures, or operations. The role works within requirements to support certain applications and operations within the department and troubleshoots cases from the IT Service Desk. Being part of the EMEA regional Operations team, this position also contributes to various IT projects from concept to completion across EMEA.
Essential Functions",,30d+,False,5001 to 10000,Company - Public,Manufacturing,2020,Chemical Manufacturing,$1 to $5 billion,0.7,0.82,3.2,3.3,3.3,3.1,3.6,"['""Management was great and the company was headed in a good direction"" (in 30 reviews)', '""Good people at the company"" (in 29 reviews)', '""Good benefits comparable to competitors"" (in 21 reviews)', '""good pay"" (in 30 reviews)', '""work life balance is good"" (in 25 reviews)']","['""Management is absolutely horrible."" (in 30 reviews)', '""expensive benefits"" (in 21 reviews)', '""bad pay"" (in 30 reviews)', '""Encourages no work life balance or promotion opportunities"" (in 25 reviews)']",3.9,"['Health Insurance (9 comments)\n""Low cost for what you got""', '401K Plan (8 comments)\n""They help contribute for you""', 'Vacation & Paid Time Off (8 comments)\n""Very generous paid time off""']"
ArcelorMittal,4.0,Luxembourg,DATA ENGINEER,"You will join theTechnology Department composed of three teams (1) Data Management; (2) Automation & Industrial Modeling (AIM); and (3) Energy and Decarbonation. Reporting to the Chief Operational Officer of the cluster AM LPL, the department has the mission to deliver new technological solutions to AM LPL plants and contribute to the major projects of the decade for the decarbonization of the metallurgical industry, all supported by a massive deployment of digital technologies to improve performance.
This position is inside the Data Management team.

Missions:
Contribution to the standardisation of AM LPL Automatic Reporting (Power BI, SAP Analytics): daily production, following Production/Maintenance/Quality/ Health & Safety KPIs etc. Support the corresponding teams through the management and analysis of the related data.",,30d+,False,10000+,Company - Public,Manufacturing,1921,Metal & Mineral Manufacturing,$10+ billion,0.76,0.8,3.4,3.7,3.5,3.3,3.4,"['""Competitive salary and benefits"" (in 147 reviews)', '""The management is amazing and very flexible"" (in 89 reviews)', '""Company benefits are good."" (in 68 reviews)', '""very good company good people"" (in 79 reviews)', '""Good Work Life Balance Here"" (in 74 reviews)']","['""you dont learn easily and low salaries"" (in 147 reviews)', '""pas de stratégie commerciale claire et sentiment d\'avoir un grand écart de vision avec le management"" (in 89 reviews)', '""Working shifts and having no benefits"" (in 68 reviews)', '""The people are nice but not all of them"" (in 79 reviews)', '""Difficult to have work life balance."" (in 74 reviews)']",3.6,"['Health Insurance (42 comments)\n""They have their own health insurance and it is excellent""', '401K Plan (21 comments)\n""Great matching percentage of 401K""', 'Vacation & Paid Time Off (18 comments)\n""When you return from vacation you recive 2/3 salary""']"
Talan,3.9,Luxembourg,Software Engineer Data,"Company Description

Talan est un cabinet de conseil en innovation et transformation par la technologie.
Depuis plus de 20 ans, Talan conseille les entreprises et les administrations, les accompagne et met en œuvre leurs projets de transformation et d’innovation en France et à l’international.
Présent sur cinq continents, le groupe prévoit de réaliser un chiffre d’affaires de 600 millions d’euros en 2023 pour plus de 6000 consultant·e·s et vise à dépasser la barre du milliard d’€ de CA à horizon 2025.
Le Groupe met l’innovation au cœur de son développement et intervient dans les domaines liés aux mutations technologiques des grands groupes, comme le Big Data, l’IoT, la Blockchain et l’Intelligence Artificielle. Présent dans les événements incontournables du secteur, comme Viva Technology, Talan prend régulièrement la parole sur les enjeux de ces technologies révolutionnaires aux côtés d’acteurs majeurs du secteur et de parlementaires (Syntec Numérique, Forum de l’intelligence artificielle, French Fab Tour, Forum de Giverny...).",,9d,True,5001 to 10000,Company - Private,Information Technology,2002,Information Technology Support Services,$100 to $500 million,0.8,0.92,3.7,3.3,3.8,3.6,3.9,"['""Management cool et jeune"" (in 78 reviews)', '""A professional group that provides training for beginners with a good salary"" (in 20 reviews)', '""good work / life balance"" (in 16 reviews)', '""Awesome people and great people to work with!"" (in 18 reviews)', '""Communication, professionnalisme, sinon de bonnes missions"" (in 28 reviews)']","['""beaucoup de changement dans le management"" (in 78 reviews)', '""mediocre salary"" (in 20 reviews)', '""Parfois manque de communication avec les managers"" (in 28 reviews)']",4.0,
NTT Ltd.,3.8,Capellen,MS Engineer VMware,"NTT is a leading global IT solutions and services organisation that brings together people, data and things to create a better and more sustainable future.
In today’s ‘iNTTerconnected’ world, connections matter more now than ever. By bringing together talented people, world-class technology partners and emerging innovators, we help our clients solve some of the world’s most significant technological, business and societal challenges.
With people at the heart of our success, NTT is committed to attracting and growing the best talent and providing an environment where everyone feels they can belong and their contribution matters.

Want to be a part of our team?
Provides technical support to field engineers, technicians, and product support personnel who are diagnosing, troubleshooting, repairing, and debugging complex electro/mechanical equipment, computer systems, complex software, or networked and/or wireless systems.

Responds to situations where first-line product support has failed to isolate or fix problems in malfunctioning equipment or software. Reports design, reliability, and maintenance problems or bugs to design engineering/software engineering. May be involved in customer installation and training.

Provides support to customers/users where the product is highly technical or sophisticated in nature.",,24h,False,10000+,Company - Private,Information Technology,2019,Information Technology Support Services,$5 to $10 billion,0.73,0.8,3.6,3.5,3.7,3.3,3.7,"['""Management is good"" (in 313 reviews)', '""Salary is good"" (in 374 reviews)', '""The people and systems are great."" (in 332 reviews)', '""Good work life balance to mange both work and family"" (in 277 reviews)', '""Good culture and Flexible"" (in 329 reviews)']","['""Poor management with lack of vision."" (in 313 reviews)', '""Low salary and hike is very neglective"" (in 374 reviews)', '""5 great people a week."" (in 332 reviews)', '""No work life balance for employees"" (in 277 reviews)', '""Lack of identity toxic culture"" (in 329 reviews)']",3.6,"['Health Insurance (31 comments)\n""Best: Unlimited PTO Worst: 3k/6k individual deductible""', '401K Plan (20 comments)\n""It was standard matching for percentage""', 'Vacation & Paid Time Off (16 comments)\n""Above market rates well received by all""']"
Goodyear,3.8,Dudelange,Process Engineer (m/f),"Goodyear. More Driven.
The opportunity
We are looking for Process Engineer to join our Mercury Plant (Dudelange).
You will have the opportunity to join a multinational team in a new factory using innovative technology and state of the art equipment.

Your responsibilities:
Keep a safe, clean and organized work environment to help prevent risk of personal injury and product contamination.",,22d,False,10000+,Company - Public,Manufacturing,1898,Transportation Equipment Manufacturing,$10+ billion,0.72,0.81,3.5,3.7,3.5,3.2,3.4,"['""The pay is good and they are fair when evaluating pay scales for new and existing employees"" (in 212 reviews)', '""Assurance intl limited has good productivity and management as well as in good at work."" (in 99 reviews)', '""Benefits are good and fair for employees"" (in 86 reviews)', '""Good people and fun job"" (in 113 reviews)', '""And Good work life balance"" (in 118 reviews)']","['""Low pay"" (in 212 reviews)', '""Quick Turnover Poor Management Lacks Structure"" (in 99 reviews)', '""The benefits are average."" (in 86 reviews)', '""No work life balance"" (in 118 reviews)']",3.7,"['Health Insurance (39 comments)\n""Excellent for a single person like me""', 'Vacation & Paid Time Off (28 comments)\n""More leave days than government statutory leave""', '401K Plan (16 comments)\n""5 percent match better then most""']"
GWS Advisory,2.0,Luxembourg,DATA ENGINEER H/F,"Afin d’accompagner notre croissance, nous recherchons plusieurs consultants Data Engineers/DBA.
Notre but est de construire une équipe solide et soudée, que nous souhaitons faire évoluer à long terme.
Nous plaçons l’excellence, l’intégrité et l’humain au cœur des services que nous délivrons.

Vos principales responsabilités:
Assister à la réalisation et au suivi des évolutions et nouveaux projets (Microstrategy, PL/SQL, SQL (oracle 12g))
Modéliser de nouveaux projets à venir",,30d+,False,,Company - Private,,,,,,,2.0,2.0,2.0,2.0,4.0,,,,
Dennemeyer,3.2,Luxembourg,Senior Data Engineer (f/m/d),"Team spirit and initiative are your most prominent strengths and you are motivated to develop a long-term career in Intellectual Property, in a multicultural work environment? Apply now!
Your Tasks
Lead a team of 3 Data Engineers and work within a Data Science team
Focus on developing and enhancing a data lake, data warehouse, and SSAS cubes
Investigate OLTP DB to identify required fields needed in reporting, by discussing with application management, key users, or business owners
Define and maintain foreign keys, relationships, and ER-diagrams
Diagnose and offer solutions for upload execution issues",,22d,True,501 to 1000,Company - Private,Legal,1962,Legal,,0.67,0.84,3.0,3.1,3.3,2.8,3.6,"['""Good company for starting IP work, excellent training, big team"" (in 7 reviews)', '""helpful colleagues."" (in 4 reviews)', '""Friendly colleagues, flexible hours, stress free"" (in 5 reviews)']","['""Inadequate training"" (in 7 reviews)', '""Disorganized with bad management."" (in 7 reviews)', '""Toxic work environment, terrible work/life balance expected, inadequate communication from management, and the work itself is basically pointless in the end."" (in 5 reviews)']",5.0,
