Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
VleugelAutomation B.V.,,Opmeer,Engineer Industriële Automatisering,"Bedrijfsomschrijving
VleugelAutomation B.V. ontwikkelt toekomstgerichte software voor de industriële automatisering, waarmee organisaties het verschil maken. Onze specialisten creëren maatwerk oplossingen voor complexe problemen in de breedste zin van het woord. Vakmanschap en innovatie zijn hierbij de kernwaarden.
Vacatureomschrijving
De rol van Engineer Industriële Automatisering
Als engineer binnen het jonge en gedreven team van VleugelAutomation B.V., spreek je de taal van de gebruiker en vertaal je zijn wensen naar heldere software oplossingen. Variërend van een sensor in het veld tot de data uitwisseling met kantoorautomatisering. Je houdt je voornamelijk bezig met procestechniek, maar ook machinebouw komt regelmatig voor. Je deinst niet terug voor nieuwe uitdagingen en bijt je graag vast in complexe materie. Zo sla je samen met enthousiaste collega’s een brug tussen mens en techniek!",,30d+,True,,,,,,,,,,,,,,,,,
Luminis,4.1,Amsterdam,Senior AWS Cloud Engineer,"Als Senior AWS Cloud Engineer ben je verantwoordelijk voor de technische groei van onze diensten en heb je een leidende, coachende rol naar andere collega’s.
Jij onderzoekt, experimenteert en adviseert over de mogelijkheden binnen AWS en bedenkt hoe deze ons kunnen helpen in groei van onze managed services dienstverlening. Daarnaast hou je tijd en ruimte om ook waar nodig technisch bij te springen bij een van onze Cloud projecten.
Als persoon houd je van verdieping en uitdagingen en weet deze (in samenwerking met het team en klanten) om te zetten in praktische oplossingen.
Wat ga je doen?
Dev: wij zijn van oudsher een grote groep software en data engineers en onze zienswijze is dat ‘Cloud is Code’. Nu en in de toekomst. Wij verwachten dan ook ruime ervaring met ‘Infrastructure as Code’ zoals CloudFormation en/of Terraform in combinatie met Python, Typescript (en Bash als het nodig is).",,30d+,True,51 to 200,Company - Private,Information Technology,2002,Information Technology Support Services,,1.0,1.0,3.7,3.3,4.6,3.1,4.5,"['""Fairly Relaxed environment and family feel"" (in 1 reviews)']","['""The pay can be better, sometimes not that interesting assignments."" (in 3 reviews)']",,
Gamebasics Studio - Miniclip NL,,Zoetermeer,Backend Software Engineer C# .NET,"We zijn op zoek naar teamleden die zelfstandig in staat zijn om oplossingen te vinden, lef hebben, resultaatgericht werken en stressbestendig zijn. Je wordt lid van een multidisciplinair team, dus er wordt ook van je verwacht dat je zeer goed kunt samenwerken en oog hebt voor de mensen om je heen. Met creatieve oplossingen lever je een bijdrage aan de beste game-ervaring voor onze miljoenen gebruikers wereldwijd. Je hebt een goede balans tussen precisie en snelheid om oprecht trots te kunnen zijn op de kwaliteit van je werk. Je voelt je verantwoordelijk, maar verliest het proces en onze gebruikers nooit uit het oog.
Naast het uitbreiden van Online Soccer Manager met nieuwe features werk je in een multidisciplinair DevOps-team aan performance optimalisaties, uptime, refactoren van oude code en het wegwerken van bugs. Je werkt met .NET Core aan onze microservice-architectuur die wordt gehost in Kubernetes. RabbitMQ gebruiken we om de microservices onderling te laten communiceren en analytische data naar ons datawarehouse van Google BigQuery te sturen.

Je hebt..",,30d+,True,,,,,,,,,,,,,,,,,
Rheinmetall Defence Nederland B.V.,3.8,Ede,ILS Engineer,"Rheinmetall Defence Nederland B.V. (RD-NL) te Ede is onderdeel van de divisie Vehicle Systems en is een 100% dochter van Rheinmetall Military Vehicles GmbH. In Ede zijn de Nederlandse Militaire voertuigen en systemen ontwikkeld en gebouwd. Naast nieuwe productie en ontwikkeling wordt er ook service en doorontwikkeling gedaan op militaire voertuigen.
Wij zijn ter uitbreiding van ons team op zoek naar een
ILS Engineer
ILS (Integrated Logistic Support) is een geïntegreerd proces om materiaal te ontwerpen en een strategie te ondersteuen om het functionele gebruik van het voertuig te verbeteren, de totale kosten van de levensduur van het voertuig inzichtelijk te maken en te reduceren en de betrouwbaarheid van het voertuig te optimaliseren.",,30d+,True,10000+,Company - Public,Aerospace & Defense,1889,Aerospace & Defense,$1 to $5 billion,0.7,0.72,3.4,4.0,3.5,3.1,3.8,"['""Supportive management"" (in 21 reviews)', '""Great people to work with."" (in 24 reviews)', '""International, diversity culture, great opportunity for growth"" (in 37 reviews)', '""Pay is good and always on time, 9 day fortnight."" (in 20 reviews)', '""Great Work life balance honestly."" (in 20 reviews)']","['""You are seen as a threat to the local management teams yet you inputs were initially invaluable."" (in 21 reviews)', '""Blame culture."" (in 37 reviews)', '""Not enough pay."" (in 20 reviews)', '""Poor work life balance."" (in 20 reviews)']",4.5,
MoneyBird,,Enschede,Growth Engineer,"Moneybird automatiseert de financiële zaken van ondernemerschap, zodat de ondernemer kan bouwen aan een gezond bedrijf.
Boekhouden hoort bij ondernemen. De boekhouding geeft een ondernemer inzicht in de financiën en het is de basis voor een stabiel bedrijf. Toch zien veel ondernemers tegen hun boekhouding op. Met Moneybird hebben wij daar een oplossing voor. Onze software maakt boekhouden makkelijk, slim en leuk. Moneybird is continu in ontwikkeling.
Ook intern vragen we ons altijd af hoe we alles nog beter kunnen maken voor onze medewerkers. We zijn niet voor niets een gecertificeerd Great Place to Work. Werken bij Moneybird is net zo plezierig, doordacht en leerzaam als het product dat we samen bouwen.
Dat we nog niet alle antwoorden hebben weten we, we blijven continu leren. We staan open voor eerlijke feedback, van elkaar en van onze klanten. We geven onze mening met duidelijke argumenten en niet vanuit ons ego. We durven het diepe in te springen, omdat we weten dat we alleen op die manier snel leren.

Recent hebben we onze website vernieuwd en hebben we de Moneybird Betaalrekeningen en Betaalpassen gelanceerd. We staan voor uitdagingen om Moneybird nog verder te laten groeien. Via onze website krijgen we duizenden aanmeldingen per maand, daarnaast is het een bron van informatie voor ondernemers voor het vinden van antwoorden op hun vragen.
Tot op heden werd de ontwikkeling van onze website gedaan door de engineers die ook aan de software van Moneybird bouwen. Om de kansen die we zien te benutten, willen we deze taken nu een permanente invulling geven. Daarom zoeken we nu een Growth Engineer die het marketing-team komt versterken.
In deze functie ben je continu bezig om de Moneybird-website en achterliggende (meet)infrastructuur technisch te optimaliseren! We vragen daarbij een grote mate van zelfstandigheid en ervaring om goede afwegingen en keuzes te maken.
Stel dat je vandaag zou beginnen, dan is dit een greep uit de werkzaamheden (en bijbehorende verwachtingen) die we momenteel hebben:",,23d,False,1 to 50,Company - Private,,,,,,,,,,,,,,,
MedApp,,Eindhoven,Data Engineer,"Wil jij meebouwen aan datastromen tussen diverse systemen, om zo de belangrijkste data van ons bedrijf ‘in sync’ te houden? Sluit je dan aan bij ons team om MedApp naar een hoger niveau te tillen! We gaan namelijk bouwen aan een groot datawarehouse waar data governance en beveiliging centraal staan.
Locatie: Eindhoven (Strijp-S)
Uren per week: 36-40 uur per week
Denk- en werkniveau: HBO of WO en 1+ jaar werkervaring
Wie zijn wij?
In Nederland hebben zo'n 8,5 miljoen mensen een chronische aandoening. Meer dan 2 miljoen van hen gebruikt 3 of meer medicijnen per dag. Hier zitten vaak ook zware medicijnen bij. Dat heeft natuurlijk veel impact op hun leven. MedApp wil graag het leven van deze medicijngebruikers makkelijker maken met persoonlijke aandacht en oplossingen. Om dit te realiseren laat MedApp klanten alles rondom hun medicijnen digitaal regelen in één app die is gekoppeld aan onze eigen snelgroeiende apotheek. Letterlijk de apotheek in je broekzak dus, maar dan wel meteen op nationale schaal. Zo verhogen we voor een grote groep mensen therapietrouw, verbeteren we de kwaliteit van leven en dragen we bij aan het in de hand houden van de zorgkosten. Stap voor stap realiseren we onze missie door complex medicijngebruik makkelijker te maken.",,30d+,True,,,,,,,,,,,,,,,,,
Luchtverkeersleider.nl,2.9,Schiphol,Engineer elektrotechniek,"Functie groep
Facilitair
Uren per week
38 uur
De afdeling
De afdeling GSI is verantwoordelijk voor het in stand houden van de gebouwen en bijbehorende infrastructuur én het optimaliseren van de facilitaire dienstverlening naar onze klanten binnen en buiten de LVNL organisatie. Om dit te realiseren is GSI verantwoordelijk voor zowel het ontwerp, het onderhoud, het leveren van facilitaire diensten, als eventuele vervanging van installaties en innovatie. Daarnaast heeft GSI een adviserende en coördinerende betrokkenheid bij veel LVNL projecten. GSI zal zich in de komende tijd verder ontwikkelen als partner van de bedrijfsonderdelen en in haar regievoering op leveranciers om de overeengekomen resultaten te garanderen",,30d+,False,201 to 500,Company - Private,,1923,,,0.33,,3.3,3.8,2.3,2.4,3.0,['No Pros have been reported by the Glassdoor community.'],"['""Slecht management"" (in 1 reviews)']",,
Data Access Europe,3.6,Hengelo,C/C++ Software Engineer,"Ben jij een Software Developer die zichzelf verder wil ontwikkelen? Wil je andere technieken en concepten verkennen en de tijd krijgen om je daar verder in te verdiepen? En daarnaast leren van collega’s in een internationale werkomgeving?
Als je bij ons start beginnen we met een maatwerk opleidingstraject. Hoe dit opleidingstraject er exact uit komt te zien is afhankelijk van waarin je je wilt verdiepen en welke technische basis je al hebt. Je krijgt als Software Engineer de mogelijkheid dingen uit te proberen, te experimenteren, waarbij je de hulp krijgt van senior engineers. Daarnaast ga je het geleerde in de praktijk brengen.
Dit kan bijvoorbeeld zijn op het gebied van Research & Development. Bij Data Access werken we namelijk met onze eigen software genaamd DataFlex welke in een internationaal ontwikkelteam continue wordt verbeterd, getest en geïmplementeerd.
Kortom jij:",,8d,True,,Company - Private,,,,,1.0,,3.8,3.8,4.1,5.0,4.2,['No Pros have been reported by the Glassdoor community.'],"['""less training period.. Provide proper training for new joiner"" (in 1 reviews)']",,
Rometron BV / www.rometron.nl,,Steenderen,Vacature Engineer Industriële Automatisering,"Wie zijn wij?
Rometron is een bedrijf dat WEED-IT© ontwikkelt. WEED-IT© is een technologie waarmee het mogelijk is om selectief onkruid in het veld te detecteren en te bestrijden. De ontwikkeling van deze onkruidbestrijdingsmachines stamt al uit 1999 en is ontstaan vanuit een onderzoeksproject in samenspraak met de Wageningen Universiteit. Oorspronkelijk is de machine ontwikkeld om onkruid te bestrijden in het publieke domein zoals stoepen, straten en pleinen.
Sinds 2015 is het bedrijf zich volledig gaan toeleggen op de landbouw en dan met name op de grote (internationale) velden, omdat daar veel kosten op bestrijdingsmiddelen kunnen worden bespaard. Op dit moment zijn we vooral actief in Brazilië, Argentinië, Australië en Noord Amerika. Zowel de hard- als de software voor WEED-IT© worden in Nederland geproduceerd en geassembleerd.",,18d,True,,,,,,,,,,,,,,,,,
STT Products bv,,Tolbert,Software Engineer Industriële Automatisering,"Software Engineer Industriële Automatisering
Vind jij het leuk om fijnmechanische, complexe machines in beweging te krijgen? En wil jij werken aan unieke projecten in de hightech machinebouw? Dan zoeken wij jou! Bij ons vind je uitdaging én vrijheid in je werk. Samen met een groep leuke collega’s bouwen we de mooiste machines.
Wat zijn jouw taken?
Als Software Engineer Industriële Automatisering verzorg je de besturingstechnische kant van de machines die wij ontwikkelen.
In overleg met de projectleider en de klant stel je de eisen en wensen vast. Vervolgens zoek jij uit welke besturingscomponenten hiervoor nodig zijn en teken jij of je collega het elektrisch schema.",,30d+,True,,,,,,,,,,,,,,,,,
