Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Fichtner GmbH & Co. KG,3.8,Madrid,Project Manager / Engineer Smart Cities & Smart Grids (m/f/x),"About Us
With over 2.000 employees, Fichtner is Germany’s leading independent planning and consultancy enterprise. We are global players and tackle challenging projects in more than 100 countries. Among our clients are companies from the sectors of central utility supplies and waste management, international development and commercial banks, investors, public administrations, and energy-intensive industrial enterprises. We offer our clients a unique combination of engineering consultancy with classical management consultancy.
We are looking to fill a permanent position at our new Madrid office as soon as possible with a long-term oriented and highly motivated",,15d,False,1001 to 5000,Company - Private,Management & Consulting,,Business Consulting,$100 to $500 million,0.78,0.99,3.4,3.7,3.5,3.5,3.6,"['""busy environment to work in"" (in 4 reviews)', '""People are helpful and the surpervisors always provide good guidance."" (in 4 reviews)', '""Good Salary receiving on monthly basis."" (in 2 reviews)', '""Communication, support, teamwork, evolvement, and international exposure."" (in 2 reviews)']","['""here people do work very well."" (in 4 reviews)', '""Comparing to other companies, this salary is a bit low."" (in 2 reviews)', '""Sometimes busy schedule but that wasn\'t an issue for me"" (in 2 reviews)']",,
Symanto Research GmbH,,Spain,Research Engineer (m/f/x/d),"Research Engineer (m/f/x/d)
Do you like Natural Language Processing (NLP)? Do you enjoy solving scientific problems? Are you passionate about creating and deploying deep learning models using cutting edge technology?
We are currently looking for a Research Engineer (m/f/x/d) for our Research team in Valencia (Spain). In this position, you will play a key role in the team and will have the opportunity to participate in innovative projects in different NLP areas: opinion mining, low-resource NLP, generative information extraction, author profiling, relation extraction, etc.
Your work will attempt to improve the company's products and be aligned to customers’ needs. However, at Symanto we will also encourage you to explore new research ideas and to publish in blogs, forums, reputable research conferences and journals.?",,24h,True,,,,,,,,,,,,,,,,,
DerbySoft,4.0,Barcelona,Technical Service Engineer,"Job Title: Technical Service Engineer
Location: Barcelona, Spain
Supervisor Title: Manager, Technical Services
*
What is Derbysoft?*
Founded in 2002, DerbySoft is a technology company whose mission is to make the travel business easier through industry leading technology that empowers travel industry services. The company supports technology for Connectivity Services at the CRS and PMS levels, Marketing Services which uses machine learning and rich data to drive high-performing marketing campaigns and a Content platform that collects, manages and distributes quality hotel content. DerbySoft’s technology empowers the travel industry around the globe. Headquartered in Dallas, Texas, USA and with offices in Barcelona, Tokyo and Shanghai, DerbySoft serves partners in 197 countries around the world.",,30d+,True,201 to 500,Company - Private,Information Technology,2002,Information Technology Support Services,Less than $1 million,0.8,,3.8,3.9,3.8,3.8,4.3,"['""PTO, Good work life balance,"" (in 6 reviews)', '""Company culture is nice."" (in 6 reviews)', '""Great people"" (in 3 reviews)', '""Great benefits"" (in 1 reviews)']","['""Work life balance is the least priority"" (in 6 reviews)', '""Low pay"" (in 1 reviews)']",3.5,
Ansys,4.3,Madrid,Sales & Order Operations Specialist,"Ansys is the global leader in engineering simulation, helping the world's most innovative companies deliver radically better products to their customers. By offering the best and broadest portfolio of engineering simulation software, Ansys helps companies solve the most complex design challenges and engineer products limited only by imagination.

The Sales & Order Operations Specialist I is an integral member of the team, responsible for managing the end to end process for renewal and new sales, performing duties for department managers, partnering with an assigned team of account managers to support sales cycle and business objectives, and acts as primary point of contact for internal and external customers. Requires knowledge and accurate execution of company policies and procedures..",,4d,False,1001 to 5000,Company - Public,Information Technology,1970,Computer Hardware Development,$1 to $5 billion,0.88,0.98,3.9,3.9,4.3,4.0,4.3,"['""Good work life balance and learn simulation if you want"" (in 86 reviews)', '""Good salary and definitely improve your skills level"" (in 103 reviews)', '""Great people to work with"" (in 119 reviews)', '""Good management"" (in 54 reviews)', '""Good work culture"" (in 73 reviews)']","['""Inconsistent work/life balance depending on team."" (in 86 reviews)', '""Low salary compared to other IT companies."" (in 103 reviews)', '""Very flexible, good people to work with."" (in 119 reviews)', '""management is better so no disadvantages i found till"" (in 54 reviews)', '""Lazy and under motivated work culture."" (in 73 reviews)']",3.9,"['Health Insurance (26 comments)\n""All offerings as expected - but expensive""', '401K Plan (10 comments)\n""Better than most and good matching""', 'Vacation & Paid Time Off (9 comments)\n""Sufficient time off days and vacation""']"
Fluidra Spain,3.6,,Data DevOps,"Data DevOps

Fluidra, a multinational group listed on the Spanish Stock Exchange, is the global leader in the pool and wellness industry. Founded in 1969, Fluidra has long-standing experience in developing innovative products and services in the global residential and commercial pool market.
Fluidra has a clear mission: to create the perfect pool and wellness experience responsibly.
We are looking for a Data DevOps to join our Data Team in Sant Cugat del Valles.
The Data DevOps is a brand new role in our Data team which is pivotal to supporting the execution of our data transformation strategy at Fluidra. This role will provide you with the opportunity to embed best practice into the DevOps world whilst guiding a team on modern DevOps and Agile frameworks to help us revolutionise the way we deliver new technology.",,30d+,False,5001 to 10000,Company - Public,Manufacturing,1969,Consumer Product Manufacturing,$500 million to $1 billion,0.58,1.0,3.2,2.9,3.6,3.2,3.9,"['""Constantly supported from management and the team you work with regionally."" (in 7 reviews)', '""Great culture."" (in 5 reviews)', '""Great colleagues and healthy work environment"" (in 4 reviews)']","['""Management don’t follow business values"" (in 7 reviews)', '""Culture is not where it should be."" (in 5 reviews)', '""Training is not structured and expected to go boots and all when the knowledge is not quite there and if you want to be yelled at and made look like a fool when asked to do something then go for it and be told its wrong and be nice to their face and back stab them behind their back"" (in 6 reviews)', '""The company is overly restrictive with yearly budget approvals, even amidst record growth."" (in 6 reviews)']",,
Michael Page,4.3,Spain,"Data Engineer, Asturias","Data Engineer en Asturias.
Perfil buscado (Hombre/Mujer)

The Data Engineer will join the fast-growing analytics team and will have a high impact on a strategic digital transformation initiative with opportunities for career advancement as the team grows.

Analytics team uses the Azure Data Lake and Microsoft Power BI to provide analytics solutions and business data insights to a wide range of functions including sales supply chain operations and finance. As a specialist in our team you will be responsible for expanding this service and ensuring its continuing reliability and performance by leading initiatives to connect new data sources enhance existing data sources and manage intersections with external teams and processes.

Position activities include
Interface with enterprise architects to facilitate architecture security reviews for analytics applications
Provide administrative support for services related to analytics platforms including
Azure Data Factory
Azure Data Lake
Databricks
SQL Server
Ensure that applications have appropriate security models designed and applied
Maintain the Lakehouse architecture in ADLS using Databricks
Work with DevOps team to deploy solutions in production environments
Lead projects that include other team members and participate in projects led by other team members
Collaborate with team members across the world to share key learnings leverage ideas and solutions and to propagate best practices
Apply change management tools including training communication and documentation to manage upgrades changes and data migrations
Analyze and resolve issues and work with service providers to minimize the risk of recurrence

Multinational Company belongs to the Science and Innovation environment Data Engineer (Azure Databricks-Azure Data factory)

The Data Engineer to be qualified for this role must possess the following
Bachelors Degree in math science engineering IT or related area
4-7 years of relevant IT experience (Data Analytics Data Engineering)
Strong communication skills in English language (both written and spoken)
Ability to influence stakeholders and work closely with them
Ability to coordinate with various teams across different functions
Ability to work independently with minimal guidance as well as guide other team members
Ability to be an effective team member with remote colleagues spread across the world
Exceptional analytical and conceptual thinking skills
Experience with Azure platform (incl. ADF and ADLS)
Extensive experience in data concepts and tools
Preference will be given to candidates with these skills
Delta lake and Lakehouse architecture
Pandas and PySpark
Exposure to DevOps workflows
SQL

Multinational Company belongs to the Science and Innovation environment

Interesting professional opportunity based in Asturias.

Hybrid model

Azure Data,Databricks,SQL Server",,19d,False,201 to 500,Company - Private,Management & Consulting,,Security & Protective,,0.63,0.93,3.7,3.7,3.5,3.3,3.4,"['""Colleagues were friendly and good bonus"" (in 3 reviews)', '""Brilliant Training, Offered a great understanding of recruitment"" (in 5 reviews)', '""Excellent training, great people, fun team socials, clear career progression, nice office"" (in 3 reviews)', '""Great team culture"" (in 2 reviews)']","['""Bonuses aren\'t as competitive, some politics, can get a bit monotonous, high staff turnover"" (in 3 reviews)', '""level managers are quite toxic, meaning large turnover of staff."" (in 2 reviews)']",,
Mitsubishi Power Europe Ltd,3.2,Madrid,Customer Support Engineer - Madrid,"The vacancy
Working closely with the engineering team leader, this person will be responsible among other tasks for providing daily technical assistance to our customers, solutions to various technical matters and support during maintenance activities planning and execution phases.
Customer Support Engineering team supports the operation and maintenance of OEM Gas Turbines, Steam Turbines, Generators, Control Systems, and Auxiliary Systems. The team is dedicated for engineering support during scheduled/forced outage, during operation as well as for new business development or existing business expansion while working closely with programme management, commercial and tendering team. The team is also engaged with customers to ensure reliability, availability and safety of the operating assets.",,30d+,True,501 to 1000,,"Energy, Mining & Utilities",2014,Energy & Utilities,$100 to $500 million,0.55,,3.0,3.4,3.3,2.8,2.7,"['""Strong Leadership"" (in 1 reviews)', '""Pay, bonus and hours are great."" (in 2 reviews)', '""A lot of colleagues have been here for 5+ years, everyone is helpful and approachable."" (in 2 reviews)']","['""Over the last year the company has become a very toxic place and so many people have left feeling unvalued, unwanted and completely lost with any ethos it once had."" (in 2 reviews)', '""Communication from CEO on company updates are needed Some benefits could be better, private healthcare included is great but overall room for improvement"" (in 1 reviews)']",,
Michael Page,4.3,Barcelona,"Field Service Engineer, Barcelona","Field Service Engineer en Barcelona.
Perfil buscado (Hombre/Mujer)

The Field Service Engineer will have the following responsibilities
Install (mechanical cabling) configure and start-up (commissioning) equipment at customer site as per pre-defined specifications.
Maintain adjust and replace on site devices of existing customer systems.
Follow rigorously safety and security on site company procedures.
Escalate to upper technical level problems that cant be solved independently.
Issue timely and accurate service reports (including expenses report).
Extend or help building a respectful relationship with customer by always adopting an exemplary attitude.

Multinational company leader in automatic data capture and process automation Project with high impact in the company and visibility

The Field Service Engineer must meet the following requirements
Associate or Bachelor degree in a technical field such as electronics networking
Fluent in Spanish and English Intermediate level.
2/3 years of experience on Field Service Activities in automation or other similar market with Electrical and Electronical devices.
Electrical Schematics reading.
Troubleshooting and diagnostic experience of hardware and software
Remote PC diagnostic and remedy support.
Good understanding of computer networks.
PLC communications experience Device-net Profinet Profibus.
Experience working with auto ID products.
Proficient in Microsoft Office Software (MS Dynamics is a plus).
Good communication and interpersonal skills.
Ability to travel domestic and UE (mainly Spain) extensively (up to 85 of time)
Willing to work during alternative work schedules such as weekend and/or overnight.

Multinational company leader in the automatic data capture and process automation markets specialised in the designing and production of bar code readers mobile computers sensors for detection measurement and safety RFID vision and laser marking systems is looking for a Field Service Engineer located in Barcelona.

Career opportunities and professional development.

Salary according to market.

Fixed contract.#LI-DNP

electronic,networks",,14d,False,201 to 500,Company - Private,Management & Consulting,,Security & Protective,,0.63,0.93,3.7,3.7,3.5,3.3,3.4,"['""Colleagues were friendly and good bonus"" (in 3 reviews)', '""Brilliant Training, Offered a great understanding of recruitment"" (in 5 reviews)', '""Excellent training, great people, fun team socials, clear career progression, nice office"" (in 3 reviews)', '""Great team culture"" (in 2 reviews)']","['""Bonuses aren\'t as competitive, some politics, can get a bit monotonous, high staff turnover"" (in 3 reviews)', '""level managers are quite toxic, meaning large turnover of staff."" (in 2 reviews)']",,
Electronic Arts,4.1,Madrid,Data Engineer Intern,"We are EA
EA inspires the world to play, and the Worldwide Localization Team makes that happen! We are accountable for delivering the high-quality localized versions of our titles to over 30 countries around the world. You will find a vibrant, multicultural environment with a great mixture of professionals. From software engineers, project managers, testers to audio, text and linguistic specialists, each employee has an important role to play. EA has built a cutting-edge Localization powerhouse that covers the needs for both current and next-generation platform.
We are hiring a Data Engineering Intern for our Localization Data & AI team. Loc Data & AI ́s mission is to support and foster the use of data from all perspectives, along with the development of policies and procedures for the monitoring and active management of data in EA Localization. And our means include building data engineering products and solutions, such as integrating data from various sources such as APIs, databases, and file systems.
This includes an understanding of data extraction, transformation, and loading (ETL) techniques.







We are a global team of creators, storytellers, technologists, experience originators, innovators and so much more. We believe amazing games and experiences start with teams as diverse as the players and communities we serve. At Electronic Arts, the only limit is your imagination.",,2d,False,10000+,Company - Public,Media & Communication,1982,Video Game Publishing,$5 to $10 billion,0.85,0.85,3.8,3.8,4.1,3.6,4.0,"['""The people you work with 60% are nice and the only pro there is at EA"" (in 173 reviews)', '""Good Salary, excellent Work"" (in 165 reviews)', '""They do give you really good benefits and the work isn\'t boring."" (in 77 reviews)', '""Work life balance is good"" (in 76 reviews)', '""Good management"" (in 78 reviews)']","['""Upper management does not seem to really care about the people working there."" (in 173 reviews)', '""Low salary and no part time option"" (in 165 reviews)', '""Barely any benefits at all"" (in 77 reviews)', '""work/life balance is bad"" (in 76 reviews)', '""bad management"" (in 78 reviews)']",4.4,"['Health Insurance (52 comments)\n""Several options for health insurance""', 'Employee Discount (44 comments)\n""Lots of great partner discounts but also free games every year.""', '401K Plan (35 comments)\n""Pretty standard matching system to most companies.""']"
nVent,3.8,Trabajo en remoto,M3 Functional Analyst (Remote Role),"We’re looking for people who put their innovation work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
In This Position, You Will Get To
· Be part of an internal ERP modernization team that is currently deploying Infor’s M3 Cloud Edition platform globally
· Participate in global ERP implementation projects working closely with cross-functional business teams
· Act as a process expert and be a bridge between Infor’s M3 functionalities and nVent’s business processes",,30d+,True,10000+,Company - Public,Manufacturing,2018,Electronics Manufacturing,$1 to $5 billion,0.72,0.88,3.6,3.5,3.8,3.5,3.8,"['""Good people"" (in 2 reviews)', '""the company did provide some sort of flexibility within means"" (in 1 reviews)', '""Friendly environment to work"" (in 1 reviews)']","['""Also poor PTO and benefits available, though they say they are working to improve."" (in 1 reviews)', '""Lots of turn over and changing minds from the leadership who are leaning more and more towards being back in the office full time even if it’s made employees less productive."" (in 1 reviews)']",4.4,"['401K Plan (6 comments)\n""100% match up to 5%""', 'Health Insurance (5 comments)\n""Several options to best suit your needs""', 'Maternity & Paternity Leave (3 comments)\n""benefits for mothers and faterhs""']"
