Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Riverty Group GmbH,4.0,Stockholm,Data Governance Engineer (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

Riverty offers customers payment solutions that make everyday life simpler!

Our solutions contribute to a flexible and customer-friendly payment alternative, offering customers (m/f/d) the opportunity to choose when and how they want to pay for a purchase. Delivering a trustworthy and positive shopping experience, both for retailers and end customers makes us proud but not content. Our ambition is higher and now we have a great opportunity for a Data Governance Engineer (m/f/d) to join our growing team.",,30d+,False,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.76,1.0,3.7,3.2,3.9,3.5,4.0,"['""Good enough benefits and salary."" (in 4 reviews)', '""Easy life, No pressure, Flexible times, Lovely Place to Work"" (in 2 reviews)', '""nice environment, competitive salary, benefits, chance to improve yourself technically"" (in 1 reviews)']","['""The salary is a little bit less than in the IT industry."" (in 4 reviews)', '""too much bureaucracy, lazy people, too much things to fix"" (in 3 reviews)', '""Each team member is located different country, which means it may take time to get used to the environments and domains."" (in 5 reviews)']",4.0,
HCL Tech,,Gothenburg,Network Data Engineer,"As a Network Engineer you will work with architecture, planning, implementation, troubleshooting and issue resolution of existing and future network infrastructures to deliver best-in-class network performance. The infrastructure includes network CISCO-ACI, LAN/WAN (switches, routers)/ CISCO Nexus.
Your Responsibilities
Data Center hands-on work (installation, configuration, commissioning and decommissioning)
Provide engineering support to manage the network infrastructure including technical requirements, analysis and implementation of DC-LAN, LAN.
Install, configure, administer and maintain all Cisco Network switches and routers.",,12d,True,,,,,,,,,,,,,,,,,
Riverty Services GmbH,4.0,Stockholm,Process Manager (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

We are looking for a
Process Manager (Personal Finance) (m/f/d)
(unlimited, full-time) Choose one of our locations globally, with 80% Mobile Office: Verl, Baden-Baden, Berlin, Amsterdam, Wien, Stockholm or Glasgow",,30d+,False,5001 to 10000,Company - Private,Financial Services,1961,Financial Transaction Processing,,0.76,1.0,3.7,3.2,3.9,3.5,4.0,"['""Good colleagues and overall atmosphere"" (in 1 reviews)']","['""New strategy process is taking ages and people are in limbo"" (in 1 reviews)']",4.0,
Siemens Energy,4.1,Finspång,Datadriven Sälj- & Verksamhetsplanerare,"Experienced Professional
Datadriven Sälj- & verksamhetsplanerare
En ögonblicksbild av din dag
Vill du arbeta med att lyfta värdet av vår data för att strategiskt styra och förbättra vår verksamhetsplanering?
Som sälj- och verksamhetsplanerare sitter vi mitt i verksamheten och fångar upp vår strategiska riktning och gemensamma bild genom bra prognoser till verksamheten. Våra gränssnitt är många och vi arbetar ständigt med att bli bättre för att vara väl utrustande inför våra kunders ökade förväntningar.
Vi optimerar tillgänglighet genom att säkra information för verksamheten att agera på. Vi arbetar målmedvetet med att stödja Siemens Energys mål mot att bli ett mer datadrivet företag.",,13d,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Volvo GTT,,Gothenburg,Battery Module Safety Engineer,"Battery Module Safety Engineer
In this position, you will be part of the ESS team, an organization dedicated to technology as well as empowering and developing our employees. We always use customer satisfaction as the ultimate performance measurement.
You will be part of an agile and approachable organization with skilled teams consisting of passionate people. We work in an optimistic atmosphere, where joy, knowledge sharing, and openness are key characteristics. With us, you will have a diverse, friendly and open-minded team on your side, always providing you with the help needed to manage tasks you cannot imagine today.",,2d,False,,,,,,,,,,,,,,,,,
Experis,4.1,Stockholm,Data Engineer | Sjunde AP-fonden | Stockholm,"Vi förvaltar i dagsläget 1000 miljarder och med detta ökar komplexiteten i förvaltningen och mängden data vi behöver analysera. Vi ser därför stora fördelar med att kunna centralisera data för effektiv analys och rapportering. AP7 har nu tagit ett strategiskt beslut att satsa på utveckling av en ny cloudbaserad dataplattform byggd på moderna teknologier.
Vi söker en driven och engagerad Data Enigneer som vill ta en ledande roll i arbetat med att bygga upp och hantera AP7s nya dataplattform och datawarehouse.
Som Data Engineer har du en central roll i både utveckling och förvaltning av den nya dataplattformen och de lösningar som byggs ovanpå. Rollen innebär ett nära samarbete med olika delar av verksamheten för att fånga krav och behov samt diskutera olika möjligheter och lösningar. Här ingår även att säkerställa våra högt ställda krav på dataintegritet och datakvalitet.",,30d+,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""Pay is good and I feel comfortable talking with the staff about any issue"" (in 540 reviews)', '""Great people and they actually care about you and not to just get you a job."" (in 419 reviews)', '""Good management"" (in 242 reviews)', '""Great experience and benefits for you"" (in 204 reviews)', '""good communication and fast communication"" (in 282 reviews)']","['""The pay was low for the contracted job"" (in 540 reviews)', '""Nothing bad all good great people"" (in 419 reviews)', '""Shifts may change even once been confirmed, some routes and deadlines unrealistic, some depots poor management."" (in 242 reviews)', '""No benefits to speak of"" (in 204 reviews)', '""No communication, they do not have contractors backs"" (in 282 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
Volvo GTT,,Gothenburg,System Engineer within Energy Storage System at Electromobility,"Take the opportunity to join the exciting change journey Electromobility is embarking, when creating the future electric powertrains for our customers as well as the future working place to nurture innovation. Electromobility is one of the main development areas within Volvo Group Truck and was created to be in the forefront of electrified transport solutions for a more sustainable tomorrow.
Are you a System engineer with an analytic mindset and a passion for working with quality in the state-of-the art battery development area? Join us now!

This is us, your new colleagues at Electromobility
We are responsible for the transition from conventional powertrains to electromobility and to secure a stepwise implementation in different segments/regions. We develop and drive the electromobility product portfolio for Trucks and Buses as well as creating opportunities for all business areas within Volvo Group. Electromobility is a growing agile driven organization in place to shape the future!
The importance of electromobility is growing every day and a key component within the electrified powertrain is the Energy Storage System (ESS). We are accountable for the lifecycle management of the Energy Storage System, from advanced engineering, throughout product development into the maintenance phase.
You will be part of an agile and approachable organization with skilled product teams consisting of passionate people. We work in an optimistic atmosphere, where joy, knowledge sharing, and openness are key characteristics, working with tasks you cannot imagine today.


You will be part of the Product management team for Medium Range Energy Storage Systems as part of the product development area. We are expanding and are recruiting a System engineer with a customer-centric approach responsible for product and field quality. You will have an important role for the quality of the products and understanding how the battery systems are applied by our customers. You will be involved in technical decisions towards projects and suppliers, making sure that we continuously improve the quality.


We believe that to be successful in this position, you will have the System engineering view on quality for trucks that are in production and aftermarket, always with the customer in focus. You need a good understanding of the applications and how the battery packs are used and applied. You have an analytic- mindset and putting pride in delivering high quality products and solutions. Confident in leading system solution towards suppliers and product teams. We also believe that you feel comfortable of owning and taking responsibility of your system and quality and do so with great attitude.",,7d,False,,,,,,,,,,,,,,,,,
Needo,,Gothenburg,Data Engineer to Avinode!,"Are you a skilled Data Engineer and like working in agile cross functional teams? Are you creative and communicative by default? Do you have an interest in automating processes? Then this might be the role for you!
About Avinode
“Avinode was created back in 2002 to answer a straightforward problem: operators had empty planes and brokers had clients that wanted to fly. And yet there was no real-time online marketplace where these two groups could explore and buy each other’s services. Avinode revolutionized the industry by bringing it online. It is now the go-to platform to buy and sell charter online. Every year, Avinode processes around 4.5 million trip searches and 6 million trip requests. We are also at the technological forefront of the shift to the online booking of private air charter. The web apps and APIs implemented by our customers see around 2 million searches per year – and growing.” – Avinode",,24h,False,,Company - Private,,,,,,,,,,,,,,,
Qrios,,Sollentuna,BI & Data Analytics Manager,"The position
Envirotainer was founded in 1985 and currently has a fleet of more than 6,000 active airfreight containers that ensure that temperature-sensitive pharmaceuticals can be delivered from where they are produced to the patient safely. Every day, millions of doses of pharmaceuticals from all types of pharmaceutical manufacturers worldwide are successfully shipped in their containers. Due to continued strong growth, we are now looking for a BI & Data Analytics Manager to join the Envirotainer IT Architecture & Data Analytics team.
Your primary focus will be to manage the BI & Data Analytics domain from an IT perspective. This includes managing and developing new and existing data platforms and tools that provides the business with data, tools, and capabilities to analyze data and produce business reports, dashboards, and analytical insights needed for data driven decisions and formal reporting.",,30d+,False,1 to 50,Company - Private,,,,,,,,,,,,,,,
Coody.io,,Stockholm,Data Engineer,"Coody is changing the consulting industry with a new model designed to benefit the individual, not the consulting company. We do this by combining the benefits of being a freelancer with the security of a traditional employment.

This means that we pay the best salary in the industry, provide fantastic benefits while at the same time being a secure workplace with a fixed monthly salary, stable employment terms and above all - a wonderful community and really good exchange of knowledge.

Why chose when you can have both?

We have simply stripped away all unnecessary overhead between yourself and the company to be able to offer you a platform that will help you achieve your priorities in life and at the same time work on meaningful projects for some of the country's most exciting digital leaders.

(We do work for companies such as Spotify, Mathem, Hemnet, Bokio, Polestar, Tobii and others).

WE ARE HIRING DATA ENGINEERS TO BE PART OF CHANGING THE WORLD OF CONSULTING TOGETHER WITH COODY AND OUR CLIENTS!

What we look for

We are looking for data engineer to work together with our exciting clients who are leading products companies, startups and scaleups. You’ll work as an integral part of our clients team to solve complex technical challenges in modern cloud environments.

In addition to this, you are interested in handling larger amounts of data and have worked as a Data Engineer or a similar role before where development has been in focus. When working as a consultant with Coody it’s crucial that you are communicative and can work well with others.

Your background

What we offer

We offer you an opportunity to work with exciting challenges and projects in modern cloud environments where you will work with developers and data scientists.

At your service is an experienced sales-team with best-in-industry tools and the right network to find you the perfect assignment and give you the best time of your career!

You will focus on working on longer assignments for between 6 months to 3 years, that will both challenge your knowledge and give you the best possible use of your skill set. You will work as an integral part of the client’s organization, remote or on-site. We do not work with customers in morally dubious industries.

We have a limit on quarterly hires - so don’t wait. Send us your application and get in contact with us in a blink of an eye!",,30d+,False,,Company - Public,,,,,,,,,,,,,,,
