Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Emirates Airline,4.1,Turkey,Senior Quality Assurance Engineer,"ENTER THE WORLD OF AVIATION TECH
Join the Emirates Group IT Team in Dubai
At Emirates, we know that tech never stands still. Which is why we’re at the forefront of innovation in the aviation world. We are looking for the best IT professionals to help ensure we stay cutting-edge. So bring your talent to the world’s largest international airline and join our IT team as a Senior Quality Assurance Engineer.
What We Offer
This is your chance to work on challenging projects across different brands and businesses within the Emirates Group’s global portfolio.",,2d,False,10000+,Subsidiary or Business Segment,Transportation & Logistics,1985,"Airlines, Airports & Air Transportation",$10+ billion,0.79,0.88,3.5,3.9,3.7,3.3,3.4,"['""Good salary no tax"" (in 598 reviews)', '""Good benefit and a fun workplace"" (in 699 reviews)', '""Management is good"" (in 263 reviews)', '""Flexible hours"" (in 418 reviews)', '""Great colleagues to work with you"" (in 214 reviews)']","['""Low Salary and No promotion"" (in 598 reviews)', '""No benefits for contractor."" (in 699 reviews)', '""Poor management and micromanaging due to lack of centrality."" (in 263 reviews)', '""Long hours not personal life"" (in 418 reviews)', '""You always fly with different colleagues"" (in 214 reviews)']",4.5,"['Health Insurance (5 comments)\n""Usually worka with f pay and claim""', 'Vacation & Paid Time Off (5 comments)\n""Not enough days during the year""', 'Employee Discount (4 comments)\n""Many discounts across different lifestyle outlets.""']"
Emirates Airline,4.1,Turkey,Lead Quality Assurance Engineer,"ENTER THE WORLD OF AVIATION TECH
Join the Emirates Group IT Team in Dubai
At Emirates, we know that tech never stands still. Which is why we’re at the forefront of innovation in the aviation world. We are looking for the best IT professionals to help ensure we stay cutting-edge. So bring your talent to the world’s largest international airline and join our IT team as a Lead Quality Assurance Engineer.
What We Offer
This is your chance to work on challenging projects across different brands and businesses within the Emirates Group’s global portfolio.",,1 day ago,False,10000+,Subsidiary or Business Segment,Transportation & Logistics,1985,"Airlines, Airports & Air Transportation",$10+ billion,0.79,0.88,3.5,3.9,3.7,3.3,3.4,"['""Good salary no tax"" (in 598 reviews)', '""Good benefit and a fun workplace"" (in 699 reviews)', '""Management is good"" (in 263 reviews)', '""Flexible hours"" (in 418 reviews)', '""Great colleagues to work with you"" (in 214 reviews)']","['""Low Salary and No promotion"" (in 598 reviews)', '""No benefits for contractor."" (in 699 reviews)', '""Poor management and micromanaging due to lack of centrality."" (in 263 reviews)', '""Long hours not personal life"" (in 418 reviews)', '""You always fly with different colleagues"" (in 214 reviews)']",4.5,"['Health Insurance (5 comments)\n""Usually worka with f pay and claim""', 'Vacation & Paid Time Off (5 comments)\n""Not enough days during the year""', 'Employee Discount (4 comments)\n""Many discounts across different lifestyle outlets.""']"
ICC Dijital Endüstriyel Teknolojiler Ltd. Şti.,,Istanbul,Satış Mühendisi - OEM & SI - Istanbul Avrupa,"İş Tanımı
İstanbul Avrupa - Trakya bölgesinde geliştirilecek ekibimize katılmak üzere Endüstriyel Bilgisayar ve Scada Yazılımı ürünlerimizin satışını gerçekleştirecek satış mühendisi arayışımız bulunmaktadır.
Endüstriyel Otomasyon, Endüstri 4.0, dijitalizasyon alanlarına ilgi duyan,
Gerektiğinde bölgede teknik destek de verilebileceği için yurtdışı tedarikçilerimiz ile birebir İngilizce görüşme sağlayabilecek arkadaşlar öncelikli kabul edilecektir.
Aranan Nitelikler
Aktif olarak araç kullanan (B sınıfı ehliyet sahibi),",,16d,True,,,,,,,,,,,,,,,,,
AKTAŞ MÜHENDİSLİK LTD.ŞTİ,,Istanbul,HARİTA TEKNİKERİ,"Harita mühendislik şirketimize ,
Arazi ve ofis işlerinde uzun süre birlikte çalışacağımız Bay harita teknikeri alınacaktır.
iş yerimiz İstanbul - Kadıköy dedir. İstanbul dışından yapılan başvurular dikkate alınmayacaktır.
Yeni mezun da (TECRÜBESİZ ) olabilir.
Asgari ücret +sgk+yol+yemek",,4d,True,,,,,,,,,,,,,,,,,
Emirates Airline,4.1,Turkey,Senior Software Engineering,"ENTER THE WORLD OF AVIATION TECH
Join the Emirates Group IT Team in Dubai
At Emirates, we know that tech never stands still. Which is why we’re at the forefront of innovation in the aviation world. We are looking for the best IT professionals to help ensure we stay cutting-edge. So bring your talent to the world’s largest international airline and join our IT team as a Senior Software Engineer.
What We Offer
This is your chance to work on challenging projects across different brands and businesses within the Emirates Group’s global portfolio.",,2d,False,10000+,Subsidiary or Business Segment,Transportation & Logistics,1985,"Airlines, Airports & Air Transportation",$10+ billion,0.79,0.88,3.5,3.9,3.7,3.3,3.4,"['""Good salary no tax"" (in 598 reviews)', '""Good benefit and a fun workplace"" (in 699 reviews)', '""Management is good"" (in 263 reviews)', '""Flexible hours"" (in 418 reviews)', '""Great colleagues to work with you"" (in 214 reviews)']","['""Low Salary and No promotion"" (in 598 reviews)', '""No benefits for contractor."" (in 699 reviews)', '""Poor management and micromanaging due to lack of centrality."" (in 263 reviews)', '""Long hours not personal life"" (in 418 reviews)', '""You always fly with different colleagues"" (in 214 reviews)']",4.5,"['Health Insurance (5 comments)\n""Usually worka with f pay and claim""', 'Vacation & Paid Time Off (5 comments)\n""Not enough days during the year""', 'Employee Discount (4 comments)\n""Many discounts across different lifestyle outlets.""']"
Inpsyde GmbH,4.8,Turkey,DevOps Engineer / IT Support (m/w/d) - Remote/(Home) Office,"We are Inpsyde ‒ The biggest WordPress agency in Europe, one of the leading WordPress Agencies in the world, and a Gold Agency Partner of WordPress VIP. With over 120 employees in more than 40 countries, we create sophisticated projects with WordPress and WooCommerce ‒ completely remote!
We are currently looking for a DevOps Engineer (m/w/d) to join our company.
You are a multi-skilled and detail-oriented problem solver with deep knowledge of hosting web applications? You will be part of our growing DevOps team in which new and varied tasks are constantly waiting for you. From planning and delivering our agency hosting infrastructure to collaborate with our developers on imrpoving workflows while being 100% remote. This might be your dream job!
Your responsibilities",,30d+,False,51 to 200,Company - Private,Information Technology,2006,Internet & Web Services,,1.0,1.0,4.5,4.3,4.8,4.7,5.0,"['""Flexible working hours"" (in 5 reviews)', '""Fully remote and has an excellent culture."" (in 4 reviews)', '""Learned a lot while working on interesting, large"" (in 3 reviews)', '""Very interesting projects, experienced colleagues, you can learn a lot."" (in 3 reviews)', '""Public holidays in your country"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Accelleron,4.0,Istanbul,Service Engineer - Turbocharging / Servis Mühendisi - Turbocharging (80-100%),"As a Service Engineer, you will execute service work with low to medium complexity according to work instructions and in accordance with Accelleron standard processes, quality standards, and safety guidelines. Reporting to the Service Coordinator, you will cooperate closely with customers and other Accelleron teams, acting as the technical point while delivering quality and satisfying customer service. In this role, you will be responsible for providing routine maintenance and on-site or remote technical support. The position involves frequent traveling, as you will be providing hands-on assistance at customer sites.
Your responsibilities
Drive customer satisfaction by competent and timely execution of a high-quality level of service jobs on-site and in the workshop.",,30d+,False,10000+,Company - Public,Manufacturing,1883,Electronics Manufacturing,$10+ billion,0.82,0.89,3.7,3.6,3.9,3.5,3.8,"['""Good work life balance and learning"" (in 620 reviews)', '""Good Salary and project exposure"" (in 813 reviews)', '""Benefits are good and in line with other companies"" (in 347 reviews)', '""Good management and get to work remotely"" (in 399 reviews)', '""Good company overall and culture"" (in 602 reviews)']","['""No work life balance and no decent hike"" (in 620 reviews)', '""Low salaries and less organized and no defined responsibilities"" (in 813 reviews)', '""No benefits...compare to other MNCs..in respect to increments..."" (in 347 reviews)', '""poor management and review system"" (in 399 reviews)', '""Bad culture and i didn\'t like the food"" (in 602 reviews)']",3.7,"['Health Insurance (85 comments)\n""best - additional health insurance;""', 'Vacation & Paid Time Off (70 comments)\n""liberal policy for taking time off whenever you need.""', '401K Plan (45 comments)\n""According to Turkey Regulation there are no much""']"
VeloxPartners,,Istanbul,Data Engineer,"We are looking for a Big Data Engineer who will work on the collecting, storing, processing, and analyzing of huge sets of data. The primary focus will be on choosing optimal solutions to use for these purposes, then maintaining, implementing, and monitoring them. You will also be responsible for integrating them with the architecture used across our clients
Responsibilities
Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities
Gather and process raw data at scale (including writing scripts, web scraping, calling APIs, write SQL queries, etc.)
Process unstructured data into a form suitable for analysis and then execute analysis",,30d+,False,,,,,,,,,,,,,,,,,
P.I. Works Inc,3.8,Istanbul,Machine Learning Engineer With Data Science Experience,"P.I. Works is the first company in the world to automate the management of a commercial 5G network.

Our automated network management products and services empower mobile operators to accelerate network transformation and to drive network quality and efficiency on the path to 5G. These solutions have been deployed across more than 67 mobile operators in 47 countries around the world.

Come and join us to work with the leading telecom operators around the world and redefine the mobile experience worldwide leveraged by contemporary, pioneer use-cases based on wide variety of Artificial Intelligence methods such as Statistical Machine Learning, Deep Learning, Big Data Complex Event Processing and to be applied in the Telecommunication industry etc.",,8d,True,201 to 500,Company - Private,Telecommunications,2005,Telecommunications Services,,0.64,0.82,3.5,3.8,4.1,3.5,3.7,"['""Awesome people"" (in 12 reviews)', '""Salary is competitive compared to market"" (in 11 reviews)', '""Remote working options, flexible working hours"" (in 10 reviews)', '""Good communication"" (in 8 reviews)', '""High benefits."" (in 8 reviews)']","['""Average salary compared to other companies."" (in 11 reviews)']",4.0,
Vodafone,4.0,Istanbul,Data Engineer,"Description
Your dream job does exist.
Discover it at Vodafone!


Join our journey as we connect for a better future. Ready?

We are looking for a Data Engineer
First things first: Our Brand.






Here, everyone can feel free to be themselves and express their ideas.",,1 day ago,False,10000+,Company - Public,Telecommunications,1982,"Cable, Internet & Telephone Providers",$10+ billion,0.79,0.89,3.7,3.7,4.0,3.5,3.9,"['""good salary and very helpful"" (in 1865 reviews)', '""Flexible work life balance good"" (in 1304 reviews)', '""Management is good and knowledgeable"" (in 878 reviews)', '""Not hard and good benefits"" (in 743 reviews)', '""IT section of the Company is great and people will love working there"" (in 1129 reviews)']","['""The salary is low and not competitive"" (in 1865 reviews)', '""Too beauracratic and no work life balance"" (in 1304 reviews)', '""Management is poor and not very good"" (in 878 reviews)', '""Nothing, everything is great though benefits are average thought"" (in 743 reviews)', '""Great people and environment!"" (in 1129 reviews)']",4.2,"['Maternity & Paternity Leave (14 comments)\n""They allow paid maternity and paternity leave""', 'Vacation & Paid Time Off (14 comments)\n""You get all your off days and if you wish to work at any holiday or off day you will get it double paid which is cool, and it is optional not obligatory""', 'Health Insurance (5 comments)\n""The medical insurance company they deal with with is great""']"
