Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
"Lakeshore Learning Materials, LLC",4.1,"Long Beach, CA",Junior Data Engineer (Remote),"Company Description

At Lakeshore, we create innovative learning materials and world-class guest experiences for teachers, parents and children. Since 1954, we’ve grown into a global community—with a thriving e-commerce business, multiple catalogs, 60+ retail stores, a peerless national sales force, plus international offices that support our preeminent supply chain division. But today we’re working better, smarter and faster than ever—and setting our sights even higher. We’re building an infrastructure designed for scalability, embracing data-driven decision-making and using technology to improve efficiency and ensure the best tools for the best work. Most importantly, we continue to invest in a diverse team of inquisitive top talent who fuel each other’s passions and curiosity, take risks, try new things, and believe that every new day brings opportunities for growth.",24h,True,$27.00 - $31.00 Per Hour(Employer est.),1001 to 5000,Company - Private,Retail & Wholesale,1954,Other Retail Stores,$500 million to $1 billion,0.78,0.98,3.8,3.7,4.1,3.8,4.1,"['""Good work environment growth and work life balance"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.0,"['Employee Discount (14 comments)\n""This company has great employee discount""', 'Health Insurance (6 comments)\n""Health insurance rates have risen over the years but employee cost is still lower than most including several plans to choose from.""', '401K Plan (5 comments)\n""Matching doesn\'t start until 1 year""']"
Wevision LLC,,"Irvine, CA",Data Engineer,"Job description
We build services, data platform and machine learning based optimization engines for every aspect of advertising, including targeting, decisioning, pricing, personalization, inventory forecasting, attribution and full-funnel measurements. Our tenant is a strong tech team to deliver E2E solutions covering tech areas ranging from research, bigdata, microservices to data applications with front-end tools. Our team is seeking a software developer who will be an outstanding addition and will be responsible for development of high-available and high-concurrent backend services or data solutions. The right person for this role should have experience on either full stack components, or microservices or bigdata platforms. If you are someone who is proactive, hardworking, and enthusiastic in either these domains, this is a phenomenal role for you!
WHAT YOU’LL DO",13d,True,$55.00 - $85.00 Per Hour(Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
Gridiron IT,4.5,"Washington, DC",Data Engineer,"Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.",14d,True,$65.00 - $75.00 Per Hour(Employer est.),51 to 200,Company - Private,Information Technology,2017,Information Technology Support Services,,0.87,0.86,4.5,4.3,4.4,4.3,4.7,"['""Their recruiters are very professional and were always accessible if I needed further assistance during the hiring process."" (in 4 reviews)', '""Very nice and competent team."" (in 3 reviews)', '""Plenty of opportunity to make money"" (in 1 reviews)', '""Very good salary."" (in 1 reviews)']","['""no PTO but understandable because its a contract position"" (in 1 reviews)']",3.7,
zettalogix.Inc,,Remote,Azure Data Engineer,"Azure Data Engineer
Jackson, MS (100% REMOTE)
6+ Months
Job Description:
This position will require qualified T-SQL Developers to take the lead in the following tasks:
Rationalizing and mapping data between transactional and dimensional database
models/systems",2d,True,$50.00 - $55.00 Per Hour(Employer est.),1 to 50,Company - Private,,,,,,,,,,,,,,,
ABN Tech Corp,,Remote,GCP Data Engineer,"GCP Data Engineer
Remote
Skill: GCP, Snowflake
Your Role and Responsibilities Ability to showcase strong data architecture design using GCP data engineering capabilities Client facing role, should have strong communication and presentation skills. What you’ll do: In the Information Age, data is the most valuable resource. If you can describe yourself as the powerful combination of data hacker, analyst, communicator, and advisor, our Data Specialist position is the right one for you. As a savvy liaison for our teams, you will create solutions and provide actionable insights that shape the future of our business. Required Technical and Professional Expertise • Should have minimum of 3+ years of experience in Google Cloud Data Engineering. • Provide technical expertise in the design and development using Google Cloud. • Develops and/or re-engineers highly complex application components, and integrate software packages, programs and reusable objects residing on multiple platforms. • Development experience on Google cloud platform to implement streaming analytics for stream and batch processing • Event-driven cloud platform for cloud services and apps, Data integration for building and managing pipeline, Data warehouse running on serverless infrastructure, Workflow orchestration using Google Cloud Data Engineering Components Dataflow, Cloud Functions, Cloud Composer, Data Fusion, Cloud Run, Big Query, etc., GCP services, GCS. Preferred Technical and Professional Expertise • Google Cloud Data Engineering Components Dataflow, Cloud Functions, Cloud Composer, Data Fusion, Cloud Run, Big Query, etc., GCP services, GCS",24h,True,$60.00 - $65.00 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Sthavirsoft Inc,,"Trenton, NJ",AWS Data Engineer,"AWS Data Engineer
Client: State of New Jersey - DOH
Job ID: 708389
Location: Trenton , NJ
Duration: 1+ years (Multiple Year Contract)
Interview mode: Skype
Note: This will be a hybrid office work environment with a 3 day in office requirement
Job Description",24h,True,$50.00 - $65.00 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Konnectingtree,,Remote,Data Engineer,"Greetings from KonnectingTree!
We are looking for a Data Engineer for one of our clients. This is a remote position with an Implementation partner. AWS Certification Mandatory.
Data Engineer with AWS Experience
Experience with PySpark/Spark
Experience in Python
Able to work independently
Able to work with the business team directly
Interested candidates kindly share your updated resume with mythili.saravanan@konenctingtree.com. Please reach me at 952-679-2916.",15d,True,$45.00 - $50.00 Per Hour(Employer est.),1 to 50,Company - Public,,,,,,,,,,,,,,,
Amazon,3.8,"San Diego, CA",Data Engineer - Flink,"The successful candidate in this role will have:
Experience building and maintaining enterprise-scale (Terabyte - Exabyte) data pipelines.
Experience using modern open-source technologies and cloud services (SNS, SQS, MSK, ECS, EC2, DynamoDB, Kinesis, EMR, Kafka, Flink, Spark)
Experience with modern compression technologies (Orc, Spark)
Experience working with customers to model and onboard datasets to fit customer requirements.
Experience developing data pipeline parsers using Scala.
To follow up with any questions, please contact Ajitabh at # 408-907-2956",30d+,True,$72.00 - $80.00 Per Hour(Employer est.),10000+,Company - Public,Information Technology,1994,Internet & Web Services,$10+ billion,0.72,0.76,3.9,3.9,3.7,3.4,3.4,"['""good work life balance and nicely paid"" (in 3227 reviews)', '""Pay is good but not worth the asks made from IT and how they are treated"" (in 3493 reviews)', '""The culture is good and there\'s a lot of smart people willing to help you grow"" (in 3146 reviews)', '""My team was great and I was really lucky to be placed on this team."" (in 2794 reviews)', '""Their health benefits is good and their career choice is helpful to start a new career."" (in 1317 reviews)']","['""No work life balance and sometime you can feel the pressure and stress to meet immediate requirements with less time."" (in 3227 reviews)', '""Pay is low (only 300 CNY per day)"" (in 3493 reviews)', '""Politics and bad culture"" (in 3146 reviews)', '""depending on team your work"" (in 2794 reviews)', '""No benefits for interns and yes"" (in 1317 reviews)']",4.0,"['Health Insurance (1620 comments)\n""Options and Cost are top tier. They even have an Amazon only concierge service through blue cross.""', 'Employee Discount (1500 comments)\n""$100 off when you shop on Amazon""', 'Vacation & Paid Time Off (1226 comments)\n""you accrue both simultaneously with high cap room. The downside is that PTO becomes use it or loose it if you don\'t take it.""']"
Siddhi Solutions,,Remote,Data Engineer,"Job description
Job description
Design conceptual data architectures solution for data-centric analytics projects.
Analyze data sources, design and evaluate feasible technical solutions to be implemented by data engineers. The solutions might include database modeling and design, relational database architecture, metadata and repository creation and configuration management.
Understand the complexity of data and design systems and models to handle different data sources/formats, which includes structured, semi-structured, and unstructured, as well as stream processing.",1 day ago,True,$65.00 - $70.00 Per Hour(Employer est.),,,,,,,,,,,,,,,,,
Peach IT Professionals,3.1,"Braham, MN",Data Engineer,"Required Skills:
5+ years of hands-on data analysis & SQL
Must have experience within Data Lineage / Data Visualization / Data Cleaning / Data Modeling
ETL/SSIS
Will be working with product owners to build acceptance criteria for user stories, assist with unit testing and integration testing.
Will participate in daily stand up calls and other scrum ceremonies
Will work with data modelers and analysts to build comprehensive data warehouses and assist with peer code review.",1 day ago,True,$40.00 - $70.00 Per Hour(Employer est.),51 to 200,Company - Private,,,,,0.52,,3.1,3.1,2.6,2.6,2.6,['No Pros have been reported by the Glassdoor community.'],"['""Worst experience i haven\'t paid for my salary , i have been following up almost 60 days and i have received any reply from the HR team of PeachIT pro"" (in 2 reviews)']",,
