Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Riverty Services GmbH,3.9,Vienna,Process Manager (m/f/d) 80% Homeoffice,"Everything we do, starts with you.
Together with you, we build the most human-centric fintech. We have the ambition to create the next. And - with Bertelsmann - a strong foundation to start from. Let’s make it new – for society and for yourself.

We are looking for a
Process Manager (Personal Finance) (m/f/d)
(unlimited, full-time) Choose one of our locations globally, with 80% Mobile Office: Verl, Baden-Baden, Berlin, Amsterdam, Wien, Stockholm or Glasgow",,30d+,False,,,,,,,,,,,,,,,,,
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Digital Verification (f/m/div)*,"You are looking for a new challenge to bring in your broad knowledge of digital verification? Then this is the right job for you: as our new Digital Verification Engineer you will define verification concepts and supervise measurement test cases. Have we sparked your interest? Then apply now!
In your new job you will:
Translate the product and design requirements to an executable verification plan and maintain it through the project
Align, track and report the implementation of test-benches and stimuli according to the verification plan
Run simulations, analyze results and conduct verification reviews to ensure that requirements are fully met",,23d,False,,,,,,,,,,,,,,,,,
,,,,,,23d,False,,,,,,,,,,,,,,,,,
Infineon Technologies AG,4.2,Villach,Senior Staff Engineer Product Development for GaN-based ICs (f/m/div)*,"Do you want to get to know the development of high-voltage GaN products (like GaN based HEMTs) and even drive it yourself? Can you further on imagine to extend your activities to multicomponent products consisting e.g. of a switch and a driver IC? As a new team member, you will contribute in our product development projects across different sites. At the same time, you will be responsible for technical work packages, like designing and verifying your own products. This role will bring you in contact with diverse colleagues from all over the world and will give you the chance to share and discuss your ideas with different people.
In your new job you will:
Design & verify analog/mixed-signal circuits to support all phases of product development including concept, testing, application; focus will be on GaN-based ICs for power applications",,15d,False,,,,,,,,,,,,,,,,,
,,,,,,24d,False,,,,,,,,,,,,,,,,,
,,,,,,30d+,False,,,,,,,,,,,,,,,,,
,,,,,,30d+,False,,,,,,,,,,,,,,,,,
,,,,,,30d+,False,,,,,,,,,,,,,,,,,
"ESRI, Inc.",4.1,Vienna,Android Mobile Developer,"Overview:
Join a team that pushes the boundaries of technology to achieve a shared mission: bringing the power of GIS indoors. Esri makes indoor location, indoor mapping, and indoor GIS accessible and powerful for both consumers and experts across all platforms and devices.
The Esri R&D Center in Vienna, Austria leads the research and development of cutting-edge indoor positioning systems technologies used in ArcGIS IPS. By combining radio signal data from Bluetooth low energy beacons and Wi-Fi with trajectory information derived from motion sensors on everyday mobile devices, we aim to deliver the world’s best indoor blue dot experience for our users.
Responsibilities:
Shape the way users of the ArcGIS Runtime SDK for Android consume our cutting-edge Indoor Positioning Technology (IPS) and enable them to build unique experiences
Requirements:
Recommended Qualifications:
The Company:",,30d+,False,,,,,,,,,,,,,,,,,
Hirschmann Automotive,3.6,Rankweil,Global Head of SAP Business Integration (m/w/d),"Seit über 60 Jahren arbeiten wir erfolgreich als internationaler Automobilzulieferer. Mit intelligenten Verbindungen im Nervensystem von Fahrzeugen gestalten wir die mobile Zukunft.
WIR SUCHEN:
Business Intelligence Developer SAP BW / Qlik (m/w)
PROFIL:
Know-how und Erfahrung in der Planung, Konzeption und Durchführung von SAP-Projekten in einem internationalen, produzierenden Unternehmen
Tiefes Verständnis von Geschäfts- sowie Produktionsprozessen",,30d+,False,,,,,,,,,,,,,,,,,
