Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
MOZ Group,3.4,Remote,BI Engineer,"Moz is looking for a natural problem solver with a strong interest in fulfilling the business' expanding appetite for data and helping define our data analytics roadmap. Role involvement will be in all parts of the BI process > from data acquisition to final presentation. The engineer will develop reports and self-service tools for internal customers via Domo and Amazon Quicksight from data housed in log files, Redshift, S3 buckets, datashares, and 3rd party API integrations.
This is a fully remote position.
Responsibilities:
Act as the subject matter expert for sourcing and transforming diverse, structured data across the Ziff Davis product platforms using combinations of pipeline tools.",,21d,False,51 to 200,Company - Private,Information Technology,2004,Computer Hardware Development,$25 to $100 million,0.47,0.67,2.9,3.6,3.6,2.7,4.1,"['""The culture is amazing."" (in 9 reviews)', '""Decent pay."" (in 8 reviews)', '""Most people were great to work with."" (in 12 reviews)', '""Great benefits"" (in 8 reviews)']","['""The company was purchased in 2021 by Ziff Davis for bargain basement prices, and the culture (which was already flagging) changed dramatically."" (in 9 reviews)', '""late sitting not enough pay"" (in 8 reviews)', '""Within less than two years, I moved between having five different managers"" (in 9 reviews)']",4.4,"['Maternity & Paternity Leave (4 comments)\n""4 months for every new child""', 'Health Insurance (3 comments)\n""For the HDHP/HSA Moz adds 3k to your HSA account (for the year) - this is a great benefit.""', '401K Plan (3 comments)\n""There was 401k matching. It was pretty good. ""']"
Gorilla,,Remote,Analytics Engineer,"For over 20 years, Gorilla has been devising, creating, and implementing commerce experiences. We’re a client-driven culture, looking for resourceful, motivated, and talented individuals to help us exceed our client’s expectations at every turn. We offer a challenging and rewarding environment where you’ll have the opportunity to work with leading brands, collaborate with some of the brightest people in the industry, and share in our mutual success.

Gorilla Group’s Insights Team partners closely with commerce clients to inform digital strategy, improve user experience, and prove return on digital technology investments. Our results-driven team leverages analytics to support experiences that resonate, engage, and delight customers at every stage of the buying process. In addition, we help clients make better decisions about how, when, and what to sell by organizing data and evaluating trends across the customer experience.

Gorilla Group is looking for an Analytics Engineer to join our growing Insights team. The ideal candidate will deliver innovative technical solutions which solve data and analytics challenges. Analytics Engineers work with our Insights Technical Leads on Gorilla Group's data and analytics projects, including data layer architecture and implementation, data analysis and modelling, tag management configuration and coding, data lake integration, and analytics QA.",,30d+,True,,Company - Public,,,,,,,,,,,,,,,
Trolley,5.0,Montreal,Analytics Engineer,"Trolley is the payouts platform for the internet economy. Our vision is to unlock the collective economic opportunity of the internet – for everyone – by building a truly global payouts ecosystem. Through our powerful platform and API, Trolley enables businesses to reach workers from all corners of the world and offers creators, on-demand workers, and suppliers the ability to bring their specialized talents to a global market. Businesses use Trolley to automate and manage payouts, collect recipient tax and banking information, and mitigate fraud and risk. The payouts solution of choice for hundreds of businesses, Trolley has made payouts to over 1.1 million different musicians, artists, makers, vendors, and suppliers around the world.

Trolley is seeking a self-driven, analytical individual to join our team as an Analytics Engineer. Reporting to the VP of Product, this role manages the end-to-end data pipeline. You will empower data-informed decisions for the Trolley team and our customers. The ideal candidate will have experience with the toolset required (ELT, Warehousing, BI, etc) and have driven healthy data cultures across organizations.",,30d+,True,51 to 200,Company - Private,Financial Services,2015,Financial Transaction Processing,,1.0,1.0,4.8,4.5,5.0,5.0,5.0,"['""They have invested in the right tools, training, and support their employee\'s growth opportunities."" (in 1 reviews)', '""Management actually cares about people."" (in 1 reviews)', '""Strong leadership"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
GlossGenius,4.0,Toronto,Senior Analytics Engineer,"About GlossGenius
GlossGenius is building an ecosystem enabling entrepreneurs to succeed. We empower small businesses owners to focus on being creators, not admins, by offering a range of business management tools including booking and scheduling, marketing, analytics, payment processing and much more.
Tens of thousands of small business owners have chosen to rely on GlossGenius every day to run their entire set of business operations. With its powerful, intuitive platform, GlossGenius is some part a fintech company, some part an SMB software company, while its vibrant, distinguished brand makes it some part a consumer company.
About the Role",,30d+,False,1 to 50,Company - Private,Information Technology,,Enterprise Software & Network Solutions,,0.68,,3.7,3.9,3.7,3.5,3.0,"['""Love the team members that I work with."" (in 6 reviews)', '""Great culture and great app!"" (in 6 reviews)', '""I\'ve had an amazing experience at GG so far, from the hiring process, to the onboarding process, to day"" (in 4 reviews)', '""I also think it offers a really good amount of career growth opportunity."" (in 7 reviews)']","['""The team became very micro"" (in 6 reviews)', '""Leadership is always willing to improve and constantly iterating on feedback."" (in 5 reviews)']",5.0,
Wave,3.6,Toronto,Analytics Engineer,"We believe small businesses are at the heart of our communities, and championing them is worth fighting for. We empower small business owners to manage their finances fearlessly, by offering the simplest, all-in-one financial management solution they can't live without.
*
About the Role:*
Reporting to the Senior Manager of Data Platform and Operations, as an Analytics Engineer you will be building tools and infrastructure to support efforts of the analytics and data team as a whole.
We’re looking for a talented, curious self-starter who is driven to solve complex problems and can juggle multiple domains and stakeholders. This highly technical individual will collaborate with all levels of the Data team as well as the various operations teams (e.g. Risk, Finance, Compliance) to provide data solutions, improve our data models as the business scales, and advance Wave to the next stage in our transformation as a data-centric organization.",,30d+,False,201 to 500,Company - Private,Information Technology,2010,Computer Hardware Development,,0.61,0.39,3.6,3.4,3.8,3.3,4.2,"['""First and foremost, Wave is full of kind, driven, clever people all moving toward the same goals."" (in 2 reviews)', '""great benefit, time off, best Fintech team to work with"" (in 1 reviews)', '""Numerous channels and opportunities for personal and professional development and career growth."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
ALLUDO,3.8,Vancouver,BI Engineer,"BI Engineer
Push the boundaries of tech. In your sweatpants.
Alludo is looking for an experienced BI Engineer to help us change the way the world works. Here, you’ll facilitate the advancement of our analytical capabilities. We are moving from “what was/is” to Predictive modeling and Business optimization. This role will be the key to establishing and developing the data science capabilities at the company.
The top creative and technical minds could work anywhere. So why are so many of them choosing Alludo? Here are three reasons:

It’s an exciting time at Alludo, with new leadership, a refreshed brand (you probably know us as Corel!), and a whole new approach to changing the way the world works. We’re at the forefront of a movement, and we want you to ride this wave with us.",,20d,True,501 to 1000,Company - Private,Information Technology,1985,Computer Hardware Development,$100 to $500 million,0.58,0.8,3.5,3.5,3.9,3.7,3.9,"['""Good Team to work with"" (in 1 reviews)']","['""Pay is very low compared to similiar sized orgs."" (in 2 reviews)']",3.0,"['Work From Home (4 comments)\n""Overall positive. They provided good equipment and stipend to offset expense.""', '401K Plan (3 comments)\n""Easy to contribute. The administrator does a good job.""']"
Wave HQ,3.6,Toronto,Analytics Engineer,"We believe small businesses are at the heart of our communities, and championing them is worth fighting for. We empower small business owners to manage their finances fearlessly, by offering the simplest, all-in-one financial management solution they can't live without.

About the Role:

Reporting to the Senior Manager of Data Platform and Operations, as an Analytics Engineer you will be building tools and infrastructure to support efforts of the analytics and data team as a whole.

We’re looking for a talented, curious self-starter who is driven to solve complex problems and can juggle multiple domains and stakeholders. This highly technical individual will collaborate with all levels of the Data team as well as the various operations teams (e.g. Risk, Finance, Compliance) to provide data solutions, improve our data models as the business scales, and advance Wave to the next stage in our transformation as a data-centric organization.",,30d+,True,201 to 500,Company - Private,Information Technology,2010,Computer Hardware Development,,0.61,0.39,3.6,3.4,3.8,3.3,4.2,"['""First and foremost, Wave is full of kind, driven, clever people all moving toward the same goals."" (in 2 reviews)', '""great benefit, time off, best Fintech team to work with"" (in 1 reviews)', '""Numerous channels and opportunities for personal and professional development and career growth."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
WorkSafeBC,3.9,Richmond,Analytics Solutions Engineer (Business Intelligence Analyst),"Job requisition number
037563
Job location
Richmond
Full-time / part-time
Full-time
Posting period
From 12/09/2022 to 03/31/2023",,30d+,False,1001 to 5000,Government,Insurance,1917,Insurance Carriers,,0.77,0.82,3.9,4.2,3.9,3.6,4.2,"['""Benefits are decent"" (in 5 reviews)', '""Most people are extremely friendly and kind"" (in 2 reviews)', '""Some managers are supportive and trusting."" (in 3 reviews)']","['""No work life balance."" (in 2 reviews)', '""Some managers are not supportive"" (in 3 reviews)']",,
War Room Holdings,4.4,Vancouver,Analytics Implementation Engineer,"Vancouver, BC
Full Time, Hybrid

Who We Are.
We are a highly specialized programmatic advertising agency. We focus 100% of our efforts on digital media buying.
It’s how we exceed conversion goals in nearly every campaign we run and why our clients include some of the biggest companies in North America.
We know that happy employees = exceptional work and client satisfaction. That’s why we’ve created an environment that is welcoming and inspiring for all team members. We value your aspirations, and we’ll regularly help you set goals to achieve those milestones.",,19d,False,1 to 50,Company - Private,Media & Communication,2010,Advertising & Public Relations,,0.83,0.83,4.3,4.3,4.3,4.3,4.2,"['""The people here are amazing"" (in 12 reviews)', '""The culture is amazing and I have some of my best friends here."" (in 9 reviews)', '""friendly office!"" (in 6 reviews)', '""Another amazing thing about this company other than the amazing employees and opportunities for growth is how diverse and inclusive they are."" (in 2 reviews)', '""➡ Very well organized team since every single campaign is managed and launched by at least 4 people to make sure everything is running smoothly (Campaign Manager, Data Analyst, Account Manager, and an assistant campaign manager)"" (in 7 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Fidelity International,4.3,Canada,Lead Analytics Solutions Engineer,"About the opportunity
Department Description
FIL General Counsel Technology is responsible for providing IT solutions to the Risk, Compliance, Legal, Audit and Tax functions. These are global functions comprised of approximately 400 employees based in 26 countries. General Counsel Technology partners with its business stakeholders to identify their requirements and develop/implement technology solutions. This includes on-premise, SaaS and AWS solutions, both in-house built and vendor provided. There is a strong focus on data analytics, workflow and automation tools to bring greater efficiencies to these functions. Together with this there is continued move towards greater use of Agile and DevOps practices. The GC Technology team itself consists of approximately 40 people based in both the UK and India.
Purpose of the Role
As a Lead Analytics Solutions Engineer you will be responsible for architecting, implementing and deploying multi-scale data analytics platform solutions as well as building and mentoring high-performing analytics engineering teams. You will work with cloud technologies, developing and overseeing analytics systems and processes.",,30d+,False,5001 to 10000,Company - Private,Financial Services,1969,Investment & Asset Management,,0.89,0.95,4.0,4.1,4.4,3.9,4.3,"['""nice people to work for"" (in 16 reviews)', '""Management good"" (in 15 reviews)', '""Good experience and good progression"" (in 23 reviews)', '""Great team environment, employee pension, good salary"" (in 11 reviews)', '""Pay is okay, work life balance good."" (in 11 reviews)']","['""3. Very bias and bureaucratic management"" (in 15 reviews)', '""The salary is astronomically low for such a large company like Fidelity, it\'s not competitive either"" (in 11 reviews)']",4.4,
Canada Post - Postes Canada,3.6,Mississauga,"Analyst , Process Engineering","Job Requisition Id: 163628
Business Function: Engineering
Primary City: Mississauga
Other Location(s):
Province: Ont. - GTA
Employment Type: Full-Time
Employment Status: Term
Language Requirement: English Essential
Number of Vacancies: 1
Job Closing Date (MM/DD/YYYY): 03/31/2023
All qualified candidates will be considered however preference will be given to Indigenous people (First Nations, Metis or Inuit) or persons with a disability. This is a special measure employment equity initiative and candidates from this group who wish to qualify for preferential consideration must self-identify.",,30d+,False,10000+,Government,Government & Public Administration,,National Agencies,$5 to $10 billion,0.68,0.52,3.4,3.7,3.4,3.0,3.6,"['""it has decent pay and benefits"" (in 8 reviews)', '""Great facility and everyone is so nice to work"" (in 7 reviews)', '""Almost everybody is unionized in the company, aside from management."" (in 6 reviews)', '""The work life balance is good"" (in 5 reviews)', '""very good benefits and colleagues"" (in 4 reviews)']","['""Low pay compared to the private sector"" (in 8 reviews)', '""Everyone is too busy to help and teach."" (in 7 reviews)', '""Stagnant Management salaries for over a decade have caused entry level Union total compensation to significantly surpass management, removing the desire for any internal ladder climbing"" (in 6 reviews)']",5.0,
