Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
,,,,,,30d+,True,,,,,,,,,,,,,,,,,
Matmut,3.5,Rouen,CDD - DATA ENGINEER F/H,"On vous parle de nous ?

Depuis 1961, la Matmut est complice de vie de ses sociétaires. Profondément humaine et fière de son appartenance à la famille mutualiste, elle s'adresse à tous - particuliers, professionnels, entreprises, associations – en proposant une gamme complète de produits d'assurance des biens et des personnes et de services financiers et d'épargne.

La Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.
Confiante et bienveillante envers ses salariés, elle construit avec eux des parcours professionnels motivants.
Convaincue que la diversité des potentiels est une richesse, elle accompagne, forme et fait grandir tous les talents.

Envie de nous rejoindre ?

Nous recrutons des métiers assurantiels, oui… mais pas que !

Dans un contexte de remplacement de congé maternité, nous sommes à la recherche d'un(e) Data Engineer.

Votre quotidien ?

Périmètre décisionnel et Big Data :",,30d+,False,1001 to 5000,,Insurance,,Insurance Agencies & Brokerages,$1 to $5 billion,0.57,0.76,2.8,3.2,3.4,3.1,3.8,['No Pros have been reported by the Glassdoor community.'],"['""Communication entre certain service parfois compliqué."" (in 1 reviews)']",,
Valeo,3.8,Paris,Data Analytics Leader,"Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.
Développer, en collaboration avec les équipes BI et le Group Big Data, de nouvelles solutions pour l'exploration et l'analyse des données, principalement basées sur Google Cloud Platform (GCP).

L'équipe Analytics, en pleine synergie avec l'équipe BI, a pour mission de fournir à Valeo Service des solutions innovantes pour les aider à se développer, en s'appuyant à la fois sur des sources de données existantes et externes (via des partenariats avec d'autres entreprises, ou en utilisant des données ouvertes).

Construire et interpréter des modèles / rapports exploitables :













Business Applications Analyst
IS SSC VSA
Full time
Regular
Undefined term
2023-03-27",,2d,False,10000+,Company - Private,Manufacturing,1923,Transportation Equipment Manufacturing,$10+ billion,0.78,0.73,3.7,3.6,3.6,3.3,3.3,"['""Innovation, leader, technologie, autonomie, perspective d\'évolution"" (in 1 reviews)']","['""Management absent"" (in 4 reviews)', '""L\'industrie automobile est tres innovante et donc implique pas mal de stress car les delais sont tres cour"" (in 1 reviews)']",4.0,"['Health Insurance (24 comments)\n""Really good and affordable Health insurance. Dental and Eye is okay or could use improvement.""', 'Vacation & Paid Time Off (24 comments)\n""- 15 days of paid time off - very less public holidays - unlimited sick leave""', '401K Plan (21 comments)\n""Employer matches double than we give for 401k""']"
Publicis Sapient,3.6,Paris,Manager QA Testing Automation H/F,"Description de l'entreprise

Publicis Sapient agit depuis plus de 30 ans au service de la transformation digitale des entreprises. Notre expertise unique, regroupée sous l’acronyme SPEED, Stratégie et Conseil, Produit, Expérience, Engineering et Data qui combinée à notre connaissance approfondie du secteur, nous permet de créer, avec nos clients, des produits et des expériences innovantes centrés sur la valeur qu’ils délivrent à leurs clients.
Notre approche agile, axée sur les données et les dernières technologies, permet de faire face au changement, en plaçant le digital et ses nouvelles manières de travailler au cœur de l’activité. Avec plus de 21 000 collaborateurs à travers 50 bureaux dans le monde, Publicis Sapient est le pôle de transformation digitale de Publicis Groupe.",,30d+,False,10000+,Company - Public,Management & Consulting,1990,Business Consulting,,0.77,0.91,3.8,3.7,3.9,3.6,3.6,"['""good work life balance and learning curve is high."" (in 1193 reviews)', '""Good Culture and values for work"" (in 1041 reviews)', '""Good salary is good"" (in 891 reviews)', '""The people are great and very welcoming."" (in 625 reviews)', '""Over all management is good"" (in 508 reviews)']","['""my previous project was not that hectic but current one is too hectic hence no work life balance."" (in 1193 reviews)', '""Some projects have an extremely hostile and toxic culture."" (in 1041 reviews)', '""And low salary comparitively"" (in 891 reviews)', '""Where are the happy people now?"" (in 625 reviews)', '""Poor management and not employees not well paid."" (in 508 reviews)']",4.0,"['Vacation & Paid Time Off (47 comments)\n""Unlimited time off is real""', 'Maternity & Paternity Leave (32 comments)\n""I have not used this but my manager had a great time and flexibility during his paternity leave""', '401K Plan (27 comments)\n""401K matches up to 5% i think""']"
DOUGS,3.7,Télétravail,Software engineer fullstack - Lancement nouveau produit H/F,"Accompagner les entrepreneurs pour qu’ils réussissent.
Aujourd’hui j’aimerais te raconter une histoire, celle de Dougs
Dougs, c’est avant tout une histoire humaine, c’est la rencontre de Patrick, expert-comptable, et Florent, ingénieur.
C’est une mission, celle d’accompagner les entrepreneurs pour qu’ils réussissent. Comment ? Par une approche innovante et révolutionnaire de la comptabilité via une application développée en interne.
C’est parce que nous travaillons tous au service de cette mission, que nous avons le plaisir d’accompagner aujourd’hui + de 12 000 entrepreneurs.",,5d,True,1 to 50,Company - Private,,,,,0.77,,3.8,3.8,3.9,3.6,3.8,"['""Good pay good peoole compared to others"" (in 2 reviews)', '""The people you meet are great."" (in 1 reviews)', '""Good working environment and good management"" (in 1 reviews)']","['""Bad communicatiom lack of management"" (in 1 reviews)']",,
Verisure,3.4,Antony,DATA ENGINEER (H/F),"Verisure c’est l’alarme de votre voisin mais c’est aussi le N°1 en France et en Europe ! Depuis plus de 30 ans , les équipes de Verisure partagent la même mission : « Nous sommes des personnes qui protégeons des personnes ».
Les femmes et les hommes de Verisure ont toutes et tous un parcours de vie unique . Nos différences sont notre force et nous offrent une énergie singulière. Entreprise handi-accueillante et handi-bienveillante, nos postes sont évidemment ouverts aux personnes en situation de handicap.
En recherche permanente de nouveaux talents pour répondre à notre croissance exponentielle, nous avons besoin de VOUS en qualité de BI Data Engineer /F ! Décrochez votre CDI en rejoignant dès maintenant notre équipe BI & Data basée à Antony !
Poste
Au sein de la Direction Administrative et Finance, et rattaché(e) au Responsable BI Data Engineering, vous interviendrez en tant qu’expert(e) auprès de nos clients internes (marketing, service client, finances, produit, …) afin de répondre à leurs problématiques.
Principales Missions
Mettre en place le modèle de données Verisure et maintenir une architecture Data sous Azure
Créer de nouvelles application BI
En contribuant à l’enrichissement du Datalake,
En participant aux travaux sur la Data Factory pour transformer et qualifier les données,
En concevant des datamarts orientés métier,
Participer aux chantiers de migration de notre patrimoine applicatif On-Premise vers l’architecture Cloud
Assurer la maintenance évolutive et corrective des applications BI existantes


Travailler sur toutes les phases d’un projet en faisant preuve d’autonomie, d’agilité et de bienveillance :
collecte des besoins, animation de réunions, étude de faisabilité et cadrage projet, estimation de charges, gestion des intervenants transverses, développement, recettes, industrialisation
Participer activement aux points de synchronisation de l’équipe : Scrum meeting, suivi de tickets de demandes et d’incidents (JIRA), respect de son planning de tâches (JIRA)


Vous êtes aussi bien à l’aise dans le SQL qu’à travers l’utilisation d’un outil de restitution comme Power BI,
Votre quotidien s’articulera autour des travaux sur Azure Data Factory.
Vous avez enfin une excellente maîtrise des outils bureautiques, qui vous permettront de communiquer efficacement au sein de l’entreprise,
Votre bon niveau d’anglais vous permettra de correspondre aisément avec nos collègues à l’internationale (Espagne, Suède)


De formation supérieure Bac+5 en Data ou BI, vous avez une première expérience professionnelle réussie dans le domaine.
Vous avez une culture technique BI/Data développée, mais vous vous intéressez facilement aussi à des sujets métiers.
Organisé(e) et autonome, vous êtes reconnu(e) pour votre aisance relationnelle, votre pédagogie et votre esprit d’analyse et de synthèse


Bénéficier d’un accompagnement personnalisé tout au long de votre parcours ;
Profiter d’un tremplin de carrière grâce à notre parcours d’évolution ;
Contribuer à la croissance d’une entreprise qui s’engage au quotidien pour un monde plus sûr, plus juste et plus durable ;
Evoluer dans un environnement de travail innovant grâce à nos développements technologiques et à des projets ambitieux ;
Travailler aux côtés d’équipes engagées et passionnées ;


Un dispositif d’épargne salariale adapté selon votre éligibilité et les accords en vigueur dans l’entreprise (intéressement et participation aux résultats de l’entreprise) ;
une pack mutuelle pour toute votre famille et une prévoyance ;
prise en charge de votre déjeuner, adaptée selon le poste occupé et votre lieu de travail ;
une plateforme de formation 100 % digitale et gratuite ;
une offre collaborateur sur nos produits ;
une plateforme sportive en ligne gratuite, proposant plus de 300 activités.
Postulez dès aujourd’hui et embarquez au sein d’une aventure humaine aussi enrichissante que passionnante. Nous avons hâte de vous rencontrer !",,30d+,True,10000+,Company - Private,Management & Consulting,1988,Security & Protective,$1 to $5 billion,0.61,0.73,3.5,3.4,3.3,3.0,2.7,"['""Good salary and incentives"" (in 123 reviews)', '""Flexible hours company car fuel card"" (in 81 reviews)', '""As long as you make sales, management won\'t brother you"" (in 71 reviews)', '""Excellent Training Given"" (in 73 reviews)', '""In branch team were great and a fab support"" (in 68 reviews)']","['""Basic salary could be better"" (in 123 reviews)', '""Long hours and constantly changing"" (in 81 reviews)', '""Hectic pace, disorganized management, too many projects at the same time"" (in 71 reviews)', '""Training could have been more clearer and more informative, felt it was very plain, needed to include us more and do more practical activities."" (in 73 reviews)', '""Less engagement with other teams"" (in 68 reviews)']",,
EURO-INFORMATION DEVELOPPEMENTS,4.2,Villeneuve-d'Ascq,Data Engineer (H/F),"Qui sommes nous
Euro-Information, filiale technologique de Crédit Mutuel Alliance Fédérale, conçoit, réalise, maintient et exploite un système d’information commun utilisé par le Groupe.

Les activités de développement et de production informatique au niveau national et international sont assurées par environ 4000 salariés répartis sur plusieurs sites géographiques au niveau national : Strasbourg, Nancy, Dijon, Orléans, Lyon, Lille, Cergy, Val de Fontenay, Paris et Nantes.

Première Banque à adopter le statut d’entreprise à mission, le Crédit Mutuel Alliance Fédérale s’investit et s’engage dans différentes missions sociales et environnementales :",,30d+,False,10000+,Company - Public,Financial Services,1882,Banking & Lending,$10+ billion,0.86,0.94,3.4,3.7,4.1,3.7,4.1,"['""la relation avec les collègues et le management sont dynamiques"" (in 23 reviews)', '""Autonomie, salaire fixe, responsabilité, possibilité de progression, avantage salariés nombreux"" (in 5 reviews)', '""Les conditions de travail sont top, l\'ambiance est cool"" (in 2 reviews)']","['""Aucun management, manager absent du coup c’est l’équipe qui s’automanage ce qui crée de drôles de surprises, salaire extremement bas et surtout au vu des responsabilités confiées, ambiance entre collègues très mauvaises et extremement concurentielle pour se faire mieux voir au profit de son collègue par le chef qui n’a de toutes façons aucune reconnaissance, formation faite à la va vite et sous tension"" (in 23 reviews)', '""Pas de part variable pas de commissions"" (in 8 reviews)', '""En toute honnêteté, dans le service Communication et digital, il n\'y en a pas."" (in 8 reviews)']",,
Avanade,4.3,Paris,Data Engineer H/F,"Data Engineering Bootcamp
En tant que Data Engineer, vous serez amené(e) à :
participer aux différentes phases des projets décisionnels pour nos clients en collectant, modélisant et restituant leurs données afin de les aider à effectuer une analyse précise de leur business grâce à des rapports et tableaux de bord
évaluer et analyser les besoins client et son environnement,
définir des spécifications techniques et fonctionnelles
réaliser et accompagner l’industrialisation des solutions pour nos clients.
Vous avez une expérience en business intelligence et traitement de la donnée, mais vous n'avez pas eu la chance d'être impliqué(e) dans des projets basés sur le cloud ou le big data ?",,13d,False,10000+,Company - Private,Information Technology,2000,Information Technology Support Services,$1 to $5 billion,0.88,0.95,4.2,4.0,4.4,4.1,4.1,"['""Un career advisor qui m\'est très utile pour parler de mon projet de carrière, de formation, ou d\'éventuels problèmes sur mes missions en cours"" (in 2 reviews)', '""Forte culture d\'entreprise"" (in 2 reviews)', '""Extended benefits (remboursement de matériel technologique)"" (in 1 reviews)']","['""Actuellement, pas d’inconvénient , le management est bon"" (in 1 reviews)']",3.9,"['401K Plan (59 comments)\n""Good company match and is well managed""', 'Vacation & Paid Time Off (54 comments)\n""Great vacation day allowance that increases by level and time with the company.""', 'Health Insurance (43 comments)\n""Not cheap but comprehensive and good networks""']"
Valeo,3.8,Paris,Cybersecurity Auditor,"Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.
Ready to tackle the challenges of the vehicle of the future? Join Valeo and its teams and take part in the automotive electrification, autonomous driving and connectivity revolutions around the world!
Your challenge ?
As a cybersecurity auditor, you perform risk assessments of the security of IS/IT environments, including product, project, site and suppliers. You identify vulnerabilities and provide adapted recommendations. You manage intrusion tests, source code review and configuration review. You do the QRQC of cybersecurity breaches and incidents. You take part in transversal audit engagements on Valeo cybersecurity processes (TISAX, physical security, GRC, Cyber Security Management System non-compliance, etc.)




Internal Audit
Group Cybersecurity VHG
Full time
Regular
Undefined term
2023-03-13",,16d,False,10000+,Company - Private,Manufacturing,1923,Transportation Equipment Manufacturing,$10+ billion,0.78,0.73,3.7,3.6,3.6,3.3,3.3,"['""Good salary"" (in 4 reviews)', '""My manager is good except this everything is bad"" (in 5 reviews)', '""Boss and Team very helpful."" (in 3 reviews)']","['""lack of work life balance"" (in 6 reviews)', '""Manager was so unavailable it was laughable."" (in 5 reviews)', '""High volume of work, management very short term oriented, high pressure."" (in 4 reviews)']",4.0,"['Health Insurance (24 comments)\n""Really good and affordable Health insurance. Dental and Eye is okay or could use improvement.""', 'Vacation & Paid Time Off (24 comments)\n""- 15 days of paid time off - very less public holidays - unlimited sick leave""', '401K Plan (21 comments)\n""Employer matches double than we give for 401k""']"
Applied Materials,4.1,Bernin,International Trainee Program: Process Engineer - Semiconductor Industry,"International Trainee Program: Process Engineer - Semiconductor Industry
Accelerate your career with Applied Materials - the #1 company in the semiconductor equipment industry.
Applied Materials is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale helps our customers transform their ideas into reality. Our innovations Make Possible® a Better Future.
We are offering a Fast Track Graduate Program for Process Engineers in Europe.
Join with 10 other trainees our international 7-month trainee program for Process Engineers starting in August 2023. The program is designed for ambitious new graduates who are looking for an exciting career in the European semiconductor industry. You will receive the opportunity to accelerate your career and acquire insight into different areas while building a valuable international network. After completion the trainee program, you will most likely be located in either Grenoble (France) or Dresden (Germany) which are both hot spots for the semiconductor industry in Europe, but other sites might be considered",,19d,True,10000+,Company - Public,Manufacturing,1967,Electronics Manufacturing,$10+ billion,0.84,0.91,3.9,3.8,4.0,3.6,3.6,"['""Good work life balance and able to work remotely"" (in 169 reviews)', '""Good salary and can work overtime."" (in 166 reviews)', '""Good benefits and took care of its people during Covid"" (in 81 reviews)', '""people you work with are great"" (in 113 reviews)', '""Good management, very organised company"" (in 90 reviews)']","['""Hours were long and no work/life balance"" (in 169 reviews)', '""Low salary and superior is unable to do much about it"" (in 166 reviews)', '""Can be long work hours , not as many benefits as other tech companies , lower salary then other companies"" (in 81 reviews)', '""GOOD EVNIVROMENT, nice people around"" (in 113 reviews)', '""Bad management by controlling your actions"" (in 90 reviews)']",3.9,"['Health Insurance (83 comments)\n""Offers both Kaiser and PPO""', '401K Plan (50 comments)\n""Pros: great benefits Cons: the cutting-edge application of machine learning is a little bit behind.""', 'Vacation & Paid Time Off (39 comments)\n""Unlimited PTO, but also depends on your manager. Just don\'t abuse this great benefit.""']"
