Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
,,,,,,16d,False,,,,,,,,,,,,,,,,,
Universitätsklinikum Carl Gustav Carus Dresden,4.7,Dresden,Data Engineer (w/m/d),"Jobs mit Aussicht
Modern – Kompetent – Innovativ
Jobs mit Aussicht
Modern – Kompetent – Innovativ
Die Digitalisierungsprozesse im Gesundheitswesen eröffnen enorme Chancen für Effizienz, Innovation, Transparenz und Kooperation in der medizinischen Versorgung, Forschung und Lehre. Mit dem Zentrum für Medizinische Informatik (ZMI) werden die organisatorischen Rahmenbedingungen geschaffen, um die strukturübergreifenden IT-Kompetenzen in den Bereichen Versorgung, Forschung und Lehre der Hochschulmedizin Dresden nachhaltig zusammenzuführen. Zeitgleich mit der Gründung des Zentrums und mit Bezug zur Förderinitiative Medizininformatik des BMBF wird nun die für die Verknüpfung von Daten erforderliche zentrale Forschungsplattform, das Datenintegrationszentrum, aufgebaut. Das Datenintegrationszentrum stellt dabei Daten und Anwendungen für die medizinische Forschung in strukturierter Form bereit. Hiermit wird sowohl die Entwicklung von medizinischen und technischen Innovationen sowie auch deren Translation in den Versorgungsprozess wesentlich beschleunigt.",,13d,False,1 to 50,,,1995,,$5 to $25 million,1.0,,4.5,4.5,4.6,4.5,5.0,"['""Junges und dynamisches Unternehmen mit großartigen Benefits, engagierten Teams und einer soliden Business"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Universitätsklinikum Carl Gustav Carus Dresden,4.3,Dresden,Data Engineer (w/m/d),"Die Digitalisierungsprozesse im Gesundheitswesen eröffnen enorme Chancen für Effizienz, Innovation, Transparenz und Kooperation in der medizinischen Versorgung, Forschung und Lehre. Mit dem Zentrum für Medizinische Informatik (ZMI) werden die organisatorischen Rahmenbedingungen geschaffen, um die strukturübergreifenden IT-Kompetenzen in den Bereichen Versorgung, Forschung und Lehre der Hochschulmedizin Dresden nachhaltig zusammenzuführen. Zeitgleich mit der Gründung des Zentrums und mit Bezug zur Förderinitiative Medizininformatik des BMBF wird nun die für die Verknüpfung von Daten erforderliche zentrale Forschungsplattform, das Datenintegrationszentrum, aufgebaut. Das Datenintegrationszentrum stellt dabei Daten und Anwendungen für die medizinische Forschung in strukturierter Form bereit. Hiermit wird sowohl die Entwicklung von medizinischen und technischen Innovationen sowie auch deren Translation in den Versorgungsprozess wesentlich beschleunigt.",,15d,False,1001 to 5000,,Healthcare,1901,Health Care Services & Hospitals,,1.0,1.0,4.0,4.1,3.8,3.5,4.0,"['""Nice and competent team Well equipped"" (in 3 reviews)', '""Fittness, Caruso Restauran, travelling, salary, freedom"" (in 1 reviews)', '""Flexible Arbeitszeiten"" (in 1 reviews)']","['""management, some of colleagues, some old building"" (in 2 reviews)']",,
DE-CIX Management GmbH,4.0,Frankfurt am Main,Site Reliability Engineer (f/m/d),"DE-CIX (Deutscher Commercial Internet Exchange) is the world’s leading Internet exchange operator. At its locations in Europe, North America, the Middle East, India, and Asia, DE-CIX connects thousands of network operators (carriers), Internet service providers (ISPs), content providers, and corporate networks from more than 100 countries and offers peering, cloud and interconnection services. With a data volume of almost 30 Exabytes per year (as of 2021) and well over 1,000 connected networks, DE-CIX in Frankfurt am Main is one of the largest Internet Exchanges in the world. For more information, please visit: www.de-cix.net

For Frankfurt am Main, we are looking with immediate effect for a motivated
Site Reliability Engineer (f/m/d)
Our Offer:

Apply now",,16d,False,201 to 500,Subsidiary or Business Segment,Information Technology,1995,Internet & Web Services,,0.68,0.51,3.4,3.3,4.2,3.7,4.0,"['""The colleagues are great and there is a lot of cohesion."" (in 1 reviews)']","['""However, this means that there are no fixed career paths."" (in 3 reviews)', '""Relativ hierarchisch, als Student schwer zu Covid"" (in 1 reviews)', '""Irregular Salaries and lesser than industry standard (and they keep holding your variables and delay it for months)"" (in 1 reviews)']",,
RTL Deutschland GmbH,4.1,Köln,(Senior) Developer Backend (w/m/d),"Deine Aufgaben
Wir arbeiten mit den Methoden der agilen Softwareentwicklung (nach Scrum) in crossfunktionalen Teams aus Frontend- und Backend-Entwicklern, Product Ownern und Scrum Mastern gemeinschaftlich an der Weiterentwicklung unserer Plattform: Hier hast du die Möglichkeit dich einzubringen und dich kontinuierlich weiterzuentwickeln
Du designst und setzt cloud basierte Services für viele unserer Applikationen um
Du bist für die aktive Förderung unserer Junior Softwareentwickler (m/w/d) zuständig und übernimmst technologische Verantwortung
Darüber hinaus bist du für die Umsetzung von technisch anspruchsvollen Anforderungen von der Analyse bis zum Rollout verantwortlich",,12d,False,501 to 1000,Company - Public,Media & Communication,,Broadcast Media,,0.61,0.73,3.5,3.2,3.5,3.0,3.6,"['""Good team and vibes."" (in 8 reviews)', '""Work life balance is great, colleagues are friendly."" (in 5 reviews)', '""Salary by commission is ok."" (in 4 reviews)', '""Good benefits."" (in 3 reviews)']","['""Salary was not engough, for the provised work"" (in 4 reviews)', '""No career support."" (in 7 reviews)']",4.0,
Hoffmann Group,3.7,Munich,Senior Data Engineer (m/f/d),"More than 4,000 highly motivated employees in over 50 countries have made the Hoffmann Group through their performance into Europe's leading partner for quality tools, factory equipment and personal protective equipment and ""Germany's Best Employer 2022"" with a very high level of attractiveness (awarded by DIE WELT). Our healthy growth is reflected, among other things, in a global annual turnover of more than 1.4 billion euros in 2022. As a family business, we offer a working environment characterised by mutual trust, in which performance and commitment are rewarded. We encourage personal initiative, creativity and independent, results-oriented action.

As part of our defined company growth targets, we are looking for a Senior Data Engineer (m/f/d) in Munich.
Your responsibility",,30d+,False,1001 to 5000,Company - Private,Retail & Wholesale,1919,General Merchandise & Superstores,$1 to $5 billion,0.64,1.0,3.1,3.6,3.6,3.1,3.5,"['""colleagues is good but 95% are retrenched"" (in 4 reviews)', '""Great culture and freedom to act"" (in 6 reviews)', '""very corrupt and poor leadership"" (in 5 reviews)', '""Good benefits, nice people, vacation"" (in 2 reviews)']","['""&gt; Culture is SO TOXIC that one can not sustain even 6 months here."" (in 6 reviews)', '""Very micromanagement, poor culture, bad leadership"" (in 5 reviews)', '""Worse Asia Management,"" (in 4 reviews)']",3.0,"['Sick Days (4 comments)\n""yes they offer sick days""']"
NTT Global Data Centers EMEA GmbH,3.8,Frankfurt am Main,IT Data Center Support Engineer (m/w/d),"Für unser IT-Service Desk Team suchen wir einen begeisterten, teamorientierten IT Data Center Suppot Engineer, um die exzellente Qualität sowie die Optimierung unserer Serviceleistungen, insbesondere des Lösungszeitpunkts, weiterhin sicherstellen zu können.

Ihre Aufgaben
Annahme und Qualifizierung von technischen Mitarbeiteranfragen (per Telefon oder Mail) im Sinne eines ""Single Point of Contact“
Bearbeitung und Lösung von Störungsmeldungen und Anforderungen gemäß ITIL-Prozess und SLAs",,1 day ago,False,10000+,Company - Private,Information Technology,2019,Information Technology Support Services,$5 to $10 billion,0.73,0.8,3.6,3.5,3.7,3.3,3.7,['No Pros have been reported by the Glassdoor community.'],"['""Gehalt, Work Life Balance, Standorte"" (in 1 reviews)']",3.6,"['Health Insurance (31 comments)\n""Best: Unlimited PTO Worst: 3k/6k individual deductible""', '401K Plan (20 comments)\n""It was standard matching for percentage""', 'Vacation & Paid Time Off (16 comments)\n""Above market rates well received by all""']"
SBB AG,3.8,,Data Engineer (m/w) in der Schweiz,"Data Engineer (m/w)
Bern
ab sofort oder nach vereinbarung
60-100%
90405
Darauf können Sie sich freuen.
Wir etablieren zukunftsorientierte Prozesse, Systeme und Daten, um die Digitalisierung der SBB im Bereich Einkauf voranzutreiben. Sie treiben aktiv Design, Weiterentwicklung, Implementation, Testing und Dokumentation standardisierter Datenintegrations- / ETL- und Data Warehouse-Lösungen voran. Dabei klären Sie fachliche, technische und architektonische Anforderungen und steigern mit innovativen Lösungen den Nutzen für die Geschäftsbereiche. Sie planen, in die Schweiz umzuziehen? Gerne unterstützen wir Sie dabei. Erste Infos dazu finden sie auf unserer Seite «Arbeiten in der Schweiz». Sie sind flexibel und nutzen die Möglichkeit von ""Work Smart"", um von Zuhause oder unterwegs zu arbeiten.",,1 day ago,False,10000+,Company - Public,Transportation & Logistics,1902,Rail Transportation,$5 to $10 billion,0.82,0.8,3.6,3.6,3.9,3.4,3.9,"['""Excellentes conditions salariales avec 13e salaire et de nombreux benefits (abonnement général 1ère classe compris dans le package avec des avantages pour les membres de la famille, etc.)"" (in 10 reviews)', '""Teamwork, Climate, Good salary, Working hours, Benefits, Extra holidays"" (in 8 reviews)', '""Best PT offerings in Europe, committed employees, decent compensation"" (in 9 reviews)', '""friendly, cosy, nice atmosphere, not hard working"" (in 8 reviews)']","['""salary low, difficult to move inside the company"" (in 8 reviews)', '""better work life balance at work"" (in 16 reviews)']",5.0,
NTT Global Data Centers EMEA GmbH,3.8,Frankfurt am Main,IT Data Center Infrastructure Engineer (m/f/d),"As our IT Data Center Infrastructure Engineer you will be responsible for ensuring that the IT delivers standardized systems and platforms for a stable, secure and efficient infrastructure for the Data Centers and other buildings.

Your responsibilities
Supports the definition of IT standards for the areas of network, racks, cabling and construction requirements.
Supports the implementation according to the standard
Performing on site control of construction sites in all relevant phases
Supports the management of purchasing as well as external suppliers",,30d+,False,10000+,Company - Private,Information Technology,2019,Information Technology Support Services,$5 to $10 billion,0.73,0.8,3.6,3.5,3.7,3.3,3.7,"['""Salary always on time.Five days working and good night shift allowance."" (in 100 reviews)', '""Good Management"" (in 71 reviews)', '""good work life balance sometimes"" (in 61 reviews)', '""Good culture and Flexible"" (in 58 reviews)', '""The people you work with are great"" (in 57 reviews)']","['""Low salary and unenjoyable to work"" (in 100 reviews)', '""The management also seeking the employee understanding that it is because of lack of manpower."" (in 71 reviews)', '""No work life balance at all"" (in 61 reviews)', '""The previous Culture or community is dead."" (in 58 reviews)', '""Horrible management team that ignores clear signs of failure and ignores feedback from the people getting the work done."" (in 57 reviews)']",3.6,"['Health Insurance (31 comments)\n""Best: Unlimited PTO Worst: 3k/6k individual deductible""', '401K Plan (20 comments)\n""It was standard matching for percentage""', 'Vacation & Paid Time Off (16 comments)\n""Above market rates well received by all""']"
RTL Deutschland GmbH,4.1,Köln,Full Stack Developer .NET Core / Angular (w/m/d),"Deine Aufgaben
Als Full Stack Developer (m/w/d) bist du maßgeblich an der Weiterentwicklung, Pflege und Modernisierung und dem Erfolg unserer Produkte beteiligt - je nach Team liegt der Fokus auf unseren internen Systemen für die Einspielung von Medienmaterial, der Anreicherung mit Metadaten für die Recherche bzw. Materialsuche für Journalisten, bis zur Bereitstellung für den Schnitt zur anschließenden Ausspielung im TV oder unseren digitalen Content-Plattformen
Basierend auf deinen Interessen finden wir gemeinsam das passende Projekt für dich und Du erarbeitest im Team auf Basis bestehender und zukünftiger Medien-Workflows flexible und modulare Lösungen. Du hast hierbei die Möglichkeit dich in neue Tech-Stacks einzuarbeiten, oder individuell deinen Schwerpunkt auf die Frontend- oder Backendentwicklung zu legen",,16d,False,501 to 1000,Company - Public,Media & Communication,,Broadcast Media,,0.61,0.73,3.5,3.2,3.5,3.0,3.6,"['""Good team and vibes."" (in 8 reviews)', '""Work life balance is great, colleagues are friendly."" (in 5 reviews)', '""Salary by commission is ok."" (in 4 reviews)', '""Good benefits."" (in 3 reviews)']","['""Salary was not engough, for the provised work"" (in 4 reviews)', '""No career support."" (in 7 reviews)']",4.0,
