Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Infineon Technologies AG,4.2,Cegléd,Soldering Technology (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

Backend
The backend segments enable the development of comprehensive innovation across the entire value chain: starting with chip manufacturing, to wafer testing, preassembly, package development and development of new materials. The backend cluster combines the competencies for planning, productivity, innovation and quality, assembly and testing.

The term gender in the sense of the General Equal Treatment Act (GETA) or other national legislation refers to the biological assignment to a gender group. At Infineon we are proud to embrace (gender) diversity, including female, male and diverse.",,30d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 380 reviews)', '""salary is good"" (in 371 reviews)', '""Good benefit for self and family"" (in 189 reviews)', '""Colleagues are friendly and helpful"" (in 311 reviews)', '""Regular 1:1 with management and good alignment"" (in 208 reviews)']","['""Descent pay, work life balance"" (in 380 reviews)', '""Low salary increment and flat out bonus payout to all"" (in 371 reviews)', '""Bad benefits and compensations for such a big company"" (in 189 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 311 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 208 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Cegléd,Factory Integration Engineer - Equipment Automation (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

Backend
The backend segments enable the development of comprehensive innovation across the entire value chain: starting with chip manufacturing, to wafer testing, preassembly, package development and development of new materials. The backend cluster combines the competencies for planning, productivity, innovation and quality, assembly and testing.

The term gender in the sense of the General Equal Treatment Act (GETA) or other national legislation refers to the biological assignment to a gender group. At Infineon we are proud to embrace (gender) diversity, including female, male and diverse.",,6d,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 380 reviews)', '""salary is good"" (in 371 reviews)', '""Good benefit for self and family"" (in 189 reviews)', '""Colleagues are friendly and helpful"" (in 311 reviews)', '""Regular 1:1 with management and good alignment"" (in 208 reviews)']","['""Descent pay, work life balance"" (in 380 reviews)', '""Low salary increment and flat out bonus payout to all"" (in 371 reviews)', '""Bad benefits and compensations for such a big company"" (in 189 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 311 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 208 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Budapest,Electrical Engineer / Physicist Electrical Development Power Semiconductors (f/m/div),"Part of your life. Part of tomorrow.

We make life easier, safer and greener - with technology that achieves more, consumes less and is accessible to everyone. Microelectronics from Infineon is the key to a better future. Efficient use of energy, environmentally-friendly mobility and security in a connected world - we solve some of the most critical challenges that our society faces while taking a conscientious approach to the use of natural resources.

- Industrial Power Control (IPC) empowers a world of unlimited energy -

Power semiconductors play a crucial role in increasing efficiency and reducing energy losses along the whole energy conversion chain.
As the global leader in power semiconductors, Infineon IPC delivers leading products and solutions for smart and efficient energy generation, transmission and consumption. We strive to make this planet a greener place where sufficient energy is accessible to everyone - wherever and whenever they need it.


for more information about working at IPC with interesting employee and management insights and an overview with more .",,30d+,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 380 reviews)', '""salary is good"" (in 371 reviews)', '""Good benefit for self and family"" (in 189 reviews)', '""Colleagues are friendly and helpful"" (in 311 reviews)', '""Regular 1:1 with management and good alignment"" (in 208 reviews)']","['""Descent pay, work life balance"" (in 380 reviews)', '""Low salary increment and flat out bonus payout to all"" (in 371 reviews)', '""Bad benefits and compensations for such a big company"" (in 189 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 311 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 208 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
Infineon Technologies AG,4.2,Budapest,Electric Development Engineer (L&M ED) (f/m/div)*,"Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

- Industrial Power Control (IPC) empowers a world of unlimited energy -

Power semiconductors play a crucial role in increasing efficiency and reducing energy losses along the whole energy conversion chain.
As the global leader in power semiconductors, Infineon IPC delivers leading products and solutions for smart and efficient energy generation, transmission and consumption. We strive to make this planet a greener place where sufficient energy is accessible to everyone - wherever and whenever they need it.

Click here
for more information about working at IPC with interesting employee and management insights and an overview with more .",,30d+,False,10000+,Company - Public,Manufacturing,1999,Electronics Manufacturing,$10+ billion,0.87,0.95,3.9,3.8,4.1,3.7,4.1,"['""Good work life balance and ambitious"" (in 380 reviews)', '""salary is good"" (in 371 reviews)', '""Good benefit for self and family"" (in 189 reviews)', '""Colleagues are friendly and helpful"" (in 311 reviews)', '""Regular 1:1 with management and good alignment"" (in 208 reviews)']","['""Descent pay, work life balance"" (in 380 reviews)', '""Low salary increment and flat out bonus payout to all"" (in 371 reviews)', '""Bad benefits and compensations for such a big company"" (in 189 reviews)', '""Sometimes colleagues gets too busy and no time to assign me new work"" (in 311 reviews)', '""Bad management without clear direction and full of empty talks about the future"" (in 208 reviews)']",3.9,"['Health Insurance (22 comments)\n""Great coverage, currently from Advance Care.""', 'Vacation & Paid Time Off (17 comments)\n""No questions asked, you are frew to take your vacations""', '401K Plan (12 comments)\n""4.5%+3% match available for all""']"
LEGO,4.5,Hungary,Engineer,"Job Description
Are you interested in playing a core part in one of the LEGO group’s software engineering R&D team?

This is your opportunity to come onboard and join a growing Digital product team supporting our Manufacturing organisation.
Core Responsibilities:
Together with the team, you'll be involved in making consistent and meaningful improvements to the codebase, championing standard processes in your chosen area and taking ownership for the things that you deliver:",,5d,False,10000+,Company - Private,Manufacturing,1932,Consumer Product Manufacturing,,0.89,0.95,3.6,4.2,4.6,4.1,4.3,"['""Good benefits for a retail shop"" (in 146 reviews)', '""Great people and great environment"" (in 277 reviews)', '""Good pay Friendly Good hours"" (in 190 reviews)', '""Also good work life balance"" (in 154 reviews)', '""Management is amazing and benefits are great!"" (in 129 reviews)']","['""No Benefits (Unless you are ASM and M) Limited Hours Standard pay with little means to move up in company"" (in 146 reviews)', '""Danish language is preferred in some areas, even though people are able to speak English"" (in 277 reviews)', '""low pay and sales targets to meet"" (in 190 reviews)', '""No work life balance"" (in 154 reviews)', '""Management is awful, once took me into the office because I helped a customer for ""too long""."" (in 129 reviews)']",4.4,"['Employee Discount (39 comments)\n""Discount on all LEGO products and local Company store on-site.""', '401K Plan (17 comments)\n""They certainly make enough money to contribute more""', 'Vacation & Paid Time Off (7 comments)\n""Vacation time is based on your length of service""']"
Brandwatch,3.6,Budapest,Site Reliability Engineer,"Brandwatch is the world’s premier social suite, empowering over 7,500 of the world’s most admired companies to understand and engage with customers at the speed of social.

Combining pioneering, AI-enriched digital consumer intelligence with industry-leading social media management tools, Brandwatch offers a complementary suite of specialized, best-in-class products and services that support intelligently connected workflows. With Brandwatch, brands and agencies can adapt and thrive in today’s fast moving digital world by making smarter decisions and executing data-driven social strategies at every customer touchpoint.

Operating and serving clients the world over, Brandwatch has 15 offices across the globe and more than 1,000 employees worldwide. Brandwatch is a Cision Company.

As a Site Reliability Engineer, you will help build, scale, maintain, and improve the infrastructure of a fast-growing Customer Experience platform. You will be using modern technology to solve hard problems in a friendly and supportive work environment. You will be encouraged to share your experience and knowledge, collaborating with your colleagues to grow together!",,30d+,True,1001 to 5000,Company - Private,Information Technology,2007,Enterprise Software & Network Solutions,,0.61,0.33,3.4,3.2,3.5,3.2,4.0,"['""The people are great and you\'re encouraged to take responsibility and follow your inclinations."" (in 98 reviews)', '""Good benefits if you close deals"" (in 42 reviews)', '""Great culture"" (in 75 reviews)', '""great leadership, focus on learning, take care of employees"" (in 49 reviews)', '""The absolute worst company and management I\'ve ever worked for."" (in 54 reviews)']","['""The people were pushy and arrogant."" (in 98 reviews)', '""Not a lot of benefits (wellness/ exercise/ food)"" (in 42 reviews)', '""Longstanding and new employees are all leaving because the culture has changed so much and the strategy was a complete mess."" (in 75 reviews)', '""A sinking ship after new American leadership came on board."" (in 49 reviews)', '""management constantly changing."" (in 54 reviews)']",4.1,
Sanofi,4.0,Budapest,Data Engineer,"Job Title: Data Engineer
Location: Budapest – Sanofi Business Services, Váci Greens
Flexible working: 60% home office / week
Job type: Permanent, Full time
About the job
About the Digital Data team
We are an innovative global healthcare company, driven by one purpose: we chase the miracles of science to improve people’s lives. Our team, across some 100 countries, is dedicated to transforming the practice of medicine by working to turn the impossible into the possible. We provide potentially life-changing treatment options and life-saving vaccine protection to millions of people globally, while putting sustainability and social responsibility at the center of our ambitions.",,30d+,False,10000+,Company - Public,Pharmaceutical & Biotechnology,1973,Biotech & Pharmaceuticals,$10+ billion,0.78,0.87,3.6,3.8,3.8,3.5,3.7,"['""Good benefits and vacation time"" (in 483 reviews)', '""Salary is good but possibly to compensate for what the company lacks"" (in 482 reviews)', '""Great culture and company really looks out for retaining talent"" (in 480 reviews)', '""Good work life balance and 401K"" (in 348 reviews)', '""Great people and experience ."" (in 406 reviews)']","['""Not always the best compensation and benefits, culture can be restrictive"" (in 483 reviews)', '""Low salaries and tons of work"" (in 482 reviews)', '""Toxic culture (at that time period 2016"" (in 480 reviews)', '""Lots of expectation and no work life balance."" (in 348 reviews)', '""As with any research environment there are great people to work."" (in 406 reviews)']",4.3,"['Health Insurance (176 comments)\n""Comprehensive plans across medical, dental, vision.""', 'Vacation & Paid Time Off (114 comments)\n""Great time off including pto, personal days, holidays, company shut down""', '401K Plan (96 comments)\n""150 % matching 401K plan!""']"
EPAM Systems,4.3,Hungary,Data Analytics Engineer,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.

No less important is the safety, well-being, and experience of our applicants. Therefore until further notice, all EPAM employment interviews will be conducted remotely. Our recruitment professionals and hiring managers are standing by to ensure a robust and engaging virtual candidate experience. We look forward to speaking with you! For further information please check our web site at www.epam.com.

We are looking for a talented to extend our team of professionals who can help our customers achieving their digital transformation through data in variety of industries. We are passionate about delivering value from data and are searching for people with the same mindset to join our team!

Learn more about our Data Practice here.

WHAT YOU’LL DO

WHAT YOU HAVE

WE OFFER",,30d+,False,10000+,Company - Public,Information Technology,1993,Information Technology Support Services,$1 to $5 billion,0.84,0.9,4.1,3.6,4.2,4.0,4.1,"['""Salary good and competitive for colombians"" (in 1724 reviews)', '""Good management and processes inside company"" (in 649 reviews)', '""all good and work life balance"" (in 474 reviews)', '""Good benefits and I liked the people I worked with"" (in 525 reviews)', '""Great people to work with and strong collaboration spirit"" (in 667 reviews)']","['""Existing Salary was low and very hard increase"" (in 1724 reviews)', '""there where poor management some times"" (in 649 reviews)', '""need to have more work life balance and no fun activities"" (in 474 reviews)', '""No benefits except for the company learning system."" (in 525 reviews)', '""People are good but some politics is around so better to have very transperant discussions about the project."" (in 667 reviews)']",4.1,"['Health Insurance (39 comments)\n""There is no in office health insurance support""', 'Vacation & Paid Time Off (34 comments)\n""15 days off after completing 1 year""', '401K Plan (21 comments)\n""good contribution from company side""']"
Continental,4.1,Budapest,AI Data Engineer Intern,"Your tasks
In the Continental ADAS Budapest Artificial Intelligence Competence Centre, we are creating the next generation of software solutions to power safety-critical systems and enable autonomous driving features in new vehicles around the globe. We are working towards Vision Zero, a goal to eliminate thousands of fatal accidents happening every day on the world’s roads. Our aim is to develop cutting edge techniques that sense and understand the vehicle environment.

We are looking for creative minds who are passionate to shape the future of autonomous driving and to bring world class perception solutions into our camera products: forward looking cameras, surround view cameras, high resolution 3D flash lidar, and sensor fusion systems.",,1 day ago,False,1001 to 5000,Company - Private,,,,,,,,,,,,,,,
LEGO,4.5,Hungary,SAP BW Engineer(s) with data engineering flair,"Job Description
Are you curious to learn and motivated to work with data and business intelligence in an IT organization? Or do you seek to use and improve your SAP-BW, HANA or Data Warehousing skills even further?
Come join our amazing team and bring your great BI and data engineering ideas to the table and help us build a strong data foundation for the LEGO Group!
We are hiring more positions on different seniority levels! It can be based in either Billund, Denmark or Budapest, Hungary.
Core Responsibilities:",,5d,False,10000+,Company - Private,Manufacturing,1932,Consumer Product Manufacturing,,0.89,0.95,3.6,4.2,4.6,4.1,4.3,"['""Good benefits for a retail shop"" (in 146 reviews)', '""Great people and great environment"" (in 277 reviews)', '""Good pay Friendly Good hours"" (in 190 reviews)', '""Also good work life balance"" (in 154 reviews)', '""Management is amazing and benefits are great!"" (in 129 reviews)']","['""No Benefits (Unless you are ASM and M) Limited Hours Standard pay with little means to move up in company"" (in 146 reviews)', '""Danish language is preferred in some areas, even though people are able to speak English"" (in 277 reviews)', '""low pay and sales targets to meet"" (in 190 reviews)', '""No work life balance"" (in 154 reviews)', '""Management is awful, once took me into the office because I helped a customer for ""too long""."" (in 129 reviews)']",4.4,"['Employee Discount (39 comments)\n""Discount on all LEGO products and local Company store on-site.""', '401K Plan (17 comments)\n""They certainly make enough money to contribute more""', 'Vacation & Paid Time Off (7 comments)\n""Vacation time is based on your length of service""']"
