Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
CSL Ltd,,Carlow,Tendering Engineer,"Due to continued expansion, CSL is currently recruiting for a Tendering Engineer to be based at our head office in Carlow. This is a full time and permanent position and is an excellent opportunity to gain experience within a well-established company working in the water industry.
The Role: Tendering Engineer
Reporting to Senior Management this individual will be required to work on their own initiative based upon external and internal tender and project inquires.
Prepare and analyse project costings for tenders, including materials, quantities, labour and time.
Compiling tender documentation for submission to client. Variation of small to large project works.",,30d+,True,,,,,,,,,,,,,,,,,
Takeda Pharmaceutical,4.1,Wicklow,Automation Engineer,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
About the role:
Location - Bray - fully onsite
SME in Manufacturing Systems, Operational Technology, Machine Automation and Digitalization
Bray, Ireland
Employee
Regular
Full time",,3d,False,10000+,Company - Private,Pharmaceutical & Biotechnology,1781,Biotech & Pharmaceuticals,$10+ billion,0.84,0.89,3.7,4.1,4.0,3.6,3.9,"['""Good benefits and health care"" (in 45 reviews)', '""Pay is decent"" (in 46 reviews)', '""Good Work Life Balance for employees"" (in 38 reviews)', '""Good people that makes working great"" (in 45 reviews)', '""Encouraging management, learning opportunities, self management"" (in 25 reviews)']","['""The pay is not competitive compared to other similar companies."" (in 46 reviews)', '""system is not efficient, no work life balance"" (in 38 reviews)', '""""How good the people are"" is constantly cited as a reason why the site is great to work at while expecting key contributors to work 80+ hours a week."" (in 45 reviews)', '""Management is bad and getting worse."" (in 25 reviews)']",4.4,"['Vacation & Paid Time Off (97 comments)\n""Increasing PTO to reward tenured employees.""', '401K Plan (65 comments)\n""Good match on 401k, last I remember was 4% match""', 'Health Insurance (61 comments)\n""Comprehensive health plans to select from""']"
UnitedHealth Group,3.7,Dublin,Senior Data Engineer,"Optum, the fast-growing part of UnitedHealth Group, is a leading information and technology-enabled health services business. Our teams are dedicated to modernizing the health care system and improving the lives of people and communities.

Serving virtually every dimension of the health system, we work with a diverse set of clients across 150 countries – from those who diagnose and treat patients to those who pay for care, deliver health services, and those who supply the cures. Optum maintains operations across North America, South America, Europe, Asia Pacific and the Middle East. Our innovative partnerships provide technology and tools that enable unprecedented collaboration and efficiency. As a result, we can tap into valuable health care data to uncover insights and develop strategies for better care at lower costs.

Here at Optum, part of United Health Group we'll put you in the driver's seat on vital projects that have strategic importance to our mission of helping people lead healthier lives. Yes, we share a mission that inspires. We need your organizational talents and business discipline to help fuel ours.",,2d,False,10000+,Company - Public,Healthcare,1977,Health Care Services & Hospitals,$10+ billion,0.67,0.75,3.5,3.4,3.7,3.3,3.6,"['""Work life balance is good"" (in 128 reviews)', '""Great benefits in the company"" (in 51 reviews)', '""Good pay"" (in 93 reviews)', '""Good scheduling and management …."" (in 48 reviews)', '""Giving learning opportunities and job security is little better"" (in 84 reviews)']","['""Lack of work/life balance."" (in 128 reviews)', '""Cost cutting and no additional benefits at all."" (in 51 reviews)', '""The only con is low pay"" (in 93 reviews)', '""Bad management Is over there"" (in 48 reviews)']",3.2,"['Health Insurance (599 comments)\n""Empresa com bons profissionais, mas sem plano de carreira""', '401K Plan (380 comments)\n""401K has a competitive matching program.""', 'Vacation & Paid Time Off (315 comments)\n""As a salaried employee, has a generous amount of PTO just starting out""']"
Coolrite,,Bailieborough,Refrigeration Engineers and Apprentices,"Refrigeration & Air Conditioning Engineers
To Work on Refrigeration Installations in Food Processoing Plants, Supermarkets, Pharmaceutical Plants, Retail Food outlets and various other Refrigeration applications.
To work on Air Conditioning installations in Office Blocks, Hotels, Data Centres, Retail outlets, and various other applications.
Apprentices who are serving their time and new apprentices for registration with Solas, to work on above type sites, they will recieve full training in all Refrigeration & Air Conditioning skills from our top class qualified engineers.
Excelent terms and package to all suitable applicants.",,30d+,True,,,,,,,,,,,,,,,,,
Hewlett Packard Enterprise,4.2,Galway,Platform Security Engineer,"Platform Security Engineer

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs.
Engineering
Expert",,30d+,False,10000+,Company - Public,Information Technology,2015,Information Technology Support Services,,0.87,0.94,3.8,3.7,4.3,3.8,4.3,"['""Good work life balance and you get to work from home"" (in 173 reviews)', '""&gt; Decent salary"" (in 172 reviews)', '""Good work culture and ethics"" (in 130 reviews)', '""good management and less work"" (in 91 reviews)', '""Good benefits and you get goodies every now and then."" (in 70 reviews)']","['""No work life balance"" (in 173 reviews)', '""Salaries are low amongst others in comparison to the same position within the organization."" (in 172 reviews)', '""No growth and no off on festivals work culture is not up to mark."" (in 130 reviews)', '""Bad management, people leaving and instead new hires more work without any raise of salary."" (in 91 reviews)', '""Average Benefits, Little room from progression"" (in 70 reviews)']",3.6,"['Health Insurance (347 comments)\n""Good health benefit for family""', 'Vacation & Paid Time Off (169 comments)\n""No paid off time at all""', '401K Plan (160 comments)\n""Their 401 and they did matching""']"
Procad Engineering,5.0,Limerick,Mechanical Building Services Design Engineer,"Your Contribution:
Procad Engineering shares a passion for lifelong learning. By joining us, you will receive comprehensive and structured professional training and development support, a collaborative environment and exposure to all aspects of delivering leading industrial facilities. Since our opening in 1995, we have grown into a significant multidisciplinary engineering firm delivering substantial projects for Food & Beverage, Pharmaceutical, Medical Device, and Semiconductor manufacturing clients in Ireland and abroad.
People are our greatest asset, and we offer a competitive package, leading work-life balance and flexibility. We are ready to accommodate flexible, part-time and hybrid working conditions suitable to you and our organisation.
You will become an essential part of the team, assisting the delivery of industrial facilities with your mechanical design and project management experience. We offer a dynamic and rewarding career as part of the industry-leading and recognised multidisciplinary consultancy working on challenging and exciting projects for some of the biggest names in Ireland.",,30d+,True,1 to 50,Company - Private,"Construction, Repair & Maintenance Services",1995,Architectural & Engineering Services,$1 to $5 million,1.0,,5.0,5.0,5.0,5.0,5.0,"['""life balance and easy to get along, knowledgeable colleagues."" (in 2 reviews)', '""Good career growth"" (in 1 reviews)', '""Attractive salary package."" (in 1 reviews)']","['""No free food, coffee or beanbags."" (in 1 reviews)']",,
ficonTEC Service GmbH,,Cork,Process and applications engineer (f/m/d)-Automation Background,"About us
ficonTEC Ireland is located inside Tyndall National Institute in the city of Cork, 253 km from the capital of Ireland, Dublin. ficonTEC Ireland is part of ficonTEC Service GmbH, a leading manufacturer of automated assembly and test equipment for several technical market areas, such as telecommunications, Lidar, Metrology, and assembly of high-quality optical beam lines, such as cameras.
We are hiring
Process and applications engineer (f/m/d)-Automation Background
What will you do?",,30d,True,,,,,,,,,,,,,,,,,
Hewlett Packard Enterprise,4.2,Galway,Cloud Engineer - Zero Trust,"Cloud Engineer - Zero Trust

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Advance the way you live and work at HPE.
Who We Are:
A career in the HPE GreenLake Platform Cloud (GLCP) team allows you the opportunity to create history and push the industry forward, redefining the state of the art in what cloud computing means. Come and help us build a large scale, enterprise ready platform, powering a hybrid edge-to-cloud world. Our platform allows some of the largest most diverse enterprises in the world to deliver with speed, agility, and scale – while keeping their data where it needs to be, and ensuring their sustainability and green goals are met and exceeded.
Engineering
Entry",,30d+,False,10000+,Company - Public,Information Technology,2015,Information Technology Support Services,,0.87,0.94,3.8,3.7,4.3,3.8,4.3,"['""Good work life balance and learn"" (in 311 reviews)', '""Nice helping environment and good salary"" (in 287 reviews)', '""Good and challenging work with good culture"" (in 239 reviews)', '""Great people and fun work"" (in 197 reviews)', '""Good benefits Opportunity to grow"" (in 110 reviews)']","['""no work life balance for beginners and freshers"" (in 311 reviews)', '""not a stable company and less salary"" (in 287 reviews)', '""Culture was badly impacted by the several acquisitions and spin off."" (in 239 reviews)', '""Always laying off people."" (in 197 reviews)', '""Bad in hikes and benefits"" (in 110 reviews)']",3.6,"['Health Insurance (347 comments)\n""Good health benefit for family""', 'Vacation & Paid Time Off (169 comments)\n""No paid off time at all""', '401K Plan (160 comments)\n""Their 401 and they did matching""']"
SSVFX,,Dublin,VFX Systems Engineer - On site,"SSVFX is an internationally acclaimed visual effects house based in Dublin, Ireland with offices in
Los Angeles and London. SSVFX caters for big-budget feature film work, independent feature films and high-end TV series. SSVFX are proud to boast an array of awards and nominations that include a
VES win for Game of Thrones, as well as other BAFTA, VES, HPA, RTS, AEAF and IFTA nominations and wins.
SSVFX is continuing to develop its range of service offerings, building authentic and long-lasting connections with clients across the industry.
Job Description:
The VFX Systems Engineer (SE) is an integral part of our technology team. Reporting to the Head of
Technology, the SE role offers candidates an incredible opportunity to advance their technical skills in one of Ireland’s leading visual effects studios. As we continue to grow, we are looking for a skilled
SE to join our team and help shape the future of visual effects technology in Ireland.",,30d+,True,,,,,,,,,,,,,,,,,
Hewlett Packard Enterprise,4.2,Galway,GreenLake Cloud Platform Zero Trust Security - Master Level Engineer,"GreenLake Cloud Platform Zero Trust Security - Master Level Engineer

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Advance the way you live and work at HPE.
Who We Are:
A career in the HPE GreenLake Platform Cloud (GLCP) team allows you the opportunity to create history and push the industry forward, redefining the state of the art in what cloud computing means. Come and help us build a large scale, enterprise ready platform, powering a hybrid edge-to-cloud world. Our platform allows some of the largest most diverse enterprises in the world to deliver with speed, agility, and scale – while keeping their data where it needs to be, and ensuring their sustainability and green goals are met and exceeded.
Engineering
Master",,28d,False,10000+,Company - Public,Information Technology,2015,Information Technology Support Services,,0.87,0.94,3.8,3.7,4.3,3.8,4.3,"['""Good work life balance and learn"" (in 311 reviews)', '""Nice helping environment and good salary"" (in 287 reviews)', '""Good and challenging work with good culture"" (in 239 reviews)', '""Great people and fun work"" (in 197 reviews)', '""Good benefits Opportunity to grow"" (in 110 reviews)']","['""no work life balance for beginners and freshers"" (in 311 reviews)', '""not a stable company and less salary"" (in 287 reviews)', '""Culture was badly impacted by the several acquisitions and spin off."" (in 239 reviews)', '""Always laying off people."" (in 197 reviews)', '""Bad in hikes and benefits"" (in 110 reviews)']",3.6,"['Health Insurance (347 comments)\n""Good health benefit for family""', 'Vacation & Paid Time Off (169 comments)\n""No paid off time at all""', '401K Plan (160 comments)\n""Their 401 and they did matching""']"
,,,,,,30d+,True,,,,,,,,,,,,,,,,,
Atlantic Flight Training Academy,,Cork,Continuing Airworthiness Engineer,"Applications are invited for an individual with Continuing Airworthiness experience to join our dynamic, professional yet very friendly aircraft maintenance team.
Atlantic Flight Training Academy operates a large fleet of Cessna 172 and Diamond DA42 aircraft training domestic and international pilot cadets for some of the world’s largest airlines. The successful candidate will be responsible for maintaining oversight of all air-worthiness activities and active control over the Continuing Airworthiness Management tasks. In addition, they will be responsible for the purchasing requirements of the Aircraft Maintenance Department.
Role and Responsibilities
Take responsibility for Continuing Airworthiness Management tasks on our fleet of aircraft.",,20d,True,,,,,,,,,,,,,,,,,
Ground Investigations Ireland,,Newcastle,"Graduate Geologist, Engineering Geologist, Geotechnical Engineer","Ground Investigations Ireland are recruiting Geologists, Engineering Geologists and Geotechnical Engineers at graduate level for a number of positions. The successful candidate will work on a broad range of Geotechnical projects. The role will focus mainly on geotechnical projects with an overlap with parallel geo-environmental site investigations.
The role will be based in our Dublin office while also working on a diverse range of projects throughout the country.
As this is a graduate role full training and mentoring will be provided by a senior Engineer/Geologist.
Competitive salary.",,28d,True,,,,,,,,,,,,,,,,,
Linesight,4.2,Leixlip,Mechanical Engineer QS,"As a Mechanical Engineer at Linesight, you have the opportunity to transition into Quantity Surveying, you will work with highly experienced, culturally diverse, and passionate teams nurturing a strong social dynamic and a shared sense of achievement. You will gain vast industry experience that will open doors for you, extend your skillset and expand your perspective. We will empower, support, and enable you to take real responsibility in your role so that you can take charge of your career progression with us. For us lasting trusted relationships are everything, both with our teams and our clients.
In this role you will:
Actively partner with clients, responding to their requests accurately and on time
Assist in creating cost analysis feedback and lessons learned to the client for future works",,24h,False,501 to 1000,Company - Private,Management & Consulting,1974,Business Consulting,,0.94,0.96,4.2,3.9,4.3,4.2,4.3,"['""Friendly colleagues and decent salary."" (in 2 reviews)', '""Good teamwork."" (in 2 reviews)', '""Great working environment and young team with opportunities to grow."" (in 1 reviews)']","['""Management only promotes those favorites, especially expatriates."" (in 1 reviews)']",,
Curran BIM Management Ltd,,Clare,BIM Engineer,"Curran BIM Management has a number of immediate requirements (client design office based) for experienced BIM Engineers / Technicians with a key client in Limerick.
Our client has a major presence across the engineering and contracting space both in Ireland, UK and Mainland Europe and has a proven track record of delivering leading solutions to Data Centre, Semi-Conductor and Life Science industries.
Please note these roles are full-time design offices based in our clients office in Limerick.
For further information, please apply below or call Daniel on 087 - 242 1331 for a confidential chat today.
Role Overview",,23d,True,,,,,,,,,,,,,,,,,
Johnson & Johnson,4.2,Limerick,Process technician,"PROCESS TECHNICIAN JOB DESCRIPTION
Location: Limerick
Contract: Permanent
Shift Pattern: 4-cycle shift
We at Vision Care based in limerick, are currently recruiting Process/ Maintenance Technicians to Support Our Growing, 24/7, Fully Automated Manufacturing Facility. The successful candidate will have a 120 credit Level 6, and a background in a Technical, Mechanical, Electrical, Electronic, Moulding, Automation or Related Discipline. (e.g., Electricians, Motor Mechanics, Fitters, Plumbers, Engineers Etc.)",,29d,False,10000+,Company - Public,Pharmaceutical & Biotechnology,1887,Biotech & Pharmaceuticals,$10+ billion,0.86,0.9,3.9,4.1,4.2,3.8,4.0,,,4.4,"['Health Insurance (253 comments)\n""nothing great, just regular health insurance""', 'Vacation & Paid Time Off (118 comments)\n""so-so average nothing extraordinary tbh""', 'Maternity & Paternity Leave (83 comments)\n""maternity can be improved to be honest""']"
Tata Consultancy Services,3.9,Letterkenny,Splunk Engineer,"Role: Splunk Engineer
Job Type: Permanent
Location: Letterkenny (Hybrid)

Want to future proof your career with a leading global IT Consultancy company?
Do you have solid experience with Splunk Enterprise Security or integration with other SIEM platforms?
Join Tata Consultancy Services as a Splunk Engineer!

Careers at TCS: It means more
TCS is a purpose-led transformation company, built on belief. We don’t just help businesses to transform through technology. We support them in making a meaningful difference to the people and communities they serve - our clients include some of the biggest brands in Ireland and worldwide. For you, it means more opportunity to make an impact that matters, through challenging projects which demand ambitious innovation.


As a , you will support Splunk Enterprise Security administration and management, managing enterprise SIEM infrastructure to improve data ingestions processes, including architectural work. You will provide overall engineering and design support for a distributed Splunk environment consisting of heavy forwarders, indexers, and search head servers, spanning security, performance, and operational roles.




TCS is consistently voted a Top Employer in the UK&I and globally. Our competitive salary packages feature pension, health care, life assurance, laptop, phone, access to extensive training resources and discounts within the larger Tata network.


At TCS, we believe in building and sustaining a culture of equity and belonging where everyone can thrive. Our diversity motto is ‘Inclusion without Exception’.

We encourage applications from all sections of society. As an equal opportunity employer, we do not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, sex, pregnancy and maternity, citizenship, marital, domestic or civil partnership status, sexual orientation, gender reassignment, gender identity, or any other basis as protected by applicable law.

TCS is committed to working with and providing reasonable accommodations to its employees and applicants for employment to ensure that individuals with disabilities enjoy equal access to all employment opportunities. If you are an applicant who needs an accommodation due to a disability to complete an employment application or during any phase of the hiring process, please contact us at with the subject line: ""Disability Accommodation Request"".",,28d,True,10000+,Company - Public,Information Technology,1968,Software Development,$10+ billion,0.74,0.85,3.7,3.1,4.0,3.3,3.9,"['""Good work life balance and also many thing to grow as a employee and a person"" (in 5831 reviews)', '""Salary is good and benifts also"" (in 8287 reviews)', '""Good job security and policies"" (in 7128 reviews)', '""good in work culture good in work culture good in work culture good in work culture good in work culture"" (in 2951 reviews)', '""Management is good and helpful is everyway possible"" (in 2113 reviews)']","['""No work life balance for some people and some people doesn\'t have work to do."" (in 5831 reviews)', '""Salary will be less for bps process hikes and promotion are way ahead thats all nothing to add"" (in 8287 reviews)', '""Less job security"" (in 7128 reviews)', '""Bad work culture and work type"" (in 2951 reviews)', '""Poor management and they put a person to any project without knowing their skills and interests."" (in 2113 reviews)']",3.3,"['Health Insurance (353 comments)\n""Good Insurance coverage, but does not cover 65+ parents. You need to pay more to cover them.""', 'Vacation & Paid Time Off (175 comments)\n""Provide timely approvals and paid leave can be carry forward""', '401K Plan (99 comments)\n""50% match for first 5%.""']"
Centrica,3.6,Galway,M&E Project Manager,"M&E Project Manager
Dublin / Home Based / Flexible Locations Ireland
Salary €45,000 to €70,000 DOE + amazing benefits
Overview
Centrica Business Solutions is a subsidiary of Centrica plc incorporating Bord Gais Energy.
At Centrica Business Solutions (CBS) we provide integrated energy solutions that deliver cost efficiency, resilience and accelerate our customers’ journeys to a low carbon future. We serve business and public sector organisations, increasingly focusing on delivering decarbonisation of power, heating and transport through our portfolio of solutions.",,16d,False,10000+,Company - Public,"Energy, Mining & Utilities",1997,Energy & Utilities,$10+ billion,0.63,0.7,3.1,3.4,3.4,3.0,3.7,"['""Great people to work with"" (in 9 reviews)', '""Good work life balance"" (in 5 reviews)', '""Food company spirit and nice people"" (in 4 reviews)', '""Good benefits"" (in 3 reviews)']","['""Don\'t think about our people enough."" (in 9 reviews)', '""The leadership was quite detached"" (in 6 reviews)']",3.1,
