Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
BIyond,4.4,Israel,Data Engineer,"At BIyond, we utilize Big Data, data science algorithms and process massive amounts of data in order to deliver the product’s core features.
We are looking for a Data Engineer to join our team
What will you do?
Analyze data sources to reach actionable recommendations for business decisions.
Design and create ETLs, reports and dashboards that will provide insights about the product and business performance.
Build data-based tools and models for performance monitoring and optimization.
You’ll own a problem end-to-end and use your knowledge and creativity to answer business problems using real data.",,30d+,False,1 to 50,Company - Private,,,,,1.0,,3.5,2.5,3.0,3.5,3.5,"['""Can work from home, good people"" (in 1 reviews)']","['""Salary is not the highest."" (in 1 reviews)']",,
Roundforest,4.1,Ramat Gan,Fullstack Engineer,"Roundforest is on a mission to help busy people make shopping decisions with peace of mind. We’re looking for a passionate candidate who gets excited about the opportunity to join our journey and impact 40,000,000 consumers (and counting).
Fullstack engineer objective:
Bring Roundforest’s products to the next level by designing and delivering high quality code.
At Roundforest, we value creative thinking and therefore often will do things differently. Accordingly, Roundforest's Fullstack engineer role may differ in a few ways from similar positions out there:
You are a key member of a cross-functional team which is responsible for one of Roundforest’s main products.

Requirements:",,30d+,True,1 to 50,Company - Private,,,,,0.76,0.87,3.9,4.1,4.1,3.9,4.2,"['""weekly meeting with my direct manager, the VP of Engineering, and if I share something that’s not working for me, it’s taken care of immediately."" (in 4 reviews)', '""The CEO is all about empowerment."" (in 4 reviews)', '""We completely revamped our technical stack and invested in a unique and super friendly developer’s environment and workflow."" (in 7 reviews)', '""We are 100% committed to change and we are working diligently to build a company that will make us all proud."" (in 4 reviews)', '""Competitive salaries, employee options, expenses for wellness and more!"" (in 2 reviews)']","['""Average CEO."" (in 4 reviews)']",,
Melio,3.6,Tel Aviv-Yafo,Data Engineer,"We're looking for an experienced Data Engineer to take a major part in building our modern data analytics framework, including pipelines' orchestration, data processing and data warehouse modeling.
As a Data Engineer, you will collaborate with various stakeholders to design, develop and maintain data analytics solutions, using the latest tools and technologies.
Minimum qualifications to apply this role:
4+ years experience working as a BI Developer or as a Data Engineer
Excellent SQL skills
Python proficiency",,24d,True,201 to 500,Company - Private,Management & Consulting,2018,Research & Development,,0.69,1.0,3.6,3.9,3.7,3.4,3.8,"['""Great growth opportunities."" (in 3 reviews)', '""People are amazing Technology is top Working on a new stuff and ideas"" (in 2 reviews)']","['""Challenging code base which is almost impossible to debug."" (in 3 reviews)', '""Awful old and messy codebase, zero communication between squads leading to massive delays in roadmap planning and execution."" (in 2 reviews)', '""touch upper management with a patronizing attitude (the very oppposite of a flat organizational structure);"" (in 2 reviews)']",4.8,
Neura,4.8,Herzliya,Data Engineer,"Develop an effective, coherent, reliable and phased data architecture approach to help the business grow and change
You'll be expected to:
Develop and maintain processes to acquire, analyze, store, cleanse, and transform large datasets using tools like Spark, Kinesis, Hive etc
We need you to have:
Experience with:

At least 5 years’ experience in Software Development (Java/Scala)",,30d+,False,1 to 50,Company - Private,Information Technology,,Information Technology Support Services,,1.0,1.0,5.0,4.4,4.8,4.8,4.9,['No Pros have been reported by the Glassdoor community.'],"['""None, highly recommended company with great people"" (in 1 reviews)']",,
InspHire,5.0,Israel,Data Engineer,"A company that was founded in early 2018 with the purpose of creating great entertainment for mobile users around the globe is looking for an experienced Data Engineer with a real passion for building complex, high capacity analytical systems. The company's flagship game, an innovative multiplayer match 3 puzzle, is played by millions of players and the company is focused on making it even better with more players joining each day.
As a data engineer developer you will be part of the Data and Analysis team and strive to ensure the smooth running of all data pipelines, the integrity and quality of the product's data infrastructure. You will be responsible for designing and building comprehensive analytical systems that represent behavioral statistics of millions of players.
Responsibilities",,30d+,True,1 to 50,Company - Private,Management & Consulting,2017,Business Consulting,,,,,,,,,,,,
Tailor Brands,4.4,Israel,Data Engineer,"About us
With over 30 Million users on our platform, we’re here to change the future of business. Our all-in-one platform makes starting a business affordable and accessible to everyone - we welcome more than 800k new business owners every month. From our products to our careers, there are endless opportunities for growth.
Our team | Our core | Our dream fulfillers
When we started Tailor Brands, we wanted to help people to accelerate their growth and fulfill their dreams. This also defines us internally; we put our focus on maximizing individual impact and creating an environment of absolute transparency.
What we’re looking for

Requirements:",,30d+,True,1 to 50,Company - Private,Information Technology,2014,Internet & Web Services,,0.77,0.87,4.3,4.3,4.3,3.9,4.0,"['""Good people"" (in 8 reviews)', '""Work life balance is usually good."" (in 2 reviews)', '""It\'s not only the engineers that learn a lot here, all positions are pretty dynamic and impactful."" (in 3 reviews)', '""I think things are super open and clear and the management shares the status of the company every month, and once a quarter there\'s a deep dive (that\'s more than what I\'ve seen in other companies)."" (in 3 reviews)', '""Good compensation"" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
אמן מחשבים בע''מ,,Israel,Big Data Engineer,"Designing and developing cutting edge Big Data systems (include ML) • Designing and developing microservices for data access APIs and additional data enrichment and processing • Working with massive datasets, both structured and unstructured, using a variety of databases • Enforcing scalability and fault tolerance across all systems • Partnering with the product, business intelligence, and engineering teams to solve problems and identify trends and opportunities • Informing, influencing, supporting, and executing our product decisions and product launches • Experience working in AWS cloud environment • 2-3 years of experience with server-side and/or data development • Background in developing with real-time big data computation frameworks – Spark\EMR • High-level knowledge in backend-oriented programming languages Scala/SBT - Must, Python/JavaScript - Advantage • Background in working with NoSQL databases, such as ElasticSearch, Redis • Excellent verbal and written communication skills",,30d+,False,,,,,,,,,,,,,,,,,
Lili,3.7,Tel Aviv-Yafo,Data Engineer,"About Lili
Lili is an all-in-one banking app designed for small businesses. Combining banking services with real-time expense tracking, tax tools, and financial insights, Lili empowers small businesses with the tools they need to stay in control of their finances while saving time and money. Led by serial entrepreneurs with 20 years of fintech experience, CEO Lilac Bar David and CTO Liran Zelkha, Lili is backed by Group 11, Foundation Capital, AltaIR Capital, Primary Venture Partners and Torch Capital. Founded in 2018, Lili is headquartered in New York and serves customers in all 50 states. To learn more about Lili, visit Lili.co.
Innovation is in our DNA. It’s in our users’ DNA. We’re deeply humbled (and also running around screaming with joy!) to have been named one of the 50 Most Innovative Companies in the World in 2022 by @fastcompany, and ranked #1 in the Personal Finance Category.

Requirements:",,21d,True,51 to 200,Company - Private,Financial Services,2018,Banking & Lending,,0.57,,3.5,3.4,3.4,3.2,3.5,"['""Great people, great atmosphere and great mission."" (in 8 reviews)', '""The culture is excellent, and I feel supported and heard."" (in 6 reviews)', '""good benefit"" (in 2 reviews)']","['""The CEO will grace us with her presence about once a quarter only to yell at us individually for not \'caring enough about the company\' The culture in the NY office is there and its fine but most of us live in fear of being fired."" (in 6 reviews)', '""No bonuses."" (in 3 reviews)', '""This is not necessarily a con, as it is common in many startups and can be a great opportunity for professional growth and learning."" (in 2 reviews)']",4.0,
McKinsey & Company,4.4,Tel Aviv-Yafo,ML Engineer - Iguazio (Acquired by McKinsey),"Who You'll Work With
You will be based in our Tel Aviv office and you will work in a team of software engineers, product managers, data scientists, data engineers and designers to create innovative products and new technologies that accelerate and scale our work.
As an ML Engineer at Iguazio you will be part of our CTO innovation team and contribute to the development and delivery of our machine learning automation solution.
You will be working with our cutting-edge technology while bringing into play your data science experience and scientific knowledge to help our enterprise customers bring their data science to life. You’ll be implementing data-science and feature engineering modules in variety fields (ML, DL, NLP) for Iguazio open-source ML automation framework (MLRun), you will solve complex problems, build demos and take part in major customer POC projects, helping enterprise customers utilize their data with Ignazio's groundbreaking platform.",,12d,False,201 to 500,Company - Private,Management & Consulting,2009,Business Consulting,,0.96,1.0,4.8,4.4,4.3,4.2,3.2,"['""1. Best colleagues"" (in 4 reviews)', '""An amazing culture (in QB\\Labs) : autonomy, a startup culture, caring leadership, interesting and challenging work, quick progression (if you\'re good) and lots of trust, flexibility and fun."" (in 2 reviews)', '""&gt; flexible timing"" (in 2 reviews)', '""Good Pay (though pay"" (in 2 reviews)', '""&gt; free food"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],5.0,
Roundforest,4.1,Ramat Gan,Data Engineer,"Roundforest's mission is to simplify shopping. We’re looking for a passionate candidate who gets excited from the opportunity to join our journey and impact 40,000,000 consumers (and counting).
Data Engineer objective:
We're building tools and automations to help us optimize our marketing and user acquisition efforts. As part of this team, you'll work on managing performance data, integrating with multiple advertising platforms, you will implement algorithms to monitor our business performance and optimize our decision-making processes. This is a great opportunity to use your skills to make a meaningful impact on the company and contribute to our growth.
At Roundforest, we value creative thinking and therefore often will do things differently. Accordingly, Roundforest's Data Engineer role may differ in a few ways from similar positions out there:

Requirements:",,30d+,True,1 to 50,Company - Private,,,,,0.76,0.87,3.9,4.1,4.1,3.9,4.2,"['""weekly meeting with my direct manager, the VP of Engineering, and if I share something that’s not working for me, it’s taken care of immediately."" (in 4 reviews)', '""The CEO is all about empowerment."" (in 4 reviews)', '""We completely revamped our technical stack and invested in a unique and super friendly developer’s environment and workflow."" (in 7 reviews)', '""We are 100% committed to change and we are working diligently to build a company that will make us all proud."" (in 4 reviews)', '""Competitive salaries, employee options, expenses for wellness and more!"" (in 2 reviews)']","['""Average CEO."" (in 4 reviews)']",,
