Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Luchtverkeersleider.nl,2.9,Schiphol,Engineer infrastructuur buitenkabels,"Functie groep
Facilitair
Uren per week
38 uur
De afdeling
De afdeling GSI is verantwoordelijk voor het in stand houden van de gebouwen en bijbehorende infrastructuur én het optimaliseren van de facilitaire dienstverlening naar onze klanten binnen en buiten de LVNL organisatie. Om dit te realiseren is GSI verantwoordelijk voor zowel het ontwerp, het onderhoud, het leveren van facilitaire diensten, als eventuele vervanging van installaties en innovatie. Daarnaast heeft GSI een adviserende en coördinerende betrokkenheid bij veel LVNL projecten. GSI zal zich in de komende tijd verder ontwikkelen als partner van de bedrijfsonderdelen en in haar regievoering op leveranciers om de overeengekomen resultaten te garanderen
De afdeling GSI is verantwoordelijk voor het� facilitair- en technisch beheer (onderhouden, facilitaire dienstverlening, vervanging en ver-/nieuwbouw) van én voor de LVNL gebouwen, elektrotechnische en werktuigkundige gebouw-gebonden installaties, bijbehorende kabelinfrastructuren en terreinen.
Vanwege het specifieke karakter van onze organisatie en de hoge eisen die gesteld worden op het gebied van beschikbaarheid en veiligheid is er met betrekking tot installaties sprake van een hoog afbreukrisico.


Heb je interesse? Wil je meer informatie? Neem dan contact op met Remon Eijsackers (Teamleider beheer GSI) via 06-22568955. Voor vagen over de procedure kun je terecht bij Petra Tuin (HR Adviseur) op 06-12729845.

Voor deze functie is een VGB van toepassing.",,30d+,False,201 to 500,Company - Private,,1923,,,0.33,,3.3,3.8,2.3,2.4,3.0,"['""flexible and thoughtfull of its employees"" (in 2 reviews)', '""pats who decide to sign up, language training is really comprehensive."" (in 1 reviews)']","['""Slecht management"" (in 3 reviews)', '""Which meant absolutely zero empathy when sick or experiencing the after effects of COVID, and other cringe worthy behavior."" (in 1 reviews)', '""communication skills of many colleagues poor"" (in 1 reviews)']",,
Ericsson,4.2,Maastricht,Junior Integration Engineer - Packet Data,"Ben jij pas afgestudeerd aan Hogeschool Zuyd of Fontys en wil jij werken aan de meest moderne en complexe mobiele netwerken van de toekomst? Ericsson zoekt jou!
Organisatie
Ericsson is 's werelds grootste aanbieder van mobiele netwerken en vervoert 40% van al het mobiele verkeer. Ericsson is gespecialiseerd in IoT en 5G. In Nederland werkt de 5G HUB bijvoorbeeld samen met Vodafone/ Ziggo en Brainport Eindhoven om organisaties te informeren en de mogelijkheid te bieden om 5G te ervaren.
Ericsson werkt voor de grootste mobiele operators om hen te voorzien van state of the art technologie. Vanuit het kantoor in Maastricht werken dagelijks bijna 100 professionals voor hun klanten.",,9d,True,10000+,Company - Public,Telecommunications,1876,Telecommunications Services,$10+ billion,0.82,0.92,3.5,3.8,4.1,3.5,3.8,"['""+ your colleagues will most likely hold a degree in engineering + very interesting processes + very interesting tasks + good work/life balance"" (in 1426 reviews)', '""Good Salary for experienced and timely payout on the 25th of every month."" (in 1487 reviews)', '""Culture is good and inspiring"" (in 1169 reviews)', '""and good benefits"" (in 461 reviews)', '""Management is good and take care of me specially during COVID lockdown."" (in 579 reviews)']","['""There is unmanaged plan activity and no work life balance because of dynamic work stracture."" (in 1426 reviews)', '""Low salary and very low yearly increment"" (in 1487 reviews)', '""They will tell you they have such a good culture that it makes up for it."" (in 1169 reviews)', '""Promotional benefits low"" (in 461 reviews)', '"". Bad management"" (in 579 reviews)']",4.4,"['Vacation & Paid Time Off (206 comments)\n""Relax, Free, Good, Happy, Supportive""', 'Health Insurance (157 comments)\n""competitive plans for different needs""', '401K Plan (147 comments)\n""very good benefits overall being employed""']"
OMRON,4.0,Den Bosch,Production Engineer,"Wat deze functie uniek maakt…
Op onze locatie in ’s-Hertogenbosch assembleren we producten voor de industriële automatiseringsmarkt. Hierbij kun je denken aan industriële pc’s, PLC’s, HMI’s en robotica. Daarnaast hebben we drie SMD-lijnen en twee Wave machines waar we PCB’s produceren voor onze eindproducten. Als Production Engineer Robotics ben je verantwoordelijk voor het optimaliseren van het productieproces op basis van data. Je focust hierbij op de proces- en productiekwaliteit, leverbetrouwbaarheid en efficiency van de productielijnen. Jouw acties hebben invloed op de productieresultaten en maakt nieuwe product- en procesintroductie mogelijk. Je rapporteert in deze functie aan Olaf van Grinsven (Production Manager). De afdeling bestaat uit 6 andere collega’s (Production Engineers en een Equipment Programmer), met jou erbij 7 ;). Je werkt in deze functie nauw samen met Maintenance en Product Engineering.",,30d+,True,10000+,Company - Public,Manufacturing,1933,Electronics Manufacturing,$5 to $10 billion,0.84,,3.6,3.6,4.1,3.5,3.9,"['""Competitive salary, Cozy office, Good environment to learn"" (in 50 reviews)', '""Good work life balance for individual"" (in 25 reviews)', '""good working environment"" (in 41 reviews)', '""Great people and products."" (in 38 reviews)', '""Good Benefits and that it"" (in 21 reviews)']","['""Below average salary."" (in 50 reviews)', '""Good working environment."" (in 41 reviews)', '""too minor to list, it really is a good place to build a career next to some very smart people!!"" (in 38 reviews)']",3.9,"['Health Insurance (9 comments)\n""Great incentives for healthy actions, expensive coverage to start""', '401K Plan (9 comments)\n""Everything is good with the 401k plan.""', 'Vacation & Paid Time Off (6 comments)\n""Two weeks accrual which is probably common with other companies ""']"
MoneyBird,,Enschede,Growth Engineer,"Moneybird automatiseert de financiële zaken van ondernemerschap, zodat de ondernemer kan bouwen aan een gezond bedrijf.
Boekhouden hoort bij ondernemen. De boekhouding geeft een ondernemer inzicht in de financiën en het is de basis voor een stabiel bedrijf. Toch zien veel ondernemers tegen hun boekhouding op. Met Moneybird hebben wij daar een oplossing voor. Onze software maakt boekhouden makkelijk, slim en leuk. Moneybird is continu in ontwikkeling.
Ook intern vragen we ons altijd af hoe we alles nog beter kunnen maken voor onze medewerkers. We zijn niet voor niets een gecertificeerd Great Place to Work. Werken bij Moneybird is net zo plezierig, doordacht en leerzaam als het product dat we samen bouwen.
Dat we nog niet alle antwoorden hebben weten we, we blijven continu leren. We staan open voor eerlijke feedback, van elkaar en van onze klanten. We geven onze mening met duidelijke argumenten en niet vanuit ons ego. We durven het diepe in te springen, omdat we weten dat we alleen op die manier snel leren.

Recent hebben we onze website vernieuwd en hebben we de Moneybird Betaalrekeningen en Betaalpassen gelanceerd. We staan voor uitdagingen om Moneybird nog verder te laten groeien. Via onze website krijgen we duizenden aanmeldingen per maand, daarnaast is het een bron van informatie voor ondernemers voor het vinden van antwoorden op hun vragen.
Tot op heden werd de ontwikkeling van onze website gedaan door de engineers die ook aan de software van Moneybird bouwen. Om de kansen die we zien te benutten, willen we deze taken nu een permanente invulling geven. Daarom zoeken we nu een Growth Engineer die het marketing-team komt versterken.
In deze functie ben je continu bezig om de Moneybird-website en achterliggende (meet)infrastructuur technisch te optimaliseren! We vragen daarbij een grote mate van zelfstandigheid en ervaring om goede afwegingen en keuzes te maken.
Stel dat je vandaag zou beginnen, dan is dit een greep uit de werkzaamheden (en bijbehorende verwachtingen) die we momenteel hebben:",,22d,False,1 to 50,Company - Private,,,,,,,,,,,,,,,
ARAG,3.7,Leusden,Lead Data Engineer,"Op zoek naar een organisatie met ambitieuze doelstellingen én waar jij vorm kunt geven aan onze splinternieuwe Datahub? Voor onze locatie in Leusden zijn wij namelijk op zoek naar een gedreven en communicatieve Lead Data Engineer. Als Lead Data Engineer ben je de functionele leider van het team van engineers die in een scrumteam bouwen aan onze Datahub. Je zorgt ervoor dat standaarden gevolgd worden, de engineers op een uniforme manier werken en dat de OTAP-straat op een goede manier tot uitvoer wordt gebracht. Je bent een echte benaderbare senior, je coacht de andere engineers in hun werkzaamheden en help je het team in hun ontwikkeling. Je zorgt samen met de Product Owner voor de juiste prioriteiten en bedenkt met de DataHub Architect hoe bronnen en databestanden optimaal op elkaar aangesloten kunnen worden.

Een doel van de Datahub is het beschikbaar stellen van een datamodel aan onze interne klanten. Dit model wordt samengesteld uit diverse databronnen welke worden samengebracht door gebruik te maken van de modernste technieken en tooling: Azure DevOps, Spark, Kubernetes, Airflow, Terraform, etc.Je bent actief bezig om de infrastructuur te verbeteren, daarnaast heb je regelmatig contact met onze interne klanten om nieuwe toevoegingen in de Datahub te toetsen. Verder ben je een sparring partner voor je mede teamleden als het gaat om technische uitdagingen en oplossingen.

Over de afdeling / bedrijfscultuur
De afdeling BITS staat voor Business Information & Technology Services en is verantwoordelijk voor onze projectmanagement- en ICT organisatie. Binnen deze afdeling is het BI-team verantwoordelijk voor de aanlevering van juiste data, rapportages en dashboards waarmee wij verzekerden en partners optimaal kunnen bedienen. De engineer die wij zoeken zal in dit muldisciplinaire team een belangrijke bijdrage gaan leveren aan deze doelstelling.

Een cultuur van je en jij. Elkaar groeten in de gang. Een cultuur waarbij iedereen even tijd voor elkaar vrijmaakt. En waar kennis en successen gedeeld worden. Professioneel richting de klant, informeel richting je collega's. - De salarisrange van deze functie loopt van € 3.731 tot € 5.862 op basis van 38 uur per week. Het betreft een indicatie van het salaris waarbij jouw uiteindelijke salaris afhankelijk zal zijn van de kennis en relevante werkervaring die je meebrengt;

ARAG Nederland maakt onderdeel uit van de ARAG Groep, een van oorsprong Duits familiebedrijf met vestigingen in 16 Europese landen, de Verenigde Staten, Canada en Australië. Met zo’n 750 professionals in Nederland werken wij in een collegiale omgeving en informele werksfeer vanuit de locaties in Amsterdam, Rotterdam, Den Haag, Leusden en Roermond. Meer weten? Klik dan op onze bedrijfspagina: https://www.arag.nl/over-arag/ Je hebt HBO of WO werk- en denkniveau en minimaal 5 jaar ervaring als (Lead) Data Engineer. Je hebt ruime ervaring met het opzetten van robuuste data pipelines en data modellen én bent bekend met de DevOps werkwijze. Je kunt jezelf mondeling en schriftelijk goed uitdrukken, zowel in het Nederlands als in het Engels.

Daarnaast beschik je over:

Jij herkent jezelf in de volgende competenties die wij graag terugzien bij jou:
ondernemend, analytisch, flexibel, communicatief, samenwerkingsgericht en gedreven! Ben jij de professional die wij zoeken? Dan ontvangen wij graag jouw CV en motivatie. Heb je nog vragen? Neem dan contact op met onze manager IT, Hilbert de Graaf, telefoon 06 - 51649024 of met onze corporate recruiter Tancha Christiaanse via 06 – 52726700.",,30d+,True,1001 to 5000,Company - Public,Insurance,1935,Insurance Carriers,$1 to $5 billion,0.74,0.87,3.3,3.6,3.9,3.4,3.8,"['""Good benefits, people, location and company funded team events"" (in 3 reviews)', '""Great culture, great people, fun perks"" (in 3 reviews)', '""Great bunch of people to work with, welcoming, approachable, friendly, good listeners."" (in 6 reviews)', '""Had a great experience and manager"" (in 4 reviews)']","['""Enough money to conceal toxic culture by intimidating staff."" (in 3 reviews)', '""Bullying is rife."" (in 2 reviews)']",4.6,"['Maternity & Paternity Leave (4 comments)\n""Average for companies of similar size.""']"
VleugelAutomation B.V.,,Opmeer,Engineer Industriële Automatisering,"Bedrijfsomschrijving
VleugelAutomation B.V. ontwikkelt toekomstgerichte software voor de industriële automatisering, waarmee organisaties het verschil maken. Onze specialisten creëren maatwerk oplossingen voor complexe problemen in de breedste zin van het woord. Vakmanschap en innovatie zijn hierbij de kernwaarden.
Vacatureomschrijving
De rol van Engineer Industriële Automatisering
Als engineer binnen het jonge en gedreven team van VleugelAutomation B.V., spreek je de taal van de gebruiker en vertaal je zijn wensen naar heldere software oplossingen. Variërend van een sensor in het veld tot de data uitwisseling met kantoorautomatisering. Je houdt je voornamelijk bezig met procestechniek, maar ook machinebouw komt regelmatig voor. Je deinst niet terug voor nieuwe uitdagingen en bijt je graag vast in complexe materie. Zo sla je samen met enthousiaste collega’s een brug tussen mens en techniek!",,30d+,True,,,,,,,,,,,,,,,,,
Luminis,4.1,Amsterdam,Senior AWS Cloud Engineer,"Als Senior AWS Cloud Engineer ben je verantwoordelijk voor de technische groei van onze diensten en heb je een leidende, coachende rol naar andere collega’s.
Jij onderzoekt, experimenteert en adviseert over de mogelijkheden binnen AWS en bedenkt hoe deze ons kunnen helpen in groei van onze managed services dienstverlening. Daarnaast hou je tijd en ruimte om ook waar nodig technisch bij te springen bij een van onze Cloud projecten.
Als persoon houd je van verdieping en uitdagingen en weet deze (in samenwerking met het team en klanten) om te zetten in praktische oplossingen.
Wat ga je doen?
Dev: wij zijn van oudsher een grote groep software en data engineers en onze zienswijze is dat ‘Cloud is Code’. Nu en in de toekomst. Wij verwachten dan ook ruime ervaring met ‘Infrastructure as Code’ zoals CloudFormation en/of Terraform in combinatie met Python, Typescript (en Bash als het nodig is).",,30d+,True,51 to 200,Company - Private,Information Technology,2002,Information Technology Support Services,,1.0,1.0,3.7,3.3,4.6,3.1,4.5,"['""Fairly Relaxed environment and family feel"" (in 1 reviews)']","['""The pay can be better, sometimes not that interesting assignments."" (in 3 reviews)']",,
Abel Sensors,,Delft,Medior/Senior Embedded Systems Engineer,"Bij Abel Sensors zijn we op zoek naar een Medior/Senior Embedded Systems Engineer om ons team te komen versterken.
Vind je het leuk om in een klein team het verschil te maken? Wil je graag breed inzetbaar zijn? Houd je van de afwisseling van het werken aan meerdere producten? Krijg je energie van programmeren in C/C++ en laat ""IoT"" je hart sneller kloppen? Lees dan zeker verder!
Over de rol
Als embedded systems (ES) engineer maak je deel uit van het R&D team van Abel. Dit team werkt aan de producten van Abel, en zorgt van begin tot eind dat alles werkt. Dit gaat veel verder dan het ontwerpen van nieuwe producten. We werken bijvoorbeeld ook aan tooling voor de productie afdeling, algoritmes voor dataverwerking en opslag/visualisatie van de data op een web platform.",,30d+,True,,,,,,,,,,,,,,,,,
Röhlig-Penske Logistics,,Roosendaal,Application Engineer,"Application Engineer WMS gezocht door Röhlig-Penske Logistics in Roosendaal | 40 uur
Wil jij als Application Engineer WMS de kans krijgen om jezelf door te ontwikkelen? Is een informele en flexibele werkomgeving waarin eigen initiatief wordt gewaardeerd, voor jou belangrijk? Dan is deze vacature bij Röhlig-Penske Logistics in Roosendaal écht iets voor jou!
Over Röhlig-Penske Logistics
Röhlig Penske Logistics is een joint venture tussen Röhlig Logistics en Penske Logistics en bouwt voort op de succesvolle samenwerking tussen de twee logistieke bedrijven bij het bedienen van gezamenlijke klanten in Europa. Röhlig Penske Logistics biedt opslagruimte, transportbeheer en e-commerce logistiek aan op haar locaties in Nettetal, Duitsland en Roosendaal, Nederland. Er werken ±100 medewerkers op de twee locaties.",,9d,True,,,,,,,,,,,,,,,,,
Rheinmetall Defence Nederland B.V.,3.8,Ede,ILS Engineer,"Rheinmetall Defence Nederland B.V. (RD-NL) te Ede is onderdeel van de divisie Vehicle Systems en is een 100% dochter van Rheinmetall Military Vehicles GmbH. In Ede zijn de Nederlandse Militaire voertuigen en systemen ontwikkeld en gebouwd. Naast nieuwe productie en ontwikkeling wordt er ook service en doorontwikkeling gedaan op militaire voertuigen.
Wij zijn ter uitbreiding van ons team op zoek naar een
ILS Engineer
ILS (Integrated Logistic Support) is een geïntegreerd proces om materiaal te ontwerpen en een strategie te ondersteuen om het functionele gebruik van het voertuig te verbeteren, de totale kosten van de levensduur van het voertuig inzichtelijk te maken en te reduceren en de betrouwbaarheid van het voertuig te optimaliseren.",,30d+,True,10000+,Company - Public,Aerospace & Defense,1889,Aerospace & Defense,$1 to $5 billion,0.7,0.72,3.4,4.0,3.5,3.1,3.8,"['""Supportive management"" (in 21 reviews)', '""Great people to work with."" (in 24 reviews)', '""International, diversity culture, great opportunity for growth"" (in 37 reviews)', '""Pay is good and always on time, 9 day fortnight."" (in 20 reviews)', '""Great Work life balance honestly."" (in 20 reviews)']","['""You are seen as a threat to the local management teams yet you inputs were initially invaluable."" (in 21 reviews)', '""Blame culture."" (in 37 reviews)', '""Not enough pay."" (in 20 reviews)', '""Poor work life balance."" (in 20 reviews)']",4.5,
