Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
LSEG (London Stock Exchange Group),3.9,Gdynia,Account Manager,"WE ARE LOOKING FOR A NEW COLLEAGUE:
We are thrilled to announce that we are looking for Account Manager who will join our team in Gdynia.
YOU AND YOUR TEAM:
In 2023 LSEG will expand its organizational footprint in Gdynia and open new roles of Account Managers responsible for maintaining deep customer relationships to drive account revenue retention and growth.
As successful candidate you will join the diversified team of Account Managers and Junior Account Managers (portfolios to be diversified depending on the role) who will manage a defined book of business aligned by customer segment within a geography and will be accountable for the commercial close of all deals.
You will also partner with multiple stakeholders including Sales Specialists, Proposition and Customer Relations Managers (CSM) and Operations Teams.
DAILY TASKS YOU WILL PERFORM",,30d+,False,10000+,Company - Public,Financial Services,1698,Stock Exchanges,$1 to $5 billion,0.78,0.88,3.7,3.6,3.9,3.5,3.9,"['""Good benefits at the company"" (in 11 reviews)', '""Good Work Life Balance / decent pay"" (in 12 reviews)', '""Good Work Life Balance in the company"" (in 6 reviews)', '""Amazing work culture."" (in 10 reviews)', '""Nice office space."" (in 7 reviews)']","['""Employee benefits could be better"" (in 11 reviews)', '""Low paying at entry level, but lots of learnings"" (in 12 reviews)']",,
nVent,3.8,Dzierżoniów,Electro Mechanical Design Engineer,"We’re looking for people who put their innovation to work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
What You Will Experience In This Position
In this position, you will get to:
Conduct electrical, material, and mechanical investigations.
Perform testing, research, and data gathering, charting, analysis, and recording.
Develop qualification plans in accordance with nVent Thermal and industry standards.
Manage project execution with limited oversight. Coordinate internal and external laboratory resources.",,8d,True,10000+,Company - Public,Manufacturing,2018,Electronics Manufacturing,$1 to $5 billion,0.72,0.88,3.6,3.5,3.8,3.5,3.8,"['""Good people to work with for mentorship"" (in 8 reviews)', '""Above average pay, friendly environment"" (in 6 reviews)', '""Actually decent culture, like people are generally friendly and interested in conversation."" (in 10 reviews)', '""Good working environment"" (in 11 reviews)', '""The benefits barely pass."" (in 4 reviews)']","['""Low pay, not much room for improvement"" (in 6 reviews)']",4.4,"['401K Plan (6 comments)\n""100% match up to 5%""', 'Health Insurance (5 comments)\n""Several options to best suit your needs""', 'Maternity & Paternity Leave (3 comments)\n""benefits for mothers and faterhs""']"
,,,,,,30d+,False,,,,,,,,,,,,,,,,,
EUMETSAT,3.6,Poland,Cloud Services Engineer (Based in Germany),"Cloud Services Engineer
EUMETSAT is Europe’s meteorological satellite agency - monitoring the weather and climate from space - 24 hours a day, 365 days a year.
EUMETSAT opened a portfolio of cloud-based big data services in 2020 to bring users to its data. The portfolio is based on advanced architectures, applications, user portals and hosted processing capabilities with full integration across the entire cloud stack from Infrastructure as a Service (IaaS) up to Data as a Service (DaaS). EUMETSAT has a key role in several cloud-based international initiatives such as DIAS, WekEO, European Weather Cloud (EWC) and Destination Earth.
Within the Competence Area of Cloud Services in the Digital Solutions and SAF Division (DSA), the Cloud Services Engineer will be the main technical focal point for all cloud services and solutions developed by DSA that have a focus on downstream applications. The postholder will manage the engineering, evolution and maintenance of those cloud services, including procurement and management of industrial support and services needed for their development, implementation, evolution and achieving the targeted service levels",,7d,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""Flexibility, good working conditions and multicultural environment"" (in 2 reviews)', '""People, Salary, Quality of Life, Meaningful work."" (in 1 reviews)']","['""Things are very bureaucratic and can be slow in terms of work."" (in 1 reviews)']",,
Acreto,,Remote,Technical Reporting & Compliance Lead,"Technical Reporting and Compliance Lead
This is a role for a senior data engineer to architect, develop and operate a large scale, high performance data collection, processing and reporting infrastructure. This infrastructure will most likely involve a variety of data store types spanning SQL, NoSQL and Time Series.
This architecture must also consider data security, privacy, performance and availability.
In this role, you will need to:
Gather, store, process and categorize data generated by a variety of system sources and types
Analyze, discuss and understand reporting requirements for a variety of compliance standards",,30d+,True,,,,,,,,,,,,,,,,,
Upcruit,,Remote,Senior Technical Support Engineer (PL/SQL and Unix),"Hourly Rate: $22 - $31 per hour
24-month B2B contract
100% Remote in Poland
Overview:
The Senior/Principal Technical Support Engineer will ensure the successful operation of the development, test and production systems of the client. The system is a security and data management platform. The engineer will work with a senior tech. support manager under a shift-based system and follow a plan of tasks that are assigned during the shift.
Must have the ability to effectively communicate as well as manage and define risk strategies to ensure projects are delivered on time and within scope.",,25d,True,,,,,,,,,,,,,,,,,
EUMETSAT,3.6,Przysieka Polska,Contracts Officer (Based in Germany),"Contracts Officer
EUMETSAT is Europe’s meteorological satellite agency, operating satellites that monitor the weather and climate from space - 24 hours a day, 365 days a year.
It’s an exciting time to be working at EUMETSAT. As an organisation we’re operating a fleet of satellites delivering weather and climate-related satellite data and images to our users worldwide; helping protect lives, property and industries. However, you don’t need to be an engineer or a scientist to make a positive contribution. Our specialist administrative and support functions play an equally important role in the success of the EUMESAT programmes and are valued members of the EUMETSAT family.
The Contracts Division provides contractual and commercial expertise across the organisation and ensures that best value for money is achieved by an efficient procurement process. The Division provides contractual and commercial expertise to the organisation, performs checks and balances to ensure compliance with the procurement rules, and ensures that procurements are timely and well managed.",,1 day ago,False,201 to 500,Self-employed,Government & Public Administration,,National Agencies,$100 to $500 million,0.59,0.49,2.6,3.9,3.2,2.9,3.4,"['""this company can offer good salary, on the other hand you need to be in it for 10 years before you can accrue pension rights"" (in 6 reviews)', '""Nice working Environment"" (in 5 reviews)']","['""Some heads are creating a negative culture and a general feeling of blame culture amongst teams."" (in 5 reviews)', '""Management and up is never held accountable for poor performance"" (in 3 reviews)', '""Sometimes there is too much bureaucracy"" (in 3 reviews)']",,
Hach,3.5,Kraków,Field Sales Engineer (f/m/d) Industry,"***this position is remote/Field-based. Successful candidates are required to life in the assigned territory***
About Hach
Our work at Hach ensures water quality for people around the world. Our customer partnerships, passionate experts, and reliable, easy-to-use solutions make water analysis better—faster, simpler, greener, and more informative. As a member of our team, you’ll get to make an immediate, measurable impact on a global scale, within industries from aviation to manufacturing to mining. You’ll also be part of an environment that fosters career growth and professional development, with kindness at its core. And you’ll be part of our mission, which drives us to develop water quality solutions that protect the health and safety of all living things.",,21d,False,1001 to 5000,Subsidiary or Business Segment,Manufacturing,1947,Consumer Product Manufacturing,$1 to $5 billion,0.65,0.56,3.3,3.6,3.4,3.1,3.1,"['""Exceptional benefits and great people."" (in 2 reviews)', '""The hours are flexible and the people are great."" (in 2 reviews)']","['""Number oriented company, No trainings, no coaching, no mentoring."" (in 5 reviews)', '""There is absolutely no care for employees and their well"" (in 3 reviews)', '""this place is great!"" (in 1 reviews)']",4.0,"['Health Insurance (7 comments)\n""Decent coverage for a decent price""', '401K Plan (6 comments)\n""Decent rate for pension but must be with company for 6+ months before enrolling.""', 'Vacation & Paid Time Off (5 comments)\n""You can get up to 5 weeks of CAL time""']"
Atos,3.7,Wrocław,Test internship May-June 2023- Junior Tests Engineer with English - remote (all locations in Poland),"Publication Date:
Mar 6, 2023

Ref. No:
472742

Location:
Wroclaw, Poland, PL, 53-611

Krakow, Poland, PL, 31-323

Gdansk, Poland, PL, 80-309

Opole, Poland, PL, 45-231

Warsawa, Poland, PL, 02-675

Łódź, PL, 90-562

Bydgoszcz, Poland, PL, 85-240

Bydgoszcz, PL, 85-240

Test internship May-June 2023- Junior Tests Engineer with English – remote (all locations in Poland)

Would you like to speed up your career in testing? Do you already know some theory or explored on-line courses, now want to check yourself in practice? That’s the opportunity we want to give you! Feel welcome to join our 2-month paid internship in Atos, grow with us and … stay longer!


This is the fourth edition of our summer internship program, addressed to everyone who wants to step into testing, regardless of your former education. What we value the most is analytical mind, good communication skills and independence in your daily work.

This year we are looking for people who feel ready to combine work of manual tester with integration testing and test automation.


How to do requirements and test reviews
How to design both manual and automated Test Cases based on functional documentation and business analysis output
How to create necessary Test Data and manage them

How to design and deploy automated test framework
How to create other test artifacts like test plans and reports
You will learn how to start with test automation and know some common CI/CD tools
We will show you how to use basics of testing theory (ISTQB) in practice
We will provide you practical SQL training
We will introduce you to the fundamentals of web service testing with Postman and SOAP UI
You will learn about accessibility testing (WCAG)
We will show how to check performance with jMeter


Effective communication in English (B2 at least) – that’s mandatory

Initial experience in one of programming languages – Python, Java or JavaScript

Basics of Unix, Linux (command line) and SQL will be a plus

Analytical and team working skills

Full time availability


Effective communication in German (B1/B2 at least)

SAP domain experience (business processes knowledge)

Experience in data analysis

Excel (VBA) or Power BI

This internship can be your first step in your IT career – to the best trainees we will offer full time employment after the internship!


Guaranteed internship salary - job contract for the entire program

Flexible working time

Access to our test knowledge library and interdisciplinary IT e-learning portals

Possibility to work in an international environment

We take care of your personal data privacy. More information about processing your data within recruitment process you can find on our website: https://atos.net/pl/polska/gdpr

About us

Leader in digital services with 120,000 employees in 73 countries

Provider of IT infrastructure management services, systems integration, outsourcing and IT consulting

Official global IT partner of the Olympic and Paralympic Games

Bydgoszcz, Warszawa, Wroclaw, Opole, Krakow, Gdansk, Rzeszow, Lodz",,23d,False,10000+,Company - Public,Information Technology,1997,Information Technology Support Services,$10+ billion,0.73,0.79,3.5,3.2,3.6,3.3,3.8,"['""Salary was good"" (in 184 reviews)', '""Good work life balance and work from home option"" (in 129 reviews)', '""Management is good"" (in 112 reviews)', '""Good benefits and lots of internal resources that are really helpful."" (in 54 reviews)', '""Good people to work with"" (in 92 reviews)']","['""Low salary and lack of projects in the company"" (in 184 reviews)', '""No Work Life Balance at all"" (in 129 reviews)', '""Poor management, No long"" (in 112 reviews)', '""They do not focus on competent employees; ""Preferantionalism"" and bad practices in terms of promotions/opportunities; Not a very meritocratic place to work in; Benefits significantly below average in the area."" (in 54 reviews)', '""Awesome team, awesome people."" (in 92 reviews)']",3.1,"['Vacation & Paid Time Off (68 comments)\n""You get 10 days in the first year of working there""', '401K Plan (59 comments)\n""We have a good retirement plan""', 'Health Insurance (50 comments)\n""It is ok, price quite low""']"
,,,,,,20d,False,,,,,,,,,,,,,,,,,
