Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Arkadium,4.1,,Full Stack Developer,"Trying to be part of the next great online game? That’s what we do.
At Arkadium our purpose is to have fun while creating fun - and that’s exactly what we’ve been doing for 20 years. We’re the creators behind the world’s most-played games. From the Solitaire that came on your Windows machine, to hundreds of other games you’ve come to know and love - you can find our games on Arkadium.com, iOS, Android, and lots of other big sites worldwide.
As a proud Evergreen business our values of Fierce Drive, Positive Energy and Living Full Lives are the driving force behind how we run and the choices we make.
We’re privately held (aka stable and reasonable about growth), founder-led (aka passionate about our craft) and we consistently rank as a “Best Place to Work” (aka not your typical games company).",,30d+,True,51 to 200,Company - Private,Media & Communication,2001,Video Game Publishing,$5 to $25 million,0.76,0.85,3.8,3.9,4.2,3.9,4.2,"['""Easy job And a big salary"" (in 4 reviews)', '""My workload was tailored to my strengths as the internship progressed."" (in 3 reviews)', '""Great employees"" (in 5 reviews)', '""Amazing benefits, nice corporate culture!"" (in 2 reviews)']","['""Salary comes intermittently строгий работодатель"" (in 4 reviews)', '""It was a great internship."" (in 3 reviews)', '""strange company culture, not necessarily bad, but won\'t be for everyone"" (in 4 reviews)']",3.7,
Arkadium,4.1,,Full Stack Developer,"Trying to be part of the next great online game? That’s what we do.
At Arkadium our purpose is to have fun while creating fun - and that’s exactly what we’ve been doing for 20 years. We’re the creators behind the world’s most-played games. From the Solitaire that came on your Windows machine, to hundreds of other games you’ve come to know and love - you can find our games on Arkadium.com, iOS, Android, and lots of other big sites worldwide.
As a proud Evergreen business our values of Fierce Drive, Positive Energy and Living Full Lives are the driving force behind how we run and the choices we make.
We’re privately held (aka stable and reasonable about growth), founder-led (aka passionate about our craft) and we consistently rank as a “Best Place to Work” (aka not your typical games company).",,30d+,True,51 to 200,Company - Private,Media & Communication,2001,Video Game Publishing,$5 to $25 million,0.76,0.85,3.8,3.9,4.2,3.9,4.2,"['""Easy job And a big salary"" (in 4 reviews)', '""My workload was tailored to my strengths as the internship progressed."" (in 3 reviews)', '""Great employees"" (in 5 reviews)', '""Amazing benefits, nice corporate culture!"" (in 2 reviews)']","['""Salary comes intermittently строгий работодатель"" (in 4 reviews)', '""It was a great internship."" (in 3 reviews)', '""strange company culture, not necessarily bad, but won\'t be for everyone"" (in 4 reviews)']",3.7,
Essity,4.0,,SQL Engineer,"SQL Engineer (m/f/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!

About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.

30 jun. 2023",,23d,False,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.85,3.4,3.7,3.9,3.4,3.7,"['""Good salaries compared to other companies"" (in 65 reviews)', '""Good work life balance"" (in 48 reviews)', '""Management easy to talk too."" (in 51 reviews)', '""Good benefits and convenient location"" (in 43 reviews)', '""paid Great Perks Nice People Great Culture"" (in 61 reviews)']","['""Poor Growth and low salaries"" (in 65 reviews)', '""Can do with better work life balance"" (in 48 reviews)', '""Poor management agreeing on certain jobs to do"" (in 51 reviews)', '""Basic benefits"" (in 43 reviews)', '""driven culture"" (in 61 reviews)']",3.5,"['Health Insurance (5 comments)\n""There are quite few services covered, but the medical company can find available space for a check-up only in few weeks, when they know you have a company insurance.""', '401K Plan (4 comments)\n""The plan is good for the job ""', 'Vacation & Paid Time Off (4 comments)\n""Based on national contract rules""']"
,,Portugal,Ingestion Data Engineer (f/m/d),"Ingestion Data Engineer (f/m/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!
About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.


30 jun. 2023",,23d,False,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.85,3.4,3.7,3.9,3.4,3.7,"['""Good salaries compared to other companies"" (in 65 reviews)', '""Good work life balance"" (in 48 reviews)', '""Management easy to talk too."" (in 51 reviews)', '""Good benefits and convenient location"" (in 43 reviews)', '""paid Great Perks Nice People Great Culture"" (in 61 reviews)']","['""Poor Growth and low salaries"" (in 65 reviews)', '""Can do with better work life balance"" (in 48 reviews)', '""Poor management agreeing on certain jobs to do"" (in 51 reviews)', '""Basic benefits"" (in 43 reviews)', '""driven culture"" (in 61 reviews)']",,
EDICOM,3.6,Portugal,Software Integration Engineers,"Quiénes somos
EDICOM es una empresa pequeña de ACCOUNTING_CONSULTING. Nuestra empresa es profesional, ágil, innovadora y nuestro objetivo es Did you know that EDICOM is one of the world’s major EDI and e-invoicing businesses? Our solutions connect companies and large multinationals located on five continents and integrate their management systems.
EDICOM helps digitalize companies through the development of SaaS solutions (Software as a Service), automating and integrating data interchange (EDI), so eliminating manual insertion errors and unnecessary use of paper worldwide. The company has subsidiaries in New York, Milan, Paris, Valencia, Seville, Murcia, Mexico City, Bogota, Buenos Aires, Sao Paulo and Casablanca. Our next step will be to open a new office in Lisbon and Porto.",,30d+,True,501 to 1000,Company - Private,Information Technology,1995,Computer Hardware Development,,0.64,0.63,3.1,3.3,3.5,2.9,3.4,"['""Well paid salary"" (in 8 reviews)', '""Great multicultural team and awesome boss"" (in 5 reviews)', '""Medical Insurance"" (in 3 reviews)']","['""Salary is kind of low"" (in 8 reviews)', '""40k salary (poor), no incentives, low employee morale, no flexibility, no empathy, old school company culture"" (in 2 reviews)', '""does not have a good management processes"" (in 3 reviews)']",1.0,
Essity,4.0,Portugal,Ingestion Senior Data Engineer (f/m/d),"Ingestion Senior Data Engineer (f/m/d)
Are you looking for a career with purpose and dedicated to improving people’s well-being around the world?
It’s an exciting time to be part of our collaborative inclusive team. Technology is transforming our business and our services. Come and join us on our journey to improve the well-being of millions through innovative products and technology solutions. Together we can make a difference!
About the Role
Global Digital & Business Services is a global unit with over 1900 employees, located in 44 countries worldwide, that enables sustainable profitable growth for Essity by providing best-in class services, scalable solutions, operational efficiencies and effectiveness through Global Business Services (GBS) and Essity IT.
30 jun. 2023",,23d,False,10000+,Company - Public,Manufacturing,1929,Consumer Product Manufacturing,$10+ billion,0.81,0.85,3.4,3.7,3.9,3.4,3.7,"['""Good salaries compared to other companies"" (in 65 reviews)', '""Good work life balance"" (in 48 reviews)', '""Management easy to talk too."" (in 51 reviews)', '""Good benefits and convenient location"" (in 43 reviews)', '""paid Great Perks Nice People Great Culture"" (in 61 reviews)']","['""Poor Growth and low salaries"" (in 65 reviews)', '""Can do with better work life balance"" (in 48 reviews)', '""Poor management agreeing on certain jobs to do"" (in 51 reviews)', '""Basic benefits"" (in 43 reviews)', '""driven culture"" (in 61 reviews)']",3.5,"['Health Insurance (5 comments)\n""There are quite few services covered, but the medical company can find available space for a check-up only in few weeks, when they know you have a company insurance.""', '401K Plan (4 comments)\n""The plan is good for the job ""', 'Vacation & Paid Time Off (4 comments)\n""Based on national contract rules""']"
Prologica SA,,Home office,Data Engineer,"Acreditas no poder dos dados e da tecnologia para alavancar uma melhor prática e dinâmica na saúde?
Queres fazer da evidencia da realidade a base de todas os processos de decisão em saúde? Sonhas com a aplicação de toda a capacidade da inteligência artificial e novas tecnologias de data science na saúde?
O que é mais importante do que a vida, a nossa individual, a da nossa família, amigos e da sociedade em geral? Nada! Então concluímos que não existe melhor setor, melhor área da sociedade para colocarmos a nossa energia, paixão e conhecimentos do que na saúde!
Então junta-te a nós!! Somos uma empresa jovem, pioneira e disruptiva que acredita que esta transformação já começou e, estando ainda no início, nós seguimos no pelotão da frente!!",,9d,True,,,,,,,,,,,,,,,,,
Leafwell,4.2,Home office,Data Engineer,"Please visit our career page to apply: https://leafwell.com/careers/
The Data Engineer will be in charge of creating and orchestrating the Leafwell data pipeline, which means gathering data, creating & automating data transformations, and producing actionable insights for Leafwell’s internal stakeholders. Responsibilities also include supporting critical testing and rollout of new data features. The objective of the Data Engineer role is to build and maintain systems that inform Leafwell’s business stakeholders about Key Performance Indicators (KPIs) and suggest data-driven strategies to optimize those metrics.
At Leafwell, we believe cannabis is medicine, and our mission is to unlock the therapeutic potential of the plant by increasing access, research, and education.
About Leafwell:",,30d+,True,51 to 200,Company - Public,Information Technology,,Information Technology Support Services,,0.83,,3.9,4.1,4.3,4.2,4.3,"['""Great coworkers, quick communication, enjoyable content."" (in 4 reviews)', '""lead tech company, flexible, work/life balance, thought"" (in 2 reviews)', '""Management is very understanding and co"" (in 1 reviews)']","['""Bad pay"" (in 2 reviews)', '""Benefits aren’t what they’d be at a larger tech company, but that’s to be expected"" (in 1 reviews)']",,
Ocean Infinity,4.3,Home office,Data Engineer,"We are a technology company that is transforming operations at sea to enable people and the planet to thrive.

We are open-minded and fearless in our approach to innovation and don't believe in boundaries. We challenge everything and have massive ambitions to drag aging industries into the tech era.

We take safety, equality and education very seriously, and our responsibilities don't stop at our front door. Our business is built on the belief that there's definitely a more environmentally responsible way to operate at sea.",,16d,True,501 to 1000,Company - Private,Information Technology,2017,Information Technology Support Services,,0.78,,4.0,4.4,4.4,3.8,3.4,"['""Great people and exciting work"" (in 2 reviews)', '""systems, refining our concept of operations and architecture for Armada, and technical leadership of our vessel remote control systems."" (in 1 reviews)']","['""Toxic environment, poor leadership and communication"" (in 4 reviews)']",,
Siemens,4.2,Amadora,Data Engineer Trainee (m/f/d),"Siemens Digital Industries is an innovation leader in automation and digitalization!
By connecting real and digital worlds, and combining the power of hardware and software, Siemens Digital Industries helps our customers fully exploit the potential of data for their business.

Our portfolio includes companies of all sizes and product types, end-to-end solutions, and services to integrate and digitize the entire value chain. Optimized to meet the specific needs of each industry, they support our customers in reducing their development time and increasing the flexibility, productivity, and environmental efficiency of their production processes.

With the collaboration of almost 75,000 employees worldwide, we build technologies that take society further!",,6d,False,10000+,Company - Public,Manufacturing,1847,Electronics Manufacturing,$10+ billion,0.83,0.9,3.8,3.7,4.1,3.7,4.1,"['""Work life balance is good and there is a well"" (in 1716 reviews)', '""GOOD WORKING ENVIROMENT AND SALARY"" (in 1655 reviews)', '""Benefits are good and ok"" (in 818 reviews)', '""Company has good management and they are friendly."" (in 867 reviews)', '""job is often engaging and people are great"" (in 1079 reviews)']","['""No work life balance at all"" (in 1716 reviews)', '""Not a lot of options after the program and salary is low compared to other companies and roles."" (in 1655 reviews)', '""Pay and benefits could be better"" (in 818 reviews)', '""Management is poor and a bit red tape"" (in 867 reviews)', '""People are a bit lazy tbh."" (in 1079 reviews)']",3.9,"['Health Insurance (190 comments)\n""Overall the benefit looks great.""', 'Vacation & Paid Time Off (158 comments)\n""Following the Egyptian labor law""', '401K Plan (104 comments)\n""They match the benefit so good""']"
