Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Siemens Energy,4.1,Bucharest,Data Engineer,"Experienced Professional
A Snapshot of Your Day

In this high visibility role, you will be a Data Analyst for the Grid Technologies Services Portfolio & Market Application Team within our Siemens Energy organization. You will be responsible to create value out of available data sources (internal and external) by deploying data analytics methods, models, algorithms and visualizations and extracting relevant insights.

Builds prediction systems for data-driven insights and ensures efficient management reporting and transparency on GT SV regional data as decision support to PMA Hub Managers and Regional Heads in order to allow to build the right Go to Market globally and regionally based on facts and data. Besides the candidate will also harmonize all process in the Portfolio & Market Application, in addition to take responsibility to drive special projects related to sustainable growth. The successful candidate will demonstrate the ability to drive complex, cross-functional strategic initiatives that impact the planning, organization, and implementation of our product portfolio plus new market.",,28d,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Siemens Energy,4.1,Bucharest,Supplier Quality Engineer Inspector,"Mid-level Professional
ASnapshot of Your Day
You work in a global team, remotely or in the officeand communicate across all regions.
As SupplierQuality Engineer Inspector, you are in charge of inspection execution at supplier side, work insoftware applications like DEA and TomoView, you manage the inspection planningand documentation.
Howyou will make an Impact
Inspection execution at supplierside (NDE, focuson forged and casted components)
Inspection of automatically recorded forging data setsin various software applications (DEA, TomoView)",,24h,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Siemens Energy,4.1,Bucharest,Reliability Engineer,"Early Professional
A Snapshot ofYour Day
Siemens EnergyAero-derivative Gas Turbines (AGT) is currently recruiting for a FleetReliability Engineer within our Technical Services function. Working with GasTurbine Solutions Engineering, you will be based out of Romania working with aglobal organization mainly made up of two core site in the UK and Canada andwill work with a diverse team of engineers across the AGT organization.
In this role you will becarrying out assessment to understand fleet issues, supporting engineeringinvestigations and helping develop the business towards its future targets andkey achievements. You will be using analysis tools and techniques to do thisand reporting your work in different forums and groups to understand risk,priorities and next steps.",,18d,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Siemens Energy,4.1,Brazi,Automation engineer,"Mid-level Professional
A Snapshot of Your Day
In our Business Unit Transformation of Industry, we offer comprehensive digital portfolio solutions in the oil and gas sector and other process industries comprising rotating equipment,
electrificatio
n, and solutions for Subsea business.
How You’ll Make an Impact
Develop software application in Step 7 for SIEMENS PLC, PID controllers, configuration networking communication PROFIBUS, ETHERNET for DCS and SCADA.",,30d+,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Siemens Energy,4.1,Bucharest,Sales Support Engineer,"Early Professional
A snapshot of your day:
You will be responsible for being the main driver in the offering and tendering team.
How You’ll Make an Impact:
Planning, preparing and finalizing the tenders and offers while evaluating costs
Collecting all information and data in order to process the final offer
Analyzing the tender (technical) request
Coordinating the time-schedule and the resources necessary for the tendering and offering process",,28d,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
Farmer Connect,,Bucharest,Software QA Test Engineer,"farmer connect® aims to help the food and beverage supply chain evolve into a collaborative data-driven model, connecting participants at every level. Our platform ConnectHub helps our clients to leverage supply chain data, enabling actionable insights through end-to-end traceability. As our platform continues to grow, we want to ensure that we can continue to offer our clients a high-quality service and are therefore looking for a QA Test Engineer.
You will be responsible for assessing software quality through manual and automated testing, finding & reporting bugs and working closely with both the product & customer success team to establish a high customer-product satisfaction. Ultimately, we envision you leading farmer connect towards QA/automation excellence!
Responsibilities",,30d+,True,,,,,,,,,,,,,,,,,
Emirates Airline,4.1,Romania,Lead Quality Assurance Engineer,"ENTER THE WORLD OF AVIATION TECH
Join the Emirates Group IT Team in Dubai
At Emirates, we know that tech never stands still. Which is why we’re at the forefront of innovation in the aviation world. We are looking for the best IT professionals to help ensure we stay cutting-edge. So bring your talent to the world’s largest international airline and join our IT team as a Lead Quality Assurance Engineer.
What We Offer
This is your chance to work on challenging projects across different brands and businesses within the Emirates Group’s global portfolio.",,30d+,False,10000+,Subsidiary or Business Segment,Transportation & Logistics,1985,"Airlines, Airports & Air Transportation",$10+ billion,0.79,0.88,3.5,3.9,3.7,3.3,3.4,"['""Good salary no tax"" (in 598 reviews)', '""Good benefit and a fun workplace"" (in 699 reviews)', '""Management is good"" (in 263 reviews)', '""Flexible hours"" (in 418 reviews)', '""Great colleagues to work with you"" (in 214 reviews)']","['""Low Salary and No promotion"" (in 598 reviews)', '""No benefits for contractor."" (in 699 reviews)', '""Poor management and micromanaging due to lack of centrality."" (in 263 reviews)', '""Long hours not personal life"" (in 418 reviews)', '""You always fly with different colleagues"" (in 214 reviews)']",4.5,"['Health Insurance (5 comments)\n""Usually worka with f pay and claim""', 'Vacation & Paid Time Off (5 comments)\n""Not enough days during the year""', 'Employee Discount (4 comments)\n""Many discounts across different lifestyle outlets.""']"
CrowdStrike,4.3,Bucharest,"Sr. Backend Software Engineer - Python, Go, OpenSearch a.k.a Elasticsearch, MySQL, AWS (Romania)","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.

About the team:
You will be joining the EASM Engineering team a.k.a. CrowdStrike Falcon Surface based in Romania and Israel.",,30d+,False,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.82,0.89,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 116 reviews)', '""Great management and teamwork."" (in 87 reviews)', '""Pay is good."" (in 101 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 65 reviews)']","['""Remote first culture, but will see"" (in 116 reviews)', '""1. Poor management."" (in 87 reviews)', '""Average pay but commission accelerators are what make up the difference and where the true earnings are."" (in 101 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 65 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
Siemens Energy,4.1,Bucharest,Cloud DevOps Lead Engineer,"Experienced Professional
A Snapshot ofYour Day
As a CloudDevOps Lead Engineer you will be overseeingthe development and implementation of automation and continuous deliveryprocesses.
How You’ll Makean Impact
Overseeing the developmentand implementation of automation and continuous delivery processes.
Ensuring high availability,scalability, and security of cloud systems.
Collaborating withdevelopment and operations teams to implement infrastructure as code.",,30d+,False,10000+,Company - Public,"Energy, Mining & Utilities",2020,Energy & Utilities,,0.81,0.88,3.6,3.7,4.0,3.5,3.9,"['""Good Work life balance No Micromanagement"" (in 193 reviews)', '""Good salary or pay structure"" (in 208 reviews)', '""Benefits in the company is good and acceptable"" (in 96 reviews)', '""good management"" (in 104 reviews)', '""Good culture and working lifestyle."" (in 150 reviews)']","['""No work life balance."" (in 193 reviews)', '""Low salaries for new employees"" (in 208 reviews)', '""The raises don’t keep up with cost of living, benefits also become more costly"" (in 96 reviews)', '""The lack of understanding of local management and project management resources created an environment where technical people need to do 2"" (in 104 reviews)', '""Large organisation with legacy of hierarchical culture in places"" (in 150 reviews)']",4.2,"['Vacation & Paid Time Off (12 comments)\n""Good working environment with work life balance.""', 'Maternity & Paternity Leave (7 comments)\n""The is nothing negative in that""', 'Health Insurance (6 comments)\n""One of the best in UAE Cigna""']"
CrowdStrike,4.3,Romania,"Backend Software Engineer (Remote, ROU)","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role
Cloud Security Posture Management (CSPM) is a new and complementary product area for CrowdStrike. We’re extending CrowdStrike’s mission of “stopping breaches” into the public cloud control plane and native cloud resources. CrowdStrike’s CSPM offering will give customers visibility into both the (mis)configuration and compliance of native cloud resources, and potential adversary activity involving those resources. When coupled with Falcon, CrowdStrike’s endpoint security offering, our CSPM offering will provide a more comprehensive perspective on how the adversary is targeting key customer infrastructure.",,30d+,False,1001 to 5000,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion,0.82,0.89,4.1,4.2,4.1,3.8,4.1,"['""Culture is great"" (in 116 reviews)', '""Great management and teamwork."" (in 87 reviews)', '""Pay is good."" (in 101 reviews)', '""The people on the team are great"" (in 112 reviews)', '""Work life balance is great"" (in 65 reviews)']","['""Remote first culture, but will see"" (in 116 reviews)', '""1. Poor management."" (in 87 reviews)', '""Average pay but commission accelerators are what make up the difference and where the true earnings are."" (in 101 reviews)', '""People are asked to post positive reviews to compensate negative reviews."" (in 112 reviews)', '""No work life balance."" (in 65 reviews)']",4.3,"['Health Insurance (9 comments)\n""Excellent options offered. They really consider their employees.""', 'Vacation & Paid Time Off (6 comments)\n""There is no set PTO. Can take time as needed.""', 'Work From Home (5 comments)\n""Remote culture. Have access to we work to work in an office. Or if you are near an office location you are encouraged to go in and work with colleagues.""']"
