Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Baloise,3.8,Basel,Data Engineer (w/m) | 80% oder mehr,"* Werde Teil unseres Investment Controlling Teams - und damit von einer Abteilung im Wandel. * Unterstütze uns mit deinen konzeptionellen Kenntnissen im Bereich Data Warehousing und Datenmodellierung. * Nutze die Chance, die Veränderungen bei uns aktiv mitgestalten zu können.
Was dich erwartet
Aktuell befinden wir uns im Bereich Asset Management in einer agilen Transformation hin zu noch mehr Selbstorganisation und somit mehr Eigenverantwortung. Neu arbeiten wir in Squads und Chaptern zusammen und nehmen gemeinsam eine End to End Verantwortung wahr. Das ist ein Prozess und er verlangt viel von uns: Geduld, Veränderungswille, Lust am Lernen. Wir gestalten das Neue gemeinsam, nicht allen allerdings fällt das leicht. Aber wir sind überzeugt, dass wir nur mit frischen Ideen und digitalen Ansätzen mehr Fahrt aufnehmen. Hast du Lust, unseren Wandel aktiv mitzugestalten?

Berufserfahrene",,30d+,False,5001 to 10000,Company - Public,Insurance,1863,Insurance Carriers,$10+ billion,0.84,1.0,3.1,3.4,4.1,3.4,4.2,"['""with the new branding many project are kicked on and IT Tools getting better"" (in 7 reviews)', '""very jnteresting culture and motivated people"" (in 6 reviews)', '""Flex hours, certaines managers sont très flexibles"" (in 6 reviews)', '""flexible Arbeitsformen, flache Hierarchien, moderne Büros"" (in 6 reviews)']","['""Low salary, no technical training provided ."" (in 4 reviews)']",,
Pilatus Aircraft Ltd,2.9,Stans,Leiter Data Analytics & Data Science (a),"Fliegen Sie mit uns in die Zukunft und werden Sie Teil des Teams bei einem der innovativsten Flugzeughersteller der Welt.
Ihre Aufgaben
Leitung und Management eines Teams von Data Analysts, Data Engineers und Data Scientists sowie deren kontinuierliche fachliche und persönliche Förderung und Weiterentwicklung
Entwicklung einer unternehmensweiten Daten- und Analysestrategie sowie die Umsetzung, Integration, Nutzung und Weiterentwicklung von verschiedenen Technologie Stacks wie Snowflake, Azure, Ab Initio, Qlik Sense, SAP und Quantum
Verantwortung für den Aufbau, die Implementierung und die Skalierung von Machine Learning (ML) und künstlicher Intelligenz (KI) Lösungen in der gesamten Organisation, z.B. im Bereich der digitalen Fabrik und Predicitive Maintenance (Produkt)",,10d,False,1001 to 5000,Company - Public,Aerospace & Defense,1938,Aerospace & Defense,$1 to $5 billion,0.44,0.53,2.4,2.8,2.9,2.4,2.9,"['""High EBIT bonus."" (in 1 reviews)', '""Challenging projects, interesting products, nice colleagues."" (in 1 reviews)']","['""Too much workload"" (in 1 reviews)']",4.2,
afo solutions ag,,Hünenberg,Junior Data Engineer / Consultant (100%),"Data & Analytics im Marketingumfeld ist die Haupttätigkeit von afo solutions ag. Wir bauen für unsere Kunden Datenplattformen in der Cloud und integrieren Analytics und die Anbindung an Marketing-Tools. Zur Ergänzung unseres Data-Teams suchen wir Dich in der Position als Junior Data Engineer / Consultant:
Deine Aufgaben sind ...
Entwicklung Deines Know-hows in cloudbasiertem Data & Analytics
Erste Erfahrungen bei Kundenprojekte als Teammitglied sammeln
Mithelfen bei der Weiterentwicklung unserer cloudbasierten Produkte, Systeme und Methoden
Unterstützung der Arbeitskollegen mit kreativen Ideen und Lösungsansätzen",,17d,True,,,,,,,,,,,,,,,,,
Helsana Versicherungen AG,3.7,Dübendorf,DWH Engineer (a) 80 - 100%,"Was dich erwartet
Erstellen und umsetzen von Konzepten für die Entwicklung und Implementierung von Ladestrecken für das DWH und den Data Lake


Gestaltende Verantwortung im Entwicklungsprozess, dazu gehört Requirements-Engineering, Datenarchitektur und Daten-Modellierung



Arbeiten in agilen Teams mit modernen Methoden und Tools



Was du mitbringst







Was wir dir bieten
it
In den Bereichen Gesundheitsförderung, Recruiting-Qualität sowie für Vereinbarkeit von Beruf und Privatleben wird Helsana immer wieder ausgezeichnet.",,8d,False,1001 to 5000,Company - Public,Insurance,1899,Insurance Carriers,$5 to $10 billion,0.8,0.34,3.0,3.0,3.3,3.3,3.9,"['""Gute Benefits"" (in 5 reviews)', '""Super Team, offene Mitarbeiter und sehr interdisziplinäre Zusammenkünfte möglich"" (in 4 reviews)', '""Good working terms and conditions"" (in 3 reviews)']","['""respect, aucune possibilité d\'évolution en interne (sauf si on devient le/la meilleur ami(e) de son supérieur hiérarchique, salaire misérable et aucun équilibre vie pro/privée."" (in 2 reviews)', '""salaires très bas par rapport à la concurrence, augmentations et bonus annuels ridicules malgré d’excellentes évaluations, beaucoup trop de copinage au niveau du recrutement"" (in 1 reviews)']",,
Universal-Job,5.0,Sarnen,Data Engineer Messtechnik (m/w/d),"Beschreibung
Bei der digitalen Transformation übernimmst du Verantwortung im Management von qualitätsrelevanten Prozess- und Prüfdaten. In einem hoch motivierten und gut vernetzten Team entwickelst du die bestehenden Datenbanken und Dienste weiter. Zudem pflegst du diese permanent und bringst sie technologisch und qualitativ auf Spitzenniveau. Als belastbarer Stakeholder stellst du die Datenqualität im eigenen Bereich sicher, monitorst diese aktiv und leitest bei Bedarf frühzeitig Massnahmen ein. Zusammen mit den internen Stakeholdern aus Produktion, Engineering und Qualität identifizierst du in enger Zusammenarbeit mit den Fachbereichen weitere Potenziale für die Datennutzung und setzt diese um.
Motivation
Wenn du dir vorstellen kannst, Teammitglied in einem innovativen und wachstumsstarken Hightech-Unternehmen in einem internationalen Umfeld zu werden, sollten wir uns kennenlernen.",,6d,False,51 to 200,Company - Public,Human Resources & Staffing,1981,HR Consulting,$100 to $500 million,1.0,,4.0,5.0,5.0,5.0,4.0,,,,
KPMG AG,4.1,Zürich,Software Systems Engineer – Business Support Services Technology,"Software Systems Engineer – Business Support Services Technology
As a member of the Business Support Services Technology team, you will shape the further development of our services and products (bespoke, products as well as SaaS)
Zurich
By Agreement
Your contribution to KPMG
In close collaboration with business stakeholders and the engineering team, you will be engaged in the full product life cycle from requirement engineering to commissioning",,14d,False,10000+,Company - Private,Management & Consulting,1987,Business Consulting,$10+ billion,0.78,0.87,4.2,3.7,4.1,3.8,3.3,"['""Amazing work life balance and benefits"" (in 5 reviews)', '""The pay was good."" (in 3 reviews)', '""Good work life balance normally"" (in 3 reviews)', '""Good Colleagues."" (in 6 reviews)', '""Good culture, lots of resources available, brand recognition."" (in 5 reviews)']","['""the pay is very less compared to other big 4"" (in 3 reviews)', '""No work life balance if you have a family"" (in 3 reviews)']",4.3,"['Health Insurance (32 comments)\n""best is that its decent, worst is that it doesn\'t offer comprehensive mental health benefits""', 'Maternity & Paternity Leave (25 comments)\n""Both maternity and paternity are offered""', 'Vacation & Paid Time Off (16 comments)\n""5 weeks PTO plus 2 shutdown weeks, and additional days off (Memorial Day, Labor Day, etc.) adds up to about 8 weeks total PTO.""']"
KPMG AG,4.1,Zürich,Software Systems Engineer - Client Services Technology,"Software Systems Engineer - Client Services Technology
With your technical background and advisory mentality, you will embrace the change and be a key person in the daily engagement with our internal clients. You will be primarily responsible for the teams agile engineering delivery for various client related initiatives, projects, and products.
Zurich
By Agreement
Your contribution to KPMG
Work with multidisciplinary teams on business demands within the Tax, Legal and Advisory function and develop a broad understanding of technical stack and identify areas for improvement of the day-to-day delivery.",,29d,False,10000+,Company - Private,Management & Consulting,1987,Business Consulting,$10+ billion,0.78,0.87,4.2,3.7,4.1,3.8,3.3,"['""Amazing work life balance and benefits"" (in 5 reviews)', '""The pay was good."" (in 3 reviews)', '""Good work life balance normally"" (in 3 reviews)', '""Good Colleagues."" (in 6 reviews)', '""Good culture, lots of resources available, brand recognition."" (in 5 reviews)']","['""the pay is very less compared to other big 4"" (in 3 reviews)', '""No work life balance if you have a family"" (in 3 reviews)']",4.3,"['Health Insurance (32 comments)\n""best is that its decent, worst is that it doesn\'t offer comprehensive mental health benefits""', 'Maternity & Paternity Leave (25 comments)\n""Both maternity and paternity are offered""', 'Vacation & Paid Time Off (16 comments)\n""5 weeks PTO plus 2 shutdown weeks, and additional days off (Memorial Day, Labor Day, etc.) adds up to about 8 weeks total PTO.""']"
Rehau,3.6,Muri,System Integration Engineer,"Job-ID: 17834
Vorausdenker gesucht!
Wir bei Meraxis vereinen die Stärken unserer schweizerischen Herkunft mit den Vorteilen einer internationalen Unternehmensgruppe: an mehr als 30 Standorten stehen wir für Know-How in Logistik, Trading und Distribution polymerbezogener Lösungen. Die Orientierung an smarten, digitalen Ansätzen, einer nachhaltigen Kreislaufwirtschaft und langfristigen Partnerschaften gehören für uns zum Selbstverständnis.
Werde Teil von Meraxis und bringe mit uns frischen Wind in die Branche.
Wir suchen eine engagierte und erfahrene Persönlichkeit (m/w/d):
System Integration Engineer
an unserem Standort Steinhausen, Muri bei Bern, Rehau
Deine Aufgaben:",,23d,False,10000+,Company - Private,Manufacturing,1948,Chemical Manufacturing,$100 to $500 million,0.69,0.66,3.2,3.5,3.4,3.2,3.3,"['""Global company, good salary and bonus"" (in 17 reviews)', '""Management were good for the most part."" (in 20 reviews)', '""Good benefits is all I can say"" (in 13 reviews)', '""Great people to work with."" (in 13 reviews)']","['""Some People from the old times don\'t do a lot, because they already get great salary"" (in 17 reviews)', '""Bad management keeping people that don\'t do there jobs"" (in 20 reviews)', '""Need to work on developing people"" (in 13 reviews)', '""career opportunity which relatively caused by lean organization structure"" (in 10 reviews)']",3.9,"['Health Insurance (4 comments)\n""Expensive plan premiums. Inept HR execution, with constant administrative mistakes, i.e. never a smooth enrollment period conveyed from HR""', 'Vacation & Paid Time Off (3 comments)\n""This might be the best REHAU benefit, with an extra week, both at 5 years and upon becoming a manager""']"
Tecan,3.5,Männedorf,IT Cyber Security Engineer,"Join Tecan! Join the market leader!
Work in an international and dynamic environment, share our success!
Ever wondered how your skills and unique background could impact the world of tomorrow? Join our IT team and bring your passion and talent to work.

IT Cyber Security Engineer 100%

Männedorf, Zurich",,30d+,False,1001 to 5000,Company - Public,Pharmaceutical & Biotechnology,1980,Biotech & Pharmaceuticals,,0.69,0.85,3.2,3.2,3.8,3.0,3.3,"['""employees are very helpful."" (in 2 reviews)']",['No Cons have been reported by the Glassdoor community.'],3.7,"['Vacation & Paid Time Off (4 comments)\n""Too few days and different sites had different number of days.""', 'Sick Days (3 comments)\n""Very flexible and simple to use""']"
Chorus One,,Baar,Platform Engineer (Remote),"About Us
At Chorus One we empower people to do their best work and make our greatest contribution as an organization.**
We are a community of ambitious, self-reflective people building core infrastructure for blockchain protocols. At Chorus One we’re motivated by the conviction of choice and freedom that blockchain networks can bring on a global level, and want to contribute to this continuous development, come join us!
Role
As a Platform Engineer, you must be able to work in an ambiguous environment with an optimistic attitude, that can easily (and happily) wear many hats. You are able to uphold our company’s principles and values while adding to our unique culture. As a member of our Team, you will broadly be responsible for working collaboratively with team members and partners across projects. The right person will be responsible for maintaining, scaling, and monitoring existing infrastructure, including cloud machines, bare-metal servers, and a Kubernetes cluster, to allow Chorus One to provide secure and reliable industry-leading Proof-of-Stake validation services. Leading with intellectual curiosity with a high standard of excellence as well as ensuring best practice across development, testing, and security.",,30d+,True,,,,,,,,,,,,,,,,,
