"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.31208,
"AUS","PPP","TOT","NATUSD","A","2001",1.327544,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.351978,
"AUS","PPP","TOT","NATUSD","A","2004",1.364771,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.402633,
"AUS","PPP","TOT","NATUSD","A","2007",1.42652,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.442566,
"AUS","PPP","TOT","NATUSD","A","2010",1.503624,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.473691,
"AUS","PPP","TOT","NATUSD","A","2016",1.450156,
"AUS","PPP","TOT","NATUSD","A","2017",1.477553,
"AUS","PPP","TOT","NATUSD","A","2018",1.470403,
"AUS","PPP","TOT","NATUSD","A","2019",1.47988,
"AUS","PPP","TOT","NATUSD","A","2020",1.453958,
"AUS","PPP","TOT","NATUSD","A","2021",1.447578,
"AUS","PPP","TOT","NATUSD","A","2022",1.446332,
"AUT","PPP","TOT","NATUSD","A","2000",0.907445,
"AUT","PPP","TOT","NATUSD","A","2001",0.922991,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.888123,
"AUT","PPP","TOT","NATUSD","A","2004",0.878073,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.86008,
"AUT","PPP","TOT","NATUSD","A","2007",0.868069,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843723,
"AUT","PPP","TOT","NATUSD","A","2010",0.842233,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798813,
"AUT","PPP","TOT","NATUSD","A","2016",0.776931,
"AUT","PPP","TOT","NATUSD","A","2017",0.775009,
"AUT","PPP","TOT","NATUSD","A","2018",0.765403,
"AUT","PPP","TOT","NATUSD","A","2019",0.749138,
"AUT","PPP","TOT","NATUSD","A","2020",0.746311,
"AUT","PPP","TOT","NATUSD","A","2021",0.756308,
"AUT","PPP","TOT","NATUSD","A","2022",0.71893,
"BEL","PPP","TOT","NATUSD","A","2000",0.89994,
"BEL","PPP","TOT","NATUSD","A","2001",0.892458,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.876068,
"BEL","PPP","TOT","NATUSD","A","2004",0.888321,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.874325,
"BEL","PPP","TOT","NATUSD","A","2007",0.878862,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.850101,
"BEL","PPP","TOT","NATUSD","A","2010",0.836615,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799998,
"BEL","PPP","TOT","NATUSD","A","2016",0.781011,
"BEL","PPP","TOT","NATUSD","A","2017",0.775634,
"BEL","PPP","TOT","NATUSD","A","2018",0.766407,
"BEL","PPP","TOT","NATUSD","A","2019",0.746601,
"BEL","PPP","TOT","NATUSD","A","2020",0.730278,
"BEL","PPP","TOT","NATUSD","A","2021",0.736686,
"BEL","PPP","TOT","NATUSD","A","2022",0.713938,
"CAN","PPP","TOT","NATUSD","A","2000",1.227599,
"CAN","PPP","TOT","NATUSD","A","2001",1.220464,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.225714,
"CAN","PPP","TOT","NATUSD","A","2004",1.232662,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205365,
"CAN","PPP","TOT","NATUSD","A","2007",1.212099,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.202244,
"CAN","PPP","TOT","NATUSD","A","2010",1.22182,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
