,Job_details,Job_details,Job_details,Job_details,Job_details,Job_details,Job_details,Salary,Salary,Salary,Salary,Salary,Salary,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Education,Education,Education,Education,Version_control,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,RDBMS,RDBMS,RDBMS,RDBMS,RDBMS,NOSQL,NOSQL,NOSQL,NOSQL,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Data_integration_and_processing,Data_integration_and_processing,Data_integration_and_processing,Stream_processing_tools,Stream_processing_tools,Stream_processing_tools,Workflow_orchestration_tools,Workflow_orchestration_tools,Workflow_orchestration_tools,Big_Data_processing,Big_Data_processing,Big_Data_processing,OS,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools
,Title,Description,Seniority,City,State,Job_age,Easy_apply,Min,Max,Avg,Currency,Employer_provided,Is_hourly,Name,Rating,Employees,Type_of_ownership,Sector,Industry,Company_age,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Senior_management,Work/Life_balance,Culture_&_values,Pros,Cons,Benefits_rating,Benefits_reviews,BA,MS,Phd,Is_certificate,Git,AWS,Microsoft_Azure,GPC,Alibaba,Oracle,IBM,Tencent,OVHcloud,DigitalOcean,Lincode,PostgreSQL,Microsoft_SQL_Server,IBM_Db2,MySQL,Oracle_PL_SQL,MongoDB,Cassandra,Amazon_DynamoDB,Neo4j,Apache_Solr,Amazon_Redshift,Google_BigQuery,Snowflake,Oracle_Exadata,SAP_HANA,Teradata,Informatica_PowerCenter,Databricks,Presto,Apache_Kafka,Apache_Flink,Dataflow,Apache_Airflow,Luigi,SSIS,Apache_Hadoop,Apache_Hive,Apache_Spark,Linux,Python,R,Scala,SQL,Java,C++,Go,Bash,PowerShell,CLI,Tableau,Power_BI,Google_Analytics,QlikView,Oracle_BI_server,SAS_Analytics,Lumira,Cognos_Impromptu,MicroStrategy,InsightSquared,Sisense,Dundas_BI,Domo,Looker,Excel
0,Data Engineer,"Need min 10+ Years exp
Data Engineer
Bay Area, CA – Onsite(Hybrid)
Job Responsibilities:
Expert in data engineering and GCP data technologies.
Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.
Work with Agile and DevOps techniques and implementation approaches in the delivery",,Santa Clara, CA,3,True,141440.0,141440.0,141440.0,$,True,True,Infoway solutions LLC,3.9,,Company - Private,Human Resources & Staffing,Staffing & Subcontracting,,,0.77,0.84,4.0,3.9,3.7,3.9,4.0,"['""Nice and friendly work environment"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],2.2,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Data Engineer - Terraform,"Position Description:
The GDIA Data Factory Platform covers all business processes and technical components involved in ingesting a wide range of enterprise data into the GDIA Data Factory (Data Lake) and the transformation of that data into consumable data sets in support of analytics. The Data Factory Enablement Team, as the name suggests enables teams build their solutions in the GCP Data Factory Platform by proving Tools, Guidelines, processes and support. We are looking for candidates who have a broad set of technology skills across areas and come from a background of DevOps, with exposure to infrastructure and solution monitoring. This person will be expected to provide consultative services to the Software Development and Database Engineering teams. Key responsibilities include:
Work as part of an implementation team from concept to operations, providing deep technical subject matter expertise for successfully deployment of Data Platform",,Dearborn, MI,12,True,63000.0,90000.0,76500.0,$,False,False,Optimal Inc.,3.6,1 to 50,Nonprofit Organization,Education,Education & Training Services,19.0,,0.57,0.78,3.2,3.7,2.6,4.5,3.3,['No Pros have been reported by the Glassdoor community.'],"['""Antisocial and downright rude CEO, callous and often nonexistent management, insufficient training, fearful employees (due to constant lay offs &amp; unexplained changes in company structure/priorities), and an overall strange company culture that only exists at meal time."" (in 1 reviews)', '""very little work life balance"" (in 1 reviews)']",5.0,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Data Engineer,"(W2 CANDIDATES ONLY) (SANTA CLARA, CA)
PLEASE SHARE UPDATED RESUMES AS PER THE JD
Following skills sets is must
1. 5 years of hands-on experience working on data using SQL on multiple platforms (SQL server, my SQL, NoSQL, Snowflake, Mongo) (required)
2. 4 years of hands-on experience with Python and C# programming (required)
3. 4 years of hands-on AWS Stack (S3, CLI, Lamdba, SNS,SQS)
4. 3-4 years of hands-on experience with Application Development Skills - web based or service based (required)",,Santa Clara, CA,5,True,187200.0,197600.0,192400.0,$,True,True,Strivernet RPO Services Ltd,,,Company - Public,,,,,,,,,,,,,,,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Snowflake Data Engineer,"My name is Dileep and I am a recruiter at Futuretech Consultants LLC. Futuretech Consultants is a global contingency staffing firm servicing. We have an excellent job opportunity with one of our clients.
Snowflake Data Engineer
Experience – 6 to 8 Years
Work Location: Peachtree Corners GA ( our office)
Work model: Initially Onsite and then remote
Client: Goldman Sachs/Appridat Solutions, LLC
Duration: On going project – Long term",,Newton, MS,31,True,83200.0,93600.0,88400.0,$,True,True,Futuretech Consultants LLC,,,,,,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Data Engineer (MDM),"Required Skills:
Must have 5-8+ Years of experience as Data Engineer
Solid experience in pyspark & SQL
Experience working with AWS services (S3, EMR) and Databricks platform
Following skills are important to have:
SQL
Python
Spark
MDM (Master Data Management)",,Remote,Remote,12,True,135200.0,145600.0,140400.0,$,True,True,Clairvoyant,4.4,51 to 200,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,,0.88,0.87,4.1,4.2,4.1,4.0,3.9,"['""Benefits, compensation, clean work environment"" (in 4 reviews)', '""Good pay and hours and benefit"" (in 2 reviews)', '""Helpful management and coworkers"" (in 2 reviews)', '""not too much stress"" (in 1 reviews)', '""Great work/life balance"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,,False,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Data Engineer,"Basic
Work experience with ETL, Data Modeling, and Data Architecture.
Experience with Big Data technologies such as Hadoop/Hive/Spark.
Skilled in writing and optimizing SQL.
Experience operating very large data warehouses or data lakes.
Preferred
Experience in designing and implementing highly performant data ingestion pipelines from multiple sources using Apache Spark and/or Azure Databricks
Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.",,Alpharetta, GA,31,True,158080.0,174720.0,166400.0,$,True,True,AGM Tech Solutions,4.8,51 to 200,Company - Private,Human Resources & Staffing,HR Consulting,5.0,$5 to $25 million,1.0,1.0,4.8,4.7,4.9,4.9,5.0,"['""AGM Tech is a great Workplace to work and provides best support to the team always."" (in 14 reviews)', '""Better communication to employees"" (in 5 reviews)', '""Great management"" (in 4 reviews)', '""Awesome leadership from CEO Mirtes"" (in 3 reviews)', '""This not only benefits their clients, but was helpful to me when I collaborated with other AGM team members."" (in 2 reviews)']","['""Sometimes there is not much communication."" (in 5 reviews)']",,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Data Engineer,"Job Role: Data engineer
Location: Hybrid model (Day 01 onsite)
Type: Contract
EXPERIENCE :
Python
Kafka or Kinesis
DevOps deployment model
AWS
Job Type: Contract",,Atlanta, GA,6,True,124800.0,135200.0,130000.0,$,True,True,Mericaninc,,,,,,,,,,,,,,,,,,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,AWS Data Engineer,"Title: AWS Data Engineer with SAS
Location: Reston, VA
Duration: Long Term
Experience : 10 to 11+ years
Job Description
Strong experience with Python
SAS expert is preferred
Strong experience and knowledge of SQL
Good data analysis skills
Strong experience in working with AWS technologies and services like EMR, AWS Glue, S3, Redshift, RDS, Lambda’s, Step functions etc.
Worked on large data stores and lots of tables in relational databases and Data Analytics environments
Good communication and documentation skills",,Reston, VA,31,True,124800.0,135200.0,130000.0,$,True,True,Nimsvish,,,Company - Public,,,,,,,,,,,,,,,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Data Engineer,"Responsibilities:
Develop and maintain data models that accurately represent our business processes and data relationships
Work with business stakeholders to understand data requirements and design solutions to meet their needs
Write complex SQL queries to extract data from multiple sources and create reports for business users
Analyze and interpret data to identify trends, patterns, and insights that can inform business decisions
Develop data visualizations and dashboards to present data insights to business stakeholders",,Fremont, CA,4,True,145600.0,145600.0,145600.0,$,True,True,73rd Solution,,1 to 50,Company - Public,,,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
