Region,Country,State,City,Location,Latitude,Longitude
Oceania,Australia,,Melbourne,"Australia, Melbourne",-37.8142176,144.9631608
Oceania,Australia,,North Sydney,"Australia, North Sydney",-33.8354519,151.2083011
Oceania,Australia,,Sydney,"Australia, Sydney",-33.8698439,151.2082848
Oceania,Australia,,New South Wales,"Australia, New South Wales",-31.8759835,147.2869493
Oceania,Australia,,Malvern East,"Australia, Malvern East",-37.876835,145.0658739
Oceania,Australia,,Helensvale,"Australia, Helensvale",-27.9089705,153.33483217322225
Oceania,Australia,,Australia,"Australia, Australia",-24.7761086,134.755
Oceania,Australia,,Parramatta,"Australia, Parramatta",-33.80698855,151.0213894532821
Oceania,Australia,,Perth,"Australia, Perth",-31.9558933,115.8605855
Oceania,Australia,,Scoresby,"Australia, Scoresby",-37.9025786,145.2183066
Oceania,Australia,,Unanderra,"Australia, Unanderra",-34.4546772,150.8460733
Oceania,Australia,,Brisbane,"Australia, Brisbane",-27.4689682,153.0234991
Oceania,Australia,,Dampier,"Australia, Dampier",-20.6624798,116.7119013
Oceania,Australia,,Canberra,"Australia, Canberra",-35.2975906,149.1012676
Europe,Austria,,Vienna,"Austria, Vienna",48.2083537,16.3725042
Europe,Austria,,Nenzing,"Austria, Nenzing",47.13372945,9.67841025332389
Europe,Austria,,Heimarbeit,"Austria, Heimarbeit",,
Europe,Austria,,Austria,"Austria, Austria",47.59397,14.12456
Europe,Austria,,Klagenfurt am Wörthersee,"Austria, Klagenfurt am Wörthersee",46.623943,14.3075976
Europe,Austria,,Baden,"Austria, Baden",48.0085749,16.2334951
Europe,Austria,,Steyr,"Austria, Steyr",48.0390046,14.4191276
Europe,Austria,,Linz,"Austria, Linz",48.3059078,14.286198
Europe,Austria,,Graz,"Austria, Graz",47.0708678,15.4382786
Europe,Austria,,Köstendorf,"Austria, Köstendorf",47.9568047,13.1978045
Europe,Austria,,Wels,"Austria, Wels",48.1565472,14.0243752
Europe,Austria,,Korneuburg,"Austria, Korneuburg",48.3440605,16.3334321
Europe,Austria,,Leonding,"Austria, Leonding",48.2793314,14.2487457
Europe,Austria,,Höchst,"Austria, Höchst",47.4598203,9.6379578
Europe,Austria,,Villach,"Austria, Villach",46.6167284,13.8500268
Europe,Austria,,Hard,"Austria, Hard",47.489391,9.6916539
Europe,Austria,,Thüringen,"Austria, Thüringen",47.198078300000006,9.765660147359815
Europe,Austria,,Thalheim bei Wels,"Austria, Thalheim bei Wels",48.1522388,14.030993
Europe,Austria,,Eberstalzell,"Austria, Eberstalzell",48.0433366,13.9814852
Europe,Austria,,Salzburg,"Austria, Salzburg",47.7981346,13.0464806
Europe,Austria,,Elsbethen,"Austria, Elsbethen",47.7592351,13.0825458
Europe,Austria,,Wiener Neudorf,"Austria, Wiener Neudorf",48.0885947,16.318448723546133
Europe,Austria,,Vorarlberg,"Austria, Vorarlberg",47.25,9.9166667
Europe,Austria,,Krems an der Donau,"Austria, Krems an der Donau",48.409809300000006,15.60631866409324
Europe,Austria,,Innsbruck,"Austria, Innsbruck",47.2654296,11.3927685
Europe,Austria,,Upper Austria,"Austria, Upper Austria",48.25,14.0
Europe,Austria,,Kalsdorf bei Graz,"Austria, Kalsdorf bei Graz",46.95820285,15.476358638500674
Europe,Austria,,Stetten,"Austria, Stetten",48.0892761,15.0660972
Europe,Belgium,,Sint-Niklaas,"Belgium, Sint-Niklaas",51.1646685,4.1395124
Europe,Belgium,,Sint-Joost-Ten-Node,"Belgium, Sint-Joost-Ten-Node",50.8508197,4.3691634
Europe,Belgium,,Belgium,"Belgium, Belgium",50.6402809,4.6667145
Europe,Belgium,,Mechelen,"Belgium, Mechelen",51.0281381,4.4803453
Europe,Belgium,,Kontich,"Belgium, Kontich",51.1353297,4.4454784
Europe,Belgium,,Meulebeke,"Belgium, Meulebeke",50.94858225,3.286389945227539
Europe,Belgium,,Tielt,"Belgium, Tielt",50.99996475,3.3414263284671195
Europe,Belgium,,Schaarbeek,"Belgium, Schaarbeek",50.8676041,4.3737121
Europe,Belgium,,Brussels,"Belgium, Brussels",50.8465573,4.351697
Europe,Belgium,,Antwerp,"Belgium, Antwerp",51.2211097,4.3997081
Europe,Belgium,,Puurs,"Belgium, Puurs",51.0762086,4.2817075
Europe,Belgium,,Ieper,"Belgium, Ieper",50.8521947,2.8846047
Europe,Belgium,,Zaventem,"Belgium, Zaventem",50.8806207,4.4730008
Europe,Belgium,,Kortrijk,"Belgium, Kortrijk",50.8276429,3.2659884
Europe,Belgium,,Evergem,"Belgium, Evergem",51.1087891,3.7078565
Europe,Belgium,,Edegem,"Belgium, Edegem",51.1548066,4.4458312
Europe,Belgium,,Heist-op-den-Berg,"Belgium, Heist-op-den-Berg",51.06251575,4.71943107216415
Europe,Belgium,,Roeselare,"Belgium, Roeselare",50.9444948,3.124765
Europe,Belgium,,Zulte,"Belgium, Zulte",50.9400485,3.475305501634618
Europe,Belgium,,Hasselt,"Belgium, Hasselt",50.9303735,5.3378043
Europe,Belgium,,Westerlo,"Belgium, Westerlo",51.086694,4.9168675
Europe,Belgium,,Temse,"Belgium, Temse",51.1253635,4.2133313
Europe,Belgium,,Walloon Brabant,"Belgium, Walloon Brabant",50.666245,4.550044083650228
Europe,Belgium,,Anderlecht,"Belgium, Anderlecht",50.8390983,4.3296526
Europe,Belgium,,Hoboken,"Belgium, Hoboken",51.1794946,4.3617847
Europe,Belgium,,Diegem,"Belgium, Diegem",50.8945555,4.4365042
Europe,Belgium,,Mol,"Belgium, Mol",51.1840421,5.1155267
Europe,Belgium,,Emelgem,"Belgium, Emelgem",50.9231485,3.2301424
Europe,Belgium,,Heuvelland,"Belgium, Heuvelland",50.773569,2.8326917
Europe,Belgium,,Flemish Brabant,"Belgium, Flemish Brabant",50.8686516,4.7886237984620905
Europe,Belgium,,Wilrijk,"Belgium, Wilrijk",51.1700864,4.3942577
Europe,Belgium,,Aartselaar,"Belgium, Aartselaar",51.133297,4.3870241
Europe,Belgium,,Lier,"Belgium, Lier",51.131069,4.5696516
Europe,Belgium,,Brugge,"Belgium, Brugge",51.2085526,3.226772
Europe,Belgium,,Meise,"Belgium, Meise",50.9341625,4.3287322
North America,Canada,Ontario,Toronto,"Canada, Ontario, Toronto",43.6534817,-79.3839347
North America,Canada,British Columbia,Vancouver,"Canada, British Columbia, Vancouver",49.2608724,-123.113952
Europe,Czech Republic,,Prague,"Czech Republic, Prague",50.0874654,14.4212535
Europe,Czech Republic,,Czech Republic,"Czech Republic, Czech Republic",49.7439047,15.3381061
Europe,Czech Republic,,Ostrava,"Czech Republic, Ostrava",49.8349139,18.2820084
Europe,Czech Republic,,Brno,"Czech Republic, Brno",49.1922443,16.6113382
Europe,Denmark,,Denmark,"Denmark, Denmark",55.670249,10.3333283
Europe,Denmark,,Copenhagen,"Denmark, Copenhagen",55.6867243,12.5700724
Europe,Denmark,,Aarhus,"Denmark, Aarhus",56.1496278,10.2134046
Europe,Denmark,,Viby,"Denmark, Viby",56.1290327,10.1624334
Europe,Denmark,,Frederiksberg,"Denmark, Frederiksberg",55.678016,12.5326186
Europe,Denmark,,Northern Jutland,"Denmark, Northern Jutland",,
Europe,Denmark,,Kongens Lyngby,"Denmark, Kongens Lyngby",55.7718649,12.5051413
Europe,Denmark,,Ballerup,"Denmark, Ballerup",55.7303589,12.3612313
Europe,Denmark,,Silkeborg,"Denmark, Silkeborg",56.169453,9.5495141
Europe,Denmark,,Kalundborg,"Denmark, Kalundborg",55.6833793,11.0993619
Europe,Denmark,,Virum,"Denmark, Virum",55.7939593,12.4694709
Europe,Denmark,,Hillerød,"Denmark, Hillerød",55.9285735,12.3063909
Europe,Denmark,,Gentofte,"Denmark, Gentofte",55.7459656,12.5510249
Europe,Denmark,,Branderup,"Denmark, Branderup",55.1220082,9.0686157
