Country,Year,Conversion
AUS,2022,"1,446332"
AUT,2022,"0,71893"
BEL,2022,"0,713938"
CAN,2022,"1,253835"
CZE,2022,"12,723595"
DNK,2022,"6,31981"
FIN,2022,"0,80248"
FRA,2022,"0,692756"
DEU,2022,"0,719944"
GRC,2022,"0,52849"
HUN,2022,"161,240338"
ISL,2022,"148,660051"
IRL,2022,"0,76562"
ITA,2022,"0,61742"
JPN,2022,"95,214288"
KOR,2022,"815,562523"
LUX,2022,"0,831502"
MEX,2022,"10,57619"
NLD,2022,"0,749166"
NZL,2022,"1,442306"
NOR,2022,"10,739663"
POL,2022,"1,866253"
PRT,2022,"0,549982"
SVK,2022,"0,533598"
ESP,2022,"0,596215"
SWE,2022,"8,666219"
CHE,2022,"1,065937"
TUR,2022,"5,035388"
GBR,2022,"0,663595"
USA,2022,1
BRA,2022,"2,530068"
CHL,2022,"437,561854"
CHN,2022,"4,021865"
COL,2022,"1440,025311"
EST,2022,"0,569293"
IND,2022,"24,059486"
IDN,2022,"4934,262314"
ISR,2022,"3,733137"
RUS,2022,"28,80409"
SVN,2022,"0,551638"
ZAF,2022,"6,981046"
LVA,2022,"0,50925"
LTU,2022,"0,478849"
SAU,2021,"1,784958"
EA19,2022,"0,684035"
ARG,2021,"42,720786"
CRI,2022,"346,565157"
BGR,2021,"0,719135"
HRV,2021,"0,432278"
CYP,2021,"0,600921"
MLT,2021,"0,579067"
ROU,2021,"1,712335"
MKD,2021,"19,021869"
ZMB,2021,"6,402819"
HKG,2021,"5,874937"
MDG,2021,"1192,178709"
MAR,2021,"3,859583"
SGP,2021,"0,839572"
EU27_2020,2022,"0,648504"
ALB,2021,"42,512743"
SRB,2021,"42,392183"
GEO,2021,"0,950974"
CMR,2021,"227,378726"
SEN,2021,"236,380142"
